"BestYTDStreakwoa3Putt_RANKTHISWEEK_2016","BestYTDStreakwoa3Putt_RANKLASTWEEK_2016","BestYTDStreakwoa3Putt_PLAYERNAME_2016","BestYTDStreakwoa3Putt_EVENTS_2016","BestYTDStreakwoa3Putt_BESTSTREAK_2016","BestYTDStreakwoa3Putt_CURRENTSTREAK_2016","stat_name","year"
1,1,"Adam Hadwin",16,314,48,"BestYTDStreakwoa3Putt",2016
2,2,"Jonas Blixt",16,289,7,"BestYTDStreakwoa3Putt",2016
3,3,"Jason Bohn",11,281,27,"BestYTDStreakwoa3Putt",2016
4,4,"Blayne Barber",16,259,32,"BestYTDStreakwoa3Putt",2016
5,5,"Kevin Kisner",14,234,14,"BestYTDStreakwoa3Putt",2016
6,6,"Justin Leonard",8,228,67,"BestYTDStreakwoa3Putt",2016
7,7,"Troy Merritt",14,226,76,"BestYTDStreakwoa3Putt",2016
8,8,"Jason Gore",15,217,20,"BestYTDStreakwoa3Putt",2016
9,9,"Dawie van der Walt",16,216,17,"BestYTDStreakwoa3Putt",2016
10,10,"Chad Collins",16,212,6,"BestYTDStreakwoa3Putt",2016
10,10,"Daniel Summerhays",15,212,18,"BestYTDStreakwoa3Putt",2016
12,12,"Si Woo Kim",19,211,13,"BestYTDStreakwoa3Putt",2016
13,13,"Carlos Ortiz",17,207,22,"BestYTDStreakwoa3Putt",2016
13,20,"Boo Weekley",17,207,15,"BestYTDStreakwoa3Putt",2016
15,26,"Luke Donald",13,206,23,"BestYTDStreakwoa3Putt",2016
16,14,"Peter Malnati",19,203,78,"BestYTDStreakwoa3Putt",2016
17,15,"Jon Curran",18,200,9,"BestYTDStreakwoa3Putt",2016
18,16,"Jason Day",9,199,36,"BestYTDStreakwoa3Putt",2016
19,17,"Gary Woodland",12,198,11,"BestYTDStreakwoa3Putt",2016
20,18,"Brian Gay",8,196,46,"BestYTDStreakwoa3Putt",2016
21,19,"Harris English",15,193,66,"BestYTDStreakwoa3Putt",2016
22,20,"Jordan Spieth",9,191,18,"BestYTDStreakwoa3Putt",2016
23,22,"Carl Pettersson",14,189,42,"BestYTDStreakwoa3Putt",2016
24,23,"Brendon de Jonge",19,187,92,"BestYTDStreakwoa3Putt",2016
24,23,"John Huh",16,187,24,"BestYTDStreakwoa3Putt",2016
26,25,"Marc Leishman",12,186,186,"BestYTDStreakwoa3Putt",2016
27,26,"Patrick Reed",14,185,23,"BestYTDStreakwoa3Putt",2016
28,28,"Zac Blair",18,183,9,"BestYTDStreakwoa3Putt",2016
28,28,"David Lingmerth",15,183,18,"BestYTDStreakwoa3Putt",2016
30,30,"Tim Wilkinson",11,182,13,"BestYTDStreakwoa3Putt",2016
31,31,"Ryan Moore",11,181,26,"BestYTDStreakwoa3Putt",2016
32,49,"Padraig Harrington",11,179,10,"BestYTDStreakwoa3Putt",2016
33,32,"Davis Love III",11,178,18,"BestYTDStreakwoa3Putt",2016
34,33,"Andrew Loupe",16,176,18,"BestYTDStreakwoa3Putt",2016
35,34,"Spencer Levin",19,175,175,"BestYTDStreakwoa3Putt",2016
36,34,"Colt Knost",15,173,12,"BestYTDStreakwoa3Putt",2016
37,36,"Aaron Baddeley",15,172,35,"BestYTDStreakwoa3Putt",2016
38,37,"Billy Hurley III",8,170,34,"BestYTDStreakwoa3Putt",2016
39,38,"Roberto Castro",16,168,101,"BestYTDStreakwoa3Putt",2016
40,84,"Andres Gonzales",17,167,4,"BestYTDStreakwoa3Putt",2016
41,39,"Tony Finau",15,165,10,"BestYTDStreakwoa3Putt",2016
