"OnePuttPercentage_RANKTHISWEEK_2006","OnePuttPercentage_RANKLASTWEEK_2006","OnePuttPercentage_PLAYERNAME_2006","OnePuttPercentage_ROUNDS_2006","OnePuttPercentage_Pct_2006","OnePuttPercentage_OF1PUTTS_2006","OnePuttPercentage_OFHOLES_2006","stat_name","year"
1,1,"Brian Gay",107,43.15,831,1926,"OnePuttPercentage",2006
2,2,"Aaron Baddeley",78,43.13,590,1368,"OnePuttPercentage",2006
3,3,"Doug Barron",74,42.85,563,1314,"OnePuttPercentage",2006
4,4,"Daniel Chopra",110,42.42,817,1926,"OnePuttPercentage",2006
5,5,"Shigeki Maruyama",94,42.21,699,1656,"OnePuttPercentage",2006
6,6,"Nathan Green",108,42.09,788,1872,"OnePuttPercentage",2006
7,7,"Len Mattiace",59,41.71,443,1062,"OnePuttPercentage",2006
8,8,"Paul Azinger",87,41.7,653,1566,"OnePuttPercentage",2006
9,9,"JP Hayes",55,41.62,412,990,"OnePuttPercentage",2006
10,10,"Mark OMeara",52,41.56,374,900,"OnePuttPercentage",2006
10,10,"Tom Pernice Jr",108,41.56,778,1872,"OnePuttPercentage",2006
12,12,"Brad Faxon",78,41.45,582,1404,"OnePuttPercentage",2006
13,13,"Greg Chalmers",71,41.38,499,1206,"OnePuttPercentage",2006
14,14,"Michael Allen",84,41.34,625,1512,"OnePuttPercentage",2006
15,15,"David Howell",52,41.23,334,810,"OnePuttPercentage",2006
16,16,"Steve Stricker",64,41.22,460,1116,"OnePuttPercentage",2006
17,17,"Joe Ogilvie",95,41.21,675,1638,"OnePuttPercentage",2006
18,18,"Vaughn Taylor",88,41.1,651,1584,"OnePuttPercentage",2006
19,19,"Chris Riley",86,41.06,606,1476,"OnePuttPercentage",2006
20,20,"Stewart Cink",93,41.04,650,1584,"OnePuttPercentage",2006
21,21,"Rod Pampling",89,41.01,620,1512,"OnePuttPercentage",2006
22,22,"Woody Austin",107,40.86,787,1926,"OnePuttPercentage",2006
23,23,"Harrison Frazar",95,40.78,668,1638,"OnePuttPercentage",2006
24,24,"Tag Ridings",103,40.72,733,1800,"OnePuttPercentage",2006
25,25,"David Duval",71,40.66,505,1242,"OnePuttPercentage",2006
26,26,"Ben Crane",85,40.63,585,1440,"OnePuttPercentage",2006
27,27,"Alex Aragon",63,40.62,446,1098,"OnePuttPercentage",2006
