"Total3PuttsInside5_RANKTHISWEEK_2012","Total3PuttsInside5_RANKLASTWEEK_2012","Total3PuttsInside5_PLAYERNAME_2012","Total3PuttsInside5_ROUNDS_2012","Total3PuttsInside5_TOTAL3PUTTSINSIDE5_2012","Total3PuttsInside5_TOTAL3PUTTS_2012","stat_name","year"
1,1,"Chad Campbell",84,3,47,"Total3PuttsInside5",2012
1,1,"Tom Gillis",75,3,42,"Total3PuttsInside5",2012
3,3,"Mark Anderson",75,2,49,"Total3PuttsInside5",2012
3,3,"Ricky Barnes",92,2,68,"Total3PuttsInside5",2012
3,3,"Scott Brown",65,2,42,"Total3PuttsInside5",2012
3,3,"Kevin Chappell",91,2,56,"Total3PuttsInside5",2012
3,3,"Tommy Gainey",98,2,51,"Total3PuttsInside5",2012
3,3,"Jerry Kelly",84,2,40,"Total3PuttsInside5",2012
3,3,"Ted Potter Jr",77,2,46,"Total3PuttsInside5",2012
3,3,"Chez Reavie",83,2,42,"Total3PuttsInside5",2012
3,3,"Charl Schwartzel",56,2,18,"Total3PuttsInside5",2012
3,3,"Heath Slocum",93,2,47,"Total3PuttsInside5",2012
3,3,"Josh Teater",97,2,62,"Total3PuttsInside5",2012
3,3,"Roland Thatcher",55,2,31,"Total3PuttsInside5",2012
3,3,"Camilo Villegas",79,2,43,"Total3PuttsInside5",2012
16,16,"Blake Adams",107,1,51,"Total3PuttsInside5",2012
16,16,"Robert Allenby",76,1,47,"Total3PuttsInside5",2012
16,16,"Arjun Atwal",79,1,34,"Total3PuttsInside5",2012
16,16,"Kris Blanks",65,1,45,"Total3PuttsInside5",2012
16,16,"Jason Bohn",81,1,31,"Total3PuttsInside5",2012
16,16,"Keegan Bradley",90,1,47,"Total3PuttsInside5",2012
16,16,"Jonathan Byrd",69,1,35,"Total3PuttsInside5",2012
16,16,"Angel Cabrera",54,1,18,"Total3PuttsInside5",2012
16,16,"Greg Chalmers",88,1,26,"Total3PuttsInside5",2012
16,16,"Gavin Coles",72,1,34,"Total3PuttsInside5",2012
16,16,"Erik Compton",81,1,35,"Total3PuttsInside5",2012
16,16,"Ben Crane",73,1,31,"Total3PuttsInside5",2012
16,16,"Brian Davis",91,1,32,"Total3PuttsInside5",2012
16,16,"Chris DiMarco",83,1,38,"Total3PuttsInside5",2012
16,16,"Jason Dufner",83,1,35,"Total3PuttsInside5",2012
16,16,"Ken Duke",104,1,53,"Total3PuttsInside5",2012
16,16,"Scott Dunlap",57,1,43,"Total3PuttsInside5",2012
16,16,"Matt Every",80,1,34,"Total3PuttsInside5",2012
16,16,"Stephen Gangluff",57,1,28,"Total3PuttsInside5",2012
16,16,"Robert Garrigus",89,1,55,"Total3PuttsInside5",2012
16,16,"Bobby Gates",87,1,54,"Total3PuttsInside5",2012
16,16,"Mathew Goggin",65,1,32,"Total3PuttsInside5",2012
16,16,"Hunter Haas",69,1,26,"Total3PuttsInside5",2012
16,16,"David Hearn",95,1,46,"Total3PuttsInside5",2012
16,16,"Tim Herron",88,1,36,"Total3PuttsInside5",2012
16,16,"Charley Hoffman",88,1,53,"Total3PuttsInside5",2012
16,16,"Billy Horschel",63,1,30,"Total3PuttsInside5",2012
16,16,"Zach Johnson",95,1,31,"Total3PuttsInside5",2012
16,16,"Dustin Johnson",70,1,24,"Total3PuttsInside5",2012
16,16,"Russell Knox",72,1,25,"Total3PuttsInside5",2012
16,16,"Jason Kokrak",79,1,40,"Total3PuttsInside5",2012
16,16,"Spencer Levin",81,1,27,"Total3PuttsInside5",2012
16,16,"Edward Loar",59,1,18,"Total3PuttsInside5",2012
16,16,"David Mathis",83,1,26,"Total3PuttsInside5",2012
16,16,"George McNeill",85,1,37,"Total3PuttsInside5",2012
16,16,"Sean OHair",84,1,43,"Total3PuttsInside5",2012
16,16,"Nick OHern",78,1,41,"Total3PuttsInside5",2012
16,16,"Geoff Ogilvy",73,1,28,"Total3PuttsInside5",2012
16,16,"Louis Oosthuizen",65,1,26,"Total3PuttsInside5",2012
16,16,"Ryan Palmer",81,1,33,"Total3PuttsInside5",2012
16,16,"Carl Pettersson",92,1,30,"Total3PuttsInside5",2012
16,16,"DA Points",88,1,51,"Total3PuttsInside5",2012
16,16,"John Rollins",81,1,40,"Total3PuttsInside5",2012
16,16,"Andres Romero",68,1,46,"Total3PuttsInside5",2012
16,16,"Rory Sabbatini",84,1,46,"Total3PuttsInside5",2012
16,16,"Webb Simpson",77,1,29,"Total3PuttsInside5",2012
16,16,"Steve Stricker",73,1,20,"Total3PuttsInside5",2012
16,16,"Chris Stroud",86,1,29,"Total3PuttsInside5",2012
16,16,"Nick Watney",97,1,52,"Total3PuttsInside5",2012
16,16,"Lee Westwood",60,1,23,"Total3PuttsInside5",2012
16,16,"Mark Wilson",84,1,37,"Total3PuttsInside5",2012
16,16,"Tiger Woods",69,1,25,"Total3PuttsInside5",2012
