"FirstTeeEarlyPar4ScoringAverage_RANKTHISWEEK_2015","FirstTeeEarlyPar4ScoringAverage_RANKLASTWEEK_2015","FirstTeeEarlyPar4ScoringAverage_PLAYERNAME_2015","FirstTeeEarlyPar4ScoringAverage_ROUNDS_2015","FirstTeeEarlyPar4ScoringAverage_AVG_2015","FirstTeeEarlyPar4ScoringAverage_TOTALSTROKES_2015","FirstTeeEarlyPar4ScoringAverage_TOTALHOLES_2015","stat_name","year"
1,1,"Jason Day",75,3.89,514,132,"FirstTeeEarlyPar4ScoringAverage",2015
1,1,"Dustin Johnson",75,3.89,619,159,"FirstTeeEarlyPar4ScoringAverage",2015
1,1,"Jordan Spieth",91,3.89,370,95,"FirstTeeEarlyPar4ScoringAverage",2015
4,4,"Patrick Rodgers",57,3.93,432,110,"FirstTeeEarlyPar4ScoringAverage",2015
4,4,"Henrik Stenson",63,3.93,535,136,"FirstTeeEarlyPar4ScoringAverage",2015
6,6,"Jonathan Byrd",69,3.94,643,163,"FirstTeeEarlyPar4ScoringAverage",2015
6,6,"Whee Kim",71,3.94,773,196,"FirstTeeEarlyPar4ScoringAverage",2015
6,6,"Will Wilcox",58,3.94,776,197,"FirstTeeEarlyPar4ScoringAverage",2015
9,9,"Danny Lee",120,3.95,1501,380,"FirstTeeEarlyPar4ScoringAverage",2015
9,9,"Troy Merritt",91,3.95,964,244,"FirstTeeEarlyPar4ScoringAverage",2015
11,11,"Matt Kuchar",97,3.96,991,250,"FirstTeeEarlyPar4ScoringAverage",2015
11,11,"Francesco Molinari",56,3.96,733,185,"FirstTeeEarlyPar4ScoringAverage",2015
11,11,"Kevin Na",98,3.96,1136,287,"FirstTeeEarlyPar4ScoringAverage",2015
11,11,"Chez Reavie",56,3.96,824,208,"FirstTeeEarlyPar4ScoringAverage",2015
15,15,"Blayne Barber",76,3.97,897,226,"FirstTeeEarlyPar4ScoringAverage",2015
15,15,"Paul Casey",87,3.97,1252,315,"FirstTeeEarlyPar4ScoringAverage",2015
15,15,"Tom Hoge",83,3.97,1083,273,"FirstTeeEarlyPar4ScoringAverage",2015
15,15,"Hideki Matsuyama",95,3.97,1035,261,"FirstTeeEarlyPar4ScoringAverage",2015
15,15,"Cameron Percy",72,3.97,806,203,"FirstTeeEarlyPar4ScoringAverage",2015
15,15,"Justin Rose",69,3.97,433,109,"FirstTeeEarlyPar4ScoringAverage",2015
15,15,"Brandt Snedeker",98,3.97,1152,290,"FirstTeeEarlyPar4ScoringAverage",2015
15,15,"Tyrone Van Aswegen",58,3.97,806,203,"FirstTeeEarlyPar4ScoringAverage",2015
23,23,"Jonas Blixt",78,3.98,832,209,"FirstTeeEarlyPar4ScoringAverage",2015
23,23,"Kevin Chappell",86,3.98,1346,338,"FirstTeeEarlyPar4ScoringAverage",2015
23,23,"Jim Herman",88,3.98,990,249,"FirstTeeEarlyPar4ScoringAverage",2015
23,23,"Charley Hoffman",97,3.98,1510,379,"FirstTeeEarlyPar4ScoringAverage",2015
23,23,"Spencer Levin",99,3.98,1145,288,"FirstTeeEarlyPar4ScoringAverage",2015
