"3PuttAvoidance_RANKTHISWEEK_2012","3PuttAvoidance_RANKLASTWEEK_2012","3PuttAvoidance_PLAYERNAME_2012","3PuttAvoidance_ROUNDS_2012","3PuttAvoidance_Pct_2012","3PuttAvoidance_TOTAL3PUTTS_2012","3PuttAvoidance_TOTALHOLESOVERALL_2012","stat_name","year"
1,1,"Brian Gay",91,1.53,24,1566,"3PuttAvoidance",2012
2,2,"Kevin Kisner",69,1.62,19,1170,"3PuttAvoidance",2012
3,3,"Jim Furyk",85,1.72,26,1512,"3PuttAvoidance",2012
4,4,"Greg Chalmers",88,1.79,28,1566,"3PuttAvoidance",2012
4,4,"Ben Curtis",62,1.79,20,1116,"3PuttAvoidance",2012
6,6,"Jonas Blixt",72,1.85,24,1296,"3PuttAvoidance",2012
7,7,"Luke Donald",63,1.88,21,1116,"3PuttAvoidance",2012
7,7,"Sergio Garcia",57,1.88,19,1008,"3PuttAvoidance",2012
9,9,"Brandt Jobe",57,1.95,20,1026,"3PuttAvoidance",2012
10,10,"Matt Kuchar",86,2.03,30,1476,"3PuttAvoidance",2012
11,11,"Carl Pettersson",92,2.05,34,1656,"3PuttAvoidance",2012
12,12,"Bob Estes",78,2.07,29,1404,"3PuttAvoidance",2012
13,13,"Daniel Chopra",55,2.1,20,954,"3PuttAvoidance",2012
14,14,"Dicky Pride",62,2.11,22,1044,"3PuttAvoidance",2012
15,15,"James Driscoll",83,2.14,32,1494,"3PuttAvoidance",2012
16,16,"Kevin Na",80,2.18,31,1422,"3PuttAvoidance",2012
17,17,"Steve Stricker",73,2.22,28,1260,"3PuttAvoidance",2012
18,18,"Chris Couch",61,2.26,24,1062,"3PuttAvoidance",2012
18,18,"Graeme McDowell",55,2.26,22,972,"3PuttAvoidance",2012
18,18,"William McGirt",96,2.26,39,1728,"3PuttAvoidance",2012
21,21,"Martin Flores",95,2.28,39,1710,"3PuttAvoidance",2012
21,21,"Brandt Snedeker",81,2.28,32,1404,"3PuttAvoidance",2012
23,23,"Marco Dawson",60,2.3,24,1044,"3PuttAvoidance",2012
24,24,"Richard Lee",71,2.32,28,1206,"3PuttAvoidance",2012
24,24,"Spencer Levin",81,2.32,33,1422,"3PuttAvoidance",2012
26,26,"David Mathis",83,2.33,34,1458,"3PuttAvoidance",2012
26,26,"Charlie Wi",86,2.33,36,1548,"3PuttAvoidance",2012
28,28,"Russell Knox",72,2.37,29,1224,"3PuttAvoidance",2012
28,28,"Charl Schwartzel",56,2.37,23,972,"3PuttAvoidance",2012
30,30,"Brian Davis",91,2.38,39,1638,"3PuttAvoidance",2012
30,30,"Ian Poulter",57,2.38,24,1008,"3PuttAvoidance",2012
