"ScramblingfromtheSand_RANKTHISWEEK_2011","ScramblingfromtheSand_RANKLASTWEEK_2011","ScramblingfromtheSand_PLAYERNAME_2011","ScramblingfromtheSand_ROUNDS_2011","ScramblingfromtheSand_Pct_2011","ScramblingfromtheSand_SUCCESSES_2011","ScramblingfromtheSand_ATTEMPTS_2011","stat_name","year"
1,1,"Paul Stankowski",78,67.14,47,70,"ScramblingfromtheSand",2011
2,2,"Greg Chalmers",88,66.67,82,123,"ScramblingfromtheSand",2011
3,3,"Retief Goosen",50,65.12,28,43,"ScramblingfromtheSand",2011
4,4,"Michael Putnam",67,63.75,51,80,"ScramblingfromtheSand",2011
5,5,"Luke Donald",73,62.86,44,70,"ScramblingfromtheSand",2011
6,6,"Bryce Molder",82,62.6,77,123,"ScramblingfromtheSand",2011
7,7,"Jason Day",76,62.5,60,96,"ScramblingfromtheSand",2011
8,8,"Brian Gay",90,61.67,74,120,"ScramblingfromtheSand",2011
9,9,"Matt Kuchar",94,61.54,64,104,"ScramblingfromtheSand",2011
10,10,"Tom Gillis",55,61.4,35,57,"ScramblingfromtheSand",2011
11,11,"Woody Austin",59,61.11,33,54,"ScramblingfromtheSand",2011
12,12,"Kevin Chappell",78,60.76,48,79,"ScramblingfromtheSand",2011
13,13,"Hunter Haas",96,60.55,66,109,"ScramblingfromtheSand",2011
13,13,"Mark Wilson",89,60.55,66,109,"ScramblingfromtheSand",2011
15,15,"David Hearn",88,60.32,38,63,"ScramblingfromtheSand",2011
16,16,"Justin Rose",79,60,54,90,"ScramblingfromtheSand",2011
17,17,"Shaun Micheel",77,59.6,59,99,"ScramblingfromtheSand",2011
18,18,"Adam Scott",60,59.38,38,64,"ScramblingfromtheSand",2011
19,19,"Chris Riley",76,59.3,51,86,"ScramblingfromtheSand",2011
20,20,"David Toms",78,59.04,49,83,"ScramblingfromtheSand",2011
21,21,"William McGirt",103,58.88,63,107,"ScramblingfromtheSand",2011
22,22,"Kevin Na",84,58.76,57,97,"ScramblingfromtheSand",2011
