"ReverseBounceBack_RANKTHISWEEK_2012","ReverseBounceBack_RANKLASTWEEK_2012","ReverseBounceBack_PLAYERNAME_2012","ReverseBounceBack_ROUNDS_2012","ReverseBounceBack_PctUNDERTHENOVERPAR_2012","ReverseBounceBack_TOTALUNDERTHENOVERPAR_2012","ReverseBounceBack_UNDERPAR_2012","stat_name","year"
1,1,"Padraig Harrington",67,10.33,22,213,"ReverseBounceBack",2012
2,2,"Ben Curtis",62,11,23,209,"ReverseBounceBack",2012
3,3,"Bob Estes",78,11.11,27,243,"ReverseBounceBack",2012
4,4,"Henrik Stenson",51,12.02,22,183,"ReverseBounceBack",2012
5,5,"Steve Stricker",73,12.2,31,254,"ReverseBounceBack",2012
6,6,"Scott Piercy",95,12.57,45,358,"ReverseBounceBack",2012
7,7,"Bryce Molder",83,12.6,31,246,"ReverseBounceBack",2012
8,8,"Rory McIlroy",60,12.67,28,221,"ReverseBounceBack",2012
9,9,"Camilo Villegas",79,13.09,36,275,"ReverseBounceBack",2012
10,10,"Tiger Woods",69,13.18,34,258,"ReverseBounceBack",2012
11,11,"Bubba Watson",68,13.2,33,250,"ReverseBounceBack",2012
12,12,"Pat Perez",81,13.48,38,282,"ReverseBounceBack",2012
13,13,"David Toms",60,13.54,26,192,"ReverseBounceBack",2012
14,14,"Jerry Kelly",84,13.6,37,272,"ReverseBounceBack",2012
15,15,"Dustin Johnson",70,13.64,33,242,"ReverseBounceBack",2012
16,16,"Ken Duke",104,13.67,51,373,"ReverseBounceBack",2012
17,17,"Michael Bradley",63,13.78,27,196,"ReverseBounceBack",2012
17,17,"Troy Kelly",68,13.78,27,196,"ReverseBounceBack",2012
19,19,"Billy Horschel",63,13.79,28,203,"ReverseBounceBack",2012
20,20,"Tim Clark",60,13.97,25,179,"ReverseBounceBack",2012
21,21,"Robert Garrigus",89,14,49,350,"ReverseBounceBack",2012
22,22,"Kevin Na",80,14.23,37,260,"ReverseBounceBack",2012
23,23,"Vijay Singh",99,14.24,49,344,"ReverseBounceBack",2012
24,24,"Zach Johnson",95,14.29,50,350,"ReverseBounceBack",2012
24,24,"Alexandre Rocha",62,14.29,24,168,"ReverseBounceBack",2012
26,26,"Bill Haas",79,14.34,37,258,"ReverseBounceBack",2012
27,27,"Ian Poulter",57,14.36,27,188,"ReverseBounceBack",2012
28,28,"Brendon de Jonge",115,14.46,60,415,"ReverseBounceBack",2012
29,29,"Blake Adams",107,14.48,54,373,"ReverseBounceBack",2012
29,29,"Brandt Snedeker",81,14.48,43,297,"ReverseBounceBack",2012
31,31,"David Hearn",95,14.52,45,310,"ReverseBounceBack",2012
32,32,"Luke Donald",63,14.61,32,219,"ReverseBounceBack",2012
33,33,"Ryan Palmer",81,14.62,44,301,"ReverseBounceBack",2012
34,34,"Kris Blanks",65,14.63,30,205,"ReverseBounceBack",2012
35,35,"Bud Cauley",99,14.66,50,341,"ReverseBounceBack",2012
