"ProximitytoHolefromFringe_RANKTHISWEEK_2011","ProximitytoHolefromFringe_RANKLASTWEEK_2011","ProximitytoHolefromFringe_PLAYERNAME_2011","ProximitytoHolefromFringe_ROUNDS_2011","ProximitytoHolefromFringe_AVGDTP_2011","ProximitytoHolefromFringe_TOTALDISTANCEFEET_2011","ProximitytoHolefromFringe_OFSHOTS_2011","ProximitytoHolefromFringe_SCRAMBLINGRANK_2011","stat_name","year"
1,NA,"Ernie Els",71,NA,131.583,65,182,"ProximitytoHolefromFringe",2011
2,NA,"KJ Choi",77,NA,135.5,65,27,"ProximitytoHolefromFringe",2011
3,NA,"Steve Elkington",50,NA,93.75,41,43,"ProximitytoHolefromFringe",2011
3,NA,"Steve Stricker",70,NA,114.833,52,2,"ProximitytoHolefromFringe",2011
5,NA,"Alex Cejka",59,NA,117.917,50,111,"ProximitytoHolefromFringe",2011
5,NA,"Brian Gay",90,NA,173.75,75,7,"ProximitytoHolefromFringe",2011
5,NA,"Richard Johnson",64,NA,101.167,43,155,"ProximitytoHolefromFringe",2011
8,NA,"Stephen Ames",69,NA,128.75,53,35,"ProximitytoHolefromFringe",2011
8,NA,"Aaron Baddeley",77,NA,161.5,66,55,"ProximitytoHolefromFringe",2011
10,NA,"Stuart Appleby",65,NA,157.25,63,128,"ProximitytoHolefromFringe",2011
10,NA,"Luke Donald",73,NA,92.917,37,8,"ProximitytoHolefromFringe",2011
10,NA,"Ryan Palmer",82,NA,222.417,88,47,"ProximitytoHolefromFringe",2011
10,NA,"Tim Petrovic",88,NA,196.25,79,38,"ProximitytoHolefromFringe",2011
10,NA,"Chez Reavie",92,NA,202.417,80,140,"ProximitytoHolefromFringe",2011
10,NA,"Dean Wilson",62,NA,156.417,62,19,"ProximitytoHolefromFringe",2011
16,NA,"Chris Couch",73,NA,176.167,68,27,"ProximitytoHolefromFringe",2011
16,NA,"Nathan Green",81,NA,178.167,70,26,"ProximitytoHolefromFringe",2011
16,NA,"Ryan Moore",79,NA,186.083,72,45,"ProximitytoHolefromFringe",2011
16,NA,"Joe Ogilvie",75,NA,166.75,65,109,"ProximitytoHolefromFringe",2011
16,NA,"Kevin Stadler",88,NA,206.917,80,174,"ProximitytoHolefromFringe",2011
16,NA,"YE Yang",63,NA,97.083,37,23,"ProximitytoHolefromFringe",2011
22,NA,"Steve Flesch",88,NA,200.25,76,108,"ProximitytoHolefromFringe",2011
22,NA,"Padraig Harrington",60,NA,139.083,52,49,"ProximitytoHolefromFringe",2011
22,NA,"Justin Leonard",82,NA,213.333,79,18,"ProximitytoHolefromFringe",2011
22,NA,"Chris Riley",76,NA,187.333,71,20,"ProximitytoHolefromFringe",2011
22,NA,"DJ Trahan",91,NA,228.667,85,82,"ProximitytoHolefromFringe",2011
27,NA,"Robert Allenby",84,NA,170,61,66,"ProximitytoHolefromFringe",2011
27,NA,"Stewart Cink",72,NA,172,63,107,"ProximitytoHolefromFringe",2011
27,NA,"Jason Day",76,NA,157.25,58,3,"ProximitytoHolefromFringe",2011
27,NA,"James Driscoll",71,NA,169.25,61,112,"ProximitytoHolefromFringe",2011
27,NA,"Jerry Kelly",85,NA,176.75,64,14,"ProximitytoHolefromFringe",2011
27,NA,"Derek Lamely",65,NA,152.75,56,183,"ProximitytoHolefromFringe",2011
27,NA,"Davis Love III",70,NA,153.583,56,161,"ProximitytoHolefromFringe",2011
27,NA,"Josh Teater",104,NA,254,91,152,"ProximitytoHolefromFringe",2011
35,NA,"Sergio Garcia",61,NA,123.667,44,44,"ProximitytoHolefromFringe",2011
35,NA,"Zach Johnson",79,NA,191,67,4,"ProximitytoHolefromFringe",2011
35,NA,"Hunter Mahan",92,NA,172.333,61,92,"ProximitytoHolefromFringe",2011
35,NA,"Troy Merritt",63,NA,154.917,54,121,"ProximitytoHolefromFringe",2011
35,NA,"Nick OHern",89,NA,214.417,75,58,"ProximitytoHolefromFringe",2011
35,NA,"Geoff Ogilvy",69,NA,157.667,55,52,"ProximitytoHolefromFringe",2011
35,NA,"Alex Prugh",82,NA,213.75,75,186,"ProximitytoHolefromFringe",2011
35,NA,"Kyle Stanley",98,NA,250.083,87,156,"ProximitytoHolefromFringe",2011
35,NA,"Chris Stroud",88,NA,211.333,74,103,"ProximitytoHolefromFringe",2011
35,NA,"Daniel Summerhays",75,NA,225.417,79,138,"ProximitytoHolefromFringe",2011
35,NA,"Michael Thompson",79,NA,249.75,87,32,"ProximitytoHolefromFringe",2011
35,NA,"Camilo Villegas",69,NA,178.917,63,127,"ProximitytoHolefromFringe",2011
35,NA,"Johnson Wagner",81,NA,211.333,74,96,"ProximitytoHolefromFringe",2011
35,NA,"Nick Watney",80,NA,203.833,73,12,"ProximitytoHolefromFringe",2011
35,NA,"Mark Wilson",89,NA,185.75,66,11,"ProximitytoHolefromFringe",2011
50,NA,"Joseph Bramlett",73,NA,180.667,62,119,"ProximitytoHolefromFringe",2011
50,NA,"Jonathan Byrd",83,NA,199.25,68,106,"ProximitytoHolefromFringe",2011
50,NA,"Greg Chalmers",88,NA,228.833,79,1,"ProximitytoHolefromFringe",2011
50,NA,"Kevin Chappell",78,NA,230.333,78,72,"ProximitytoHolefromFringe",2011
50,NA,"Ben Curtis",66,NA,147.25,50,21,"ProximitytoHolefromFringe",2011
50,NA,"Chris DiMarco",93,NA,254.167,87,39,"ProximitytoHolefromFringe",2011
50,NA,"Charley Hoffman",93,NA,201.75,70,163,"ProximitytoHolefromFringe",2011
50,NA,"Ryuji Imada",83,NA,245.25,85,65,"ProximitytoHolefromFringe",2011
50,NA,"Dustin Johnson",72,NA,171.333,58,181,"ProximitytoHolefromFringe",2011
50,NA,"Chris Kirk",87,NA,241.75,82,99,"ProximitytoHolefromFringe",2011
50,NA,"Kevin Kisner",70,NA,178.833,61,142,"ProximitytoHolefromFringe",2011
50,NA,"Troy Matteson",91,NA,276.583,96,132,"ProximitytoHolefromFringe",2011
50,NA,"Bryce Molder",82,NA,215.5,73,15,"ProximitytoHolefromFringe",2011
50,NA,"Kevin Na",84,NA,243.167,83,9,"ProximitytoHolefromFringe",2011
50,NA,"Adam Scott",60,NA,123.5,42,62,"ProximitytoHolefromFringe",2011
50,NA,"John Senden",94,NA,255.25,87,145,"ProximitytoHolefromFringe",2011
50,NA,"Brendan Steele",89,NA,251.167,87,149,"ProximitytoHolefromFringe",2011
50,NA,"David Toms",78,NA,129.583,45,25,"ProximitytoHolefromFringe",2011
68,NA,"Ben Crane",76,NA,147.917,50,23,"ProximitytoHolefromFringe",2011
68,NA,"Joe Durant",71,NA,166.583,55,59,"ProximitytoHolefromFringe",2011
68,NA,"JJ Henry",96,NA,249.167,83,126,"ProximitytoHolefromFringe",2011
68,NA,"Charles Howell III",108,NA,256.333,85,5,"ProximitytoHolefromFringe",2011
68,NA,"Robert Karlsson",61,NA,169.417,56,40,"ProximitytoHolefromFringe",2011
68,NA,"George McNeill",69,NA,153.333,51,124,"ProximitytoHolefromFringe",2011
68,NA,"Rod Pampling",72,NA,183.417,61,10,"ProximitytoHolefromFringe",2011
68,NA,"John Rollins",85,NA,204.5,68,123,"ProximitytoHolefromFringe",2011
68,NA,"Kevin Streelman",90,NA,227.583,76,37,"ProximitytoHolefromFringe",2011
68,NA,"Vaughn Taylor",89,NA,325.5,108,72,"ProximitytoHolefromFringe",2011
68,NA,"Marc Turnesa",54,NA,143.5,48,171,"ProximitytoHolefromFringe",2011
68,NA,"Jhonattan Vegas",84,NA,244,82,148,"ProximitytoHolefromFringe",2011
68,NA,"Gary Woodland",93,NA,175.75,58,86,"ProximitytoHolefromFringe",2011
81,NA,"Kris Blanks",92,NA,302.833,98,94,"ProximitytoHolefromFringe",2011
81,NA,"Hunter Haas",96,NA,259.417,85,48,"ProximitytoHolefromFringe",2011
81,NA,"JP Hayes",56,NA,164.667,54,80,"ProximitytoHolefromFringe",2011
81,NA,"Jim Herman",69,NA,178.417,58,118,"ProximitytoHolefromFringe",2011
81,NA,"Colt Knost",80,NA,274.25,90,135,"ProximitytoHolefromFringe",2011
81,NA,"Matt Kuchar",94,NA,245.5,80,13,"ProximitytoHolefromFringe",2011
81,NA,"Marc Leishman",87,NA,255.5,83,71,"ProximitytoHolefromFringe",2011
81,NA,"DA Points",89,NA,246.75,80,77,"ProximitytoHolefromFringe",2011
81,NA,"Nate Smith",66,NA,180.917,59,90,"ProximitytoHolefromFringe",2011
81,NA,"Bubba Watson",85,NA,181.917,59,184,"ProximitytoHolefromFringe",2011
81,NA,"Garrett Willis",71,NA,234.083,75,88,"ProximitytoHolefromFringe",2011
92,NA,"Jason Bohn",74,NA,246,77,83,"ProximitytoHolefromFringe",2011
92,NA,"Steven Bowditch",86,NA,295.083,93,175,"ProximitytoHolefromFringe",2011
92,NA,"Keegan Bradley",91,NA,213.917,67,125,"ProximitytoHolefromFringe",2011
92,NA,"Chad Campbell",99,NA,242.5,77,102,"ProximitytoHolefromFringe",2011
92,NA,"Brian Davis",105,NA,295.333,94,62,"ProximitytoHolefromFringe",2011
92,NA,"Rickie Fowler",84,NA,221.167,69,139,"ProximitytoHolefromFringe",2011
92,NA,"Tim Herron",85,NA,263.667,84,60,"ProximitytoHolefromFringe",2011
92,NA,"JB Holmes",57,NA,161.083,51,158,"ProximitytoHolefromFringe",2011
92,NA,"Freddie Jacobson",92,NA,261.083,83,34,"ProximitytoHolefromFringe",2011
92,NA,"Anthony Kim",72,NA,206.5,66,75,"ProximitytoHolefromFringe",2011
92,NA,"Martin Laird",77,NA,216.75,69,60,"ProximitytoHolefromFringe",2011
92,NA,"Scott McCarron",65,NA,191.667,60,36,"ProximitytoHolefromFringe",2011
92,NA,"Ian Poulter",52,NA,127.333,40,122,"ProximitytoHolefromFringe",2011
92,NA,"Rory Sabbatini",85,NA,226.667,71,84,"ProximitytoHolefromFringe",2011
92,NA,"Heath Slocum",89,NA,199.333,63,149,"ProximitytoHolefromFringe",2011
92,NA,"Jimmy Walker",79,NA,275.167,86,54,"ProximitytoHolefromFringe",2011
108,NA,"Woody Austin",59,NA,200.25,61,5,"ProximitytoHolefromFringe",2011
108,NA,"Ricky Barnes",78,NA,206.417,63,117,"ProximitytoHolefromFringe",2011
108,NA,"Robert Garrigus",83,NA,292.917,91,164,"ProximitytoHolefromFringe",2011
108,NA,"Bobby Gates",82,NA,201.333,62,180,"ProximitytoHolefromFringe",2011
108,NA,"Kent Jones",76,NA,209.667,65,151,"ProximitytoHolefromFringe",2011
108,NA,"Billy Mayfair",94,NA,306.083,95,27,"ProximitytoHolefromFringe",2011
108,NA,"Graeme McDowell",50,NA,129.75,40,160,"ProximitytoHolefromFringe",2011
108,NA,"Phil Mickelson",79,NA,202.667,63,17,"ProximitytoHolefromFringe",2011
108,NA,"Carl Pettersson",95,NA,308.083,96,72,"ProximitytoHolefromFringe",2011
108,NA,"Scott Piercy",78,NA,220.25,68,100,"ProximitytoHolefromFringe",2011
118,NA,"Cameron Beckman",71,NA,229,69,113,"ProximitytoHolefromFringe",2011
118,NA,"Michael Bradley",74,NA,251.333,75,179,"ProximitytoHolefromFringe",2011
118,NA,"Retief Goosen",50,NA,158.583,48,81,"ProximitytoHolefromFringe",2011
118,NA,"Scott Gutschewski",67,NA,205.75,61,115,"ProximitytoHolefromFringe",2011
118,NA,"Billy Horschel",75,NA,197.417,59,159,"ProximitytoHolefromFringe",2011
118,NA,"Matt Jones",71,NA,208.75,62,110,"ProximitytoHolefromFringe",2011
118,NA,"Ben Martin",74,NA,201.75,61,167,"ProximitytoHolefromFringe",2011
118,NA,"Charl Schwartzel",58,NA,158.333,47,50,"ProximitytoHolefromFringe",2011
118,NA,"Paul Stankowski",78,NA,281.667,84,56,"ProximitytoHolefromFringe",2011
118,NA,"Will Strickler",51,NA,223.25,67,154,"ProximitytoHolefromFringe",2011
128,NA,"Rich Beem",53,NA,188,55,168,"ProximitytoHolefromFringe",2011
128,NA,"Bill Haas",93,NA,203.917,60,79,"ProximitytoHolefromFringe",2011
128,NA,"Sung Kang",63,NA,210.833,61,115,"ProximitytoHolefromFringe",2011
128,NA,"Alexandre Rocha",65,NA,169,49,136,"ProximitytoHolefromFringe",2011
128,NA,"Bo Van Pelt",92,NA,279.583,81,68,"ProximitytoHolefromFringe",2011
133,NA,"Briny Baird",60,NA,161.583,46,46,"ProximitytoHolefromFringe",2011
133,NA,"David Duval",67,NA,213.833,61,172,"ProximitytoHolefromFringe",2011
133,NA,"Trevor Immelman",84,NA,256.917,73,89,"ProximitytoHolefromFringe",2011
133,NA,"Jarrod Lyle",83,NA,292.083,83,104,"ProximitytoHolefromFringe",2011
133,NA,"John Merrick",71,NA,233.917,67,91,"ProximitytoHolefromFringe",2011
133,NA,"Shaun Micheel",77,NA,270.167,77,69,"ProximitytoHolefromFringe",2011
133,NA,"Jeff Overton",92,NA,327.083,93,147,"ProximitytoHolefromFringe",2011
133,NA,"Vijay Singh",79,NA,270.25,77,105,"ProximitytoHolefromFringe",2011
133,NA,"Scott Stallings",84,NA,306.5,87,165,"ProximitytoHolefromFringe",2011
133,NA,"Cameron Tringale",110,NA,365.167,104,97,"ProximitytoHolefromFringe",2011
143,NA,"Arjun Atwal",91,NA,317.667,89,131,"ProximitytoHolefromFringe",2011
143,NA,"Shane Bertsch",62,NA,181.583,51,57,"ProximitytoHolefromFringe",2011
143,NA,"Brendon de Jonge",105,NA,419.333,116,42,"ProximitytoHolefromFringe",2011
143,NA,"Jason Dufner",78,NA,216.333,60,70,"ProximitytoHolefromFringe",2011
143,NA,"Harrison Frazar",58,NA,193.667,54,157,"ProximitytoHolefromFringe",2011
143,NA,"Lucas Glover",74,NA,271.833,75,162,"ProximitytoHolefromFringe",2011
143,NA,"Paul Goydos",81,NA,263.083,74,130,"ProximitytoHolefromFringe",2011
143,NA,"David Hearn",88,NA,282.167,78,53,"ProximitytoHolefromFringe",2011
143,NA,"Brandt Jobe",100,NA,290.75,81,67,"ProximitytoHolefromFringe",2011
143,NA,"Steve Marino",76,NA,256.25,72,97,"ProximitytoHolefromFringe",2011
143,NA,"William McGirt",103,NA,358.417,101,51,"ProximitytoHolefromFringe",2011
143,NA,"Martin Piller",63,NA,188.25,52,172,"ProximitytoHolefromFringe",2011
143,NA,"Tag Ridings",87,NA,335.167,93,134,"ProximitytoHolefromFringe",2011
143,NA,"Justin Rose",79,NA,165.25,46,95,"ProximitytoHolefromFringe",2011
143,NA,"Charlie Wi",83,NA,267,75,64,"ProximitytoHolefromFringe",2011
158,NA,"Blake Adams",116,NA,437.583,120,33,"ProximitytoHolefromFringe",2011
158,NA,"Michael Connell",76,NA,306.083,83,30,"ProximitytoHolefromFringe",2011
