"TotalDrivingEfficiency_RANKTHISWEEK_2012","TotalDrivingEfficiency_RANKLASTWEEK_2012","TotalDrivingEfficiency_PLAYERNAME_2012","TotalDrivingEfficiency_ROUNDS_2012","TotalDrivingEfficiency_COMBINEDRANK_2012","TotalDrivingEfficiency_CARRYEFFICIENCYRANK_2012","TotalDrivingEfficiency_TOTALDISTEFFICRANK_2012","stat_name","year"
1,1,"Ben Crane",73,5,3,2,"TotalDrivingEfficiency",2012
2,2,"David Toms",60,6,5,1,"TotalDrivingEfficiency",2012
3,3,"John Daly",50,12,1,11,"TotalDrivingEfficiency",2012
4,4,"Keegan Bradley",90,17,12,5,"TotalDrivingEfficiency",2012
5,5,"Tommy Gainey",98,19,4,15,"TotalDrivingEfficiency",2012
6,6,"Bo Van Pelt",84,21,14,7,"TotalDrivingEfficiency",2012
7,7,"Jeff Maggert",83,22,18,4,"TotalDrivingEfficiency",2012
8,8,"Rickie Fowler",84,25,7,18,"TotalDrivingEfficiency",2012
9,9,"Vaughn Taylor",81,28,8,20,"TotalDrivingEfficiency",2012
10,10,"Ernie Els",80,30,16,14,"TotalDrivingEfficiency",2012
11,11,"Scott Piercy",95,31,16,15,"TotalDrivingEfficiency",2012
12,12,"Martin Laird",77,35,32,3,"TotalDrivingEfficiency",2012
12,12,"Hunter Mahan",88,35,26,9,"TotalDrivingEfficiency",2012
14,14,"Kyle Stanley",86,38,11,27,"TotalDrivingEfficiency",2012
15,15,"Harrison Frazar",56,42,9,33,"TotalDrivingEfficiency",2012
16,16,"Ryan Palmer",81,43,6,37,"TotalDrivingEfficiency",2012
17,17,"Brian Gay",91,50,42,8,"TotalDrivingEfficiency",2012
17,17,"Brendan Steele",77,50,28,22,"TotalDrivingEfficiency",2012
19,19,"Sean OHair",84,53,23,30,"TotalDrivingEfficiency",2012
20,20,"JB Holmes",90,56,2,54,"TotalDrivingEfficiency",2012
21,21,"Scott Stallings",78,59,20,39,"TotalDrivingEfficiency",2012
21,21,"Steve Stricker",73,59,48,11,"TotalDrivingEfficiency",2012
23,23,"Bubba Watson",68,60,37,23,"TotalDrivingEfficiency",2012
24,24,"Sung Kang",75,64,34,30,"TotalDrivingEfficiency",2012
