"ScramblingfromOtherLocations_RANKTHISWEEK_2006","ScramblingfromOtherLocations_RANKLASTWEEK_2006","ScramblingfromOtherLocations_PLAYERNAME_2006","ScramblingfromOtherLocations_ROUNDS_2006","ScramblingfromOtherLocations_Pct_2006","ScramblingfromOtherLocations_SUCCESSES_2006","ScramblingfromOtherLocations_ATTEMPTS_2006","stat_name","year"
1,1,"Thomas Levet",53,80.36,45,56,"ScramblingfromOtherLocations",2006
2,2,"Brett Quigley",109,68.59,107,156,"ScramblingfromOtherLocations",2006
3,3,"Steve Stricker",64,67.11,51,76,"ScramblingfromOtherLocations",2006
4,4,"Davis Love III",85,66.67,48,72,"ScramblingfromOtherLocations",2006
5,5,"Luke Donald",66,66.29,59,89,"ScramblingfromOtherLocations",2006
6,6,"Jim Furyk",89,65.66,65,99,"ScramblingfromOtherLocations",2006
7,7,"Tjaart van der Walt",60,64.89,61,94,"ScramblingfromOtherLocations",2006
8,8,"Zach Johnson",98,64.71,77,119,"ScramblingfromOtherLocations",2006
9,9,"Greg Owen",79,63.64,56,88,"ScramblingfromOtherLocations",2006
10,10,"Billy Mayfair",94,63.49,80,126,"ScramblingfromOtherLocations",2006
11,11,"Greg Kraft",79,63.21,67,106,"ScramblingfromOtherLocations",2006
12,12,"John Cook",67,62.89,61,97,"ScramblingfromOtherLocations",2006
13,13,"Ryuji Imada",105,62.42,98,157,"ScramblingfromOtherLocations",2006
14,14,"Ernie Els",69,62.12,41,66,"ScramblingfromOtherLocations",2006
14,14,"Larry Mize",53,62.12,41,66,"ScramblingfromOtherLocations",2006
16,16,"Richard Johnson",94,61.68,66,107,"ScramblingfromOtherLocations",2006
17,17,"Jonathan Byrd",66,61.45,51,83,"ScramblingfromOtherLocations",2006
18,18,"Stephen Leaney",84,61.42,78,127,"ScramblingfromOtherLocations",2006
19,19,"Ryan Moore",68,61.36,54,88,"ScramblingfromOtherLocations",2006
20,20,"Trevor Immelman",86,61.26,68,111,"ScramblingfromOtherLocations",2006
21,21,"Ben Curtis",86,61,61,100,"ScramblingfromOtherLocations",2006
22,22,"Vijay Singh",103,60.78,62,102,"ScramblingfromOtherLocations",2006
23,23,"Rich Beem",85,60.44,55,91,"ScramblingfromOtherLocations",2006
24,24,"David Branshaw",98,60.16,74,123,"ScramblingfromOtherLocations",2006
25,25,"Bubba Watson",83,59.81,64,107,"ScramblingfromOtherLocations",2006
26,26,"Jesper Parnevik",84,59.65,68,114,"ScramblingfromOtherLocations",2006
27,27,"Scott Verplank",88,59.6,59,99,"ScramblingfromOtherLocations",2006
28,28,"Todd Fischer",101,59.49,94,158,"ScramblingfromOtherLocations",2006
29,29,"DJ Trahan",92,59.48,69,116,"ScramblingfromOtherLocations",2006
30,30,"Mike Sposa",68,59.35,73,123,"ScramblingfromOtherLocations",2006
31,31,"Matt Hansen",68,59.3,51,86,"ScramblingfromOtherLocations",2006
32,32,"Steve Elkington",52,59.02,36,61,"ScramblingfromOtherLocations",2006
33,33,"Ron Whittaker",81,58.82,60,102,"ScramblingfromOtherLocations",2006
34,34,"Omar Uresti",61,58.75,47,80,"ScramblingfromOtherLocations",2006
35,35,"Paul Azinger",87,58.65,78,133,"ScramblingfromOtherLocations",2006
36,36,"Skip Kendall",72,58.33,49,84,"ScramblingfromOtherLocations",2006
37,37,"Brett Wetterich",82,58.18,64,110,"ScramblingfromOtherLocations",2006
38,38,"Frank Lickliter II",99,57.86,81,140,"ScramblingfromOtherLocations",2006
39,39,"Tim Petrovic",95,57.79,89,154,"ScramblingfromOtherLocations",2006
40,40,"Jonathan Kaye",95,57.69,60,104,"ScramblingfromOtherLocations",2006
41,41,"Kevin Sutherland",100,57.63,68,118,"ScramblingfromOtherLocations",2006
42,42,"Tiger Woods",55,57.5,23,40,"ScramblingfromOtherLocations",2006
43,43,"Steve Jones",83,57.46,77,134,"ScramblingfromOtherLocations",2006
44,44,"Corey Pavin",74,57.3,51,89,"ScramblingfromOtherLocations",2006
45,45,"Ben Crane",85,57.26,67,117,"ScramblingfromOtherLocations",2006
46,46,"Jeff Brehaut",100,57.25,75,131,"ScramblingfromOtherLocations",2006
47,47,"Stephen Ames",63,57.14,40,70,"ScramblingfromOtherLocations",2006
47,47,"Brian Gay",107,57.14,100,175,"ScramblingfromOtherLocations",2006
