"Par5EagleLeaders_RANKTHISWEEK_2006","Par5EagleLeaders_RANKLASTWEEK_2006","Par5EagleLeaders_PLAYERNAME_2006","Par5EagleLeaders_ROUNDS_2006","Par5EagleLeaders_TOTAL_2006","Par5EagleLeaders_TOTALPAR5HOLES_2006","Par5EagleLeaders_TOTALHOLEOUTS_2006","stat_name","year"
1,1,"JB Holmes",81,18,257,1,"Par5EagleLeaders",2006
2,2,"Ted Purdy",103,13,357,2,"Par5EagleLeaders",2006
3,3,"Daniel Chopra",110,12,381,2,"Par5EagleLeaders",2006
3,3,"Jason Gore",86,12,295,2,"Par5EagleLeaders",2006
3,3,"Will Ma Kenzie",91,12,303,1,"Par5EagleLeaders",2006
3,3,"John Rollins",93,12,320,3,"Par5EagleLeaders",2006
3,3,"Vijay Singh",103,12,333,2,"Par5EagleLeaders",2006
8,8,"Charley Hoffman",100,11,336,2,"Par5EagleLeaders",2006
8,8,"Sean OHair",100,11,336,1,"Par5EagleLeaders",2006
8,8,"Tom Pernice Jr",108,11,335,3,"Par5EagleLeaders",2006
8,8,"Kevin Sutherland",100,11,331,3,"Par5EagleLeaders",2006
8,8,"Charles Warren",93,11,305,3,"Par5EagleLeaders",2006
13,13,"Robert Allenby",79,10,259,1,"Par5EagleLeaders",2006
13,13,"Steve Flesch",119,10,387,2,"Par5EagleLeaders",2006
13,13,"John Huston",74,10,243,4,"Par5EagleLeaders",2006
13,13,"Daisuke Maruyama",83,10,270,4,"Par5EagleLeaders",2006
13,13,"Troy Matteson",101,10,345,2,"Par5EagleLeaders",2006
13,13,"Billy Mayfair",94,10,312,2,"Par5EagleLeaders",2006
13,13,"Jesper Parnevik",84,10,295,2,"Par5EagleLeaders",2006
13,13,"Camilo Villegas",95,10,305,1,"Par5EagleLeaders",2006
13,13,"Bubba Watson",83,10,276,1,"Par5EagleLeaders",2006
13,13,"Tiger Woods",55,10,182,NA,"Par5EagleLeaders",2006
23,23,"Stephen Ames",63,9,219,1,"Par5EagleLeaders",2006
23,23,"Arjun Atwal",97,9,321,3,"Par5EagleLeaders",2006
23,23,"Craig Barlow",77,9,257,1,"Par5EagleLeaders",2006
23,23,"David Branshaw",98,9,344,3,"Par5EagleLeaders",2006
23,23,"Kris Cox",83,9,273,1,"Par5EagleLeaders",2006
23,23,"Joe Durant",101,9,351,2,"Par5EagleLeaders",2006
23,23,"Carlos Franco",86,9,298,1,"Par5EagleLeaders",2006
23,23,"Harrison Frazar",95,9,313,1,"Par5EagleLeaders",2006
23,23,"Lucas Glover",105,9,349,2,"Par5EagleLeaders",2006
23,23,"Bill Haas",99,9,329,3,"Par5EagleLeaders",2006
23,23,"Kent Jones",103,9,341,3,"Par5EagleLeaders",2006
23,23,"Jerry Kelly",100,9,346,2,"Par5EagleLeaders",2006
23,23,"Steve Lowery",99,9,334,2,"Par5EagleLeaders",2006
23,23,"Phil Mickelson",74,9,250,NA,"Par5EagleLeaders",2006
23,23,"Bo Van Pelt",102,9,346,2,"Par5EagleLeaders",2006
38,38,"Eric Axley",91,8,302,1,"Par5EagleLeaders",2006
38,38,"Paul Azinger",87,8,290,NA,"Par5EagleLeaders",2006
38,38,"Jason Bohn",104,8,357,NA,"Par5EagleLeaders",2006
38,38,"Chad Campbell",91,8,284,2,"Par5EagleLeaders",2006
38,38,"Scott Gutschewski",53,8,179,3,"Par5EagleLeaders",2006
38,38,"Tim Herron",82,8,262,2,"Par5EagleLeaders",2006
38,38,"Ryuji Imada",105,8,342,2,"Par5EagleLeaders",2006
38,38,"Brandt Jobe",91,8,300,1,"Par5EagleLeaders",2006
38,38,"Shaun Micheel",96,8,319,1,"Par5EagleLeaders",2006
38,38,"Arron Oberholser",82,8,245,2,"Par5EagleLeaders",2006
38,38,"Geoff Ogilvy",76,8,236,1,"Par5EagleLeaders",2006
38,38,"Jose Maria Olazabal",62,8,203,1,"Par5EagleLeaders",2006
38,38,"Adam Scott",70,8,212,1,"Par5EagleLeaders",2006
38,38,"Patrick Sheehan",104,8,337,NA,"Par5EagleLeaders",2006
38,38,"DJ Trahan",92,8,301,3,"Par5EagleLeaders",2006
38,38,"Brett Wetterich",82,8,279,NA,"Par5EagleLeaders",2006
38,38,"Dean Wilson",115,8,365,1,"Par5EagleLeaders",2006
55,55,"Michael Allen",84,7,295,NA,"Par5EagleLeaders",2006
55,55,"Woody Austin",107,7,356,NA,"Par5EagleLeaders",2006
55,55,"Aaron Baddeley",78,7,251,2,"Par5EagleLeaders",2006
55,55,"Henrik Bjornstad",97,7,316,NA,"Par5EagleLeaders",2006
55,55,"Bart Bryant",87,7,275,1,"Par5EagleLeaders",2006
55,55,"David Duval",71,7,226,1,"Par5EagleLeaders",2006
55,55,"Robert Garrigus",85,7,287,1,"Par5EagleLeaders",2006
55,55,"Retief Goosen",68,7,212,1,"Par5EagleLeaders",2006
55,55,"Mathias Gronberg",92,7,306,NA,"Par5EagleLeaders",2006
55,55,"JJ Henry",96,7,312,2,"Par5EagleLeaders",2006
55,55,"Charles Howell III",96,7,315,3,"Par5EagleLeaders",2006
55,55,"Trevor Immelman",86,7,274,NA,"Par5EagleLeaders",2006
55,55,"Bernhard Langer",77,7,253,NA,"Par5EagleLeaders",2006
55,55,"Justin Leonard",83,7,248,2,"Par5EagleLeaders",2006
55,55,"Frank Lickliter II",99,7,329,1,"Par5EagleLeaders",2006
55,55,"Davis Love III",85,7,268,1,"Par5EagleLeaders",2006
55,55,"David McKenzie",82,7,269,NA,"Par5EagleLeaders",2006
55,55,"Joe Ogilvie",95,7,305,NA,"Par5EagleLeaders",2006
55,55,"Carl Pettersson",95,7,305,NA,"Par5EagleLeaders",2006
55,55,"John Senden",96,7,320,NA,"Par5EagleLeaders",2006
55,55,"Chris Smith",67,7,229,3,"Par5EagleLeaders",2006
55,55,"Vaughn Taylor",88,7,292,3,"Par5EagleLeaders",2006
55,55,"Bob Tway",81,7,262,2,"Par5EagleLeaders",2006
55,55,"Nick Watney",97,7,335,1,"Par5EagleLeaders",2006
79,79,"Stuart Appleby",83,6,268,3,"Par5EagleLeaders",2006
79,79,"Alex Aragon",63,6,206,NA,"Par5EagleLeaders",2006
79,79,"Rich Beem",85,6,288,1,"Par5EagleLeaders",2006
79,79,"Shane Bertsch",104,6,350,3,"Par5EagleLeaders",2006
79,79,"Stewart Cink",93,6,268,NA,"Par5EagleLeaders",2006
79,79,"Fred Couples",52,6,166,2,"Par5EagleLeaders",2006
79,79,"Ben Crane",85,6,274,2,"Par5EagleLeaders",2006
79,79,"Bubba Dickerson",98,6,323,1,"Par5EagleLeaders",2006
79,79,"Luke Donald",66,6,205,3,"Par5EagleLeaders",2006
79,79,"James Driscoll",80,6,263,1,"Par5EagleLeaders",2006
79,79,"Ernie Els",69,6,212,1,"Par5EagleLeaders",2006
79,79,"Bob Estes",85,6,278,1,"Par5EagleLeaders",2006
79,79,"Mathew Goggin",72,6,235,NA,"Par5EagleLeaders",2006
79,79,"Nathan Green",108,6,343,2,"Par5EagleLeaders",2006
79,79,"Dudley Hart",83,6,262,NA,"Par5EagleLeaders",2006
79,79,"Zach Johnson",98,6,282,2,"Par5EagleLeaders",2006
79,79,"Rod Pampling",89,6,273,2,"Par5EagleLeaders",2006
79,79,"DA Points",82,6,269,NA,"Par5EagleLeaders",2006
79,79,"Brett Quigley",109,6,343,1,"Par5EagleLeaders",2006
79,79,"Wes Short Jr",96,6,314,NA,"Par5EagleLeaders",2006
79,79,"Joey Sindelar",90,6,312,NA,"Par5EagleLeaders",2006
79,79,"Heath Slocum",96,6,317,NA,"Par5EagleLeaders",2006
79,79,"Paul Stankowski",70,6,231,NA,"Par5EagleLeaders",2006
79,79,"Roger Tambellini",64,6,211,2,"Par5EagleLeaders",2006
79,79,"Nicholas Thompson",96,6,313,NA,"Par5EagleLeaders",2006
79,79,"David Toms",76,6,222,1,"Par5EagleLeaders",2006
79,79,"Vance Veazey",59,6,205,NA,"Par5EagleLeaders",2006
106,106,"Billy Andrade",78,5,251,2,"Par5EagleLeaders",2006
106,106,"Briny Baird",81,5,263,1,"Par5EagleLeaders",2006
106,106,"Brian Bateman",69,5,211,2,"Par5EagleLeaders",2006
106,106,"Jeff Brehaut",100,5,337,NA,"Par5EagleLeaders",2006
106,106,"Olin Browne",108,5,341,1,"Par5EagleLeaders",2006
106,106,"Jonathan Byrd",66,5,239,1,"Par5EagleLeaders",2006
106,106,"KJ Choi",93,5,296,1,"Par5EagleLeaders",2006
