"Puttingfrom510_RANKTHISWEEK_2012","Puttingfrom510_RANKLASTWEEK_2012","Puttingfrom510_PLAYERNAME_2012","Puttingfrom510_ROUNDS_2012","Puttingfrom510_Pct_2012","Puttingfrom510_ATTEMPTS_2012","Puttingfrom510_PUTTSMADE_2012","stat_name","year"
1,1,"Jonas Blixt",72,64.81,287,186,"Puttingfrom510",2012
2,2,"Brian Gay",91,64.47,318,205,"Puttingfrom510",2012
3,3,"Jimmy Walker",101,63.4,388,246,"Puttingfrom510",2012
4,4,"David Hearn",95,63.24,389,246,"Puttingfrom510",2012
5,5,"Luke Donald",63,63.1,187,118,"Puttingfrom510",2012
6,6,"Pat Perez",81,63.08,279,176,"Puttingfrom510",2012
7,7,"Bo Van Pelt",84,62.96,297,187,"Puttingfrom510",2012
8,8,"Carl Pettersson",92,62.5,320,200,"Puttingfrom510",2012
9,9,"Ted Potter Jr",77,62.13,272,169,"Puttingfrom510",2012
10,10,"Blake Adams",107,61.82,385,238,"Puttingfrom510",2012
11,11,"Aaron Baddeley",73,61.72,256,158,"Puttingfrom510",2012
12,12,"Padraig Harrington",67,61.62,198,122,"Puttingfrom510",2012
13,13,"Gavin Coles",72,61.51,252,155,"Puttingfrom510",2012
14,14,"David Mathis",83,61.41,298,183,"Puttingfrom510",2012
15,15,"Kevin Na",80,61.19,286,175,"Puttingfrom510",2012
16,16,"Derek Lamely",64,61.16,242,148,"Puttingfrom510",2012
17,17,"Greg Chalmers",88,61.13,319,195,"Puttingfrom510",2012
18,18,"Troy Matteson",100,61.09,329,201,"Puttingfrom510",2012
19,19,"Garth Mulroy",59,60.75,186,113,"Puttingfrom510",2012
20,20,"Brendan Steele",77,60.62,259,157,"Puttingfrom510",2012
21,21,"Kevin Streelman",89,60.61,297,180,"Puttingfrom510",2012
22,22,"Phil Mickelson",79,60.23,264,159,"Puttingfrom510",2012
22,22,"David Toms",60,60.23,176,106,"Puttingfrom510",2012
24,24,"John Huh",99,60.06,358,215,"Puttingfrom510",2012
25,25,"Chris Couch",61,60,210,126,"Puttingfrom510",2012
25,25,"James Driscoll",83,60,305,183,"Puttingfrom510",2012
25,25,"Zach Johnson",95,60,315,189,"Puttingfrom510",2012
25,25,"Dicky Pride",62,60,205,123,"Puttingfrom510",2012
29,29,"Scott Piercy",95,59.89,379,227,"Puttingfrom510",2012
30,30,"Tom Gillis",75,59.87,309,185,"Puttingfrom510",2012
31,31,"Steve Stricker",73,59.82,219,131,"Puttingfrom510",2012
32,32,"Chris Stroud",86,59.76,333,199,"Puttingfrom510",2012
33,33,"Jason Day",57,59.6,198,118,"Puttingfrom510",2012
34,34,"Ryan Moore",89,59.54,346,206,"Puttingfrom510",2012
35,35,"Bryce Molder",83,59.49,274,163,"Puttingfrom510",2012
36,36,"Daniel Chopra",55,59.34,182,108,"Puttingfrom510",2012
37,37,"Ben Curtis",62,59.28,194,115,"Puttingfrom510",2012
38,38,"Charl Schwartzel",56,59.2,174,103,"Puttingfrom510",2012
39,39,"Martin Flores",95,59.02,327,193,"Puttingfrom510",2012
40,40,"Ryan Palmer",81,58.92,314,185,"Puttingfrom510",2012
41,41,"Davis Love III",64,58.87,231,136,"Puttingfrom510",2012
42,42,"Brian Davis",91,58.82,391,230,"Puttingfrom510",2012
43,43,"Michael Thompson",80,58.77,308,181,"Puttingfrom510",2012
44,44,"Jeff Overton",101,58.71,402,236,"Puttingfrom510",2012
45,45,"Seung Yul Noh",105,58.7,339,199,"Puttingfrom510",2012
46,46,"Tommy Biershenk",74,58.66,254,149,"Puttingfrom510",2012
47,47,"Sangmoon Bae",81,58.65,237,139,"Puttingfrom510",2012
48,48,"Charlie Wi",86,58.63,307,180,"Puttingfrom510",2012
49,49,"Mathew Goggin",65,58.59,198,116,"Puttingfrom510",2012
50,50,"Henrik Stenson",51,58.58,169,99,"Puttingfrom510",2012
51,51,"Brandt Snedeker",81,58.57,280,164,"Puttingfrom510",2012
52,52,"Billy Hurley III",70,58.54,246,144,"Puttingfrom510",2012
53,53,"Geoff Ogilvy",73,58.33,228,133,"Puttingfrom510",2012
54,54,"John Rollins",81,58.31,319,186,"Puttingfrom510",2012
55,55,"Colt Knost",79,58.3,271,158,"Puttingfrom510",2012
56,56,"Johnson Wagner",88,58.28,338,197,"Puttingfrom510",2012
57,57,"Bill Haas",79,58.27,254,148,"Puttingfrom510",2012
58,58,"Gary Christian",91,58.26,345,201,"Puttingfrom510",2012
59,59,"Brendon Todd",78,58.03,274,159,"Puttingfrom510",2012
60,60,"Matt Kuchar",86,57.98,257,149,"Puttingfrom510",2012
61,61,"Kevin Kisner",69,57.89,228,132,"Puttingfrom510",2012
62,62,"Keegan Bradley",90,57.88,311,180,"Puttingfrom510",2012
63,63,"Bud Cauley",99,57.87,375,217,"Puttingfrom510",2012
64,64,"Rory McIlroy",60,57.86,159,92,"Puttingfrom510",2012
64,64,"George McNeill",85,57.86,318,184,"Puttingfrom510",2012
66,66,"Steve Wheatcroft",56,57.83,166,96,"Puttingfrom510",2012
67,67,"Stephen Ames",54,57.8,173,100,"Puttingfrom510",2012
