"DistancefromCenterofFairway_RANKTHISWEEK_2009","DistancefromCenterofFairway_RANKLASTWEEK_2009","DistancefromCenterofFairway_PLAYERNAME_2009","DistancefromCenterofFairway_EVENTS_2009","DistancefromCenterofFairway_AVG_2009","DistancefromCenterofFairway_TOTALDISTANCEFEET_2009","DistancefromCenterofFairway_TOTALSTROKES_2009","stat_name","year"
1,1,"YE Yang",23,NA,12896.167,579,"DistancefromCenterofFairway",2009
2,2,"Nicholas Thompson",31,NA,17548.833,758,"DistancefromCenterofFairway",2009
3,3,"Padraig Harrington",20,NA,8477.25,362,"DistancefromCenterofFairway",2009
4,4,"Ian Poulter",17,NA,8844.583,377,"DistancefromCenterofFairway",2009
5,5,"Rod Pampling",23,NA,13642.167,578,"DistancefromCenterofFairway",2009
5,5,"Kevin Streelman",29,NA,17249.75,732,"DistancefromCenterofFairway",2009
5,5,"Charles Warren",20,NA,10878.417,462,"DistancefromCenterofFairway",2009
8,8,"Jason Dufner",26,NA,17003.667,719,"DistancefromCenterofFairway",2009
8,8,"Paul Goydos",25,NA,14901.25,630,"DistancefromCenterofFairway",2009
8,8,"Rocco Mediate",22,NA,13620.917,575,"DistancefromCenterofFairway",2009
8,8,"Heath Slocum",30,NA,19922.917,842,"DistancefromCenterofFairway",2009
8,8,"David Toms",27,NA,18918.667,799,"DistancefromCenterofFairway",2009
13,13,"Phil Mickelson",18,NA,7916.333,333,"DistancefromCenterofFairway",2009
13,13,"Tiger Woods",17,NA,9990.917,421,"DistancefromCenterofFairway",2009
15,15,"Steve Marino",29,NA,17715,744,"DistancefromCenterofFairway",2009
15,15,"Vaughn Taylor",28,NA,17147.833,720,"DistancefromCenterofFairway",2009
17,17,"Sean OHair",23,NA,11451.417,479,"DistancefromCenterofFairway",2009
17,17,"John Rollins",27,NA,16748.5,701,"DistancefromCenterofFairway",2009
17,17,"John Senden",29,NA,19772.333,826,"DistancefromCenterofFairway",2009
20,20,"Fred Couples",16,NA,7716.667,322,"DistancefromCenterofFairway",2009
20,20,"Matt Jones",17,NA,8098.75,337,"DistancefromCenterofFairway",2009
20,20,"Jeff Maggert",28,NA,15999.417,666,"DistancefromCenterofFairway",2009
23,23,"Brian Davis",32,NA,19969.167,830,"DistancefromCenterofFairway",2009
23,23,"Sergio Garcia",17,NA,8795.667,365,"DistancefromCenterofFairway",2009
23,23,"Lucas Glover",26,NA,16882.417,702,"DistancefromCenterofFairway",2009
23,23,"Kevin Stadler",20,NA,11132.5,463,"DistancefromCenterofFairway",2009
27,27,"Kris Blanks",20,NA,10464.25,431,"DistancefromCenterofFairway",2009
27,27,"Justin Leonard",26,NA,17241.417,712,"DistancefromCenterofFairway",2009
27,27,"Rick Price",21,NA,9177.25,378,"DistancefromCenterofFairway",2009
27,27,"Brendon Todd",21,NA,9838.917,406,"DistancefromCenterofFairway",2009
27,27,"Brian Vranesh",20,NA,9063,374,"DistancefromCenterofFairway",2009
32,32,"Ben Curtis",18,NA,10090.75,415,"DistancefromCenterofFairway",2009
32,32,"James Nitties",27,NA,15655.5,643,"DistancefromCenterofFairway",2009
32,32,"Aron Price",27,NA,16472.917,676,"DistancefromCenterofFairway",2009
32,32,"Ted Purdy",30,NA,18829.5,775,"DistancefromCenterofFairway",2009
36,36,"Woody Austin",24,NA,16335.75,668,"DistancefromCenterofFairway",2009
36,36,"Ben Crane",27,NA,18198,746,"DistancefromCenterofFairway",2009
36,36,"Colt Knost",24,NA,13167.75,539,"DistancefromCenterofFairway",2009
36,36,"Geoff Ogilvy",20,NA,11529.167,472,"DistancefromCenterofFairway",2009
36,36,"Greg Owen",30,NA,18489.667,758,"DistancefromCenterofFairway",2009
36,36,"Justin Rose",22,NA,12396.667,507,"DistancefromCenterofFairway",2009
42,42,"Marc Leishman",28,NA,16541.667,676,"DistancefromCenterofFairway",2009
42,42,"David Mathis",27,NA,14370.167,587,"DistancefromCenterofFairway",2009
42,42,"Casey Wittenberg",25,NA,11286,461,"DistancefromCenterofFairway",2009
45,45,"Scott Sterling",16,NA,8660.333,352,"DistancefromCenterofFairway",2009
45,45,"Mike Weir",24,NA,14266,580,"DistancefromCenterofFairway",2009
47,47,"Zach Johnson",26,NA,19087.583,774,"DistancefromCenterofFairway",2009
47,47,"Jay Williamson",22,NA,13425.583,545,"DistancefromCenterofFairway",2009
49,49,"Bill Haas",29,NA,17243.083,696,"DistancefromCenterofFairway",2009
49,49,"Scott Piercy",28,NA,14258.5,577,"DistancefromCenterofFairway",2009
49,49,"DA Points",29,NA,19700.75,795,"DistancefromCenterofFairway",2009
52,52,"Tom Lehman",16,NA,8493.167,342,"DistancefromCenterofFairway",2009
52,52,"Michael Letzig",28,NA,17341.333,698,"DistancefromCenterofFairway",2009
52,52,"Darron Stiles",20,NA,10595,426,"DistancefromCenterofFairway",2009
55,55,"Jason Bohn",25,NA,19811,795,"DistancefromCenterofFairway",2009
55,55,"Jarrod Lyle",21,NA,10354.583,416,"DistancefromCenterofFairway",2009
55,55,"Chris Stroud",28,NA,16397.25,657,"DistancefromCenterofFairway",2009
58,58,"Rich Beem",26,NA,12688.25,508,"DistancefromCenterofFairway",2009
58,58,"Leif Olson",21,NA,8116.75,325,"DistancefromCenterofFairway",2009
58,58,"Vijay Singh",21,NA,10643.25,426,"DistancefromCenterofFairway",2009
58,58,"Peter Tomasulo",25,NA,10125,405,"DistancefromCenterofFairway",2009
62,62,"Stewart Cink",22,NA,11972.167,477,"DistancefromCenterofFairway",2009
62,62,"Jason Day",18,NA,10329.5,412,"DistancefromCenterofFairway",2009
62,62,"Joe Durant",20,NA,11946.167,476,"DistancefromCenterofFairway",2009
62,62,"Kevin Na",26,NA,17145.083,683,"DistancefromCenterofFairway",2009
62,62,"Scott Verplank",24,NA,19415.083,774,"DistancefromCenterofFairway",2009
62,62,"Nick Watney",24,NA,13130.583,523,"DistancefromCenterofFairway",2009
68,68,"Briny Baird",28,NA,16684.167,662,"DistancefromCenterofFairway",2009
68,68,"Matt Bettencourt",31,NA,17338.5,689,"DistancefromCenterofFairway",2009
68,68,"Peter Lonard",30,NA,17660.75,702,"DistancefromCenterofFairway",2009
68,68,"Billy Mayfair",28,NA,16431.75,654,"DistancefromCenterofFairway",2009
68,68,"Gary Woodland",18,NA,6439.667,256,"DistancefromCenterofFairway",2009
73,73,"Stuart Appleby",25,NA,13541.5,537,"DistancefromCenterofFairway",2009
73,73,"Chris DiMarco",29,NA,20048.5,795,"DistancefromCenterofFairway",2009
73,73,"Derek Fathauer",25,NA,9879.5,391,"DistancefromCenterofFairway",2009
73,73,"Bob Heintz",20,NA,11798.333,468,"DistancefromCenterofFairway",2009
73,73,"Pat Perez",22,NA,13519.75,535,"DistancefromCenterofFairway",2009
73,73,"Patrick Sheehan",15,NA,9703.167,384,"DistancefromCenterofFairway",2009
79,79,"Aaron Baddeley",23,NA,11430.917,451,"DistancefromCenterofFairway",2009
79,79,"Bart Bryant",17,NA,13151.083,519,"DistancefromCenterofFairway",2009
79,79,"Angel Cabrera",17,NA,6615.167,261,"DistancefromCenterofFairway",2009
79,79,"Brendon de Jonge",29,NA,16915.417,667,"DistancefromCenterofFairway",2009
79,79,"Retief Goosen",20,NA,11486.667,453,"DistancefromCenterofFairway",2009
79,79,"Nathan Green",30,NA,19372.083,765,"DistancefromCenterofFairway",2009
79,79,"Hunter Mahan",25,NA,16544.083,653,"DistancefromCenterofFairway",2009
79,79,"Jeff Quinney",26,NA,16514.083,651,"DistancefromCenterofFairway",2009
79,79,"Rory Sabbatini",25,NA,13205.25,521,"DistancefromCenterofFairway",2009
88,88,"Jim Furyk",23,NA,15976,629,"DistancefromCenterofFairway",2009
88,88,"Freddie Jacobson",25,NA,15139.5,596,"DistancefromCenterofFairway",2009
88,88,"Kent Jones",24,NA,14943.667,588,"DistancefromCenterofFairway",2009
91,91,"Jonathan Byrd",25,NA,17898.417,701,"DistancefromCenterofFairway",2009
91,91,"Mark Calcavecchia",23,NA,12826.583,503,"DistancefromCenterofFairway",2009
91,91,"Glen Day",26,NA,15551.417,610,"DistancefromCenterofFairway",2009
91,91,"Todd Hamilton",29,NA,14031.583,550,"DistancefromCenterofFairway",2009
91,91,"Tim Herron",27,NA,16228.917,637,"DistancefromCenterofFairway",2009
96,96,"Jason Gore",24,NA,14115.417,552,"DistancefromCenterofFairway",2009
96,96,"Spencer Levin",25,NA,14630.667,571,"DistancefromCenterofFairway",2009
96,96,"John Merrick",28,NA,14491.667,567,"DistancefromCenterofFairway",2009
96,96,"Bryce Molder",21,NA,12801.917,500,"DistancefromCenterofFairway",2009
96,96,"Joe Ogilvie",29,NA,15353.75,601,"DistancefromCenterofFairway",2009
96,96,"Webb Simpson",30,NA,18328.833,717,"DistancefromCenterofFairway",2009
96,96,"Charlie Wi",28,NA,18427.667,720,"DistancefromCenterofFairway",2009
103,103,"Robert Allenby",21,NA,13176.5,514,"DistancefromCenterofFairway",2009
103,103,"Robert Garrigus",25,NA,14230.167,555,"DistancefromCenterofFairway",2009
103,103,"Anthony Kim",22,NA,11030.167,430,"DistancefromCenterofFairway",2009
103,103,"Scott McCarron",27,NA,20683.333,806,"DistancefromCenterofFairway",2009
103,103,"George McNeill",26,NA,16085.333,627,"DistancefromCenterofFairway",2009
103,103,"Boo Weekley",22,NA,15637.083,610,"DistancefromCenterofFairway",2009
109,109,"Jeff Klauk",29,NA,22032.5,855,"DistancefromCenterofFairway",2009
109,109,"Tom Pernice Jr",26,NA,16737,651,"DistancefromCenterofFairway",2009
109,109,"Steve Stricker",22,NA,14697.667,571,"DistancefromCenterofFairway",2009
112,112,"Mark Wilson",28,NA,21650.75,837,"DistancefromCenterofFairway",2009
113,113,"Steve Lowery",27,NA,17588.583,678,"DistancefromCenterofFairway",2009
113,113,"Kevin Sutherland",27,NA,16112.333,621,"DistancefromCenterofFairway",2009
113,113,"Kirk Triplett",20,NA,14062.583,543,"DistancefromCenterofFairway",2009
116,116,"Cliff Kresge",28,NA,15487.25,596,"DistancefromCenterofFairway",2009
116,116,"Nick OHern",27,NA,20971.917,807,"DistancefromCenterofFairway",2009
116,116,"Chez Reavie",27,NA,17711.083,681,"DistancefromCenterofFairway",2009
116,116,"Matt Weibring",22,NA,12828.417,493,"DistancefromCenterofFairway",2009
120,120,"Tommy Armour III",19,NA,12486.583,478,"DistancefromCenterofFairway",2009
120,120,"Bob Estes",23,NA,16804.667,644,"DistancefromCenterofFairway",2009
120,120,"Harrison Frazar",28,NA,15863.75,609,"DistancefromCenterofFairway",2009
120,120,"Charles Howell III",29,NA,17712.667,679,"DistancefromCenterofFairway",2009
120,120,"Brett Quigley",28,NA,15842.25,608,"DistancefromCenterofFairway",2009
125,125,"Greg Chalmers",26,NA,16212.5,620,"DistancefromCenterofFairway",2009
125,125,"Troy Matteson",30,NA,18894.25,723,"DistancefromCenterofFairway",2009
127,127,"Ricky Barnes",23,NA,10680.167,407,"DistancefromCenterofFairway",2009
127,127,"Luke Donald",21,NA,13669.833,520,"DistancefromCenterofFairway",2009
127,127,"Jerry Kelly",26,NA,17989,685,"DistancefromCenterofFairway",2009
130,130,"Brad Adamonis",25,NA,12333.917,469,"DistancefromCenterofFairway",2009
130,130,"Bo Van Pelt",30,NA,18800.917,713,"DistancefromCenterofFairway",2009
132,132,"Martin Laird",24,NA,13962.417,529,"DistancefromCenterofFairway",2009
132,132,"John Mallinger",27,NA,17502,663,"DistancefromCenterofFairway",2009
132,132,"Camilo Villegas",21,NA,12638.083,478,"DistancefromCenterofFairway",2009
132,132,"Dean Wilson",29,NA,16353.167,620,"DistancefromCenterofFairway",2009
136,136,"Eric Axley",30,NA,10837.167,409,"DistancefromCenterofFairway",2009
136,136,"Chad Campbell",26,NA,16027.833,604,"DistancefromCenterofFairway",2009
136,136,"Steve Flesch",27,NA,14357.833,541,"DistancefromCenterofFairway",2009
136,136,"Kenny Perry",24,NA,17514.833,661,"DistancefromCenterofFairway",2009
136,136,"Carl Pettersson",29,NA,15504.75,585,"DistancefromCenterofFairway",2009
