"OnePuttPercentageRound3_RANKTHISWEEK_2015","OnePuttPercentageRound3_RANKLASTWEEK_2015","OnePuttPercentageRound3_PLAYERNAME_2015","OnePuttPercentageRound3__2015","OnePuttPercentageRound3_Pct_2015","OnePuttPercentageRound3_OF1PUTTS_2015","OnePuttPercentageRound3_OFHOLES_2015","stat_name","year"
1,1,"Brian Davis",NA,49.6,125,252,"OnePuttPercentageRound3",2015
2,2,"Heath Slocum",NA,49.07,53,108,"OnePuttPercentageRound3",2015
3,3,"Andrew Putnam",NA,47.98,95,198,"OnePuttPercentageRound3",2015
4,4,"Scott Brown",NA,47.37,162,342,"OnePuttPercentageRound3",2015
5,5,"Matt Jones",NA,46.49,159,342,"OnePuttPercentageRound3",2015
6,6,"Rickie Fowler",NA,45.83,132,288,"OnePuttPercentageRound3",2015
6,6,"Roger Sloan",NA,45.83,66,144,"OnePuttPercentageRound3",2015
8,8,"Brandt Snedeker",NA,45.45,180,396,"OnePuttPercentageRound3",2015
9,9,"Jonathan Randolph",NA,45.3,106,234,"OnePuttPercentageRound3",2015
10,10,"Patrick Reed",NA,45.14,195,432,"OnePuttPercentageRound3",2015
11,11,"Danny Lee",NA,45.11,203,450,"OnePuttPercentageRound3",2015
12,12,"Greg Chalmers",NA,44.95,89,198,"OnePuttPercentageRound3",2015
13,13,"Stewart Cink",NA,44.79,129,288,"OnePuttPercentageRound3",2015
13,13,"Fabian Gomez",NA,44.79,129,288,"OnePuttPercentageRound3",2015
13,13,"Rory Sabbatini",NA,44.79,129,288,"OnePuttPercentageRound3",2015
13,13,"Camilo Villegas",NA,44.79,129,288,"OnePuttPercentageRound3",2015
17,17,"Matt Kuchar",NA,44.44,184,414,"OnePuttPercentageRound3",2015
17,17,"Jordan Spieth",NA,44.44,160,360,"OnePuttPercentageRound3",2015
19,19,"Scott Piercy",NA,44.14,143,324,"OnePuttPercentageRound3",2015
20,20,"Chad Collins",NA,44.1,127,288,"OnePuttPercentageRound3",2015
20,20,"Erik Compton",NA,44.1,127,288,"OnePuttPercentageRound3",2015
20,20,"Colt Knost",NA,44.1,127,288,"OnePuttPercentageRound3",2015
20,20,"Phil Mickelson",NA,44.1,127,288,"OnePuttPercentageRound3",2015
24,24,"Max Homa",NA,43.98,95,216,"OnePuttPercentageRound3",2015
25,25,"Chesson Hadley",NA,43.92,166,378,"OnePuttPercentageRound3",2015
26,26,"Andres Romero",NA,43.89,79,180,"OnePuttPercentageRound3",2015
26,26,"Tim Wilkinson",NA,43.89,79,180,"OnePuttPercentageRound3",2015
28,28,"Eric Axley",NA,43.75,63,144,"OnePuttPercentageRound3",2015
29,29,"Ricky Barnes",NA,43.65,110,252,"OnePuttPercentageRound3",2015
30,30,"Blayne Barber",NA,43.59,102,234,"OnePuttPercentageRound3",2015
31,31,"Ryan Palmer",NA,43.52,141,324,"OnePuttPercentageRound3",2015
32,32,"Jerry Kelly",NA,43.4,125,288,"OnePuttPercentageRound3",2015
33,33,"Aaron Baddeley",NA,43.16,101,234,"OnePuttPercentageRound3",2015
34,34,"David Lingmerth",NA,43.14,132,306,"OnePuttPercentageRound3",2015
35,35,"Jonathan Byrd",NA,43.06,93,216,"OnePuttPercentageRound3",2015
35,35,"Luke Guthrie",NA,43.06,124,288,"OnePuttPercentageRound3",2015
35,35,"George McNeill",NA,43.06,155,360,"OnePuttPercentageRound3",2015
38,38,"DA Points",NA,42.93,85,198,"OnePuttPercentageRound3",2015
39,39,"Jon Curran",NA,42.86,108,252,"OnePuttPercentageRound3",2015
40,40,"KJ Choi",NA,42.74,100,234,"OnePuttPercentageRound3",2015
41,41,"Jamie Donaldson",NA,42.59,69,162,"OnePuttPercentageRound3",2015
41,41,"Justin Leonard",NA,42.59,69,162,"OnePuttPercentageRound3",2015
43,43,"Troy Merritt",NA,42.48,130,306,"OnePuttPercentageRound3",2015
44,44,"David Hearn",NA,42.4,145,342,"OnePuttPercentageRound3",2015
44,44,"Bryce Molder",NA,42.4,145,342,"OnePuttPercentageRound3",2015
46,46,"Jason Bohn",NA,42.33,160,378,"OnePuttPercentageRound3",2015
46,46,"Brendon Todd",NA,42.33,160,378,"OnePuttPercentageRound3",2015
48,48,"Marc Leishman",NA,42.31,99,234,"OnePuttPercentageRound3",2015
49,49,"Kevin Streelman",NA,42.22,152,360,"OnePuttPercentageRound3",2015
50,50,"Pat Perez",NA,42.17,167,396,"OnePuttPercentageRound3",2015
50,50,"Carl Pettersson",NA,42.17,167,396,"OnePuttPercentageRound3",2015
52,52,"Robert Allenby",NA,42.06,53,126,"OnePuttPercentageRound3",2015
52,52,"Justin Rose",NA,42.06,106,252,"OnePuttPercentageRound3",2015
54,54,"Scott Langley",NA,41.94,151,360,"OnePuttPercentageRound3",2015
55,55,"Nicholas Thompson",NA,41.88,98,234,"OnePuttPercentageRound3",2015
56,56,"JB Holmes",NA,41.81,143,342,"OnePuttPercentageRound3",2015
57,57,"Zac Blair",NA,41.8,158,378,"OnePuttPercentageRound3",2015
58,58,"Justin Thomas",NA,41.79,173,414,"OnePuttPercentageRound3",2015
59,59,"Steven Alker",NA,41.67,75,180,"OnePuttPercentageRound3",2015
59,59,"Sergio Garcia",NA,41.67,105,252,"OnePuttPercentageRound3",2015
59,59,"Hideki Matsuyama",NA,41.67,165,396,"OnePuttPercentageRound3",2015
59,59,"Louis Oosthuizen",NA,41.67,105,252,"OnePuttPercentageRound3",2015
59,59,"Andrew Svoboda",NA,41.67,75,180,"OnePuttPercentageRound3",2015
59,59,"David Toms",NA,41.67,75,180,"OnePuttPercentageRound3",2015
59,59,"Johnson Wagner",NA,41.67,90,216,"OnePuttPercentageRound3",2015
66,66,"Kevin Na",NA,41.55,172,414,"OnePuttPercentageRound3",2015
67,67,"Chris Kirk",NA,41.5,127,306,"OnePuttPercentageRound3",2015
68,68,"Jason Gore",NA,41.45,97,234,"OnePuttPercentageRound3",2015
69,69,"Kevin Kisner",NA,41.44,179,432,"OnePuttPercentageRound3",2015
70,70,"John Huh",NA,41.41,164,396,"OnePuttPercentageRound3",2015
71,71,"Ryan Moore",NA,41.32,119,288,"OnePuttPercentageRound3",2015
72,72,"Andres Gonzales",NA,41.18,126,306,"OnePuttPercentageRound3",2015
72,72,"Jeff Overton",NA,41.18,126,306,"OnePuttPercentageRound3",2015
74,74,"Sangmoon Bae",NA,41.11,148,360,"OnePuttPercentageRound3",2015
74,74,"Carlos Ortiz",NA,41.11,148,360,"OnePuttPercentageRound3",2015
76,76,"Shawn Stefani",NA,41.01,155,378,"OnePuttPercentageRound3",2015
77,77,"Steve Wheatcroft",NA,40.97,118,288,"OnePuttPercentageRound3",2015
78,78,"Jason Day",NA,40.85,125,306,"OnePuttPercentageRound3",2015
79,79,"Matt Every",NA,40.74,88,216,"OnePuttPercentageRound3",2015
79,79,"Ian Poulter",NA,40.74,110,270,"OnePuttPercentageRound3",2015
79,79,"Jhonattan Vegas",NA,40.74,132,324,"OnePuttPercentageRound3",2015
82,82,"Hunter Mahan",NA,40.64,139,342,"OnePuttPercentageRound3",2015
83,83,"Billy Hurley III",NA,40.6,95,234,"OnePuttPercentageRound3",2015
84,84,"Jason Kokrak",NA,40.52,124,306,"OnePuttPercentageRound3",2015
85,85,"Brendon de Jonge",NA,40.4,160,396,"OnePuttPercentageRound3",2015
85,85,"Greg Owen",NA,40.4,80,198,"OnePuttPercentageRound3",2015
87,87,"Bubba Watson",NA,40.28,116,288,"OnePuttPercentageRound3",2015
88,88,"Billy Horschel",NA,40.21,152,378,"OnePuttPercentageRound3",2015
89,89,"Morgan Hoffmann",NA,40.2,123,306,"OnePuttPercentageRound3",2015
90,90,"Bo Van Pelt",NA,40.08,101,252,"OnePuttPercentageRound3",2015
91,91,"Hudson Swafford",NA,40.06,137,342,"OnePuttPercentageRound3",2015
92,92,"Chris Stroud",NA,40,108,270,"OnePuttPercentageRound3",2015
92,92,"Cameron Tringale",NA,40,144,360,"OnePuttPercentageRound3",2015
94,94,"Tony Finau",NA,39.9,158,396,"OnePuttPercentageRound3",2015
95,95,"Daniel Summerhays",NA,39.65,157,396,"OnePuttPercentageRound3",2015
96,96,"Robert Streb",NA,39.56,178,450,"OnePuttPercentageRound3",2015
97,97,"Kyle Reifers",NA,39.54,121,306,"OnePuttPercentageRound3",2015
98,98,"Ben Crane",NA,39.51,64,162,"OnePuttPercentageRound3",2015
98,98,"Nick Watney",NA,39.51,128,324,"OnePuttPercentageRound3",2015
100,100,"Jimmy Walker",NA,39.44,142,360,"OnePuttPercentageRound3",2015
101,101,"John Merrick",NA,39.35,85,216,"OnePuttPercentageRound3",2015
102,102,"Graham DeLaet",NA,39.32,92,234,"OnePuttPercentageRound3",2015
103,103,"Ken Duke",NA,39.24,113,288,"OnePuttPercentageRound3",2015
103,103,"Mark Hubbard",NA,39.24,113,288,"OnePuttPercentageRound3",2015
105,105,"Kevin Chappell",NA,39.22,120,306,"OnePuttPercentageRound3",2015
106,106,"Roberto Castro",NA,38.89,77,198,"OnePuttPercentageRound3",2015
106,106,"Oscar Fraustro",NA,38.89,56,144,"OnePuttPercentageRound3",2015
106,106,"Retief Goosen",NA,38.89,105,270,"OnePuttPercentageRound3",2015
109,109,"Brooks Koepka",NA,38.6,132,342,"OnePuttPercentageRound3",2015
110,110,"Daniel Berger",NA,38.58,125,324,"OnePuttPercentageRound3",2015
111,111,"Boo Weekley",NA,38.54,111,288,"OnePuttPercentageRound3",2015
111,111,"Mark Wilson",NA,38.54,111,288,"OnePuttPercentageRound3",2015
113,113,"SJ Park",NA,38.49,97,252,"OnePuttPercentageRound3",2015
114,114,"Derek Fathauer",NA,38.46,90,234,"OnePuttPercentageRound3",2015
115,115,"Dustin Johnson",NA,38.24,117,306,"OnePuttPercentageRound3",2015
116,116,"William McGirt",NA,38.16,158,414,"OnePuttPercentageRound3",2015
117,117,"Sam Saunders",NA,38.15,103,270,"OnePuttPercentageRound3",2015
118,118,"Steven Bowditch",NA,38.1,144,378,"OnePuttPercentageRound3",2015
119,119,"James Hahn",NA,38.01,130,342,"OnePuttPercentageRound3",2015
120,120,"Alex Cejka",NA,37.96,123,324,"OnePuttPercentageRound3",2015
121,121,"Sean OHair",NA,37.91,116,306,"OnePuttPercentageRound3",2015
122,122,"Charlie Beljan",NA,37.88,75,198,"OnePuttPercentageRound3",2015
123,123,"Tom Hoge",NA,37.85,109,288,"OnePuttPercentageRound3",2015
124,124,"Jim Furyk",NA,37.78,102,270,"OnePuttPercentageRound3",2015
124,124,"Lucas Glover",NA,37.78,102,270,"OnePuttPercentageRound3",2015
124,124,"Zach Johnson",NA,37.78,136,360,"OnePuttPercentageRound3",2015
124,124,"Martin Laird",NA,37.78,102,270,"OnePuttPercentageRound3",2015
128,128,"Keegan Bradley",NA,37.72,129,342,"OnePuttPercentageRound3",2015
129,129,"Adam Hadwin",NA,37.65,122,324,"OnePuttPercentageRound3",2015
130,130,"Seung Yul Noh",NA,37.61,88,234,"OnePuttPercentageRound3",2015
131,131,"Jason Dufner",NA,37.58,115,306,"OnePuttPercentageRound3",2015
131,131,"Martin Flores",NA,37.58,115,306,"OnePuttPercentageRound3",2015
133,133,"Charley Hoffman",NA,37.5,135,360,"OnePuttPercentageRound3",2015
134,134,"Brendan Steele",NA,37.43,128,342,"OnePuttPercentageRound3",2015
135,135,"Patrick Rodgers",NA,37.37,74,198,"OnePuttPercentageRound3",2015
136,136,"Whee Kim",NA,37.3,94,252,"OnePuttPercentageRound3",2015
137,137,"Geoff Ogilvy",NA,37.22,67,180,"OnePuttPercentageRound3",2015
138,138,"Harris English",NA,37.2,154,414,"OnePuttPercentageRound3",2015
139,139,"Scott Pinckney",NA,37.04,120,324,"OnePuttPercentageRound3",2015
139,139,"Michael Thompson",NA,37.04,100,270,"OnePuttPercentageRound3",2015
139,139,"Tyrone Van Aswegen",NA,37.04,60,162,"OnePuttPercentageRound3",2015
142,142,"Brian Stuard",NA,36.93,113,306,"OnePuttPercentageRound3",2015
143,143,"Russell Henley",NA,36.84,126,342,"OnePuttPercentageRound3",2015
143,143,"Spencer Levin",NA,36.84,126,342,"OnePuttPercentageRound3",2015
145,145,"Russell Knox",NA,36.77,139,378,"OnePuttPercentageRound3",2015
146,146,"Ryo Ishikawa",NA,36.73,119,324,"OnePuttPercentageRound3",2015
146,146,"Webb Simpson",NA,36.73,119,324,"OnePuttPercentageRound3",2015
148,148,"Bill Haas",NA,36.55,125,342,"OnePuttPercentageRound3",2015
149,149,"Vijay Singh",NA,36.46,105,288,"OnePuttPercentageRound3",2015
150,150,"Nick Taylor",NA,36.26,124,342,"OnePuttPercentageRound3",2015
151,151,"Cameron Percy",NA,36.11,91,252,"OnePuttPercentageRound3",2015
