"LaunchAngle_RANKTHISWEEK_2011","LaunchAngle_RANKLASTWEEK_2011","LaunchAngle_PLAYERNAME_2011","LaunchAngle_ROUNDS_2011","LaunchAngle_AVG_2011","LaunchAngle_TOTALVERTLAUNCHANGLE_2011","LaunchAngle_TOTALATTEMPTS_2011","LaunchAngle_LOWESTLAUNCHANGLE_2011","LaunchAngle_STEEPESTLAUNCHANGLE_2011","stat_name","year"
1,1,"Mark Wilson",89,13.9,1014.41,73,10.79,16.73,"LaunchAngle",2011
2,2,"Ryan Palmer",82,13.45,806.98,60,10.49,16.61,"LaunchAngle",2011
3,3,"David Hearn",88,13.34,880.13,66,9.12,19.84,"LaunchAngle",2011
4,4,"Aron Price",58,13.31,572.29,43,11.04,16.16,"LaunchAngle",2011
5,5,"Alex Cejka",59,13.26,570.04,43,9.66,17.32,"LaunchAngle",2011
6,6,"Matt McQuillan",59,13.22,475.81,36,8.96,19.59,"LaunchAngle",2011
7,7,"Heath Slocum",89,13.09,968.62,74,9.64,19.71,"LaunchAngle",2011
8,8,"Jerry Kelly",85,12.83,859.62,67,8.85,17,"LaunchAngle",2011
9,9,"Vaughn Taylor",89,12.75,931.03,73,9.34,16.41,"LaunchAngle",2011
10,10,"David Toms",78,12.74,713.71,56,9.34,15.42,"LaunchAngle",2011
11,11,"Vijay Singh",79,12.69,888.33,70,8.94,17.22,"LaunchAngle",2011
12,12,"Arjun Atwal",91,12.64,910.03,72,8.76,18.06,"LaunchAngle",2011
13,13,"Ernie Els",71,12.61,643.21,51,8.46,18.88,"LaunchAngle",2011
14,14,"Keegan Bradley",91,12.48,798.95,64,8.69,16.94,"LaunchAngle",2011
14,14,"Brian Davis",105,12.48,1073.59,86,9.29,16.37,"LaunchAngle",2011
16,16,"Ben Crane",76,12.41,732.08,59,9.45,17.93,"LaunchAngle",2011
17,17,"JB Holmes",57,12.38,495.19,40,8.87,16.07,"LaunchAngle",2011
18,18,"Joe Ogilvie",75,12.35,617.58,50,8.53,15.74,"LaunchAngle",2011
