"3PlusPuttsperRound_RANKTHISWEEK_2015","3PlusPuttsperRound_RANKLASTWEEK_2015","3PlusPuttsperRound_PLAYERNAME_2015","3PlusPuttsperRound_ROUNDS_2015","3PlusPuttsperRound_AVG_2015","3PlusPuttsperRound_TOTAL3PUTTS_2015","3PlusPuttsperRound_TOTALROUNDS_2015","stat_name","year"
1,1,"Charlie Beljan",76,0.08,6,72,"3PlusPuttsperRound",2015
2,2,"Lucas Glover",79,0.06,5,79,"3PlusPuttsperRound",2015
2,2,"Geoff Ogilvy",50,0.06,3,48,"3PlusPuttsperRound",2015
4,4,"Eric Axley",57,0.05,3,55,"3PlusPuttsperRound",2015
4,4,"Ernie Els",57,0.05,3,57,"3PlusPuttsperRound",2015
4,4,"Greg Owen",58,0.05,3,58,"3PlusPuttsperRound",2015
4,4,"Ian Poulter",68,0.05,3,65,"3PlusPuttsperRound",2015
4,4,"Andrew Putnam",68,0.05,3,64,"3PlusPuttsperRound",2015
9,9,"Derek Fathauer",81,0.04,3,77,"3PlusPuttsperRound",2015
9,9,"Chesson Hadley",101,0.04,4,101,"3PlusPuttsperRound",2015
11,11,"Stewart Cink",77,0.03,2,77,"3PlusPuttsperRound",2015
11,11,"Jim Furyk",71,0.03,2,64,"3PlusPuttsperRound",2015
11,11,"Charley Hoffman",97,0.03,3,94,"3PlusPuttsperRound",2015
11,11,"Danny Lee",120,0.03,4,120,"3PlusPuttsperRound",2015
11,11,"George McNeill",93,0.03,3,93,"3PlusPuttsperRound",2015
11,11,"Louis Oosthuizen",68,0.03,2,63,"3PlusPuttsperRound",2015
11,11,"Justin Rose",69,0.03,2,66,"3PlusPuttsperRound",2015
11,11,"Henrik Stenson",63,0.03,2,60,"3PlusPuttsperRound",2015
11,11,"Justin Thomas",106,0.03,3,106,"3PlusPuttsperRound",2015
20,20,"Zac Blair",108,0.02,2,104,"3PlusPuttsperRound",2015
20,20,"Brendon de Jonge",106,0.02,2,106,"3PlusPuttsperRound",2015
20,20,"Martin Flores",95,0.02,2,91,"3PlusPuttsperRound",2015
20,20,"Oscar Fraustro",58,0.02,1,54,"3PlusPuttsperRound",2015
20,20,"Andres Gonzales",90,0.02,2,86,"3PlusPuttsperRound",2015
20,20,"Padraig Harrington",60,0.02,1,60,"3PlusPuttsperRound",2015
20,20,"Hideki Matsuyama",95,0.02,2,91,"3PlusPuttsperRound",2015
20,20,"Seung Yul Noh",65,0.02,1,65,"3PlusPuttsperRound",2015
20,20,"Jim Renner",68,0.02,1,66,"3PlusPuttsperRound",2015
20,20,"Adam Scott",51,0.02,1,48,"3PlusPuttsperRound",2015
20,20,"Heath Slocum",57,0.02,1,53,"3PlusPuttsperRound",2015
20,20,"Scott Stallings",60,0.02,1,60,"3PlusPuttsperRound",2015
20,20,"Michael Thompson",83,0.02,2,81,"3PlusPuttsperRound",2015
20,20,"Cameron Tringale",96,0.02,2,96,"3PlusPuttsperRound",2015
20,20,"Nick Watney",91,0.02,2,91,"3PlusPuttsperRound",2015
20,20,"Mark Wilson",89,0.02,2,85,"3PlusPuttsperRound",2015
36,36,"Sangmoon Bae",98,0.01,1,98,"3PlusPuttsperRound",2015
36,36,"Blayne Barber",76,0.01,1,74,"3PlusPuttsperRound",2015
36,36,"Steven Bowditch",103,0.01,1,103,"3PlusPuttsperRound",2015
36,36,"Scott Brown",97,0.01,1,97,"3PlusPuttsperRound",2015
36,36,"Paul Casey",87,0.01,1,82,"3PlusPuttsperRound",2015
36,36,"Kevin Chappell",86,0.01,1,86,"3PlusPuttsperRound",2015
36,36,"Jon Curran",83,0.01,1,79,"3PlusPuttsperRound",2015
36,36,"Brian Davis",86,0.01,1,82,"3PlusPuttsperRound",2015
36,36,"Luke Donald",71,0.01,1,71,"3PlusPuttsperRound",2015
36,36,"Ken Duke",93,0.01,1,89,"3PlusPuttsperRound",2015
36,36,"Derek Ernst",75,0.01,1,71,"3PlusPuttsperRound",2015
36,36,"Matt Every",73,0.01,1,70,"3PlusPuttsperRound",2015
36,36,"Fabian Gomez",83,0.01,1,83,"3PlusPuttsperRound",2015
36,36,"Luke Guthrie",84,0.01,1,82,"3PlusPuttsperRound",2015
36,36,"Adam Hadwin",95,0.01,1,93,"3PlusPuttsperRound",2015
36,36,"James Hahn",94,0.01,1,94,"3PlusPuttsperRound",2015
36,36,"Brian Harman",90,0.01,1,90,"3PlusPuttsperRound",2015
36,36,"Russell Henley",87,0.01,1,84,"3PlusPuttsperRound",2015
36,36,"JB Holmes",89,0.01,1,85,"3PlusPuttsperRound",2015
36,36,"Max Homa",78,0.01,1,74,"3PlusPuttsperRound",2015
36,36,"Billy Horschel",99,0.01,1,96,"3PlusPuttsperRound",2015
36,36,"Dustin Johnson",75,0.01,1,72,"3PlusPuttsperRound",2015
36,36,"Jerry Kelly",79,0.01,1,79,"3PlusPuttsperRound",2015
36,36,"Kevin Kisner",104,0.01,1,104,"3PlusPuttsperRound",2015
