"DistancetoApex_RANKTHISWEEK_2012","DistancetoApex_RANKLASTWEEK_2012","DistancetoApex_PLAYERNAME_2012","DistancetoApex_ROUNDS_2012","DistancetoApex_AVG_2012","DistancetoApex_TOTALAPEXRANGE_2012","DistancetoApex_TOTALATTEMPTS_2012","DistancetoApex_LONGESTDISTTOAPEX_2012","DistancetoApex_SHORTESTDISTTOAPEX_2012","stat_name","year"
1,1,"Bubba Watson",68,212.4,10409.1,49,229.7,194.3,"DistancetoApex",2012
2,2,"Dustin Johnson",70,204.5,8178.2,40,219.3,181,"DistancetoApex",2012
3,3,"JB Holmes",90,204.3,14093.7,69,217.1,182.4,"DistancetoApex",2012
4,4,"Jhonattan Vegas",77,201.5,11282.3,56,220.6,169.1,"DistancetoApex",2012
5,5,"Henrik Stenson",51,201.1,2815.4,14,210.3,182.8,"DistancetoApex",2012
6,6,"Charlie Beljan",61,200.7,7224.7,36,225,115.5,"DistancetoApex",2012
7,7,"Kyle Stanley",86,198.7,10334.9,52,226.2,177.2,"DistancetoApex",2012
8,8,"Tiger Woods",69,198.4,7540.6,38,213.7,179,"DistancetoApex",2012
9,9,"Seung Yul Noh",105,198.3,14876,75,210.4,171.9,"DistancetoApex",2012
10,10,"Graham DeLaet",79,198,11485.5,58,213.9,166.5,"DistancetoApex",2012
11,11,"Robert Garrigus",89,197.5,12836.6,65,215.4,169.6,"DistancetoApex",2012
12,12,"Adam Scott",59,197.4,7897.2,40,211.1,170.9,"DistancetoApex",2012
13,13,"Rory McIlroy",60,197.3,7495.8,38,206.8,163.5,"DistancetoApex",2012
14,14,"Mark Anderson",75,197,8469.8,43,211.2,166.5,"DistancetoApex",2012
14,14,"Angel Cabrera",54,197,5517.2,28,205.3,185.9,"DistancetoApex",2012
14,14,"Nick Watney",97,197,13990.3,71,214.4,172.6,"DistancetoApex",2012
17,17,"Aaron Baddeley",73,196.8,9444.3,48,211.4,176.8,"DistancetoApex",2012
18,18,"Robert Karlsson",54,196.5,7269.8,37,210.9,174.4,"DistancetoApex",2012
18,18,"Scott Stallings",78,196.5,11396.6,58,212,169.5,"DistancetoApex",2012
20,20,"John Daly",50,196.3,5693.8,29,208.3,177.4,"DistancetoApex",2012
20,20,"Jason Day",57,196.3,8046.9,41,211.9,170.1,"DistancetoApex",2012
20,20,"Greg Owen",90,196.3,11188.7,57,211.9,157,"DistancetoApex",2012
23,23,"Gary Woodland",70,195.9,7834.7,40,212.3,162.7,"DistancetoApex",2012
24,24,"Chris Couch",61,195.6,6844.9,35,210.8,176.4,"DistancetoApex",2012
24,24,"Bobby Gates",87,195.6,11537.9,59,211.7,169.5,"DistancetoApex",2012
26,26,"Charles Howell III",98,195.4,12117,62,208.9,169.2,"DistancetoApex",2012
