"Total1PuttsInside5_RANKTHISWEEK_2008","Total1PuttsInside5_RANKLASTWEEK_2008","Total1PuttsInside5_PLAYERNAME_2008","Total1PuttsInside5_ROUNDS_2008","Total1PuttsInside5_TOTAL_2008","Total1PuttsInside5_TOTALFORALLDISTANCES_2008","Total1PuttsInside5_PCTOFALL1PUTTS_2008","stat_name","year"
1,1,"Tom Pernice Jr",104,383,719,53.3,"Total1PuttsInside5",2008
2,2,"Brian Davis",108,374,736,50.8,"Total1PuttsInside5",2008
2,2,"Ken Duke",116,374,770,48.6,"Total1PuttsInside5",2008
2,2,"Patrick Sheehan",124,374,758,49.3,"Total1PuttsInside5",2008
5,5,"Nathan Green",95,372,711,52.3,"Total1PuttsInside5",2008
6,6,"Eric Axley",113,363,736,49.3,"Total1PuttsInside5",2008
7,7,"Brian Gay",102,361,666,54.2,"Total1PuttsInside5",2008
8,8,"Frank Lickliter II",107,353,705,50.1,"Total1PuttsInside5",2008
8,8,"Kevin Na",97,353,682,51.8,"Total1PuttsInside5",2008
10,10,"Steve Marino",119,346,706,49,"Total1PuttsInside5",2008
11,11,"Mark Wilson",107,341,730,46.7,"Total1PuttsInside5",2008
12,12,"John Mallinger",95,339,648,52.3,"Total1PuttsInside5",2008
13,13,"Nicholas Thompson",113,337,675,49.9,"Total1PuttsInside5",2008
14,14,"Matt Jones",95,335,596,56.2,"Total1PuttsInside5",2008
15,15,"Bill Haas",99,331,614,53.9,"Total1PuttsInside5",2008
15,15,"Carl Pettersson",110,331,713,46.4,"Total1PuttsInside5",2008
17,17,"Joe Ogilvie",100,330,651,50.7,"Total1PuttsInside5",2008
17,17,"Kevin Streelman",114,330,646,51.1,"Total1PuttsInside5",2008
17,17,"Vaughn Taylor",103,330,686,48.1,"Total1PuttsInside5",2008
20,20,"Charlie Wi",97,327,611,53.5,"Total1PuttsInside5",2008
21,21,"Briny Baird",113,326,622,52.4,"Total1PuttsInside5",2008
22,22,"Tim Herron",97,325,641,50.7,"Total1PuttsInside5",2008
23,23,"Billy Mayfair",103,324,614,52.8,"Total1PuttsInside5",2008
24,24,"Shane Bertsch",96,322,642,50.2,"Total1PuttsInside5",2008
25,25,"Jeff Overton",103,320,639,50.1,"Total1PuttsInside5",2008
26,26,"Chez Reavie",102,313,614,51,"Total1PuttsInside5",2008
27,27,"Dean Wilson",109,312,669,46.6,"Total1PuttsInside5",2008
28,28,"Charles Howell III",101,310,572,54.2,"Total1PuttsInside5",2008
