"OfficialWorldGolfRanking_RANKTHISWEEK_2007","OfficialWorldGolfRanking_RANKLASTWEEK_2007","OfficialWorldGolfRanking_PLAYERNAME_2007","OfficialWorldGolfRanking_EVENTS_2007","OfficialWorldGolfRanking_AVGPOINTS_2007","OfficialWorldGolfRanking_TOTALPOINTS_2007","OfficialWorldGolfRanking_POINTSLOST_2007","OfficialWorldGolfRanking_POINTSGAINED_2007","OfficialWorldGolfRanking_COUNTRY_2007","stat_name","year"
1,1,"Tiger Woods",40,20.4,815.82,-724.96,689.6,NA,"OfficialWorldGolfRanking",2007
2,2,"Phil Mickelson",44,9.04,397.55,-298.29,410.7,NA,"OfficialWorldGolfRanking",2007
3,3,"Jim Furyk",50,6.86,343.04,-375.34,235.36,NA,"OfficialWorldGolfRanking",2007
4,4,"Steve Stricker",40,6.65,265.9,-90.08,272.04,NA,"OfficialWorldGolfRanking",2007
5,5,"Ernie Els",59,6.6,389.59,-249.19,351.06,NA,"OfficialWorldGolfRanking",2007
6,7,"Adam Scott",49,6.05,296.33,-284.9,215.48,NA,"OfficialWorldGolfRanking",2007
7,6,"Justin Rose",53,6.02,319.08,-125.79,301.55,NA,"OfficialWorldGolfRanking",2007
8,8,"Padraig Harrington",57,5.76,328.45,-233.63,252.8,NA,"OfficialWorldGolfRanking",2007
9,9,"KJ Choi",58,5.31,307.82,-170.74,297.82,NA,"OfficialWorldGolfRanking",2007
10,10,"Vijay Singh",61,5.28,321.94,-332.83,326.01,NA,"OfficialWorldGolfRanking",2007
11,11,"Rory Sabbatini",51,5.15,262.63,-151.57,284.28,NA,"OfficialWorldGolfRanking",2007
12,12,"Sergio Garcia",51,4.96,252.77,-229.08,232.85,NA,"OfficialWorldGolfRanking",2007
13,13,"Geoff Ogilvy",47,4.87,228.91,-235,194.72,NA,"OfficialWorldGolfRanking",2007
14,14,"Angel Cabrera",51,4.57,232.98,-138.71,216.59,NA,"OfficialWorldGolfRanking",2007
15,15,"Zach Johnson",50,4.33,216.39,-146.61,233.63,NA,"OfficialWorldGolfRanking",2007
16,16,"Henrik Stenson",54,4.23,228.65,-233.53,221.74,NA,"OfficialWorldGolfRanking",2007
17,17,"Luke Donald",51,4.12,210.1,-228.31,168.93,NA,"OfficialWorldGolfRanking",2007
18,18,"Aaron Baddeley",53,4.06,215.19,-103.35,231.13,NA,"OfficialWorldGolfRanking",2007
19,19,"Trevor Immelman",55,3.86,212.38,-193.62,156.99,NA,"OfficialWorldGolfRanking",2007
20,21,"Paul Casey",51,3.55,180.84,-179.39,150.45,NA,"OfficialWorldGolfRanking",2007
21,20,"Niclas Fasth",52,3.54,183.9,-119.09,179.58,NA,"OfficialWorldGolfRanking",2007
22,22,"Ian Poulter",60,3.46,207.79,-138.37,164.78,NA,"OfficialWorldGolfRanking",2007
23,24,"Lee Westwood",56,3.36,188.19,-104.53,162.49,NA,"OfficialWorldGolfRanking",2007
24,23,"Stewart Cink",52,3.34,173.48,-137.68,147.8,NA,"OfficialWorldGolfRanking",2007
25,25,"Scott Verplank",48,3.33,159.62,-122.54,168.17,NA,"OfficialWorldGolfRanking",2007
26,26,"Retief Goosen",62,3.24,201.14,-302.09,164.81,NA,"OfficialWorldGolfRanking",2007
27,28,"Toru Taniguchi",53,3.04,161.2,-72.36,135.94,NA,"OfficialWorldGolfRanking",2007
28,29,"Andres Romero",49,3.03,148.41,-55.58,144.09,NA,"OfficialWorldGolfRanking",2007
29,27,"Tim Clark",48,2.98,142.99,-147.62,119.8,NA,"OfficialWorldGolfRanking",2007
30,30,"Arron Oberholser",44,2.91,127.82,-97.54,113.86,NA,"OfficialWorldGolfRanking",2007
31,31,"Brett Wetterich",55,2.82,155.07,-119.46,129.43,NA,"OfficialWorldGolfRanking",2007
32,33,"Woody Austin",59,2.8,164.91,-70.64,163.42,NA,"OfficialWorldGolfRanking",2007
33,32,"Stephen Ames",44,2.79,122.75,-108.92,113.96,NA,"OfficialWorldGolfRanking",2007
34,34,"Mike Weir",50,2.75,137.34,-101.36,118.68,NA,"OfficialWorldGolfRanking",2007
35,42,"Stuart Appleby",56,2.74,153.56,-160.67,139.01,NA,"OfficialWorldGolfRanking",2007
36,35,"Hunter Mahan",57,2.74,156.27,-52.27,158.14,NA,"OfficialWorldGolfRanking",2007
37,45,"Nick OHern",53,2.72,144.04,-150.44,127.37,NA,"OfficialWorldGolfRanking",2007
38,38,"Richard Green",43,2.68,115.44,-88.9,102.48,NA,"OfficialWorldGolfRanking",2007
