"AverageDistanceofPuttsmade_RANKTHISWEEK_2007","AverageDistanceofPuttsmade_RANKLASTWEEK_2007","AverageDistanceofPuttsmade_PLAYERNAME_2007","AverageDistanceofPuttsmade_ROUNDS_2007","AverageDistanceofPuttsmade_AVG_2007","AverageDistanceofPuttsmade_TOTALDISTINCHES_2007","AverageDistanceofPuttsmade_TOTALROUNDS_2007","AverageDistanceofPuttsmade_AVGDIST_2007","AverageDistanceofPuttsmade_BESTROUND_2007","stat_name","year"
1,1,"Jesper Parnevik",88,NA,78242,75,NA,NA,"AverageDistanceofPuttsmade",2007
2,2,"Tim Clark",66,NA,51950,51,NA,NA,"AverageDistanceofPuttsmade",2007
3,3,"Henrik Stenson",52,NA,35569,36,NA,NA,"AverageDistanceofPuttsmade",2007
4,4,"Dicky Pride",71,NA,59515,61,NA,NA,"AverageDistanceofPuttsmade",2007
5,5,"Jonathan Byrd",73,NA,60220,62,NA,NA,"AverageDistanceofPuttsmade",2007
6,6,"Paul Goydos",60,NA,45478,47,NA,NA,"AverageDistanceofPuttsmade",2007
7,7,"Tiger Woods",63,NA,41597,43,NA,NA,"AverageDistanceofPuttsmade",2007
8,8,"Tag Ridings",52,NA,43482,45,NA,NA,"AverageDistanceofPuttsmade",2007
9,9,"Sean OHair",98,NA,80059,83,NA,NA,"AverageDistanceofPuttsmade",2007
10,10,"Frank Lickliter II",95,NA,80986,84,NA,NA,"AverageDistanceofPuttsmade",2007
11,11,"Ryan Moore",92,NA,71097,74,NA,NA,"AverageDistanceofPuttsmade",2007
12,12,"Zach Johnson",76,NA,57116,60,NA,NA,"AverageDistanceofPuttsmade",2007
12,12,"Joe Ogilvie",102,NA,81914,86,NA,NA,"AverageDistanceofPuttsmade",2007
14,14,"Kevin Na",84,NA,72770,77,NA,NA,"AverageDistanceofPuttsmade",2007
15,15,"Mark Calcavecchia",93,NA,68823,73,NA,NA,"AverageDistanceofPuttsmade",2007
