"PuttsmadeDistance_RANKTHISWEEK_2006","PuttsmadeDistance_RANKLASTWEEK_2006","PuttsmadeDistance_PLAYERNAME_2006","PuttsmadeDistance_EVENTS_2006","PuttsmadeDistance_DISTANCEININCHES_2006","stat_name","year"
1,1,"Ben Crane",26,57,"PuttsmadeDistance",2006
2,2,"JP Hayes",19,55,"PuttsmadeDistance",2006
2,2,"David Howell",14,55,"PuttsmadeDistance",2006
2,2,"Richard Johnson",29,55,"PuttsmadeDistance",2006
2,2,"Kent Jones",32,55,"PuttsmadeDistance",2006
2,2,"Tom Pernice Jr",33,55,"PuttsmadeDistance",2006
2,2,"Brett Quigley",33,55,"PuttsmadeDistance",2006
2,2,"Chris Smith",21,55,"PuttsmadeDistance",2006
2,2,"Vaughn Taylor",26,55,"PuttsmadeDistance",2006
10,10,"Stewart Cink",26,54,"PuttsmadeDistance",2006
10,10,"David Duval",24,54,"PuttsmadeDistance",2006
10,10,"Davis Love III",23,54,"PuttsmadeDistance",2006
10,10,"David McKenzie",28,54,"PuttsmadeDistance",2006
10,10,"Mark OMeara",18,54,"PuttsmadeDistance",2006
10,10,"Dean Wilson",34,54,"PuttsmadeDistance",2006
10,10,"Tiger Woods",15,54,"PuttsmadeDistance",2006
17,17,"Stephen Ames",21,53,"PuttsmadeDistance",2006
17,17,"Arjun Atwal",33,53,"PuttsmadeDistance",2006
17,17,"Craig Barlow",22,53,"PuttsmadeDistance",2006
17,17,"Jonathan Byrd",20,53,"PuttsmadeDistance",2006
17,17,"Daniel Chopra",33,53,"PuttsmadeDistance",2006
17,17,"Ben Curtis",26,53,"PuttsmadeDistance",2006
17,17,"Brad Faxon",26,53,"PuttsmadeDistance",2006
17,17,"Brian Gay",31,53,"PuttsmadeDistance",2006
17,17,"Brent Geiberger",30,53,"PuttsmadeDistance",2006
17,17,"Nathan Green",30,53,"PuttsmadeDistance",2006
17,17,"Freddie Jacobson",18,53,"PuttsmadeDistance",2006
17,17,"Rod Pampling",24,53,"PuttsmadeDistance",2006
17,17,"Ian Poulter",15,53,"PuttsmadeDistance",2006
17,17,"Chris Riley",27,53,"PuttsmadeDistance",2006
17,17,"David Toms",22,53,"PuttsmadeDistance",2006
17,17,"Mark Wilson",24,53,"PuttsmadeDistance",2006
33,33,"Robert Allenby",22,52,"PuttsmadeDistance",2006
33,33,"Aaron Baddeley",25,52,"PuttsmadeDistance",2006
33,33,"Briny Baird",25,52,"PuttsmadeDistance",2006
33,33,"Tim Clark",22,52,"PuttsmadeDistance",2006
33,33,"Michael Connell",22,52,"PuttsmadeDistance",2006
33,33,"James Driscoll",29,52,"PuttsmadeDistance",2006
33,33,"Jim Furyk",24,52,"PuttsmadeDistance",2006
33,33,"Mathew Goggin",26,52,"PuttsmadeDistance",2006
33,33,"Jason Gore",29,52,"PuttsmadeDistance",2006
33,33,"JB Holmes",26,52,"PuttsmadeDistance",2006
33,33,"John Huston",27,52,"PuttsmadeDistance",2006
33,33,"Brandt Jobe",28,52,"PuttsmadeDistance",2006
33,33,"Shigeki Maruyama",30,52,"PuttsmadeDistance",2006
33,33,"Len Mattiace",22,52,"PuttsmadeDistance",2006
33,33,"Larry Mize",18,52,"PuttsmadeDistance",2006
33,33,"Ryan Moore",22,52,"PuttsmadeDistance",2006
33,33,"Arron Oberholser",23,52,"PuttsmadeDistance",2006
33,33,"Ryan Palmer",30,52,"PuttsmadeDistance",2006
33,33,"Jesper Parnevik",24,52,"PuttsmadeDistance",2006
33,33,"Carl Pettersson",28,52,"PuttsmadeDistance",2006
33,33,"Ted Purdy",33,52,"PuttsmadeDistance",2006
54,54,"Tommy Armour III",25,51,"PuttsmadeDistance",2006
54,54,"Woody Austin",31,51,"PuttsmadeDistance",2006
54,54,"Henrik Bjornstad",31,51,"PuttsmadeDistance",2006
54,54,"Olin Browne",30,51,"PuttsmadeDistance",2006
54,54,"Greg Chalmers",28,51,"PuttsmadeDistance",2006
54,54,"Luke Donald",18,51,"PuttsmadeDistance",2006
54,54,"Todd Fischer",35,51,"PuttsmadeDistance",2006
54,54,"Harrison Frazar",29,51,"PuttsmadeDistance",2006
54,54,"Mathias Gronberg",30,51,"PuttsmadeDistance",2006
54,54,"JJ Henry",28,51,"PuttsmadeDistance",2006
54,54,"Bernhard Langer",24,51,"PuttsmadeDistance",2006
54,54,"JL Lewis",17,51,"PuttsmadeDistance",2006
54,54,"Frank Lickliter II",29,51,"PuttsmadeDistance",2006
54,54,"Jeff Maggert",26,51,"PuttsmadeDistance",2006
54,54,"Hunter Mahan",29,51,"PuttsmadeDistance",2006
54,54,"Troy Matteson",32,51,"PuttsmadeDistance",2006
54,54,"Geoff Ogilvy",20,51,"PuttsmadeDistance",2006
54,54,"Jose Maria Olazabal",18,51,"PuttsmadeDistance",2006
54,54,"Tim Petrovic",30,51,"PuttsmadeDistance",2006
54,54,"DA Points",28,51,"PuttsmadeDistance",2006
54,54,"Tag Ridings",33,51,"PuttsmadeDistance",2006
54,54,"Jason Schultz",28,51,"PuttsmadeDistance",2006
54,54,"Wes Short Jr",33,51,"PuttsmadeDistance",2006
54,54,"Jerry Smith",29,51,"PuttsmadeDistance",2006
54,54,"Mike Sposa",25,51,"PuttsmadeDistance",2006
54,54,"Steve Stricker",17,51,"PuttsmadeDistance",2006
54,54,"Bo Van Pelt",28,51,"PuttsmadeDistance",2006
54,54,"Vance Veazey",20,51,"PuttsmadeDistance",2006
82,82,"Michael Allen",25,50,"PuttsmadeDistance",2006
82,82,"Stuart Appleby",23,50,"PuttsmadeDistance",2006
82,82,"Alex Aragon",26,50,"PuttsmadeDistance",2006
82,82,"Eric Axley",29,50,"PuttsmadeDistance",2006
82,82,"Brian Bateman",26,50,"PuttsmadeDistance",2006
82,82,"Rich Beem",27,50,"PuttsmadeDistance",2006
82,82,"Shane Bertsch",34,50,"PuttsmadeDistance",2006
82,82,"Chad Campbell",25,50,"PuttsmadeDistance",2006
82,82,"KJ Choi",26,50,"PuttsmadeDistance",2006
82,82,"John Cook",22,50,"PuttsmadeDistance",2006
82,82,"Marco Dawson",27,50,"PuttsmadeDistance",2006
82,82,"Steve Elkington",17,50,"PuttsmadeDistance",2006
82,82,"Danny Ellis",23,50,"PuttsmadeDistance",2006
82,82,"Steve Flesch",33,50,"PuttsmadeDistance",2006
82,82,"Fred Funk",29,50,"PuttsmadeDistance",2006
82,82,"Lucas Glover",31,50,"PuttsmadeDistance",2006
82,82,"Todd Hamilton",27,50,"PuttsmadeDistance",2006
