"BirdieorBetterPercentage_RANKTHISWEEK_2015","BirdieorBetterPercentage_RANKLASTWEEK_2015","BirdieorBetterPercentage_PLAYERNAME_2015","BirdieorBetterPercentage_ROUNDS_2015","BirdieorBetterPercentage_Pct_2015","BirdieorBetterPercentage_TOTALBIRDIES_2015","BirdieorBetterPercentage_TOTALHOLES_2015","BirdieorBetterPercentage_GIRRANK_2015","stat_name","year"
1,1,"Jason Day",75,27.08,351,1296,7,"BirdieorBetterPercentage",2015
2,2,"Jordan Spieth",91,25.69,407,1584,49,"BirdieorBetterPercentage",2015
3,3,"Bubba Watson",71,25.08,307,1224,19,"BirdieorBetterPercentage",2015
4,4,"Justin Rose",69,24.83,295,1188,9,"BirdieorBetterPercentage",2015
5,5,"Dustin Johnson",75,24.61,319,1296,70,"BirdieorBetterPercentage",2015
6,6,"Justin Thomas",106,23.9,456,1908,27,"BirdieorBetterPercentage",2015
7,7,"Hideki Matsuyama",95,23.44,384,1638,21,"BirdieorBetterPercentage",2015
8,8,"Tony Finau",106,23.43,447,1908,57,"BirdieorBetterPercentage",2015
9,9,"JB Holmes",89,23.4,358,1530,154,"BirdieorBetterPercentage",2015
10,10,"Brooks Koepka",84,23.05,336,1458,17,"BirdieorBetterPercentage",2015
11,11,"Jimmy Walker",89,23,356,1548,101,"BirdieorBetterPercentage",2015
12,12,"Henrik Stenson",63,22.96,248,1080,1,"BirdieorBetterPercentage",2015
13,13,"Rickie Fowler",76,22.76,295,1296,106,"BirdieorBetterPercentage",2015
14,14,"Brendan Steele",88,22.75,344,1512,40,"BirdieorBetterPercentage",2015
15,15,"Matt Jones",89,22.61,350,1548,147,"BirdieorBetterPercentage",2015
16,16,"Phil Mickelson",70,22.54,284,1260,177,"BirdieorBetterPercentage",2015
17,17,"Will Wilcox",58,22.53,219,972,4,"BirdieorBetterPercentage",2015
18,18,"Pat Perez",96,22.51,389,1728,48,"BirdieorBetterPercentage",2015
19,19,"Danny Lee",120,22.5,486,2160,111,"BirdieorBetterPercentage",2015
20,20,"Jason Bohn",95,22.46,384,1710,28,"BirdieorBetterPercentage",2015
20,20,"Shawn Stefani",94,22.46,380,1692,32,"BirdieorBetterPercentage",2015
22,22,"Robert Streb",110,22.37,443,1980,23,"BirdieorBetterPercentage",2015
23,23,"Hudson Swafford",97,22.34,382,1710,39,"BirdieorBetterPercentage",2015
24,24,"Sergio Garcia",59,22.32,225,1008,59,"BirdieorBetterPercentage",2015
25,25,"Patrick Reed",103,22.28,401,1800,141,"BirdieorBetterPercentage",2015
26,26,"Matt Kuchar",97,22.22,376,1692,85,"BirdieorBetterPercentage",2015
26,26,"Steve Wheatcroft",87,22.22,332,1494,136,"BirdieorBetterPercentage",2015
28,28,"Zach Johnson",90,22.16,347,1566,37,"BirdieorBetterPercentage",2015
29,29,"Patrick Rodgers",57,22.12,211,954,77,"BirdieorBetterPercentage",2015
30,30,"Charley Hoffman",97,22.1,374,1692,97,"BirdieorBetterPercentage",2015
31,31,"Paul Casey",87,22.02,325,1476,5,"BirdieorBetterPercentage",2015
31,31,"Russell Henley",87,22.02,333,1512,69,"BirdieorBetterPercentage",2015
33,33,"Kevin Na",98,21.99,376,1710,138,"BirdieorBetterPercentage",2015
34,34,"Tom Hoge",83,21.87,311,1422,102,"BirdieorBetterPercentage",2015
35,35,"Keegan Bradley",87,21.83,330,1512,60,"BirdieorBetterPercentage",2015
36,36,"Daniel Berger",97,21.82,381,1746,30,"BirdieorBetterPercentage",2015
37,37,"Rory Sabbatini",81,21.81,318,1458,52,"BirdieorBetterPercentage",2015
38,38,"Ryan Moore",81,21.79,306,1404,123,"BirdieorBetterPercentage",2015
38,38,"Lee Westwood",56,21.79,204,936,89,"BirdieorBetterPercentage",2015
40,40,"Chesson Hadley",101,21.73,395,1818,156,"BirdieorBetterPercentage",2015
40,40,"Ben Martin",93,21.73,352,1620,34,"BirdieorBetterPercentage",2015
42,42,"Jason Kokrak",88,21.72,344,1584,67,"BirdieorBetterPercentage",2015
43,43,"Billy Horschel",99,21.7,375,1728,18,"BirdieorBetterPercentage",2015
44,44,"Scott Piercy",90,21.67,351,1620,80,"BirdieorBetterPercentage",2015
45,45,"Louis Oosthuizen",68,21.6,245,1134,43,"BirdieorBetterPercentage",2015
46,46,"Carlos Ortiz",100,21.53,372,1728,74,"BirdieorBetterPercentage",2015
46,46,"Adam Scott",51,21.53,186,864,16,"BirdieorBetterPercentage",2015
48,48,"Kevin Chappell",86,21.51,333,1548,103,"BirdieorBetterPercentage",2015
49,49,"Blayne Barber",76,21.47,286,1332,90,"BirdieorBetterPercentage",2015
50,50,"Jason Gore",76,21.45,278,1296,61,"BirdieorBetterPercentage",2015
50,50,"Jerry Kelly",79,21.45,305,1422,104,"BirdieorBetterPercentage",2015
52,52,"Nick Watney",91,21.43,351,1638,66,"BirdieorBetterPercentage",2015
53,53,"Sean OHair",86,21.38,331,1548,144,"BirdieorBetterPercentage",2015
54,54,"Ryan Palmer",80,21.36,296,1386,75,"BirdieorBetterPercentage",2015
55,55,"Brandt Snedeker",98,21.35,365,1710,129,"BirdieorBetterPercentage",2015
56,56,"Ryo Ishikawa",90,21.34,338,1584,92,"BirdieorBetterPercentage",2015
57,57,"Chris Stroud",84,21.3,322,1512,112,"BirdieorBetterPercentage",2015
58,58,"Brendon de Jonge",106,21.28,406,1908,62,"BirdieorBetterPercentage",2015
59,59,"Steven Bowditch",103,21.25,394,1854,158,"BirdieorBetterPercentage",2015
60,60,"Chris Kirk",76,21.23,279,1314,139,"BirdieorBetterPercentage",2015
61,61,"Daniel Summerhays",101,21.18,385,1818,113,"BirdieorBetterPercentage",2015
62,62,"Harris English",105,21.13,388,1836,70,"BirdieorBetterPercentage",2015
63,63,"Boo Weekley",79,21.1,300,1422,55,"BirdieorBetterPercentage",2015
64,64,"Seung Yul Noh",65,21.03,246,1170,105,"BirdieorBetterPercentage",2015
65,65,"David Lingmerth",90,20.99,340,1620,130,"BirdieorBetterPercentage",2015
66,66,"Scott Brown",97,20.9,365,1746,126,"BirdieorBetterPercentage",2015
67,67,"John Senden",80,20.89,282,1350,68,"BirdieorBetterPercentage",2015
68,68,"Marc Leishman",74,20.87,263,1260,113,"BirdieorBetterPercentage",2015
68,68,"Webb Simpson",81,20.87,293,1404,53,"BirdieorBetterPercentage",2015
70,70,"Whee Kim",71,20.85,259,1242,46,"BirdieorBetterPercentage",2015
70,70,"Ian Poulter",68,20.85,244,1170,108,"BirdieorBetterPercentage",2015
70,70,"Brendon Todd",96,20.85,349,1674,118,"BirdieorBetterPercentage",2015
73,73,"Russell Knox",96,20.83,360,1728,7,"BirdieorBetterPercentage",2015
74,74,"Stewart Cink",77,20.78,288,1386,3,"BirdieorBetterPercentage",2015
74,74,"Jason Dufner",76,20.78,273,1314,24,"BirdieorBetterPercentage",2015
74,74,"Morgan Hoffmann",85,20.78,318,1530,180,"BirdieorBetterPercentage",2015
77,77,"Nick Taylor",91,20.76,340,1638,142,"BirdieorBetterPercentage",2015
78,78,"Camilo Villegas",83,20.75,310,1494,165,"BirdieorBetterPercentage",2015
79,79,"Colt Knost",90,20.74,321,1548,63,"BirdieorBetterPercentage",2015
80,80,"David Hearn",97,20.73,362,1746,47,"BirdieorBetterPercentage",2015
81,81,"Martin Laird",77,20.71,287,1386,94,"BirdieorBetterPercentage",2015
82,82,"George McNeill",93,20.67,346,1674,91,"BirdieorBetterPercentage",2015
83,83,"Jim Furyk",71,20.66,238,1152,14,"BirdieorBetterPercentage",2015
84,84,"Aaron Baddeley",76,20.65,275,1332,172,"BirdieorBetterPercentage",2015
85,85,"James Hahn",94,20.63,349,1692,98,"BirdieorBetterPercentage",2015
85,85,"Cameron Percy",72,20.63,260,1260,54,"BirdieorBetterPercentage",2015
87,87,"Jonathan Byrd",69,20.6,241,1170,65,"BirdieorBetterPercentage",2015
87,87,"Graham DeLaet",65,20.6,241,1170,22,"BirdieorBetterPercentage",2015
87,87,"Luke Guthrie",84,20.6,304,1476,153,"BirdieorBetterPercentage",2015
90,90,"Michael Thompson",83,20.58,300,1458,121,"BirdieorBetterPercentage",2015
91,91,"Jonas Blixt",78,20.57,274,1332,170,"BirdieorBetterPercentage",2015
92,92,"Scott Stallings",60,20.56,222,1080,127,"BirdieorBetterPercentage",2015
93,93,"Carl Pettersson",106,20.55,392,1908,166,"BirdieorBetterPercentage",2015
