"DrivingDistanceAllDrives_RANKTHISWEEK_2005","DrivingDistanceAllDrives_RANKLASTWEEK_2005","DrivingDistanceAllDrives_PLAYERNAME_2005","DrivingDistanceAllDrives_ROUNDS_2005","DrivingDistanceAllDrives_ALLDRIVES_2005","DrivingDistanceAllDrives_TOTALDISTANCE_2005","DrivingDistanceAllDrives_OFDRIVES_2005","stat_name","year"
1,1,"Scott Hend",75,303.6,272602,898,"DrivingDistanceAllDrives",2005
2,2,"John Daly",78,302.2,236935,784,"DrivingDistanceAllDrives",2005
3,3,"Tiger Woods",76,301.6,233423,774,"DrivingDistanceAllDrives",2005
4,4,"Brett Wetterich",76,299.7,281132,938,"DrivingDistanceAllDrives",2005
5,5,"Vijay Singh",111,296.4,362751,1224,"DrivingDistanceAllDrives",2005
6,6,"Scott Gutschewski",86,296.3,295079,996,"DrivingDistanceAllDrives",2005
7,7,"Hank Kuehne",84,295.5,306187,1036,"DrivingDistanceAllDrives",2005
8,8,"Brenden Pappas",51,294.6,202093,686,"DrivingDistanceAllDrives",2005
9,9,"Sergio Garcia",73,294.3,215413,732,"DrivingDistanceAllDrives",2005
10,10,"Lucas Glover",88,293.6,320614,1092,"DrivingDistanceAllDrives",2005
11,11,"Brendan Jones",81,292.3,295788,1012,"DrivingDistanceAllDrives",2005
12,12,"Fred Couples",72,291.8,175959,603,"DrivingDistanceAllDrives",2005
13,13,"Chris Smith",93,291.7,345321,1184,"DrivingDistanceAllDrives",2005
14,14,"Phil Mickelson",81,291.5,203491,698,"DrivingDistanceAllDrives",2005
15,15,"Stuart Appleby",84,291.4,256982,882,"DrivingDistanceAllDrives",2005
16,16,"Mathias Gronberg",60,291.2,227119,780,"DrivingDistanceAllDrives",2005
16,16,"Tag Ridings",93,291.2,338044,1161,"DrivingDistanceAllDrives",2005
16,16,"Kevin Stadler",96,291.2,333749,1146,"DrivingDistanceAllDrives",2005
19,19,"John Elliott",58,291.1,207823,714,"DrivingDistanceAllDrives",2005
19,19,"Harrison Frazar",105,291.1,377831,1298,"DrivingDistanceAllDrives",2005
19,19,"Davis Love III",80,291.1,227315,781,"DrivingDistanceAllDrives",2005
22,22,"Charles Warren",89,290.6,324571,1117,"DrivingDistanceAllDrives",2005
23,23,"Dennis Paulson",63,290.5,227146,782,"DrivingDistanceAllDrives",2005
24,24,"Sean OHair",103,290.1,345196,1190,"DrivingDistanceAllDrives",2005
25,25,"Brandt Jobe",96,289.7,327932,1132,"DrivingDistanceAllDrives",2005
25,25,"Will Ma Kenzie",75,289.7,274631,948,"DrivingDistanceAllDrives",2005
25,25,"Kenny Perry",82,289.7,241933,835,"DrivingDistanceAllDrives",2005
28,28,"Jason Allred",75,289.6,254305,878,"DrivingDistanceAllDrives",2005
29,29,"Rod Pampling",89,289.3,280914,971,"DrivingDistanceAllDrives",2005
30,30,"Adam Scott",72,289.2,210567,728,"DrivingDistanceAllDrives",2005
31,31,"Ryan Palmer",101,288.9,324989,1125,"DrivingDistanceAllDrives",2005
32,32,"Retief Goosen",71,288.7,173820,602,"DrivingDistanceAllDrives",2005
33,33,"DJ Trahan",81,288.5,283306,982,"DrivingDistanceAllDrives",2005
34,34,"Rory Sabbatini",81,288.1,241446,838,"DrivingDistanceAllDrives",2005
35,35,"Jonathan Byrd",103,288,376154,1306,"DrivingDistanceAllDrives",2005
36,36,"David Hearn",68,287.9,244718,850,"DrivingDistanceAllDrives",2005
37,37,"Daniel Chopra",108,287.7,369057,1283,"DrivingDistanceAllDrives",2005
38,38,"Charles Howell III",95,287.5,288680,1004,"DrivingDistanceAllDrives",2005
38,38,"Roland Thatcher",75,287.5,269719,938,"DrivingDistanceAllDrives",2005
40,40,"John Rollins",97,287.4,330246,1149,"DrivingDistanceAllDrives",2005
40,40,"Nick Watney",91,287.4,318412,1108,"DrivingDistanceAllDrives",2005
42,42,"Robert Allenby",95,287.3,289842,1009,"DrivingDistanceAllDrives",2005
43,43,"Steve Allan",102,286.9,352005,1227,"DrivingDistanceAllDrives",2005
44,44,"James Driscoll",73,286.8,248353,866,"DrivingDistanceAllDrives",2005
44,44,"Mark Hensby",70,286.8,199065,694,"DrivingDistanceAllDrives",2005
46,46,"JJ Henry",102,286.5,343758,1200,"DrivingDistanceAllDrives",2005
47,47,"Michael Long",72,286.3,255411,892,"DrivingDistanceAllDrives",2005
47,47,"Ted Purdy",122,286.3,399705,1396,"DrivingDistanceAllDrives",2005
49,49,"Craig Barlow",81,286.2,251824,880,"DrivingDistanceAllDrives",2005
50,50,"Marco Dawson",82,286,311207,1088,"DrivingDistanceAllDrives",2005
51,51,"Geoff Ogilvy",97,285.9,296170,1036,"DrivingDistanceAllDrives",2005
52,52,"Bob Heintz",67,285.7,247428,866,"DrivingDistanceAllDrives",2005
52,52,"Neal Lancaster",95,285.7,339998,1190,"DrivingDistanceAllDrives",2005
54,54,"Lee Westwood",50,285.6,131937,462,"DrivingDistanceAllDrives",2005
55,55,"Hunter Mahan",103,285.5,369490,1294,"DrivingDistanceAllDrives",2005
56,56,"Arjun Atwal",65,285.1,242296,850,"DrivingDistanceAllDrives",2005
56,56,"Tim Herron",100,285.1,305658,1072,"DrivingDistanceAllDrives",2005
56,56,"Greg Owen",84,285.1,279390,980,"DrivingDistanceAllDrives",2005
59,59,"Zach Johnson",96,285,331693,1164,"DrivingDistanceAllDrives",2005
60,60,"Jonathan Kaye",77,284.8,256022,899,"DrivingDistanceAllDrives",2005
61,61,"Ryuji Imada",78,284.7,263595,926,"DrivingDistanceAllDrives",2005
62,62,"Carlos Franco",78,284.6,266356,936,"DrivingDistanceAllDrives",2005
63,63,"Brett Quigley",96,284.4,333888,1174,"DrivingDistanceAllDrives",2005
64,64,"John Huston",90,284.1,312798,1101,"DrivingDistanceAllDrives",2005
64,64,"Bo Van Pelt",112,284.1,367352,1293,"DrivingDistanceAllDrives",2005
66,66,"Jason Bohn",91,283.9,320825,1130,"DrivingDistanceAllDrives",2005
67,67,"Justin Rose",99,283.7,348967,1230,"DrivingDistanceAllDrives",2005
68,68,"David Toms",87,283.6,251279,886,"DrivingDistanceAllDrives",2005
69,69,"JL Lewis",98,283.5,319781,1128,"DrivingDistanceAllDrives",2005
69,69,"Steve Lowery",100,283.5,341033,1203,"DrivingDistanceAllDrives",2005
71,71,"DJ Brigman",76,283.4,242568,856,"DrivingDistanceAllDrives",2005
71,71,"Dan Forsman",52,283.4,184221,650,"DrivingDistanceAllDrives",2005
73,73,"Frank Lickliter II",100,283.2,338746,1196,"DrivingDistanceAllDrives",2005
74,74,"Andrew Magee",82,283.1,277140,979,"DrivingDistanceAllDrives",2005
74,74,"Jesper Parnevik",84,283.1,265025,936,"DrivingDistanceAllDrives",2005
74,74,"Carl Pettersson",109,283.1,367207,1297,"DrivingDistanceAllDrives",2005
77,77,"Woody Austin",100,282.9,356988,1262,"DrivingDistanceAllDrives",2005
77,77,"Padraig Harrington",50,282.9,159531,564,"DrivingDistanceAllDrives",2005
77,77,"Vaughn Taylor",99,282.9,353017,1248,"DrivingDistanceAllDrives",2005
80,80,"Tom Pernice Jr",111,282.7,347471,1229,"DrivingDistanceAllDrives",2005
81,81,"Justin Bolli",65,282.5,232222,822,"DrivingDistanceAllDrives",2005
81,81,"Freddie Jacobson",72,282.5,218097,772,"DrivingDistanceAllDrives",2005
83,83,"Pat Perez",89,282.4,288656,1022,"DrivingDistanceAllDrives",2005
83,83,"John Senden",101,282.4,354953,1257,"DrivingDistanceAllDrives",2005
85,85,"Joey Snyder III",102,282.3,359673,1274,"DrivingDistanceAllDrives",2005
86,86,"Chad Campbell",95,282.1,296179,1050,"DrivingDistanceAllDrives",2005
87,87,"Rich Beem",66,281.8,188554,669,"DrivingDistanceAllDrives",2005
87,87,"Bradley Hughes",52,281.8,192166,682,"DrivingDistanceAllDrives",2005
89,89,"Ben Crane",78,281.7,253513,900,"DrivingDistanceAllDrives",2005
89,89,"Scott McCarron",78,281.7,236945,841,"DrivingDistanceAllDrives",2005
91,91,"Peter Lonard",85,281.6,258466,918,"DrivingDistanceAllDrives",2005
91,91,"Rocco Mediate",73,281.6,254808,905,"DrivingDistanceAllDrives",2005
93,93,"DA Points",94,281.5,322832,1147,"DrivingDistanceAllDrives",2005
94,94,"Todd Hamilton",94,281.4,293186,1042,"DrivingDistanceAllDrives",2005
95,95,"Michael Allen",90,281.3,302381,1075,"DrivingDistanceAllDrives",2005
95,95,"Patrick Sheehan",114,281.3,376656,1339,"DrivingDistanceAllDrives",2005
97,97,"Briny Baird",98,281.2,348122,1238,"DrivingDistanceAllDrives",2005
98,98,"Jeff Maggert",79,281.1,234961,836,"DrivingDistanceAllDrives",2005
98,98,"Shaun Micheel",81,281.1,248463,884,"DrivingDistanceAllDrives",2005
98,98,"Joe Ogilvie",103,281.1,306394,1090,"DrivingDistanceAllDrives",2005
101,101,"Joe Durant",81,281,267512,952,"DrivingDistanceAllDrives",2005
102,102,"Hunter Haas",83,280.9,283684,1010,"DrivingDistanceAllDrives",2005
103,103,"Brian Bateman",98,280.8,332429,1184,"DrivingDistanceAllDrives",2005
103,103,"Jeff Brehaut",71,280.8,246023,876,"DrivingDistanceAllDrives",2005
103,103,"KJ Choi",78,280.8,212007,755,"DrivingDistanceAllDrives",2005
103,103,"Glen Day",80,280.8,286989,1022,"DrivingDistanceAllDrives",2005
107,107,"Mark Calcavecchia",92,280.7,297591,1060,"DrivingDistanceAllDrives",2005
108,108,"Mario Tiziani",67,280.6,235732,840,"DrivingDistanceAllDrives",2005
109,109,"Hideto Tanihara",50,280.5,175579,626,"DrivingDistanceAllDrives",2005
110,110,"Craig Perks",67,280.4,228213,814,"DrivingDistanceAllDrives",2005
111,111,"Billy Mayfair",114,280.3,395775,1412,"DrivingDistanceAllDrives",2005
112,112,"Tommy Armour III",103,280.2,355263,1268,"DrivingDistanceAllDrives",2005
112,112,"Joey Sindelar",104,280.2,383900,1370,"DrivingDistanceAllDrives",2005
114,114,"Shigeki Maruyama",99,280,332087,1186,"DrivingDistanceAllDrives",2005
114,114,"Tim Petrovic",97,280,309715,1106,"DrivingDistanceAllDrives",2005
116,116,"Darron Stiles",78,279.8,270856,968,"DrivingDistanceAllDrives",2005
116,116,"Tjaart van der Walt",56,279.8,210386,752,"DrivingDistanceAllDrives",2005
118,118,"Kevin Sutherland",89,279.7,289171,1034,"DrivingDistanceAllDrives",2005
119,119,"Jose Maria Olazabal",55,279.6,160466,574,"DrivingDistanceAllDrives",2005
120,120,"Tom Gillis",77,279.5,265508,950,"DrivingDistanceAllDrives",2005
120,120,"Tom Lehman",69,279.5,194557,696,"DrivingDistanceAllDrives",2005
122,122,"Phillip Price",77,279.2,245660,880,"DrivingDistanceAllDrives",2005
123,123,"Justin Leonard",78,279,211516,758,"DrivingDistanceAllDrives",2005
123,123,"Charlie Wi",67,279,234915,842,"DrivingDistanceAllDrives",2005
125,125,"Bill Glasson",54,278.8,171184,614,"DrivingDistanceAllDrives",2005
126,126,"Stephen Ames",82,278.7,237444,852,"DrivingDistanceAllDrives",2005
127,127,"Aaron Baddeley",84,278.6,292493,1050,"DrivingDistanceAllDrives",2005
127,127,"Tim Clark",92,278.6,249636,896,"DrivingDistanceAllDrives",2005
127,127,"Steve Flesch",90,278.6,246031,883,"DrivingDistanceAllDrives",2005
