"FirstTeeEarlyRound3ScoringAverage_RANKTHISWEEK_2013","FirstTeeEarlyRound3ScoringAverage_RANKLASTWEEK_2013","FirstTeeEarlyRound3ScoringAverage_PLAYERNAME_2013","FirstTeeEarlyRound3ScoringAverage__2013","FirstTeeEarlyRound3ScoringAverage_AVG_2013","FirstTeeEarlyRound3ScoringAverage_TOTALSTROKES_2013","FirstTeeEarlyRound3ScoringAverage_TOTALROUNDS_2013","stat_name","year"
1,1,"Tag Ridings",NA,67,67,1,"FirstTeeEarlyRound3ScoringAverage",2013
2,2,"Adam Scott",NA,67.67,203,3,"FirstTeeEarlyRound3ScoringAverage",2013
3,3,"Morgan Hoffmann",NA,67.75,271,4,"FirstTeeEarlyRound3ScoringAverage",2013
3,3,"Matt Kuchar",NA,67.75,271,4,"FirstTeeEarlyRound3ScoringAverage",2013
5,5,"Matt Every",NA,67.8,339,5,"FirstTeeEarlyRound3ScoringAverage",2013
6,6,"Sangmoon Bae",NA,68.25,273,4,"FirstTeeEarlyRound3ScoringAverage",2013
7,7,"Dustin Johnson",NA,68.6,343,5,"FirstTeeEarlyRound3ScoringAverage",2013
8,8,"Ricky Barnes",NA,68.75,275,4,"FirstTeeEarlyRound3ScoringAverage",2013
8,8,"Webb Simpson",NA,68.75,550,8,"FirstTeeEarlyRound3ScoringAverage",2013
10,10,"Robert Streb",NA,68.8,344,5,"FirstTeeEarlyRound3ScoringAverage",2013
11,11,"Erik Compton",NA,68.83,413,6,"FirstTeeEarlyRound3ScoringAverage",2013
11,11,"John Merrick",NA,68.83,413,6,"FirstTeeEarlyRound3ScoringAverage",2013
13,13,"Tim Clark",NA,69,345,5,"FirstTeeEarlyRound3ScoringAverage",2013
13,13,"Sergio Garcia",NA,69,207,3,"FirstTeeEarlyRound3ScoringAverage",2013
13,13,"Marc Leishman",NA,69,345,5,"FirstTeeEarlyRound3ScoringAverage",2013
13,13,"Justin Rose",NA,69,69,1,"FirstTeeEarlyRound3ScoringAverage",2013
13,13,"Brandt Snedeker",NA,69,483,7,"FirstTeeEarlyRound3ScoringAverage",2013
13,13,"Brian Stuard",NA,69,276,4,"FirstTeeEarlyRound3ScoringAverage",2013
13,13,"Andrew Svoboda",NA,69,207,3,"FirstTeeEarlyRound3ScoringAverage",2013
13,13,"David Toms",NA,69,207,3,"FirstTeeEarlyRound3ScoringAverage",2013
13,13,"Cameron Tringale",NA,69,414,6,"FirstTeeEarlyRound3ScoringAverage",2013
13,13,"Mark Wilson",NA,69,207,3,"FirstTeeEarlyRound3ScoringAverage",2013
23,23,"Ryan Moore",NA,69.17,415,6,"FirstTeeEarlyRound3ScoringAverage",2013
24,24,"Luke Donald",NA,69.25,277,4,"FirstTeeEarlyRound3ScoringAverage",2013
25,25,"Kevin Stadler",NA,69.27,762,11,"FirstTeeEarlyRound3ScoringAverage",2013
26,26,"Jason Day",NA,69.33,416,6,"FirstTeeEarlyRound3ScoringAverage",2013
27,27,"Dicky Pride",NA,69.4,347,5,"FirstTeeEarlyRound3ScoringAverage",2013
28,28,"Nicolas Colsaerts",NA,69.5,139,2,"FirstTeeEarlyRound3ScoringAverage",2013
28,28,"Brian Harman",NA,69.5,278,4,"FirstTeeEarlyRound3ScoringAverage",2013
28,28,"YE Yang",NA,69.5,278,4,"FirstTeeEarlyRound3ScoringAverage",2013
31,31,"Rod Pampling",NA,69.6,348,5,"FirstTeeEarlyRound3ScoringAverage",2013
32,32,"Ryan Palmer",NA,69.63,557,8,"FirstTeeEarlyRound3ScoringAverage",2013
32,32,"Nick Watney",NA,69.63,557,8,"FirstTeeEarlyRound3ScoringAverage",2013
34,34,"Brendon de Jonge",NA,69.75,558,8,"FirstTeeEarlyRound3ScoringAverage",2013
34,34,"Rory McIlroy",NA,69.75,279,4,"FirstTeeEarlyRound3ScoringAverage",2013
34,34,"Chez Reavie",NA,69.75,558,8,"FirstTeeEarlyRound3ScoringAverage",2013
37,37,"DH Lee",NA,69.83,419,6,"FirstTeeEarlyRound3ScoringAverage",2013
37,37,"Daniel Summerhays",NA,69.83,419,6,"FirstTeeEarlyRound3ScoringAverage",2013
39,39,"Brian Davis",NA,70,770,11,"FirstTeeEarlyRound3ScoringAverage",2013
39,39,"James Driscoll",NA,70,70,1,"FirstTeeEarlyRound3ScoringAverage",2013
39,39,"Luke Guthrie",NA,70,140,2,"FirstTeeEarlyRound3ScoringAverage",2013
39,39,"Zach Johnson",NA,70,210,3,"FirstTeeEarlyRound3ScoringAverage",2013
39,39,"Eric Meierdierks",NA,70,70,1,"FirstTeeEarlyRound3ScoringAverage",2013
39,39,"Ted Potter Jr",NA,70,140,2,"FirstTeeEarlyRound3ScoringAverage",2013
39,39,"Andres Romero",NA,70,350,5,"FirstTeeEarlyRound3ScoringAverage",2013
39,39,"Vijay Singh",NA,70,420,6,"FirstTeeEarlyRound3ScoringAverage",2013
39,39,"Darron Stiles",NA,70,140,2,"FirstTeeEarlyRound3ScoringAverage",2013
39,39,"Vaughn Taylor",NA,70,280,4,"FirstTeeEarlyRound3ScoringAverage",2013
39,39,"Aaron Watkins",NA,70,140,2,"FirstTeeEarlyRound3ScoringAverage",2013
50,50,"David Hearn",NA,70.11,631,9,"FirstTeeEarlyRound3ScoringAverage",2013
51,51,"Matt Jones",NA,70.14,491,7,"FirstTeeEarlyRound3ScoringAverage",2013
52,52,"Charles Howell III",NA,70.17,421,6,"FirstTeeEarlyRound3ScoringAverage",2013
52,52,"Kevin Streelman",NA,70.17,421,6,"FirstTeeEarlyRound3ScoringAverage",2013
54,54,"Ian Poulter",NA,70.2,351,5,"FirstTeeEarlyRound3ScoringAverage",2013
54,54,"Bubba Watson",NA,70.2,351,5,"FirstTeeEarlyRound3ScoringAverage",2013
56,56,"Jeff Maggert",NA,70.25,281,4,"FirstTeeEarlyRound3ScoringAverage",2013
56,56,"Greg Owen",NA,70.25,281,4,"FirstTeeEarlyRound3ScoringAverage",2013
56,56,"Jin Park",NA,70.25,281,4,"FirstTeeEarlyRound3ScoringAverage",2013
59,59,"Rory Sabbatini",NA,70.29,492,7,"FirstTeeEarlyRound3ScoringAverage",2013
60,60,"Brandt Jobe",NA,70.33,422,6,"FirstTeeEarlyRound3ScoringAverage",2013
60,60,"Chris Kirk",NA,70.33,211,3,"FirstTeeEarlyRound3ScoringAverage",2013
60,60,"Martin Laird",NA,70.33,211,3,"FirstTeeEarlyRound3ScoringAverage",2013
63,63,"Graham DeLaet",NA,70.36,774,11,"FirstTeeEarlyRound3ScoringAverage",2013
64,64,"Steven Bowditch",NA,70.4,352,5,"FirstTeeEarlyRound3ScoringAverage",2013
64,64,"Tom Gillis",NA,70.4,352,5,"FirstTeeEarlyRound3ScoringAverage",2013
66,66,"Padraig Harrington",NA,70.43,493,7,"FirstTeeEarlyRound3ScoringAverage",2013
66,66,"Nicholas Thompson",NA,70.43,493,7,"FirstTeeEarlyRound3ScoringAverage",2013
68,68,"Robert Garrigus",NA,70.5,423,6,"FirstTeeEarlyRound3ScoringAverage",2013
68,68,"Ben Kohles",NA,70.5,282,4,"FirstTeeEarlyRound3ScoringAverage",2013
68,68,"Sean OHair",NA,70.5,282,4,"FirstTeeEarlyRound3ScoringAverage",2013
68,68,"Johnson Wagner",NA,70.5,141,2,"FirstTeeEarlyRound3ScoringAverage",2013
72,72,"James Hahn",NA,70.6,353,5,"FirstTeeEarlyRound3ScoringAverage",2013
72,72,"David Lingmerth",NA,70.6,353,5,"FirstTeeEarlyRound3ScoringAverage",2013
74,74,"Justin Leonard",NA,70.63,565,8,"FirstTeeEarlyRound3ScoringAverage",2013
75,75,"Charlie Beljan",NA,70.67,212,3,"FirstTeeEarlyRound3ScoringAverage",2013
75,75,"Scott Brown",NA,70.67,424,6,"FirstTeeEarlyRound3ScoringAverage",2013
75,75,"Bud Cauley",NA,70.67,424,6,"FirstTeeEarlyRound3ScoringAverage",2013
78,78,"David Mathis",NA,70.75,283,4,"FirstTeeEarlyRound3ScoringAverage",2013
79,79,"Robert Allenby",NA,70.8,354,5,"FirstTeeEarlyRound3ScoringAverage",2013
79,79,"Lee Westwood",NA,70.8,354,5,"FirstTeeEarlyRound3ScoringAverage",2013
