"ProximitytoHoleARG_RANKTHISWEEK_2007","ProximitytoHoleARG_RANKLASTWEEK_2007","ProximitytoHoleARG_PLAYERNAME_2007","ProximitytoHoleARG_ROUNDS_2007","ProximitytoHoleARG_AVGDTP_2007","ProximitytoHoleARG_TOTALDISTANCEFEET_2007","ProximitytoHoleARG_OFSHOTS_2007","ProximitytoHoleARG_SCRAMBLINGRANK_2007","stat_name","year"
1,1,"Steve Stricker",81,NA,2330.833,394,21,"ProximitytoHoleARG",2007
2,2,"Jim Furyk",84,NA,2380.167,387,29,"ProximitytoHoleARG",2007
3,3,"Justin Leonard",95,NA,3255.167,515,39,"ProximitytoHoleARG",2007
3,3,"Chris Riley",59,NA,2360.417,372,1,"ProximitytoHoleARG",2007
5,5,"Jose Coceres",50,NA,2024,317,6,"ProximitytoHoleARG",2007
6,6,"Luke Donald",69,NA,2215.333,341,97,"ProximitytoHoleARG",2007
7,7,"KJ Choi",87,NA,3170.167,480,9,"ProximitytoHoleARG",2007
7,7,"Steve Flesch",100,NA,3945.667,599,82,"ProximitytoHoleARG",2007
7,7,"Sergio Garcia",68,NA,2564.333,392,84,"ProximitytoHoleARG",2007
7,7,"Nick OHern",72,NA,2670.083,404,120,"ProximitytoHoleARG",2007
7,7,"Tom Pernice Jr",104,NA,4121.167,625,40,"ProximitytoHoleARG",2007
7,7,"Heath Slocum",101,NA,3905.583,594,16,"ProximitytoHoleARG",2007
7,7,"Mike Weir",82,NA,2981.917,452,70,"ProximitytoHoleARG",2007
14,14,"Alex Cejka",80,NA,3244.833,487,11,"ProximitytoHoleARG",2007
14,14,"Tim Clark",66,NA,2397.5,361,4,"ProximitytoHoleARG",2007
14,14,"Brian Gay",107,NA,4417.5,663,19,"ProximitytoHoleARG",2007
14,14,"Geoff Ogilvy",84,NA,3001,450,111,"ProximitytoHoleARG",2007
18,18,"Stuart Appleby",74,NA,2831.583,420,71,"ProximitytoHoleARG",2007
18,18,"Marco Dawson",73,NA,3220.833,475,44,"ProximitytoHoleARG",2007
18,18,"Matt Kuchar",85,NA,3214.833,478,5,"ProximitytoHoleARG",2007
18,18,"Phil Mickelson",73,NA,2516.417,373,53,"ProximitytoHoleARG",2007
18,18,"Kevin Na",84,NA,4145.75,614,3,"ProximitytoHoleARG",2007
18,18,"Ian Poulter",63,NA,1987.667,293,51,"ProximitytoHoleARG",2007
18,18,"Vijay Singh",102,NA,3991.167,594,61,"ProximitytoHoleARG",2007
18,18,"David Toms",80,NA,2865.833,426,66,"ProximitytoHoleARG",2007
26,26,"Padraig Harrington",64,NA,2439.417,357,15,"ProximitytoHoleARG",2007
26,26,"Bob Heintz",85,NA,3391.417,494,79,"ProximitytoHoleARG",2007
26,26,"Rod Pampling",92,NA,3491.5,513,76,"ProximitytoHoleARG",2007
26,26,"Corey Pavin",81,NA,3504.167,512,14,"ProximitytoHoleARG",2007
26,26,"Scott Verplank",82,NA,2825.583,413,18,"ProximitytoHoleARG",2007
31,31,"Jerry Kelly",101,NA,3574.167,516,78,"ProximitytoHoleARG",2007
32,32,"Mark Brooks",53,NA,1835.583,262,33,"ProximitytoHoleARG",2007
32,32,"Daniel Chopra",106,NA,4796.833,683,31,"ProximitytoHoleARG",2007
32,32,"Steve Elkington",87,NA,3729.5,534,32,"ProximitytoHoleARG",2007
32,32,"Trevor Immelman",74,NA,2412.917,345,123,"ProximitytoHoleARG",2007
32,32,"John Mallinger",96,NA,4507.417,641,12,"ProximitytoHoleARG",2007
32,32,"Tim Petrovic",106,NA,5026.417,718,26,"ProximitytoHoleARG",2007
32,32,"Carl Pettersson",111,NA,4587.417,655,93,"ProximitytoHoleARG",2007
39,39,"Aaron Baddeley",83,NA,3628,513,25,"ProximitytoHoleARG",2007
39,39,"Craig Barlow",52,NA,2009,283,110,"ProximitytoHoleARG",2007
39,39,"Ernie Els",59,NA,2162.333,307,37,"ProximitytoHoleARG",2007
39,39,"Tim Herron",98,NA,3943.75,555,115,"ProximitytoHoleARG",2007
39,39,"Craig Kanada",109,NA,4526.833,639,48,"ProximitytoHoleARG",2007
39,39,"Anthony Kim",93,NA,4150,583,79,"ProximitytoHoleARG",2007
39,39,"Rocco Mediate",72,NA,3119.833,439,142,"ProximitytoHoleARG",2007
39,39,"Arron Oberholser",69,NA,2675.5,376,46,"ProximitytoHoleARG",2007
39,39,"Jose Maria Olazabal",52,NA,2160.167,306,140,"ProximitytoHoleARG",2007
39,39,"Justin Rose",63,NA,1857.5,261,41,"ProximitytoHoleARG",2007
39,39,"Rory Sabbatini",81,NA,3394.083,479,2,"ProximitytoHoleARG",2007
39,39,"Kirk Triplett",77,NA,3182.417,451,86,"ProximitytoHoleARG",2007
39,39,"Mark Wilson",87,NA,3371.667,476,28,"ProximitytoHoleARG",2007
52,52,"Jason Bohn",57,NA,2664.667,372,143,"ProximitytoHoleARG",2007
52,52,"Craig Bowden",78,NA,3200.583,446,12,"ProximitytoHoleARG",2007
52,52,"Jonathan Byrd",73,NA,3299.333,460,69,"ProximitytoHoleARG",2007
52,52,"Ken Duke",112,NA,4695.583,656,23,"ProximitytoHoleARG",2007
52,52,"Retief Goosen",50,NA,1914.917,266,154,"ProximitytoHoleARG",2007
52,52,"Zach Johnson",76,NA,2901.833,403,30,"ProximitytoHoleARG",2007
52,52,"Doug LaBelle II",104,NA,4524.25,632,34,"ProximitytoHoleARG",2007
52,52,"Jarrod Lyle",77,NA,3326.167,464,81,"ProximitytoHoleARG",2007
52,52,"Sean OHair",98,NA,3964,554,36,"ProximitytoHoleARG",2007
52,52,"Kenny Perry",83,NA,3566.083,500,58,"ProximitytoHoleARG",2007
52,52,"Bo Van Pelt",104,NA,4759.167,664,35,"ProximitytoHoleARG",2007
52,52,"Tiger Woods",63,NA,1838.417,256,20,"ProximitytoHoleARG",2007
64,64,"Michael Boyd",61,NA,2716.5,376,73,"ProximitytoHoleARG",2007
64,64,"Brian Davis",101,NA,4459.917,614,47,"ProximitytoHoleARG",2007
64,64,"Paul Gow",70,NA,2968.25,410,146,"ProximitytoHoleARG",2007
64,64,"Nathan Green",103,NA,4847.25,666,22,"ProximitytoHoleARG",2007
64,64,"Ryuji Imada",104,NA,4726.083,654,48,"ProximitytoHoleARG",2007
64,64,"Shigeki Maruyama",84,NA,4231.583,581,64,"ProximitytoHoleARG",2007
64,64,"Jeff Quinney",95,NA,4069.75,563,146,"ProximitytoHoleARG",2007
64,64,"Jeff Sluman",60,NA,2065.25,285,187,"ProximitytoHoleARG",2007
64,64,"Brandt Snedeker",105,NA,4073.167,560,17,"ProximitytoHoleARG",2007
64,64,"Nick Watney",87,NA,3661.833,505,91,"ProximitytoHoleARG",2007
74,74,"Michael Allen",74,NA,3154.333,432,153,"ProximitytoHoleARG",2007
74,74,"Mark Calcavecchia",93,NA,3904.667,533,117,"ProximitytoHoleARG",2007
74,74,"JP Hayes",89,NA,4275.167,580,60,"ProximitytoHoleARG",2007
74,74,"Charley Hoffman",97,NA,4560,619,175,"ProximitytoHoleARG",2007
74,74,"Lee Janzen",66,NA,2548,349,140,"ProximitytoHoleARG",2007
74,74,"Tom Lehman",62,NA,2167.917,295,160,"ProximitytoHoleARG",2007
74,74,"Pat Perez",84,NA,3296.583,448,168,"ProximitytoHoleARG",2007
74,74,"John Senden",97,NA,3881.833,527,112,"ProximitytoHoleARG",2007
74,74,"Camilo Villegas",82,NA,3454.25,473,98,"ProximitytoHoleARG",2007
83,83,"Rich Barcelo",80,NA,3785.25,512,130,"ProximitytoHoleARG",2007
83,83,"Andrew Buckle",77,NA,3631.917,489,91,"ProximitytoHoleARG",2007
83,83,"Bob Estes",88,NA,4133.417,556,105,"ProximitytoHoleARG",2007
83,83,"Fred Funk",65,NA,2565.417,346,115,"ProximitytoHoleARG",2007
83,83,"Freddie Jacobson",70,NA,3326.75,451,96,"ProximitytoHoleARG",2007
83,83,"Joe Ogilvie",102,NA,4862.333,655,104,"ProximitytoHoleARG",2007
89,89,"Woody Austin",95,NA,4327.833,578,24,"ProximitytoHoleARG",2007
89,89,"Briny Baird",115,NA,5021.417,671,45,"ProximitytoHoleARG",2007
89,89,"Stewart Cink",91,NA,3460,460,107,"ProximitytoHoleARG",2007
89,89,"Harrison Frazar",88,NA,4134.083,551,165,"ProximitytoHoleARG",2007
89,89,"Todd Hamilton",76,NA,3367.75,449,189,"ProximitytoHoleARG",2007
89,89,"Steve Marino",106,NA,4785.833,637,55,"ProximitytoHoleARG",2007
89,89,"Billy Mayfair",98,NA,3848.917,515,74,"ProximitytoHoleARG",2007
89,89,"Parker McLachlin",83,NA,4302.25,575,56,"ProximitytoHoleARG",2007
89,89,"Shaun Micheel",91,NA,3297.917,441,100,"ProximitytoHoleARG",2007
89,89,"Ted Purdy",102,NA,4326.75,576,136,"ProximitytoHoleARG",2007
89,89,"Adam Scott",69,NA,2730.75,364,179,"ProximitytoHoleARG",2007
89,89,"Paul Stankowski",52,NA,2397.833,318,161,"ProximitytoHoleARG",2007
89,89,"Kevin Sutherland",85,NA,3702.583,496,101,"ProximitytoHoleARG",2007
89,89,"Vaughn Taylor",91,NA,3679,491,154,"ProximitytoHoleARG",2007
103,103,"Brian Bateman",55,NA,2482.167,328,83,"ProximitytoHoleARG",2007
103,103,"Ben Curtis",80,NA,3768.667,496,176,"ProximitytoHoleARG",2007
103,103,"Glen Day",85,NA,3905.333,513,62,"ProximitytoHoleARG",2007
103,103,"Jason Dufner",100,NA,4665.917,615,127,"ProximitytoHoleARG",2007
103,103,"Lucas Glover",98,NA,4195.583,552,66,"ProximitytoHoleARG",2007
103,103,"Paul Goydos",60,NA,2556.25,338,98,"ProximitytoHoleARG",2007
103,103,"Davis Love III",66,NA,2771.5,364,174,"ProximitytoHoleARG",2007
103,103,"Brett Quigley",79,NA,3305.917,438,190,"ProximitytoHoleARG",2007
103,103,"John Rollins",102,NA,4679,614,56,"ProximitytoHoleARG",2007
103,103,"Michael Sim",52,NA,2587.083,342,8,"ProximitytoHoleARG",2007
103,103,"Henrik Stenson",52,NA,2020.75,267,167,"ProximitytoHoleARG",2007
103,103,"Charles Warren",101,NA,4737.917,628,157,"ProximitytoHoleARG",2007
103,103,"Charlie Wi",90,NA,4300.833,569,54,"ProximitytoHoleARG",2007
103,103,"Dean Wilson",92,NA,3918.583,516,52,"ProximitytoHoleARG",2007
117,117,"Eric Axley",107,NA,5299.667,694,139,"ProximitytoHoleARG",2007
117,117,"Bart Bryant",87,NA,3818.75,500,59,"ProximitytoHoleARG",2007
117,117,"Gavin Coles",87,NA,4000.667,524,10,"ProximitytoHoleARG",2007
117,117,"Chris DiMarco",79,NA,3528.083,458,156,"ProximitytoHoleARG",2007
117,117,"Mark Hensby",81,NA,4043.583,529,85,"ProximitytoHoleARG",2007
117,117,"Stephen Leaney",82,NA,3426.333,449,50,"ProximitytoHoleARG",2007
117,117,"Will Ma Kenzie",100,NA,4859,635,128,"ProximitytoHoleARG",2007
117,117,"Darron Stiles",65,NA,2699.583,352,180,"ProximitytoHoleARG",2007
125,125,"Bubba Dickerson",51,NA,2713.583,349,178,"ProximitytoHoleARG",2007
125,125,"Tom Johnson",74,NA,3550.417,457,157,"ProximitytoHoleARG",2007
125,125,"Steve Lowery",74,NA,3695.25,475,125,"ProximitytoHoleARG",2007
125,125,"Jesper Parnevik",88,NA,4027.667,522,103,"ProximitytoHoleARG",2007
125,125,"Jay Williamson",50,NA,2507.333,322,89,"ProximitytoHoleARG",2007
130,130,"Robert Allenby",90,NA,3766.333,480,163,"ProximitytoHoleARG",2007
