"FairwayApproachRTPScore_RANKTHISWEEK_2016","FairwayApproachRTPScore_RANKLASTWEEK_2016","FairwayApproachRTPScore_PLAYERNAME_2016","FairwayApproachRTPScore_ROUNDS_2016","FairwayApproachRTPScore_AVGRTP_2016","stat_name","year"
80,101,"Scott Stallings",46,-0.075,"FairwayApproachRTPScore",2016
80,89,"Brendan Steele",48,-0.075,"FairwayApproachRTPScore",2016
80,60,"David Toms",38,-0.075,"FairwayApproachRTPScore",2016
86,94,"Jon Curran",55,-0.074,"FairwayApproachRTPScore",2016
86,94,"Luke Guthrie",31,-0.074,"FairwayApproachRTPScore",2016
88,96,"Sergio Garcia",28,-0.073,"FairwayApproachRTPScore",2016
88,96,"John Huh",51,-0.073,"FairwayApproachRTPScore",2016
90,89,"Jonas Blixt",46,-0.072,"FairwayApproachRTPScore",2016
91,76,"Jason Bohn",37,-0.071,"FairwayApproachRTPScore",2016
91,98,"Jamie Donaldson",28,-0.071,"FairwayApproachRTPScore",2016
91,86,"Ernie Els",34,-0.071,"FairwayApproachRTPScore",2016
91,83,"Henrik Norlander",41,-0.071,"FairwayApproachRTPScore",2016
91,83,"Patrick Rodgers",49,-0.071,"FairwayApproachRTPScore",2016
96,89,"Kyle Stanley",57,-0.07,"FairwayApproachRTPScore",2016
97,103,"Kevin Chappell",49,-0.069,"FairwayApproachRTPScore",2016
97,89,"Tom Hoge",47,-0.069,"FairwayApproachRTPScore",2016
99,105,"Mark Hubbard",73,-0.068,"FairwayApproachRTPScore",2016
99,112,"Jeff Overton",51,-0.068,"FairwayApproachRTPScore",2016
101,105,"Stuart Appleby",39,-0.067,"FairwayApproachRTPScore",2016
101,86,"Chad Campbell",54,-0.067,"FairwayApproachRTPScore",2016
101,56,"Rob Oppenheim",37,-0.067,"FairwayApproachRTPScore",2016
101,118,"Greg Owen",56,-0.067,"FairwayApproachRTPScore",2016
105,110,"Billy Horschel",45,-0.065,"FairwayApproachRTPScore",2016
105,103,"Jason Kokrak",52,-0.065,"FairwayApproachRTPScore",2016
107,112,"Brooks Koepka",39,-0.064,"FairwayApproachRTPScore",2016
108,115,"Jason Dufner",53,-0.063,"FairwayApproachRTPScore",2016
108,83,"Martin Laird",46,-0.063,"FairwayApproachRTPScore",2016
108,115,"Hudson Swafford",52,-0.063,"FairwayApproachRTPScore",2016
108,108,"Tyrone Van Aswegen",67,-0.063,"FairwayApproachRTPScore",2016
112,118,"Graeme McDowell",33,-0.062,"FairwayApproachRTPScore",2016
112,118,"Seung Yul Noh",54,-0.062,"FairwayApproachRTPScore",2016
114,110,"Harris English",51,-0.061,"FairwayApproachRTPScore",2016
114,101,"Martin Piller",37,-0.061,"FairwayApproachRTPScore",2016
116,108,"Padraig Harrington",38,-0.06,"FairwayApproachRTPScore",2016
116,107,"Peter Malnati",53,-0.06,"FairwayApproachRTPScore",2016
118,124,"DJ Trahan",23,-0.058,"FairwayApproachRTPScore",2016
119,98,"Tyler Aldridge",53,-0.057,"FairwayApproachRTPScore",2016
119,124,"Vaughn Taylor",30,-0.057,"FairwayApproachRTPScore",2016
121,129,"Stewart Cink",45,-0.056,"FairwayApproachRTPScore",2016
121,129,"Sung Kang",51,-0.056,"FairwayApproachRTPScore",2016
121,129,"Andy Sullivan",25,-0.056,"FairwayApproachRTPScore",2016
121,129,"Daniel Summerhays",55,-0.056,"FairwayApproachRTPScore",2016
121,115,"Will Wilcox",47,-0.056,"FairwayApproachRTPScore",2016
126,124,"Cameron Tringale",47,-0.055,"FairwayApproachRTPScore",2016
127,133,"Andrew Landry",24,-0.054,"FairwayApproachRTPScore",2016
128,123,"Luke List",51,-0.053,"FairwayApproachRTPScore",2016
128,112,"Shane Lowry",35,-0.053,"FairwayApproachRTPScore",2016
128,124,"Justin Thomas",53,-0.053,"FairwayApproachRTPScore",2016
128,142,"Gary Woodland",45,-0.053,"FairwayApproachRTPScore",2016
132,118,"Graham DeLaet",50,-0.052,"FairwayApproachRTPScore",2016
132,118,"Derek Fathauer",58,-0.052,"FairwayApproachRTPScore",2016
132,135,"Cameron Percy",22,-0.052,"FairwayApproachRTPScore",2016
135,124,"Brett Stegmaier",57,-0.051,"FairwayApproachRTPScore",2016
136,137,"Bernd Wiesberger",23,-0.05,"FairwayApproachRTPScore",2016
137,136,"Brendon de Jonge",55,-0.049,"FairwayApproachRTPScore",2016
138,139,"Thomas Aiken",42,-0.047,"FairwayApproachRTPScore",2016
138,141,"JJ Henry",44,-0.047,"FairwayApproachRTPScore",2016
138,134,"Will Ma Kenzie",54,-0.047,"FairwayApproachRTPScore",2016
141,146,"Hunter Mahan",43,-0.046,"FairwayApproachRTPScore",2016
142,143,"Colt Knost",56,-0.042,"FairwayApproachRTPScore",2016
142,155,"Anirban Lahiri",44,-0.042,"FairwayApproachRTPScore",2016
144,139,"Jason Gore",51,-0.041,"FairwayApproachRTPScore",2016
144,143,"Michael Kim",62,-0.041,"FairwayApproachRTPScore",2016
146,143,"Zac Blair",56,-0.04,"FairwayApproachRTPScore",2016
147,151,"Louis Oosthuizen",25,-0.039,"FairwayApproachRTPScore",2016
147,151,"Andres Romero",22,-0.039,"FairwayApproachRTPScore",2016
149,138,"Bronson Burgoon",53,-0.038,"FairwayApproachRTPScore",2016
149,149,"Scott Langley",41,-0.038,"FairwayApproachRTPScore",2016
151,158,"Rhein Gibson",36,-0.037,"FairwayApproachRTPScore",2016
152,159,"Sam Saunders",40,-0.036,"FairwayApproachRTPScore",2016
152,149,"Chris Stroud",52,-0.036,"FairwayApproachRTPScore",2016
154,155,"Brian Harman",60,-0.035,"FairwayApproachRTPScore",2016
154,161,"Francesco Molinari",36,-0.035,"FairwayApproachRTPScore",2016
156,151,"Scott Brown",59,-0.034,"FairwayApproachRTPScore",2016
156,161,"Wes Roach",33,-0.034,"FairwayApproachRTPScore",2016
156,155,"Robert Streb",51,-0.034,"FairwayApproachRTPScore",2016
156,147,"Boo Weekley",53,-0.034,"FairwayApproachRTPScore",2016
160,160,"Ben Crane",48,-0.032,"FairwayApproachRTPScore",2016
160,147,"Whee Kim",54,-0.032,"FairwayApproachRTPScore",2016
162,164,"Billy Hurley III",22,-0.029,"FairwayApproachRTPScore",2016
162,173,"Steve Wheatcroft",53,-0.029,"FairwayApproachRTPScore",2016
164,163,"Chad Collins",45,-0.028,"FairwayApproachRTPScore",2016
164,176,"Derek Ernst",36,-0.028,"FairwayApproachRTPScore",2016
164,168,"Branden Grace",31,-0.028,"FairwayApproachRTPScore",2016
164,168,"Jerry Kelly",44,-0.028,"FairwayApproachRTPScore",2016
168,176,"James Hahn",45,-0.027,"FairwayApproachRTPScore",2016
168,164,"Ian Poulter",37,-0.027,"FairwayApproachRTPScore",2016
170,171,"Pat Perez",28,-0.025,"FairwayApproachRTPScore",2016
171,175,"Keegan Bradley",40,-0.022,"FairwayApproachRTPScore",2016
172,187,"DH Lee",35,-0.021,"FairwayApproachRTPScore",2016
173,171,"Erik Compton",45,-0.02,"FairwayApproachRTPScore",2016
174,182,"Steven Bowditch",40,-0.019,"FairwayApproachRTPScore",2016
174,170,"Andres Gonzales",46,-0.019,"FairwayApproachRTPScore",2016
176,151,"Justin Hicks",26,-0.018,"FairwayApproachRTPScore",2016
177,164,"Davis Love III",40,-0.016,"FairwayApproachRTPScore",2016
177,181,"Scott Pinckney",53,-0.016,"FairwayApproachRTPScore",2016
177,180,"Brendon Todd",43,-0.016,"FairwayApproachRTPScore",2016
180,188,"Tony Finau",49,-0.015,"FairwayApproachRTPScore",2016
180,182,"Vijay Singh",42,-0.015,"FairwayApproachRTPScore",2016
180,173,"Cameron Smith",45,-0.015,"FairwayApproachRTPScore",2016
183,182,"Abraham Ancer",26,-0.014,"FairwayApproachRTPScore",2016
183,182,"Lucas Lee",22,-0.014,"FairwayApproachRTPScore",2016
185,164,"Morgan Hoffmann",43,-0.013,"FairwayApproachRTPScore",2016
186,176,"Matt Jones",45,-0.011,"FairwayApproachRTPScore",2016
187,192,"Angel Cabrera",42,-0.01,"FairwayApproachRTPScore",2016
187,179,"Shawn Stefani",45,-0.01,"FairwayApproachRTPScore",2016
189,186,"Steve Marino",40,-0.009,"FairwayApproachRTPScore",2016
190,190,"Carl Pettersson",31,-0.003,"FairwayApproachRTPScore",2016
191,189,"DA Points",32,0,"FairwayApproachRTPScore",2016
192,195,"Hiroshi Iwata",51,0.005,"FairwayApproachRTPScore",2016
193,194,"Dicky Pride",33,0.007,"FairwayApproachRTPScore",2016
194,190,"George McNeill",33,0.008,"FairwayApproachRTPScore",2016
194,193,"Geoff Ogilvy",37,0.008,"FairwayApproachRTPScore",2016
196,197,"Mark Wilson",42,0.014,"FairwayApproachRTPScore",2016
197,198,"Justin Leonard",28,0.016,"FairwayApproachRTPScore",2016
198,199,"Brian Gay",22,0.017,"FairwayApproachRTPScore",2016
199,200,"Matthew Fitzpatrick",23,0.018,"FairwayApproachRTPScore",2016
200,201,"Miguel Angel Carballo",24,0.019,"FairwayApproachRTPScore",2016
201,195,"Carlos Ortiz",47,0.02,"FairwayApproachRTPScore",2016
202,202,"Matt Every",34,0.03,"FairwayApproachRTPScore",2016
203,204,"Rory Sabbatini",40,0.058,"FairwayApproachRTPScore",2016
204,205,"Darron Stiles",28,0.064,"FairwayApproachRTPScore",2016
205,206,"Ken Duke",26,0.071,"FairwayApproachRTPScore",2016
206,207,"Robert Allenby",35,0.073,"FairwayApproachRTPScore",2016
207,208,"Charlie Beljan",26,0.132,"FairwayApproachRTPScore",2016
