"AverageApproachDistanceBogeyorWorse_RANKTHISWEEK_2005","AverageApproachDistanceBogeyorWorse_RANKLASTWEEK_2005","AverageApproachDistanceBogeyorWorse_PLAYERNAME_2005","AverageApproachDistanceBogeyorWorse_ROUNDS_2005","AverageApproachDistanceBogeyorWorse_AVGYARDS_2005","AverageApproachDistanceBogeyorWorse_TOTALDISTANCEINCHES_2005","AverageApproachDistanceBogeyorWorse_NUMBEROFAPPROACHSHOTS_2005","stat_name","year"
1,1,"Brenden Pappas",51,145.8,829428,158,"AverageApproachDistanceBogeyorWorse",2005
2,2,"Jose Maria Olazabal",55,146.1,520633,99,"AverageApproachDistanceBogeyorWorse",2005
3,3,"Tag Ridings",93,148.7,1418302,265,"AverageApproachDistanceBogeyorWorse",2005
4,4,"John Elliott",58,149.1,1110838,207,"AverageApproachDistanceBogeyorWorse",2005
5,5,"Lee Westwood",50,149.3,602152,112,"AverageApproachDistanceBogeyorWorse",2005
6,6,"Bill Glasson",54,149.9,734108,136,"AverageApproachDistanceBogeyorWorse",2005
7,7,"Freddie Jacobson",72,150.4,968908,179,"AverageApproachDistanceBogeyorWorse",2005
8,8,"KJ Choi",78,151.6,872980,160,"AverageApproachDistanceBogeyorWorse",2005
9,9,"Michael Allen",90,151.9,1279417,234,"AverageApproachDistanceBogeyorWorse",2005
10,10,"Daniel Chopra",108,152.3,1442393,263,"AverageApproachDistanceBogeyorWorse",2005
10,10,"Brendan Jones",81,152.3,1184189,216,"AverageApproachDistanceBogeyorWorse",2005
12,12,"Steve Flesch",90,152.5,1196630,218,"AverageApproachDistanceBogeyorWorse",2005
13,13,"Brent Geiberger",61,152.8,891193,162,"AverageApproachDistanceBogeyorWorse",2005
14,14,"Rory Sabbatini",81,152.9,1023999,186,"AverageApproachDistanceBogeyorWorse",2005
15,15,"John Daly",78,153,1117965,203,"AverageApproachDistanceBogeyorWorse",2005
16,16,"Mathias Gronberg",60,153.1,881618,160,"AverageApproachDistanceBogeyorWorse",2005
17,17,"Ian Poulter",62,153.2,744743,135,"AverageApproachDistanceBogeyorWorse",2005
18,18,"Stuart Appleby",84,153.5,933638,169,"AverageApproachDistanceBogeyorWorse",2005
19,19,"Glen Day",80,153.9,1290685,233,"AverageApproachDistanceBogeyorWorse",2005
20,20,"Franklin Langham",91,154,1391526,251,"AverageApproachDistanceBogeyorWorse",2005
20,20,"Charles Warren",89,154,1491481,269,"AverageApproachDistanceBogeyorWorse",2005
22,22,"Kenny Perry",82,154.1,876404,158,"AverageApproachDistanceBogeyorWorse",2005
22,22,"Phillip Price",77,154.1,931709,168,"AverageApproachDistanceBogeyorWorse",2005
22,22,"Brett Quigley",96,154.1,1304018,235,"AverageApproachDistanceBogeyorWorse",2005
25,25,"Harrison Frazar",105,154.3,1505442,271,"AverageApproachDistanceBogeyorWorse",2005
26,26,"Todd Fischer",99,154.4,1595345,287,"AverageApproachDistanceBogeyorWorse",2005
27,27,"Matt Davidson",53,154.5,1040340,187,"AverageApproachDistanceBogeyorWorse",2005
27,27,"Lucas Glover",88,154.5,1251265,225,"AverageApproachDistanceBogeyorWorse",2005
27,27,"Charlie Wi",67,154.5,1090231,196,"AverageApproachDistanceBogeyorWorse",2005
30,30,"Jonathan Byrd",103,154.6,1602709,288,"AverageApproachDistanceBogeyorWorse",2005
30,30,"Dudley Hart",84,154.6,1046405,188,"AverageApproachDistanceBogeyorWorse",2005
30,30,"Mario Tiziani",67,154.6,968107,174,"AverageApproachDistanceBogeyorWorse",2005
33,33,"Chad Campbell",95,154.7,1186272,213,"AverageApproachDistanceBogeyorWorse",2005
34,34,"Hunter Mahan",103,154.8,1621592,291,"AverageApproachDistanceBogeyorWorse",2005
34,34,"Kirk Triplett",55,154.8,702295,126,"AverageApproachDistanceBogeyorWorse",2005
36,36,"Brian Bateman",98,155,1584354,284,"AverageApproachDistanceBogeyorWorse",2005
37,37,"Retief Goosen",71,155.4,665807,119,"AverageApproachDistanceBogeyorWorse",2005
37,37,"Bob Tway",87,155.4,917725,164,"AverageApproachDistanceBogeyorWorse",2005
39,39,"Rich Beem",66,155.5,895392,160,"AverageApproachDistanceBogeyorWorse",2005
40,40,"Robert Gamez",91,155.6,1416885,253,"AverageApproachDistanceBogeyorWorse",2005
40,40,"Bradley Hughes",52,155.6,935712,167,"AverageApproachDistanceBogeyorWorse",2005
42,42,"Brandt Jobe",96,155.7,1333899,238,"AverageApproachDistanceBogeyorWorse",2005
43,43,"Bob Heintz",67,155.8,1065693,190,"AverageApproachDistanceBogeyorWorse",2005
43,43,"JL Lewis",98,155.8,1324004,236,"AverageApproachDistanceBogeyorWorse",2005
45,45,"Steve Allan",102,155.9,1722782,307,"AverageApproachDistanceBogeyorWorse",2005
46,46,"Matt Kuchar",60,156,881792,157,"AverageApproachDistanceBogeyorWorse",2005
46,46,"Rod Pampling",89,156,1173620,209,"AverageApproachDistanceBogeyorWorse",2005
46,46,"Nick Watney",91,156,1336943,238,"AverageApproachDistanceBogeyorWorse",2005
46,46,"Jay Williamson",53,156,797307,142,"AverageApproachDistanceBogeyorWorse",2005
50,50,"Ted Purdy",122,156.1,1866098,332,"AverageApproachDistanceBogeyorWorse",2005
50,50,"Brett Wetterich",76,156.1,1157810,206,"AverageApproachDistanceBogeyorWorse",2005
52,52,"Marco Dawson",82,156.2,1220112,217,"AverageApproachDistanceBogeyorWorse",2005
52,52,"Patrick Sheehan",114,156.2,1776536,316,"AverageApproachDistanceBogeyorWorse",2005
54,54,"Kevin Sutherland",89,156.3,1091812,194,"AverageApproachDistanceBogeyorWorse",2005
55,55,"Kevin Stadler",96,156.4,1542728,274,"AverageApproachDistanceBogeyorWorse",2005
56,56,"Scott Gutschewski",86,156.5,1183073,210,"AverageApproachDistanceBogeyorWorse",2005
56,56,"Ryan Palmer",101,156.5,1464749,260,"AverageApproachDistanceBogeyorWorse",2005
56,56,"Vijay Singh",111,156.5,1076142,191,"AverageApproachDistanceBogeyorWorse",2005
59,59,"Roland Thatcher",75,156.6,1189622,211,"AverageApproachDistanceBogeyorWorse",2005
60,60,"Woody Austin",100,156.7,1551561,275,"AverageApproachDistanceBogeyorWorse",2005
60,60,"Hank Kuehne",84,156.7,1511620,268,"AverageApproachDistanceBogeyorWorse",2005
60,60,"Rocco Mediate",73,156.7,1088970,193,"AverageApproachDistanceBogeyorWorse",2005
