"GoodDrivePercentage_RANKTHISWEEK_2010","GoodDrivePercentage_RANKLASTWEEK_2010","GoodDrivePercentage_PLAYERNAME_2010","GoodDrivePercentage_ROUNDS_2010","GoodDrivePercentage_Pct_2010","GoodDrivePercentage_HIT_2010","GoodDrivePercentage_TOTALATTEMPTS_2010","stat_name","year"
1,1,"Tim Clark",88,87.87,1043,1187,"GoodDrivePercentage",2010
2,2,"Ben Crane",85,87.83,1010,1150,"GoodDrivePercentage",2010
3,3,"Kevin Sutherland",86,87.01,1038,1193,"GoodDrivePercentage",2010
4,4,"Hunter Mahan",85,86.94,1025,1179,"GoodDrivePercentage",2010
5,5,"Bill Haas",87,86.57,1051,1214,"GoodDrivePercentage",2010
6,6,"DJ Trahan",92,86.46,1111,1285,"GoodDrivePercentage",2010
7,7,"Steve Stricker",73,86.42,878,1016,"GoodDrivePercentage",2010
8,8,"John Senden",103,86.35,1246,1443,"GoodDrivePercentage",2010
9,9,"Will Ma Kenzie",72,86.16,865,1004,"GoodDrivePercentage",2010
10,10,"Chris Couch",66,86.09,792,920,"GoodDrivePercentage",2010
10,10,"Brian Gay",101,86.09,1182,1373,"GoodDrivePercentage",2010
12,12,"David Toms",86,85.98,1018,1184,"GoodDrivePercentage",2010
13,13,"Jason Dufner",87,85.86,1044,1216,"GoodDrivePercentage",2010
14,14,"Adam Scott",70,85.76,819,955,"GoodDrivePercentage",2010
15,15,"Paul Goydos",78,85.61,934,1091,"GoodDrivePercentage",2010
16,16,"Jim Furyk",76,85.6,886,1035,"GoodDrivePercentage",2010
17,17,"Davis Love III",79,85.57,949,1109,"GoodDrivePercentage",2010
17,17,"Ryan Moore",80,85.57,949,1109,"GoodDrivePercentage",2010
19,19,"Stephen Ames",75,85.56,883,1032,"GoodDrivePercentage",2010
20,20,"Matt Kuchar",97,85.48,1142,1336,"GoodDrivePercentage",2010
21,21,"Jonathan Byrd",85,85.38,1010,1183,"GoodDrivePercentage",2010
22,22,"Vaughn Taylor",87,85.33,1035,1213,"GoodDrivePercentage",2010
23,23,"Nick Watney",91,85.31,1057,1239,"GoodDrivePercentage",2010
24,24,"Kenny Perry",69,85.15,814,956,"GoodDrivePercentage",2010
25,25,"Ben Curtis",78,85.13,933,1096,"GoodDrivePercentage",2010
26,26,"Troy Matteson",84,84.97,1001,1178,"GoodDrivePercentage",2010
27,27,"John Rollins",81,84.85,963,1135,"GoodDrivePercentage",2010
28,28,"Tom Gillis",97,84.83,1146,1351,"GoodDrivePercentage",2010
29,29,"Rickie Fowler",98,84.79,1165,1374,"GoodDrivePercentage",2010
30,30,"Zach Johnson",93,84.65,1086,1283,"GoodDrivePercentage",2010
31,31,"Jason Bohn",84,84.6,989,1169,"GoodDrivePercentage",2010
32,32,"Robert Allenby",76,84.58,883,1044,"GoodDrivePercentage",2010
33,33,"Scott Verplank",74,84.52,868,1027,"GoodDrivePercentage",2010
34,34,"Sean OHair",84,84.5,976,1155,"GoodDrivePercentage",2010
35,35,"Heath Slocum",97,84.4,1152,1365,"GoodDrivePercentage",2010
36,36,"Bo Van Pelt",104,84.33,1232,1461,"GoodDrivePercentage",2010
37,37,"Tim Petrovic",105,84.26,1237,1468,"GoodDrivePercentage",2010
38,38,"Scott McCarron",90,84.24,1053,1250,"GoodDrivePercentage",2010
39,39,"YE Yang",72,84.07,834,992,"GoodDrivePercentage",2010
40,40,"Stewart Cink",84,83.98,949,1130,"GoodDrivePercentage",2010
41,41,"Greg Owen",69,83.96,806,960,"GoodDrivePercentage",2010
41,41,"Justin Rose",78,83.96,916,1091,"GoodDrivePercentage",2010
43,43,"Freddie Jacobson",83,83.88,973,1160,"GoodDrivePercentage",2010
44,44,"DA Points",90,83.85,1054,1257,"GoodDrivePercentage",2010
45,45,"Mathew Goggin",85,83.84,996,1188,"GoodDrivePercentage",2010
46,46,"Chad Campbell",95,83.68,1097,1311,"GoodDrivePercentage",2010
47,47,"Brian Davis",101,83.64,1176,1406,"GoodDrivePercentage",2010
48,48,"Michael Letzig",84,83.58,977,1169,"GoodDrivePercentage",2010
49,49,"Bubba Watson",77,83.55,899,1076,"GoodDrivePercentage",2010
50,50,"Rocco Mediate",71,83.47,823,986,"GoodDrivePercentage",2010
51,51,"Justin Leonard",89,83.43,1027,1231,"GoodDrivePercentage",2010
