"Scrambling_RANKTHISWEEK_2008","Scrambling_RANKLASTWEEK_2008","Scrambling_PLAYERNAME_2008","Scrambling_ROUNDS_2008","Scrambling_Pct_2008","Scrambling_PARORBETTER_2008","Scrambling_MISSEDGIR_2008","stat_name","year"
1,1,"Brian Gay",102,64.82,398,614,"Scrambling",2008
2,2,"Chris Riley",51,64.75,191,295,"Scrambling",2008
3,3,"Corey Pavin",69,64.43,317,492,"Scrambling",2008
4,4,"Charlie Wi",97,63.14,370,586,"Scrambling",2008
5,5,"Briny Baird",113,62.43,354,567,"Scrambling",2008
6,6,"Glen Day",64,62.37,232,372,"Scrambling",2008
7,7,"Mike Weir",88,62.27,345,554,"Scrambling",2008
8,8,"Omar Uresti",74,62.19,273,439,"Scrambling",2008
9,9,"Gavin Coles",54,62.13,169,272,"Scrambling",2008
10,10,"Tim Herron",97,62.03,392,632,"Scrambling",2008
11,11,"Tom Pernice Jr",104,61.9,416,672,"Scrambling",2008
12,12,"Steve Stricker",75,61.83,290,469,"Scrambling",2008
13,13,"Kevin Na",97,61.79,393,636,"Scrambling",2008
14,14,"Matt Kuchar",88,61.73,329,533,"Scrambling",2008
14,14,"Shigeki Maruyama",50,61.73,200,324,"Scrambling",2008
16,16,"Ben Crane",86,61.51,326,530,"Scrambling",2008
17,17,"Brian Davis",108,61.39,415,676,"Scrambling",2008
18,18,"Shane Bertsch",96,61.35,381,621,"Scrambling",2008
19,19,"Scott Sterling",89,61.25,294,480,"Scrambling",2008
20,20,"Dudley Hart",74,61.12,261,427,"Scrambling",2008
21,21,"Padraig Harrington",52,61.02,216,354,"Scrambling",2008
22,22,"Nick OHern",82,61.01,313,513,"Scrambling",2008
23,23,"Jesper Parnevik",88,60.98,361,592,"Scrambling",2008
24,24,"Craig Kanada",65,60.55,241,398,"Scrambling",2008
25,25,"Kevin Sutherland",98,60.43,339,561,"Scrambling",2008
26,26,"Phil Mickelson",80,60.42,290,480,"Scrambling",2008
27,27,"Bob Tway",70,60.37,227,376,"Scrambling",2008
28,28,"Tim Wilkinson",95,60.33,327,542,"Scrambling",2008
29,29,"Jim Furyk",95,60.32,339,562,"Scrambling",2008
30,30,"Stuart Appleby",87,60.24,347,576,"Scrambling",2008
31,31,"Mark Wilson",107,60.13,383,637,"Scrambling",2008
32,32,"Nathan Green",95,60.12,413,687,"Scrambling",2008
33,33,"Bob Estes",90,60.08,298,496,"Scrambling",2008
34,34,"Ryuji Imada",80,60.07,334,556,"Scrambling",2008
34,34,"Justin Leonard",101,60.07,343,571,"Scrambling",2008
34,34,"Billy Mayfair",103,60.07,355,591,"Scrambling",2008
