"TenthTeeLatePar5ScoringAverage_RANKTHISWEEK_2010","TenthTeeLatePar5ScoringAverage_RANKLASTWEEK_2010","TenthTeeLatePar5ScoringAverage_PLAYERNAME_2010","TenthTeeLatePar5ScoringAverage_ROUNDS_2010","TenthTeeLatePar5ScoringAverage_AVG_2010","TenthTeeLatePar5ScoringAverage_TOTALSTROKES_2010","TenthTeeLatePar5ScoringAverage_TOTALHOLES_2010","stat_name","year"
1,1,"Bubba Watson",77,4.17,125,30,"TenthTeeLatePar5ScoringAverage",2010
2,2,"Sergio Garcia",58,4.25,51,12,"TenthTeeLatePar5ScoringAverage",2010
3,3,"John Daly",63,4.35,135,31,"TenthTeeLatePar5ScoringAverage",2010
4,4,"JP Hayes",79,4.38,105,24,"TenthTeeLatePar5ScoringAverage",2010
5,5,"George McNeill",79,4.43,155,35,"TenthTeeLatePar5ScoringAverage",2010
6,6,"Jarrod Lyle",54,4.44,71,16,"TenthTeeLatePar5ScoringAverage",2010
7,7,"Vijay Singh",75,4.45,98,22,"TenthTeeLatePar5ScoringAverage",2010
8,8,"Charlie Wi",95,4.47,143,32,"TenthTeeLatePar5ScoringAverage",2010
9,9,"Robert Allenby",76,4.48,130,29,"TenthTeeLatePar5ScoringAverage",2010
10,10,"Alex Prugh",88,4.49,202,45,"TenthTeeLatePar5ScoringAverage",2010
11,11,"Hunter Mahan",85,4.5,162,36,"TenthTeeLatePar5ScoringAverage",2010
11,11,"Bo Van Pelt",104,4.5,144,32,"TenthTeeLatePar5ScoringAverage",2010
13,13,"Robert Garrigus",71,4.51,176,39,"TenthTeeLatePar5ScoringAverage",2010
13,13,"Tom Gillis",97,4.51,356,79,"TenthTeeLatePar5ScoringAverage",2010
15,15,"Stewart Cink",84,4.52,131,29,"TenthTeeLatePar5ScoringAverage",2010
15,15,"Bill Haas",87,4.52,226,50,"TenthTeeLatePar5ScoringAverage",2010
15,15,"Scott Piercy",88,4.52,298,66,"TenthTeeLatePar5ScoringAverage",2010
18,18,"Padraig Harrington",57,4.53,77,17,"TenthTeeLatePar5ScoringAverage",2010
18,18,"Charles Howell III",103,4.53,222,49,"TenthTeeLatePar5ScoringAverage",2010
18,18,"Spencer Levin",110,4.53,272,60,"TenthTeeLatePar5ScoringAverage",2010
21,21,"Chad Collins",87,4.55,232,51,"TenthTeeLatePar5ScoringAverage",2010
22,22,"Brendon de Jonge",114,4.56,287,63,"TenthTeeLatePar5ScoringAverage",2010
22,22,"Martin Laird",91,4.56,269,59,"TenthTeeLatePar5ScoringAverage",2010
22,22,"Kenny Perry",69,4.56,114,25,"TenthTeeLatePar5ScoringAverage",2010
22,22,"Tim Petrovic",105,4.56,301,66,"TenthTeeLatePar5ScoringAverage",2010
26,26,"Aaron Baddeley",94,4.57,274,60,"TenthTeeLatePar5ScoringAverage",2010
26,26,"Chris Couch",66,4.57,242,53,"TenthTeeLatePar5ScoringAverage",2010
26,26,"JB Holmes",100,4.57,233,51,"TenthTeeLatePar5ScoringAverage",2010
26,26,"Justin Rose",78,4.57,128,28,"TenthTeeLatePar5ScoringAverage",2010
26,26,"Nick Watney",91,4.57,137,30,"TenthTeeLatePar5ScoringAverage",2010
31,31,"Matt Bettencourt",91,4.59,266,58,"TenthTeeLatePar5ScoringAverage",2010
31,31,"Tim Clark",88,4.59,188,41,"TenthTeeLatePar5ScoringAverage",2010
31,31,"Jason Day",82,4.59,188,41,"TenthTeeLatePar5ScoringAverage",2010
