"OverallPuttingAverage_RANKTHISWEEK_2016","OverallPuttingAverage_RANKLASTWEEK_2016","OverallPuttingAverage_PLAYERNAME_2016","OverallPuttingAverage_ROUNDS_2016","OverallPuttingAverage_AVG_2016","OverallPuttingAverage_OFPUTTS_2016","OverallPuttingAverage_OFHOLES_2016","stat_name","year"
1,1,"Brian Gay",22,1.515,600,396,"OverallPuttingAverage",2016
2,2,"Jordan Spieth",34,1.522,822,540,"OverallPuttingAverage",2016
3,3,"Patrick Reed",53,1.523,1343,882,"OverallPuttingAverage",2016
4,4,"Aaron Baddeley",51,1.531,1405,918,"OverallPuttingAverage",2016
4,4,"Steve Stricker",25,1.531,689,450,"OverallPuttingAverage",2016
6,7,"Jonas Blixt",46,1.542,1277,828,"OverallPuttingAverage",2016
7,6,"David Lingmerth",54,1.545,1418,918,"OverallPuttingAverage",2016
8,9,"Phil Mickelson",37,1.547,947,612,"OverallPuttingAverage",2016
9,16,"Brendon Todd",43,1.558,1206,774,"OverallPuttingAverage",2016
10,10,"Carl Pettersson",31,1.563,872,558,"OverallPuttingAverage",2016
10,8,"Brian Stuard",24,1.563,675,432,"OverallPuttingAverage",2016
12,34,"Tim Wilkinson",40,1.564,1126,720,"OverallPuttingAverage",2016
13,11,"Peter Malnati",53,1.568,1496,954,"OverallPuttingAverage",2016
14,13,"Freddie Jacobson",54,1.569,1525,972,"OverallPuttingAverage",2016
15,14,"Marc Leishman",41,1.57,1074,684,"OverallPuttingAverage",2016
15,19,"Daniel Summerhays",55,1.57,1554,990,"OverallPuttingAverage",2016
15,20,"Steve Wheatcroft",53,1.57,1498,954,"OverallPuttingAverage",2016
18,15,"Brandt Snedeker",47,1.571,1216,774,"OverallPuttingAverage",2016
19,16,"Jon Curran",55,1.572,1556,990,"OverallPuttingAverage",2016
19,16,"Andrew Loupe",50,1.572,1415,900,"OverallPuttingAverage",2016
21,12,"Stuart Appleby",39,1.574,1105,702,"OverallPuttingAverage",2016
22,22,"Erik Compton",45,1.575,1276,810,"OverallPuttingAverage",2016
23,24,"Jason Day",36,1.577,823,522,"OverallPuttingAverage",2016
23,29,"Patton Kizzire",57,1.577,1504,954,"OverallPuttingAverage",2016
23,24,"Justin Leonard",28,1.577,795,504,"OverallPuttingAverage",2016
26,23,"Zac Blair",56,1.578,1591,1008,"OverallPuttingAverage",2016
26,27,"Bryce Molder",50,1.578,1420,900,"OverallPuttingAverage",2016
28,29,"Troy Merritt",41,1.579,1165,738,"OverallPuttingAverage",2016
29,34,"Ricky Barnes",57,1.58,1621,1026,"OverallPuttingAverage",2016
29,20,"Derek Fathauer",58,1.58,1649,1044,"OverallPuttingAverage",2016
29,56,"Retief Goosen",37,1.58,1052,666,"OverallPuttingAverage",2016
29,32,"Dustin Johnson",37,1.58,910,576,"OverallPuttingAverage",2016
33,34,"Jamie Donaldson",28,1.582,712,450,"OverallPuttingAverage",2016
33,27,"Hiroshi Iwata",51,1.582,1452,918,"OverallPuttingAverage",2016
33,24,"Michael Kim",62,1.582,1765,1116,"OverallPuttingAverage",2016
36,39,"Alex Cejka",47,1.583,1339,846,"OverallPuttingAverage",2016
36,38,"Brian Harman",60,1.583,1710,1080,"OverallPuttingAverage",2016
36,32,"Anirban Lahiri",44,1.583,1168,738,"OverallPuttingAverage",2016
39,29,"Will Wilcox",47,1.584,1340,846,"OverallPuttingAverage",2016
40,37,"Chad Collins",45,1.586,1285,810,"OverallPuttingAverage",2016
41,40,"Luke Guthrie",31,1.588,886,558,"OverallPuttingAverage",2016
41,40,"Charley Hoffman",49,1.588,1315,828,"OverallPuttingAverage",2016
41,40,"Dicky Pride",33,1.588,943,594,"OverallPuttingAverage",2016
44,49,"Ben Crane",48,1.589,1373,864,"OverallPuttingAverage",2016
44,49,"Tom Hoge",47,1.589,1344,846,"OverallPuttingAverage",2016
46,45,"Sean OHair",45,1.59,1288,810,"OverallPuttingAverage",2016
46,52,"Camilo Villegas",50,1.59,1431,900,"OverallPuttingAverage",2016
48,49,"JB Holmes",39,1.591,1031,648,"OverallPuttingAverage",2016
48,47,"Billy Hurley III",22,1.591,630,396,"OverallPuttingAverage",2016
50,40,"Si Woo Kim",63,1.592,1805,1134,"OverallPuttingAverage",2016
50,52,"Ryan Moore",40,1.592,1003,630,"OverallPuttingAverage",2016
52,52,"Chez Reavie",56,1.593,1606,1008,"OverallPuttingAverage",2016
52,52,"Jimmy Walker",43,1.593,1147,720,"OverallPuttingAverage",2016
54,56,"Padraig Harrington",38,1.595,1091,684,"OverallPuttingAverage",2016
54,59,"John Huh",51,1.595,1464,918,"OverallPuttingAverage",2016
54,47,"Colt Knost",56,1.595,1608,1008,"OverallPuttingAverage",2016
54,46,"Jamie Lovemark",57,1.595,1636,1026,"OverallPuttingAverage",2016
58,40,"Byeong Hun An",23,1.596,546,342,"OverallPuttingAverage",2016
58,63,"Jason Bohn",37,1.596,1063,666,"OverallPuttingAverage",2016
58,65,"Francesco Molinari",36,1.596,1034,648,"OverallPuttingAverage",2016
61,60,"KJ Choi",47,1.597,1351,846,"OverallPuttingAverage",2016
61,60,"Jerry Kelly",44,1.597,1265,792,"OverallPuttingAverage",2016
61,60,"Kevin Kisner",49,1.597,1322,828,"OverallPuttingAverage",2016
64,84,"Ernie Els",34,1.598,978,612,"OverallPuttingAverage",2016
64,78,"George McNeill",33,1.598,949,594,"OverallPuttingAverage",2016
64,95,"Vaughn Taylor",30,1.598,863,540,"OverallPuttingAverage",2016
67,68,"Mark Hubbard",73,1.599,2101,1314,"OverallPuttingAverage",2016
