"OverallPuttingAverage_RANKTHISWEEK_2014","OverallPuttingAverage_RANKLASTWEEK_2014","OverallPuttingAverage_PLAYERNAME_2014","OverallPuttingAverage_ROUNDS_2014","OverallPuttingAverage_AVG_2014","OverallPuttingAverage_OFPUTTS_2014","OverallPuttingAverage_OFHOLES_2014","stat_name","year"
1,1,"Justin Leonard",75,1.543,2083,1350,"OverallPuttingAverage",2014
2,2,"Jordan Spieth",102,1.548,2730,1764,"OverallPuttingAverage",2014
3,3,"Aaron Baddeley",74,1.564,2027,1296,"OverallPuttingAverage",2014
3,3,"Greg Chalmers",85,1.564,2281,1458,"OverallPuttingAverage",2014
5,5,"Brian Gay",81,1.565,2225,1422,"OverallPuttingAverage",2014
6,6,"Charl Schwartzel",64,1.574,1757,1116,"OverallPuttingAverage",2014
6,6,"Brendon Todd",108,1.574,3059,1944,"OverallPuttingAverage",2014
8,8,"JB Holmes",86,1.575,2438,1548,"OverallPuttingAverage",2014
8,8,"Chris Stroud",88,1.575,2495,1584,"OverallPuttingAverage",2014
10,10,"Richard Lee",80,1.576,2213,1404,"OverallPuttingAverage",2014
11,11,"Freddie Jacobson",91,1.577,2583,1638,"OverallPuttingAverage",2014
12,12,"Chad Collins",78,1.578,2102,1332,"OverallPuttingAverage",2014
12,12,"Mike Weir",69,1.578,1846,1170,"OverallPuttingAverage",2014
14,14,"Stuart Appleby",92,1.579,2558,1620,"OverallPuttingAverage",2014
15,15,"Chris Kirk",105,1.58,2958,1872,"OverallPuttingAverage",2014
16,16,"Rickie Fowler",91,1.581,2419,1530,"OverallPuttingAverage",2014
16,16,"Kevin Na",94,1.581,2675,1692,"OverallPuttingAverage",2014
18,18,"Luke Guthrie",85,1.583,2422,1530,"OverallPuttingAverage",2014
19,19,"Morgan Hoffmann",103,1.585,2824,1782,"OverallPuttingAverage",2014
19,19,"Andres Romero",81,1.585,2197,1386,"OverallPuttingAverage",2014
21,21,"Jerry Kelly",80,1.586,2284,1440,"OverallPuttingAverage",2014
21,21,"Brian Stuard",91,1.586,2483,1566,"OverallPuttingAverage",2014
21,21,"Tim Wilkinson",86,1.586,2341,1476,"OverallPuttingAverage",2014
24,24,"Graeme McDowell",66,1.587,1771,1116,"OverallPuttingAverage",2014
24,24,"Charlie Wi",72,1.587,2000,1260,"OverallPuttingAverage",2014
26,26,"Brian Davis",93,1.588,2659,1674,"OverallPuttingAverage",2014
26,26,"Luke Donald",57,1.588,1601,1008,"OverallPuttingAverage",2014
