"ProximitytoHolefromRough_RANKTHISWEEK_2011","ProximitytoHolefromRough_RANKLASTWEEK_2011","ProximitytoHolefromRough_PLAYERNAME_2011","ProximitytoHolefromRough_ROUNDS_2011","ProximitytoHolefromRough_AVGDTP_2011","ProximitytoHolefromRough_TOTALDISTANCEFEET_2011","ProximitytoHolefromRough_OFSHOTS_2011","ProximitytoHolefromRough_SCRAMBLINGRANK_2011","stat_name","year"
1,1,"Jonathan Byrd",83,NA,1143.583,182,106,"ProximitytoHolefromRough",2011
2,2,"Ricky Barnes",78,NA,999.333,158,117,"ProximitytoHolefromRough",2011
2,2,"Steve Stricker",70,NA,789.583,124,2,"ProximitytoHolefromRough",2011
4,4,"Kevin Na",84,NA,1393.167,210,9,"ProximitytoHolefromRough",2011
5,5,"David Toms",78,NA,785.917,116,25,"ProximitytoHolefromRough",2011
6,6,"Stuart Appleby",65,NA,1134.75,166,128,"ProximitytoHolefromRough",2011
6,6,"Padraig Harrington",60,NA,876.5,128,49,"ProximitytoHolefromRough",2011
6,6,"Vijay Singh",79,NA,1060.417,156,105,"ProximitytoHolefromRough",2011
9,9,"Steve Elkington",50,NA,597.25,86,43,"ProximitytoHolefromRough",2011
9,9,"Brian Gay",90,NA,1105,160,7,"ProximitytoHolefromRough",2011
9,9,"Nate Smith",66,NA,819.167,118,90,"ProximitytoHolefromRough",2011
12,12,"Alex Cejka",59,NA,742.667,106,111,"ProximitytoHolefromRough",2011
12,12,"Freddie Jacobson",92,NA,1151.583,165,34,"ProximitytoHolefromRough",2011
12,12,"Ian Poulter",52,NA,645.417,92,122,"ProximitytoHolefromRough",2011
12,12,"Rory Sabbatini",85,NA,1041.667,149,84,"ProximitytoHolefromRough",2011
16,16,"Jason Dufner",78,NA,997.917,141,70,"ProximitytoHolefromRough",2011
16,16,"Trevor Immelman",84,NA,876.083,124,89,"ProximitytoHolefromRough",2011
16,16,"Bryce Molder",82,NA,1003.333,142,15,"ProximitytoHolefromRough",2011
16,16,"Mark Wilson",89,NA,1268.75,180,11,"ProximitytoHolefromRough",2011
20,20,"Justin Leonard",82,NA,1188.5,166,18,"ProximitytoHolefromRough",2011
20,20,"Spencer Levin",113,NA,1636.583,229,41,"ProximitytoHolefromRough",2011
20,20,"Phil Mickelson",79,NA,1215.083,169,17,"ProximitytoHolefromRough",2011
23,23,"Jason Day",76,NA,1068,148,3,"ProximitytoHolefromRough",2011
23,23,"Geoff Ogilvy",69,NA,1172.333,162,52,"ProximitytoHolefromRough",2011
23,23,"Michael Thompson",79,NA,1341.167,184,32,"ProximitytoHolefromRough",2011
26,26,"Charley Hoffman",93,NA,1553.083,212,163,"ProximitytoHolefromRough",2011
26,26,"Lee Janzen",62,NA,819.167,112,144,"ProximitytoHolefromRough",2011
26,26,"Tim Petrovic",88,NA,1423.75,195,38,"ProximitytoHolefromRough",2011
26,26,"Webb Simpson",98,NA,1266.25,172,16,"ProximitytoHolefromRough",2011
