"LateLowestRound_RANKTHISWEEK_2010","LateLowestRound_RANKLASTWEEK_2010","LateLowestRound_PLAYERNAME_2010","LateLowestRound__2010","LateLowestRound_LOWRND_2010","stat_name","year"
1,1,"Stuart Appleby",NA,59,"LateLowestRound",2010
2,2,"Steve Stricker",NA,60,"LateLowestRound",2010
3,3,"Arjun Atwal",NA,61,"LateLowestRound",2010
3,3,"DA Points",NA,61,"LateLowestRound",2010
5,5,"Shane Bertsch",NA,62,"LateLowestRound",2010
5,5,"Brent Delahoussaye",NA,62,"LateLowestRound",2010
5,5,"Retief Goosen",NA,62,"LateLowestRound",2010
5,5,"Charley Hoffman",NA,62,"LateLowestRound",2010
5,5,"John Mallinger",NA,62,"LateLowestRound",2010
5,5,"Rory McIlroy",NA,62,"LateLowestRound",2010
5,5,"Jeff Overton",NA,62,"LateLowestRound",2010
5,5,"Cameron Percy",NA,62,"LateLowestRound",2010
5,5,"Michael Sim",NA,62,"LateLowestRound",2010
5,5,"Chris Stroud",NA,62,"LateLowestRound",2010
5,5,"Bubba Watson",NA,62,"LateLowestRound",2010
16,16,"Blake Adams",NA,63,"LateLowestRound",2010
16,16,"Jonathan Byrd",NA,63,"LateLowestRound",2010
16,16,"Chris Couch",NA,63,"LateLowestRound",2010
16,16,"Brendon de Jonge",NA,63,"LateLowestRound",2010
16,16,"Graham DeLaet",NA,63,"LateLowestRound",2010
16,16,"Matt Every",NA,63,"LateLowestRound",2010
16,16,"JP Hayes",NA,63,"LateLowestRound",2010
16,16,"Lee Janzen",NA,63,"LateLowestRound",2010
16,16,"Matt Kuchar",NA,63,"LateLowestRound",2010
16,16,"Martin Laird",NA,63,"LateLowestRound",2010
16,16,"Justin Leonard",NA,63,"LateLowestRound",2010
16,16,"Spencer Levin",NA,63,"LateLowestRound",2010
16,16,"Jeff Maggert",NA,63,"LateLowestRound",2010
16,16,"Scott McCarron",NA,63,"LateLowestRound",2010
16,16,"Shaun Micheel",NA,63,"LateLowestRound",2010
16,16,"Ryan Palmer",NA,63,"LateLowestRound",2010
16,16,"Brandt Snedeker",NA,63,"LateLowestRound",2010
16,16,"Nick Watney",NA,63,"LateLowestRound",2010
16,16,"Boo Weekley",NA,63,"LateLowestRound",2010
35,35,"Aaron Baddeley",NA,64,"LateLowestRound",2010
35,35,"Cameron Beckman",NA,64,"LateLowestRound",2010
35,35,"Chad Campbell",NA,64,"LateLowestRound",2010
35,35,"Tim Clark",NA,64,"LateLowestRound",2010
35,35,"Chad Collins",NA,64,"LateLowestRound",2010
35,35,"Ben Crane",NA,64,"LateLowestRound",2010
35,35,"Ben Curtis",NA,64,"LateLowestRound",2010
35,35,"Jason Dufner",NA,64,"LateLowestRound",2010
35,35,"Joe Durant",NA,64,"LateLowestRound",2010
35,35,"David Duval",NA,64,"LateLowestRound",2010
