"GIRPuttingInside5_RANKTHISWEEK_2010","GIRPuttingInside5_RANKLASTWEEK_2010","GIRPuttingInside5_PLAYERNAME_2010","GIRPuttingInside5_ROUNDS_2010","GIRPuttingInside5_Pct_2010","GIRPuttingInside5_ATTEMPTS_2010","GIRPuttingInside5_PUTTSMADE_2010","stat_name","year"
1,1,"Ryan Moore",80,96.43,28,27,"GIRPuttingInside5",2010
2,2,"George McNeill",79,95.45,44,42,"GIRPuttingInside5",2010
3,3,"Matt Bettencourt",91,95,40,38,"GIRPuttingInside5",2010
4,4,"Paul Casey",64,94.74,19,18,"GIRPuttingInside5",2010
5,5,"Steve Elkington",74,93.94,33,31,"GIRPuttingInside5",2010
6,6,"Martin Laird",91,93.62,47,44,"GIRPuttingInside5",2010
7,7,"Padraig Harrington",57,93.55,31,29,"GIRPuttingInside5",2010
8,8,"Geoff Ogilvy",62,93.1,29,27,"GIRPuttingInside5",2010
9,9,"Matt Jones",89,93.02,43,40,"GIRPuttingInside5",2010
10,10,"Garrett Willis",82,92.86,42,39,"GIRPuttingInside5",2010
11,11,"Justin Leonard",89,92.68,41,38,"GIRPuttingInside5",2010
12,12,"Phil Mickelson",76,91.43,35,32,"GIRPuttingInside5",2010
13,13,"Jarrod Lyle",54,91.3,23,21,"GIRPuttingInside5",2010
14,14,"Jeff Maggert",76,91.18,34,31,"GIRPuttingInside5",2010
15,15,"Kevin Streelman",90,91.11,45,41,"GIRPuttingInside5",2010
16,16,"John Daly",63,90.91,33,30,"GIRPuttingInside5",2010
16,16,"Greg Kraft",52,90.91,22,20,"GIRPuttingInside5",2010
18,18,"Ben Curtis",78,90.63,32,29,"GIRPuttingInside5",2010
18,18,"Aron Price",70,90.63,32,29,"GIRPuttingInside5",2010
20,20,"Ryan Palmer",84,90.48,42,38,"GIRPuttingInside5",2010
20,20,"Jeff Quinney",91,90.48,63,57,"GIRPuttingInside5",2010
22,22,"Chris Couch",66,90,30,27,"GIRPuttingInside5",2010
22,22,"Brian Stuard",81,90,30,27,"GIRPuttingInside5",2010
24,24,"Blake Adams",84,89.58,48,43,"GIRPuttingInside5",2010
24,24,"Rory Sabbatini",79,89.58,48,43,"GIRPuttingInside5",2010
26,26,"Kris Blanks",91,89.47,38,34,"GIRPuttingInside5",2010
26,26,"Trevor Immelman",55,89.47,19,17,"GIRPuttingInside5",2010
28,28,"Michael Sim",64,89.29,28,25,"GIRPuttingInside5",2010
29,29,"Carl Pettersson",99,89.19,37,33,"GIRPuttingInside5",2010
29,29,"Johnson Wagner",85,89.19,37,33,"GIRPuttingInside5",2010
