"EarlyRound3ScoringAverage_RANKTHISWEEK_2012","EarlyRound3ScoringAverage_RANKLASTWEEK_2012","EarlyRound3ScoringAverage_PLAYERNAME_2012","EarlyRound3ScoringAverage__2012","EarlyRound3ScoringAverage_AVG_2012","EarlyRound3ScoringAverage_TOTALSTROKES_2012","EarlyRound3ScoringAverage_TOTALROUNDS_2012","stat_name","year"
1,1,"Ryan Palmer",NA,67,603,9,"EarlyRound3ScoringAverage",2012
2,2,"Scott Dunlap",NA,68,340,5,"EarlyRound3ScoringAverage",2012
3,3,"Billy Horschel",NA,68.11,613,9,"EarlyRound3ScoringAverage",2012
4,4,"Jonas Blixt",NA,68.44,616,9,"EarlyRound3ScoringAverage",2012
5,5,"Bubba Watson",NA,68.5,274,4,"EarlyRound3ScoringAverage",2012
6,6,"Phil Mickelson",NA,68.78,619,9,"EarlyRound3ScoringAverage",2012
7,7,"DA Points",NA,68.83,413,6,"EarlyRound3ScoringAverage",2012
8,8,"Johnson Wagner",NA,68.89,620,9,"EarlyRound3ScoringAverage",2012
9,9,"Angel Cabrera",NA,69,345,5,"EarlyRound3ScoringAverage",2012
9,9,"Daniel Chopra",NA,69,207,3,"EarlyRound3ScoringAverage",2012
9,9,"Matt Kuchar",NA,69,483,7,"EarlyRound3ScoringAverage",2012
9,9,"Jeff Overton",NA,69,621,9,"EarlyRound3ScoringAverage",2012
9,9,"Rory Sabbatini",NA,69,621,9,"EarlyRound3ScoringAverage",2012
14,14,"Martin Laird",NA,69.17,415,6,"EarlyRound3ScoringAverage",2012
14,14,"Tom Pernice Jr",NA,69.17,415,6,"EarlyRound3ScoringAverage",2012
16,16,"Tiger Woods",NA,69.2,346,5,"EarlyRound3ScoringAverage",2012
17,17,"Vijay Singh",NA,69.27,762,11,"EarlyRound3ScoringAverage",2012
18,18,"Chris Stroud",NA,69.29,485,7,"EarlyRound3ScoringAverage",2012
19,19,"Bryce Molder",NA,69.3,693,10,"EarlyRound3ScoringAverage",2012
20,20,"Nick Watney",NA,69.36,763,11,"EarlyRound3ScoringAverage",2012
21,21,"Ben Curtis",NA,69.5,278,4,"EarlyRound3ScoringAverage",2012
21,21,"Bob Estes",NA,69.5,556,8,"EarlyRound3ScoringAverage",2012
21,21,"Sergio Garcia",NA,69.5,278,4,"EarlyRound3ScoringAverage",2012
21,21,"Derek Lamely",NA,69.5,278,4,"EarlyRound3ScoringAverage",2012
21,21,"Greg Owen",NA,69.5,556,8,"EarlyRound3ScoringAverage",2012
21,21,"Brendon Todd",NA,69.5,417,6,"EarlyRound3ScoringAverage",2012
21,21,"YE Yang",NA,69.5,417,6,"EarlyRound3ScoringAverage",2012
28,28,"Dicky Pride",NA,69.6,348,5,"EarlyRound3ScoringAverage",2012
29,29,"David Mathis",NA,69.63,557,8,"EarlyRound3ScoringAverage",2012
29,29,"Jimmy Walker",NA,69.63,557,8,"EarlyRound3ScoringAverage",2012
31,31,"Tim Clark",NA,69.67,209,3,"EarlyRound3ScoringAverage",2012
31,31,"Webb Simpson",NA,69.67,418,6,"EarlyRound3ScoringAverage",2012
31,31,"Henrik Stenson",NA,69.67,209,3,"EarlyRound3ScoringAverage",2012
31,31,"Josh Teater",NA,69.67,836,12,"EarlyRound3ScoringAverage",2012
31,31,"Roland Thatcher",NA,69.67,209,3,"EarlyRound3ScoringAverage",2012
36,36,"Bill Haas",NA,69.71,488,7,"EarlyRound3ScoringAverage",2012
36,36,"Carl Pettersson",NA,69.71,488,7,"EarlyRound3ScoringAverage",2012
38,38,"Louis Oosthuizen",NA,69.75,558,8,"EarlyRound3ScoringAverage",2012
39,39,"Roberto Castro",NA,69.77,907,13,"EarlyRound3ScoringAverage",2012
40,40,"Jim Furyk",NA,69.78,628,9,"EarlyRound3ScoringAverage",2012
40,40,"William McGirt",NA,69.78,628,9,"EarlyRound3ScoringAverage",2012
42,42,"Garth Mulroy",NA,69.8,349,5,"EarlyRound3ScoringAverage",2012
43,43,"Blake Adams",NA,70,770,11,"EarlyRound3ScoringAverage",2012
43,43,"Dustin Johnson",NA,70,560,8,"EarlyRound3ScoringAverage",2012
43,43,"Troy Kelly",NA,70,350,5,"EarlyRound3ScoringAverage",2012
43,43,"Ian Poulter",NA,70,280,4,"EarlyRound3ScoringAverage",2012
43,43,"Adam Scott",NA,70,350,5,"EarlyRound3ScoringAverage",2012
43,43,"Kevin Streelman",NA,70,490,7,"EarlyRound3ScoringAverage",2012
43,43,"DJ Trahan",NA,70,420,6,"EarlyRound3ScoringAverage",2012
50,50,"Brian Harman",NA,70.08,911,13,"EarlyRound3ScoringAverage",2012
51,51,"Tim Herron",NA,70.09,771,11,"EarlyRound3ScoringAverage",2012
52,52,"Kyle Reifers",NA,70.1,701,10,"EarlyRound3ScoringAverage",2012
53,53,"Greg Chalmers",NA,70.14,491,7,"EarlyRound3ScoringAverage",2012
54,54,"Jason Bohn",NA,70.17,421,6,"EarlyRound3ScoringAverage",2012
54,54,"Bill Lunde",NA,70.17,842,12,"EarlyRound3ScoringAverage",2012
54,54,"Lee Westwood",NA,70.17,421,6,"EarlyRound3ScoringAverage",2012
57,57,"Sean OHair",NA,70.2,702,10,"EarlyRound3ScoringAverage",2012
58,58,"Stuart Appleby",NA,70.22,632,9,"EarlyRound3ScoringAverage",2012
58,58,"Nathan Green",NA,70.22,632,9,"EarlyRound3ScoringAverage",2012
60,60,"Brian Gay",NA,70.25,562,8,"EarlyRound3ScoringAverage",2012
60,60,"Scott Stallings",NA,70.25,562,8,"EarlyRound3ScoringAverage",2012
62,62,"Jonathan Byrd",NA,70.33,422,6,"EarlyRound3ScoringAverage",2012
62,62,"Pat Perez",NA,70.33,422,6,"EarlyRound3ScoringAverage",2012
64,64,"Brandt Jobe",NA,70.4,704,10,"EarlyRound3ScoringAverage",2012
65,65,"Martin Flores",NA,70.45,775,11,"EarlyRound3ScoringAverage",2012
66,66,"Arjun Atwal",NA,70.5,423,6,"EarlyRound3ScoringAverage",2012
66,66,"Keegan Bradley",NA,70.5,705,10,"EarlyRound3ScoringAverage",2012
66,66,"KJ Choi",NA,70.5,564,8,"EarlyRound3ScoringAverage",2012
66,66,"Billy Hurley III",NA,70.5,423,6,"EarlyRound3ScoringAverage",2012
66,66,"Steve Stricker",NA,70.5,423,6,"EarlyRound3ScoringAverage",2012
66,66,"Vaughn Taylor",NA,70.5,423,6,"EarlyRound3ScoringAverage",2012
66,66,"Boo Weekley",NA,70.5,423,6,"EarlyRound3ScoringAverage",2012
73,73,"Cameron Beckman",NA,70.55,776,11,"EarlyRound3ScoringAverage",2012
74,74,"Brendon de Jonge",NA,70.56,1129,16,"EarlyRound3ScoringAverage",2012
75,75,"Freddie Jacobson",NA,70.57,494,7,"EarlyRound3ScoringAverage",2012
75,75,"Jason Kokrak",NA,70.57,494,7,"EarlyRound3ScoringAverage",2012
77,77,"Charlie Beljan",NA,70.6,353,5,"EarlyRound3ScoringAverage",2012
78,78,"Luke Donald",NA,70.63,565,8,"EarlyRound3ScoringAverage",2012
78,78,"John Mallinger",NA,70.63,565,8,"EarlyRound3ScoringAverage",2012
80,80,"Charles Howell III",NA,70.67,424,6,"EarlyRound3ScoringAverage",2012
80,80,"Jeff Maggert",NA,70.67,424,6,"EarlyRound3ScoringAverage",2012
80,80,"Patrick Sheehan",NA,70.67,424,6,"EarlyRound3ScoringAverage",2012
80,80,"Cameron Tringale",NA,70.67,848,12,"EarlyRound3ScoringAverage",2012
84,84,"Mark Wilson",NA,70.69,919,13,"EarlyRound3ScoringAverage",2012
85,85,"John Rollins",NA,70.71,495,7,"EarlyRound3ScoringAverage",2012
85,85,"Justin Rose",NA,70.71,495,7,"EarlyRound3ScoringAverage",2012
87,87,"Seung Yul Noh",NA,70.73,1061,15,"EarlyRound3ScoringAverage",2012
88,88,"Kyle Stanley",NA,70.75,566,8,"EarlyRound3ScoringAverage",2012
89,89,"Ernie Els",NA,70.8,708,10,"EarlyRound3ScoringAverage",2012
89,89,"Sung Kang",NA,70.8,354,5,"EarlyRound3ScoringAverage",2012
89,89,"Jerry Kelly",NA,70.8,708,10,"EarlyRound3ScoringAverage",2012
92,92,"Will Claxton",NA,70.82,779,11,"EarlyRound3ScoringAverage",2012
93,93,"Russell Knox",NA,70.83,425,6,"EarlyRound3ScoringAverage",2012
94,94,"Jason Dufner",NA,70.86,496,7,"EarlyRound3ScoringAverage",2012
95,95,"Spencer Levin",NA,70.9,709,10,"EarlyRound3ScoringAverage",2012
96,96,"Rickie Fowler",NA,70.92,922,13,"EarlyRound3ScoringAverage",2012
97,97,"Brian Davis",NA,71,497,7,"EarlyRound3ScoringAverage",2012
97,97,"Matt Every",NA,71,355,5,"EarlyRound3ScoringAverage",2012
97,97,"Tommy Gainey",NA,71,568,8,"EarlyRound3ScoringAverage",2012
97,97,"Robert Garrigus",NA,71,497,7,"EarlyRound3ScoringAverage",2012
97,97,"Bobby Gates",NA,71,497,7,"EarlyRound3ScoringAverage",2012
97,97,"Zach Johnson",NA,71,710,10,"EarlyRound3ScoringAverage",2012
97,97,"Chris Kirk",NA,71,497,7,"EarlyRound3ScoringAverage",2012
97,97,"Kevin Kisner",NA,71,355,5,"EarlyRound3ScoringAverage",2012
97,97,"Richard Lee",NA,71,639,9,"EarlyRound3ScoringAverage",2012
97,97,"Marc Leishman",NA,71,710,10,"EarlyRound3ScoringAverage",2012
97,97,"Edward Loar",NA,71,497,7,"EarlyRound3ScoringAverage",2012
97,97,"Billy Mayfair",NA,71,426,6,"EarlyRound3ScoringAverage",2012
97,97,"Rory McIlroy",NA,71,142,2,"EarlyRound3ScoringAverage",2012
97,97,"Kevin Na",NA,71,568,8,"EarlyRound3ScoringAverage",2012
97,97,"Brandt Snedeker",NA,71,497,7,"EarlyRound3ScoringAverage",2012
97,97,"Daniel Summerhays",NA,71,497,7,"EarlyRound3ScoringAverage",2012
97,97,"Bo Van Pelt",NA,71,355,5,"EarlyRound3ScoringAverage",2012
114,114,"Kevin Chappell",NA,71.11,640,9,"EarlyRound3ScoringAverage",2012
114,114,"Kevin Stadler",NA,71.11,640,9,"EarlyRound3ScoringAverage",2012
116,116,"Aaron Baddeley",NA,71.13,569,8,"EarlyRound3ScoringAverage",2012
116,116,"Hunter Mahan",NA,71.13,569,8,"EarlyRound3ScoringAverage",2012
118,118,"Mark Anderson",NA,71.2,356,5,"EarlyRound3ScoringAverage",2012
118,118,"Padraig Harrington",NA,71.2,356,5,"EarlyRound3ScoringAverage",2012
118,118,"Michael Thompson",NA,71.2,356,5,"EarlyRound3ScoringAverage",2012
121,121,"JJ Killeen",NA,71.22,641,9,"EarlyRound3ScoringAverage",2012
121,121,"Geoff Ogilvy",NA,71.22,641,9,"EarlyRound3ScoringAverage",2012
123,123,"Scott Piercy",NA,71.25,570,8,"EarlyRound3ScoringAverage",2012
123,123,"Chez Reavie",NA,71.25,855,12,"EarlyRound3ScoringAverage",2012
123,123,"Brendan Steele",NA,71.25,855,12,"EarlyRound3ScoringAverage",2012
126,126,"Mathew Goggin",NA,71.29,499,7,"EarlyRound3ScoringAverage",2012
127,127,"Chris Couch",NA,71.33,642,9,"EarlyRound3ScoringAverage",2012
127,127,"Kyle Thompson",NA,71.33,214,3,"EarlyRound3ScoringAverage",2012
129,129,"Graham DeLaet",NA,71.36,785,11,"EarlyRound3ScoringAverage",2012
130,130,"Sangmoon Bae",NA,71.43,500,7,"EarlyRound3ScoringAverage",2012
130,130,"Ben Crane",NA,71.43,500,7,"EarlyRound3ScoringAverage",2012
132,132,"Gavin Coles",NA,71.5,572,8,"EarlyRound3ScoringAverage",2012
132,132,"Erik Compton",NA,71.5,429,6,"EarlyRound3ScoringAverage",2012
134,134,"JB Holmes",NA,71.55,787,11,"EarlyRound3ScoringAverage",2012
135,135,"Jason Day",NA,71.57,501,7,"EarlyRound3ScoringAverage",2012
136,136,"John Daly",NA,71.6,358,5,"EarlyRound3ScoringAverage",2012
137,137,"Heath Slocum",NA,71.62,931,13,"EarlyRound3ScoringAverage",2012
138,138,"Chad Campbell",NA,71.63,573,8,"EarlyRound3ScoringAverage",2012
138,138,"Gary Christian",NA,71.63,573,8,"EarlyRound3ScoringAverage",2012
138,138,"Camilo Villegas",NA,71.63,573,8,"EarlyRound3ScoringAverage",2012
