"ParBreakers_RANKTHISWEEK_2006","ParBreakers_RANKLASTWEEK_2006","ParBreakers_PLAYERNAME_2006","ParBreakers_ROUNDS_2006","ParBreakers_Pct_2006","ParBreakers_BIRDIESEAGLES_2006","ParBreakers_HOLES_2006","stat_name","year"
1,1,"Tiger Woods",55,27.14,254,936,"ParBreakers",2006
2,2,"Phil Mickelson",74,25.12,312,1242,"ParBreakers",2006
3,3,"Jonathan Byrd",66,24.07,286,1188,"ParBreakers",2006
4,4,"Daniel Chopra",110,23.26,448,1926,"ParBreakers",2006
5,5,"Brett Wetterich",82,23.04,340,1476,"ParBreakers",2006
6,6,"Vaughn Taylor",88,22.98,364,1584,"ParBreakers",2006
7,7,"Lucas Glover",105,22.77,414,1818,"ParBreakers",2006
8,8,"Jim Furyk",89,22.73,360,1584,"ParBreakers",2006
9,9,"Justin Rose",98,22.63,387,1710,"ParBreakers",2006
10,10,"Vijay Singh",103,22.61,407,1800,"ParBreakers",2006
11,11,"Charley Hoffman",100,22.51,397,1764,"ParBreakers",2006
12,12,"Adam Scott",70,22.39,274,1224,"ParBreakers",2006
13,13,"Harrison Frazar",95,22.28,365,1638,"ParBreakers",2006
14,14,"JP Hayes",55,22.22,220,990,"ParBreakers",2006
14,14,"Steve Stricker",64,22.22,248,1116,"ParBreakers",2006
16,16,"Davis Love III",85,22.15,303,1368,"ParBreakers",2006
17,17,"David Toms",76,21.9,272,1242,"ParBreakers",2006
18,18,"Robert Garrigus",85,21.89,327,1494,"ParBreakers",2006
19,19,"Hunter Mahan",98,21.88,386,1764,"ParBreakers",2006
20,20,"Bo Van Pelt",102,21.84,401,1836,"ParBreakers",2006
21,21,"Sergio Garcia",59,21.82,216,990,"ParBreakers",2006
22,22,"Nick Watney",97,21.81,373,1710,"ParBreakers",2006
23,23,"Robert Allenby",79,21.79,302,1386,"ParBreakers",2006
24,24,"Trevor Immelman",86,21.77,337,1548,"ParBreakers",2006
25,25,"JB Holmes",81,21.65,300,1386,"ParBreakers",2006
26,26,"Craig Barlow",77,21.61,284,1314,"ParBreakers",2006
27,27,"John Rollins",93,21.49,352,1638,"ParBreakers",2006
28,28,"Briny Baird",81,21.43,297,1386,"ParBreakers",2006
29,29,"Ben Crane",85,21.39,308,1440,"ParBreakers",2006
30,30,"Stuart Appleby",83,21.37,300,1404,"ParBreakers",2006
31,31,"David Howell",52,21.36,173,810,"ParBreakers",2006
32,32,"Ryan Palmer",101,21.32,380,1782,"ParBreakers",2006
33,33,"Frank Lickliter II",99,21.31,372,1746,"ParBreakers",2006
33,33,"Bubba Watson",83,21.31,303,1422,"ParBreakers",2006
35,35,"Eric Axley",91,21.29,341,1602,"ParBreakers",2006
36,36,"Luke Donald",66,21.25,241,1134,"ParBreakers",2006
37,37,"Mike Weir",88,21.24,325,1530,"ParBreakers",2006
38,38,"Chris Couch",75,21.19,286,1350,"ParBreakers",2006
39,39,"Tim Clark",80,21.17,301,1422,"ParBreakers",2006
40,40,"Michael Allen",84,21.16,320,1512,"ParBreakers",2006
41,41,"Stephen Ames",63,21.15,236,1116,"ParBreakers",2006
42,42,"Mark Wilson",79,21.13,289,1368,"ParBreakers",2006
43,43,"Joe Ogilvie",95,21.12,346,1638,"ParBreakers",2006
44,44,"Pat Perez",50,21.11,190,900,"ParBreakers",2006
45,45,"Marco Dawson",87,21.07,330,1566,"ParBreakers",2006
46,46,"Bubba Dickerson",98,21.06,364,1728,"ParBreakers",2006
47,47,"Tom Pernice Jr",108,21.05,394,1872,"ParBreakers",2006
48,48,"Camilo Villegas",95,20.97,351,1674,"ParBreakers",2006
49,49,"Arron Oberholser",82,20.96,298,1422,"ParBreakers",2006
50,50,"Alex Cejka",93,20.94,343,1638,"ParBreakers",2006
51,51,"Ernie Els",69,20.92,241,1152,"ParBreakers",2006
52,52,"Padraig Harrington",54,20.89,188,900,"ParBreakers",2006
53,53,"Scott Verplank",88,20.87,323,1548,"ParBreakers",2006
54,54,"Greg Owen",79,20.85,289,1386,"ParBreakers",2006
55,55,"Stewart Cink",93,20.77,329,1584,"ParBreakers",2006
55,55,"Jesper Parnevik",84,20.77,314,1512,"ParBreakers",2006
57,57,"Retief Goosen",68,20.74,224,1080,"ParBreakers",2006
58,58,"Mathias Gronberg",92,20.66,331,1602,"ParBreakers",2006
59,59,"Will Ma Kenzie",91,20.64,327,1584,"ParBreakers",2006
60,60,"Joe Durant",101,20.63,375,1818,"ParBreakers",2006
60,60,"Rod Pampling",89,20.63,312,1512,"ParBreakers",2006
62,62,"Nathan Green",108,20.62,386,1872,"ParBreakers",2006
62,62,"Rory Sabbatini",84,20.62,308,1494,"ParBreakers",2006
64,64,"Bob May",65,20.61,230,1116,"ParBreakers",2006
65,65,"Shane Bertsch",104,20.59,378,1836,"ParBreakers",2006
66,66,"Geoff Ogilvy",76,20.56,259,1260,"ParBreakers",2006
67,67,"Ted Purdy",103,20.52,373,1818,"ParBreakers",2006
68,68,"Brett Quigley",109,20.48,387,1890,"ParBreakers",2006
69,69,"Shigeki Maruyama",94,20.47,339,1656,"ParBreakers",2006
70,70,"Brian Gay",107,20.46,394,1926,"ParBreakers",2006
71,71,"Wes Short Jr",96,20.45,346,1692,"ParBreakers",2006
72,72,"Jerry Kelly",100,20.44,368,1800,"ParBreakers",2006
73,73,"Ryan Moore",68,20.43,239,1170,"ParBreakers",2006
74,74,"Daisuke Maruyama",83,20.39,290,1422,"ParBreakers",2006
74,74,"Tag Ridings",103,20.39,367,1800,"ParBreakers",2006
76,76,"Jeff Brehaut",100,20.37,352,1728,"ParBreakers",2006
76,76,"John Senden",96,20.37,341,1674,"ParBreakers",2006
78,78,"Woody Austin",107,20.35,392,1926,"ParBreakers",2006
78,78,"Rich Beem",85,20.35,304,1494,"ParBreakers",2006
80,80,"Kirk Triplett",58,20.34,205,1008,"ParBreakers",2006
81,81,"Ian Poulter",53,20.3,190,936,"ParBreakers",2006
82,82,"John Huston",74,20.29,263,1296,"ParBreakers",2006
83,83,"Scott Gutschewski",53,20.26,186,918,"ParBreakers",2006
84,84,"Charles Warren",93,20.25,328,1620,"ParBreakers",2006
85,85,"Mark Calcavecchia",94,20.19,338,1674,"ParBreakers",2006
85,85,"JJ Henry",96,20.19,338,1674,"ParBreakers",2006
87,87,"Kris Cox",83,20.16,294,1458,"ParBreakers",2006
88,88,"Freddie Jacobson",56,20.14,203,1008,"ParBreakers",2006
89,89,"Sean OHair",100,20.12,355,1764,"ParBreakers",2006
89,89,"Dean Wilson",115,20.12,402,1998,"ParBreakers",2006
91,91,"Tommy Armour III",65,20.09,235,1170,"ParBreakers",2006
92,92,"Heath Slocum",96,20.07,336,1674,"ParBreakers",2006
93,93,"Kent Jones",103,20.02,364,1818,"ParBreakers",2006
93,93,"Jeff Sluman",101,20.02,364,1818,"ParBreakers",2006
95,95,"Chris DiMarco",83,20.01,281,1404,"ParBreakers",2006
96,96,"Arjun Atwal",97,20,342,1710,"ParBreakers",2006
96,96,"Brian Davis",92,20,324,1620,"ParBreakers",2006
96,96,"DA Points",82,20,288,1440,"ParBreakers",2006
99,99,"Chris Riley",86,19.99,295,1476,"ParBreakers",2006
100,100,"Olin Browne",108,19.98,374,1872,"ParBreakers",2006
101,101,"Bill Haas",99,19.97,345,1728,"ParBreakers",2006
102,102,"Dudley Hart",83,19.95,298,1494,"ParBreakers",2006
103,103,"DJ Trahan",92,19.94,323,1620,"ParBreakers",2006
104,104,"Jason Bohn",104,19.93,373,1872,"ParBreakers",2006
104,104,"Jerry Smith",94,19.93,330,1656,"ParBreakers",2006
106,106,"Chad Campbell",91,19.92,312,1566,"ParBreakers",2006
107,107,"Lee Janzen",79,19.9,283,1422,"ParBreakers",2006
