"ScoringAverageActual_RANKTHISWEEK_2013","ScoringAverageActual_RANKLASTWEEK_2013","ScoringAverageActual_PLAYERNAME_2013","ScoringAverageActual_ROUNDS_2013","ScoringAverageActual_AVG_2013","ScoringAverageActual_TOTALSTROKES_2013","ScoringAverageActual_TOTALROUNDS_2013","stat_name","year"
1,1,"Steve Stricker",51,69.19,3252,47,"ScoringAverageActual",2013
2,2,"Tiger Woods",61,69.88,4193,60,"ScoringAverageActual",2013
3,3,"Henrik Stenson",65,69.94,4476,64,"ScoringAverageActual",2013
4,4,"Justin Rose",62,69.97,4198,60,"ScoringAverageActual",2013
5,5,"Jordan Spieth",82,69.98,5738,82,"ScoringAverageActual",2013
6,6,"Keegan Bradley",88,70.01,6091,87,"ScoringAverageActual",2013
6,6,"Brendon de Jonge",110,70.01,7701,110,"ScoringAverageActual",2013
6,6,"Chris Kirk",89,70.01,6231,89,"ScoringAverageActual",2013
6,6,"Matt Kuchar",93,70.01,6091,87,"ScoringAverageActual",2013
10,10,"Charles Howell III",87,70.07,5956,85,"ScoringAverageActual",2013
11,11,"Phil Mickelson",78,70.09,5467,78,"ScoringAverageActual",2013
12,12,"Matt Jones",83,70.17,5824,83,"ScoringAverageActual",2013
13,13,"Brandt Snedeker",79,70.19,5545,79,"ScoringAverageActual",2013
14,14,"Graham DeLaet",94,70.2,6599,94,"ScoringAverageActual",2013
15,15,"Adam Scott",61,70.25,4215,60,"ScoringAverageActual",2013
16,16,"Bryce Molder",82,70.26,5621,80,"ScoringAverageActual",2013
16,16,"Rory Sabbatini",86,70.26,5761,82,"ScoringAverageActual",2013
16,16,"Webb Simpson",92,70.26,6183,88,"ScoringAverageActual",2013
19,19,"Ryan Palmer",79,70.32,5555,79,"ScoringAverageActual",2013
20,20,"Roberto Castro",97,70.35,6824,97,"ScoringAverageActual",2013
20,20,"Kevin Stadler",83,70.35,5558,79,"ScoringAverageActual",2013
22,22,"Bill Haas",85,70.38,5912,84,"ScoringAverageActual",2013
23,23,"Sergio Garcia",65,70.4,4435,63,"ScoringAverageActual",2013
23,23,"Jimmy Walker",84,70.4,5914,84,"ScoringAverageActual",2013
25,25,"Morgan Hoffmann",64,70.41,4506,64,"ScoringAverageActual",2013
26,26,"Bob Estes",66,70.42,4648,66,"ScoringAverageActual",2013
26,26,"Zach Johnson",84,70.42,5845,83,"ScoringAverageActual",2013
28,28,"Jason Day",86,70.43,5634,80,"ScoringAverageActual",2013
29,29,"Martin Flores",83,70.45,5847,83,"ScoringAverageActual",2013
