"ScramblingFringeRTPScore_RANKTHISWEEK_2009","ScramblingFringeRTPScore_RANKLASTWEEK_2009","ScramblingFringeRTPScore_PLAYERNAME_2009","ScramblingFringeRTPScore_ROUNDS_2009","ScramblingFringeRTPScore_AVGRTP_2009","ScramblingFringeRTPScore_TOTALHOLES_2009","ScramblingFringeRTPScore_TOTALRTP_2009","stat_name","year"
1,1,"Tiger Woods",64,-0.089,45,-4,"ScramblingFringeRTPScore",2009
2,2,"John Mallinger",90,-0.083,72,-6,"ScramblingFringeRTPScore",2009
3,3,"Daniel Chopra",89,-0.065,77,-5,"ScramblingFringeRTPScore",2009
3,3,"Steve Stricker",81,-0.065,62,-4,"ScramblingFringeRTPScore",2009
5,5,"Scott Sterling",51,-0.059,34,-2,"ScramblingFringeRTPScore",2009
6,6,"YE Yang",83,-0.054,56,-3,"ScramblingFringeRTPScore",2009
7,7,"Kent Jones",73,-0.053,57,-3,"ScramblingFringeRTPScore",2009
8,8,"Dean Wilson",81,-0.046,65,-3,"ScramblingFringeRTPScore",2009
9,9,"Camilo Villegas",76,-0.045,44,-2,"ScramblingFringeRTPScore",2009
10,10,"Matt Kuchar",82,-0.044,68,-3,"ScramblingFringeRTPScore",2009
11,11,"Matt Weibring",65,-0.036,56,-2,"ScramblingFringeRTPScore",2009
12,12,"Ernie Els",70,-0.034,58,-2,"ScramblingFringeRTPScore",2009
13,13,"Ryan Moore",89,-0.031,65,-2,"ScramblingFringeRTPScore",2009
14,14,"Angel Cabrera",55,-0.024,41,-1,"ScramblingFringeRTPScore",2009
15,15,"Phil Mickelson",66,-0.023,44,-1,"ScramblingFringeRTPScore",2009
15,15,"Patrick Sheehan",51,-0.023,43,-1,"ScramblingFringeRTPScore",2009
17,17,"Jay Williamson",69,-0.019,52,-1,"ScramblingFringeRTPScore",2009
18,18,"Robert Allenby",71,-0.018,57,-1,"ScramblingFringeRTPScore",2009
18,18,"Colt Knost",71,-0.018,57,-1,"ScramblingFringeRTPScore",2009
18,18,"Bryce Molder",69,-0.018,55,-1,"ScramblingFringeRTPScore",2009
21,21,"Todd Hamilton",83,-0.017,58,-1,"ScramblingFringeRTPScore",2009
22,22,"Jim Furyk",86,-0.016,62,-1,"ScramblingFringeRTPScore",2009
23,23,"Zach Johnson",94,-0.014,70,-1,"ScramblingFringeRTPScore",2009
23,23,"Mark Wilson",99,-0.014,70,-1,"ScramblingFringeRTPScore",2009
25,25,"Lucas Glover",93,-0.013,79,-1,"ScramblingFringeRTPScore",2009
25,25,"Davis Love III",89,-0.013,77,-1,"ScramblingFringeRTPScore",2009
27,27,"Cameron Beckman",87,0,85,0,"ScramblingFringeRTPScore",2009
27,27,"Bart Bryant",58,0,36,0,"ScramblingFringeRTPScore",2009
27,27,"Robert Garrigus",83,0,52,0,"ScramblingFringeRTPScore",2009
27,27,"Mathew Goggin",76,0,59,0,"ScramblingFringeRTPScore",2009
27,27,"Retief Goosen",74,0,57,0,"ScramblingFringeRTPScore",2009
27,27,"Bill Haas",91,0,66,0,"ScramblingFringeRTPScore",2009
27,27,"JJ Henry",97,0,68,0,"ScramblingFringeRTPScore",2009
27,27,"Tim Herron",87,0,69,0,"ScramblingFringeRTPScore",2009
27,27,"Charles Howell III",99,0,58,0,"ScramblingFringeRTPScore",2009
27,27,"Matt Jones",56,0,49,0,"ScramblingFringeRTPScore",2009
27,27,"Tom Lehman",55,0,35,0,"ScramblingFringeRTPScore",2009
27,27,"Justin Leonard",95,0,79,0,"ScramblingFringeRTPScore",2009
27,27,"Michael Letzig",96,0,87,0,"ScramblingFringeRTPScore",2009
27,27,"Bill Lunde",83,0,71,0,"ScramblingFringeRTPScore",2009
27,27,"Jeff Maggert",79,0,79,0,"ScramblingFringeRTPScore",2009
27,27,"Steve Marino",98,0,61,0,"ScramblingFringeRTPScore",2009
27,27,"George McNeill",82,0,73,0,"ScramblingFringeRTPScore",2009
27,27,"Rod Pampling",72,0,58,0,"ScramblingFringeRTPScore",2009
27,27,"Carl Pettersson",86,0,62,0,"ScramblingFringeRTPScore",2009
27,27,"Ian Poulter",59,0,41,0,"ScramblingFringeRTPScore",2009
27,27,"Brandt Snedeker",81,0,71,0,"ScramblingFringeRTPScore",2009
27,27,"Kevin Stadler",65,0,59,0,"ScramblingFringeRTPScore",2009
27,27,"Charles Warren",63,0,46,0,"ScramblingFringeRTPScore",2009
27,27,"Bubba Watson",73,0,51,0,"ScramblingFringeRTPScore",2009
51,51,"Tim Petrovic",97,0.01,97,1,"ScramblingFringeRTPScore",2009
52,52,"Jeff Overton",92,0.011,87,1,"ScramblingFringeRTPScore",2009
53,53,"Troy Matteson",95,0.013,77,1,"ScramblingFringeRTPScore",2009
53,53,"Kevin Na",91,0.013,75,1,"ScramblingFringeRTPScore",2009
53,53,"Nicholas Thompson",96,0.013,75,1,"ScramblingFringeRTPScore",2009
53,53,"DJ Trahan",96,0.013,78,1,"ScramblingFringeRTPScore",2009
57,57,"Jerry Kelly",90,0.014,69,1,"ScramblingFringeRTPScore",2009
57,57,"Tom Pernice Jr",82,0.014,71,1,"ScramblingFringeRTPScore",2009
59,59,"Jason Dufner",90,0.015,67,1,"ScramblingFringeRTPScore",2009
59,59,"Kevin Streelman",97,0.015,66,1,"ScramblingFringeRTPScore",2009
