"RightRoughTendency_RANKTHISWEEK_2008","RightRoughTendency_RANKLASTWEEK_2008","RightRoughTendency_PLAYERNAME_2008","RightRoughTendency_ROUNDS_2008","RightRoughTendency_Pct_2008","RightRoughTendency_TOTALRIGHTROUGH_2008","RightRoughTendency_POSSIBLEFWYS_2008","RightRoughTendency_RELATIVETOPAR_2008","stat_name","year"
1,1,"Olin Browne",77,5.47,53,969,0.28,"RightRoughTendency",2008
2,2,"Nick OHern",82,8.11,80,986,0.19,"RightRoughTendency",2008
3,3,"Doug LaBelle II",65,9.08,64,705,0,"RightRoughTendency",2008
4,4,"Brian Gay",102,9.85,118,1198,0.11,"RightRoughTendency",2008
5,5,"Robert Gamez",79,10.24,100,977,0.18,"RightRoughTendency",2008
6,6,"Justin Leonard",101,10.26,105,1023,0.14,"RightRoughTendency",2008
7,7,"Ron Whittaker",54,10.3,58,563,0.4,"RightRoughTendency",2008
8,8,"Heath Slocum",104,10.34,124,1199,0.18,"RightRoughTendency",2008
9,9,"Lee Janzen",89,10.42,107,1027,0.12,"RightRoughTendency",2008
10,10,"David Duval",51,10.47,56,535,0.2,"RightRoughTendency",2008
11,11,"Joe Durant",92,10.68,117,1095,0.09,"RightRoughTendency",2008
12,12,"JJ Henry",108,10.7,146,1365,0.08,"RightRoughTendency",2008
13,13,"Steve Elkington",84,10.76,109,1013,0.11,"RightRoughTendency",2008
13,13,"Omar Uresti",74,10.76,94,874,0.18,"RightRoughTendency",2008
15,15,"Chez Reavie",102,10.79,134,1242,0.18,"RightRoughTendency",2008
16,16,"John Mallinger",95,10.93,127,1162,0.11,"RightRoughTendency",2008
17,17,"Gavin Coles",54,10.98,67,610,0.09,"RightRoughTendency",2008
18,18,"Kent Jones",68,11.02,84,762,0.29,"RightRoughTendency",2008
19,19,"Bob Tway",70,11.15,88,789,0.05,"RightRoughTendency",2008
20,20,"Charles Warren",79,11.25,115,1022,0.05,"RightRoughTendency",2008
21,21,"John Senden",93,11.29,127,1125,0.2,"RightRoughTendency",2008
22,22,"Jerry Kelly",89,11.36,117,1030,0.06,"RightRoughTendency",2008
23,23,"Shane Bertsch",96,11.38,142,1248,0.1,"RightRoughTendency",2008
24,24,"Jin Park",85,11.56,111,960,0.14,"RightRoughTendency",2008
25,25,"Todd Demsey",80,11.58,113,976,0.18,"RightRoughTendency",2008
26,26,"Scott McCarron",63,11.6,87,750,0.08,"RightRoughTendency",2008
27,27,"Kenneth Ferrie",72,11.64,96,825,0.16,"RightRoughTendency",2008
28,28,"Paul Goydos",78,11.67,109,934,0.17,"RightRoughTendency",2008
29,29,"Craig Kanada",65,11.68,89,762,0.2,"RightRoughTendency",2008
30,30,"Bart Bryant",81,11.7,109,932,0.19,"RightRoughTendency",2008
30,30,"Matt Kuchar",88,11.7,114,974,0.11,"RightRoughTendency",2008
32,32,"Stephen Leaney",53,11.72,73,623,0.19,"RightRoughTendency",2008
33,33,"Brian Davis",108,11.79,167,1417,0.16,"RightRoughTendency",2008
34,34,"Rod Pampling",83,11.83,111,938,0.2,"RightRoughTendency",2008
35,35,"Greg Kraft",63,11.96,83,694,0.17,"RightRoughTendency",2008
36,36,"Ryan Palmer",69,11.97,99,827,0.09,"RightRoughTendency",2008
37,37,"Jay Williamson",96,12.06,134,1111,0.11,"RightRoughTendency",2008
38,38,"Zach Johnson",85,12.07,120,994,0.21,"RightRoughTendency",2008
39,39,"Cliff Kresge",84,12.12,122,1007,0.17,"RightRoughTendency",2008
40,40,"Peter Lonard",92,12.13,134,1105,0.03,"RightRoughTendency",2008
41,41,"Kevin Na",97,12.27,155,1263,0.08,"RightRoughTendency",2008
42,42,"Cameron Beckman",87,12.35,126,1020,0.13,"RightRoughTendency",2008
43,43,"Carl Pettersson",110,12.38,165,1333,0.12,"RightRoughTendency",2008
44,44,"Steve Flesch",95,12.4,138,1113,0.12,"RightRoughTendency",2008
45,45,"Jason Gore",94,12.5,147,1176,0.16,"RightRoughTendency",2008
45,45,"Scott Verplank",82,12.5,113,904,0.03,"RightRoughTendency",2008
47,47,"Todd Hamilton",92,12.52,128,1022,0.19,"RightRoughTendency",2008
48,48,"Jeff Maggert",86,12.57,137,1090,0.24,"RightRoughTendency",2008
49,49,"Tim Wilkinson",95,12.6,140,1111,0.16,"RightRoughTendency",2008
50,50,"Glen Day",64,12.76,99,776,0.15,"RightRoughTendency",2008
51,51,"Dudley Hart",74,12.85,119,926,0.16,"RightRoughTendency",2008
51,51,"Patrick Sheehan",124,12.85,185,1440,0.05,"RightRoughTendency",2008
53,53,"Ben Curtis",80,12.87,113,878,0.03,"RightRoughTendency",2008
54,54,"Jonathan Byrd",88,12.96,138,1065,0.13,"RightRoughTendency",2008
55,55,"Michael Allen",91,12.97,140,1079,0.18,"RightRoughTendency",2008
56,56,"Woody Austin",109,13.05,160,1226,0.06,"RightRoughTendency",2008
57,57,"Jim Furyk",95,13.11,138,1053,0.1,"RightRoughTendency",2008
58,58,"Jeff Gove",50,13.14,80,609,0.16,"RightRoughTendency",2008
59,59,"Steve Marino",119,13.2,189,1432,0.12,"RightRoughTendency",2008
60,60,"Ben Crane",86,13.22,137,1036,0.02,"RightRoughTendency",2008
61,61,"Carlos Franco",73,13.23,113,854,0.12,"RightRoughTendency",2008
62,62,"Kenny Perry",97,13.25,168,1268,0.1,"RightRoughTendency",2008
63,63,"Joe Ogilvie",100,13.28,160,1205,0.13,"RightRoughTendency",2008
64,64,"Tim Petrovic",97,13.3,149,1120,0.18,"RightRoughTendency",2008
65,65,"Tim Clark",90,13.31,135,1014,0.12,"RightRoughTendency",2008
66,66,"Rich Beem",90,13.32,146,1096,0.21,"RightRoughTendency",2008
67,67,"KJ Choi",74,13.33,106,795,-0.08,"RightRoughTendency",2008
68,68,"Paul Claxton",63,13.35,92,689,0.16,"RightRoughTendency",2008
68,68,"Mathias Gronberg",87,13.35,145,1086,0.18,"RightRoughTendency",2008
70,70,"Mathew Goggin",91,13.43,152,1132,0.03,"RightRoughTendency",2008
