"AverageApproachDistancePar_RANKTHISWEEK_2009","AverageApproachDistancePar_RANKLASTWEEK_2009","AverageApproachDistancePar_PLAYERNAME_2009","AverageApproachDistancePar_ROUNDS_2009","AverageApproachDistancePar_AVGYARDS_2009","AverageApproachDistancePar_TOTALDISTANCEINCHES_2009","AverageApproachDistancePar_NUMBEROFAPPROACHSHOTS_2009","stat_name","year"
1,1,"Derek Fathauer",63,156.2,3143144,559,"AverageApproachDistancePar",2009
2,2,"Kris Blanks",60,156.4,2898895,515,"AverageApproachDistancePar",2009
3,3,"Tommy Armour III",58,156.9,3382754,599,"AverageApproachDistancePar",2009
4,4,"Kevin Stadler",65,157.3,3583492,633,"AverageApproachDistancePar",2009
5,5,"Vijay Singh",71,157.9,3246310,571,"AverageApproachDistancePar",2009
6,6,"Greg Kraft",51,158.3,2717918,477,"AverageApproachDistancePar",2009
7,7,"Joe Durant",62,158.4,2908109,510,"AverageApproachDistancePar",2009
8,8,"Fred Couples",54,158.5,2528188,443,"AverageApproachDistancePar",2009
8,8,"Bob Heintz",59,158.5,3360018,589,"AverageApproachDistancePar",2009
10,10,"Jarrod Lyle",65,158.6,3527929,618,"AverageApproachDistancePar",2009
10,10,"Scott Sterling",51,158.6,2695222,472,"AverageApproachDistancePar",2009
12,12,"Joe Ogilvie",85,158.9,4872679,852,"AverageApproachDistancePar",2009
12,12,"Patrick Sheehan",51,158.9,2654850,464,"AverageApproachDistancePar",2009
14,14,"Matt Jones",56,159.1,2984203,521,"AverageApproachDistancePar",2009
15,15,"Leif Olson",51,159.3,2603592,454,"AverageApproachDistancePar",2009
16,16,"Jay Williamson",69,159.4,3855517,672,"AverageApproachDistancePar",2009
17,17,"Kirk Triplett",60,159.5,3640240,634,"AverageApproachDistancePar",2009
17,17,"Brian Vranesh",51,159.5,2795792,487,"AverageApproachDistancePar",2009
19,19,"Darron Stiles",52,159.6,2682743,467,"AverageApproachDistancePar",2009
20,20,"Kenny Perry",92,159.7,4824016,839,"AverageApproachDistancePar",2009
21,21,"Dustin Johnson",85,159.8,3985688,693,"AverageApproachDistancePar",2009
22,22,"Tim Clark",81,159.9,3845240,668,"AverageApproachDistancePar",2009
23,23,"Harrison Frazar",93,160,5305863,921,"AverageApproachDistancePar",2009
24,24,"Jeff Maggert",79,160.1,4834643,839,"AverageApproachDistancePar",2009
24,24,"Heath Slocum",95,160.1,5738940,996,"AverageApproachDistancePar",2009
26,26,"Stephen Ames",77,160.2,3576202,620,"AverageApproachDistancePar",2009
26,26,"Troy Matteson",95,160.2,5887861,1021,"AverageApproachDistancePar",2009
26,26,"Tag Ridings",50,160.2,2658064,461,"AverageApproachDistancePar",2009
29,29,"Tim Herron",87,160.4,5288428,916,"AverageApproachDistancePar",2009
30,30,"Colt Knost",71,160.5,3680558,637,"AverageApproachDistancePar",2009
30,30,"Geoff Ogilvy",78,160.5,3692127,639,"AverageApproachDistancePar",2009
30,30,"Scott Piercy",85,160.5,4819895,834,"AverageApproachDistancePar",2009
33,33,"Peter Tomasulo",61,160.6,2913211,504,"AverageApproachDistancePar",2009
34,34,"Justin Leonard",95,160.7,4988218,862,"AverageApproachDistancePar",2009
35,35,"Ted Purdy",101,160.8,5549944,959,"AverageApproachDistancePar",2009
35,35,"Chez Reavie",81,160.8,4868749,841,"AverageApproachDistancePar",2009
35,35,"Gary Woodland",53,160.8,2176731,376,"AverageApproachDistancePar",2009
38,38,"Brian Bateman",55,160.9,3202783,553,"AverageApproachDistancePar",2009
38,38,"Todd Hamilton",83,160.9,4321372,746,"AverageApproachDistancePar",2009
40,40,"Matt Weibring",65,161,3529534,609,"AverageApproachDistancePar",2009
41,41,"Daniel Chopra",89,161.1,5092811,878,"AverageApproachDistancePar",2009
42,42,"Michael Allen",73,161.2,3860026,665,"AverageApproachDistancePar",2009
42,42,"Lee Janzen",74,161.2,4021654,693,"AverageApproachDistancePar",2009
42,42,"Davis Love III",89,161.2,5106167,880,"AverageApproachDistancePar",2009
45,45,"Rocco Mediate",79,161.4,4357527,750,"AverageApproachDistancePar",2009
45,45,"Jeff Quinney",78,161.4,4606867,793,"AverageApproachDistancePar",2009
47,47,"Jason Bohn",88,161.5,5481459,943,"AverageApproachDistancePar",2009
47,47,"Glen Day",79,161.5,4395847,756,"AverageApproachDistancePar",2009
47,47,"Tom Lehman",55,161.5,2500269,430,"AverageApproachDistancePar",2009
50,50,"Steve Elkington",70,161.6,4275758,735,"AverageApproachDistancePar",2009
51,51,"Mike Weir",85,161.8,4402986,756,"AverageApproachDistancePar",2009
51,51,"Mark Wilson",99,161.8,6018029,1033,"AverageApproachDistancePar",2009
53,53,"Matt Bettencourt",98,161.9,5366578,921,"AverageApproachDistancePar",2009
53,53,"Mark Brooks",55,161.9,2791041,479,"AverageApproachDistancePar",2009
55,55,"Brad Adamonis",70,162,4204926,721,"AverageApproachDistancePar",2009
55,55,"Bob Estes",78,162,4729070,811,"AverageApproachDistancePar",2009
55,55,"Kent Jones",73,162,4058227,696,"AverageApproachDistancePar",2009
55,55,"Matt Kuchar",82,162,4811080,825,"AverageApproachDistancePar",2009
59,59,"Ken Duke",87,162.1,4792486,821,"AverageApproachDistancePar",2009
59,59,"Lucas Glover",93,162.1,5163597,885,"AverageApproachDistancePar",2009
59,59,"Peter Lonard",86,162.1,5148462,882,"AverageApproachDistancePar",2009
62,62,"Cameron Beckman",87,162.2,5126653,878,"AverageApproachDistancePar",2009
62,62,"John Merrick",91,162.2,4519563,774,"AverageApproachDistancePar",2009
62,62,"Webb Simpson",94,162.2,5768797,988,"AverageApproachDistancePar",2009
62,62,"Kevin Streelman",97,162.2,5553662,951,"AverageApproachDistancePar",2009
66,66,"Charles Howell III",99,162.3,5590470,957,"AverageApproachDistancePar",2009
67,67,"Aron Price",89,162.4,5198861,889,"AverageApproachDistancePar",2009
68,68,"Steve Marino",98,162.5,5780157,988,"AverageApproachDistancePar",2009
68,68,"Sean OHair",80,162.5,3731609,638,"AverageApproachDistancePar",2009
68,68,"Nick Watney",86,162.5,4444922,760,"AverageApproachDistancePar",2009
71,71,"Tom Pernice Jr",82,162.6,5216451,891,"AverageApproachDistancePar",2009
71,71,"Charles Warren",63,162.6,3499716,598,"AverageApproachDistancePar",2009
73,73,"Stewart Cink",79,162.7,4012374,685,"AverageApproachDistancePar",2009
73,73,"Chris DiMarco",97,162.7,6050973,1033,"AverageApproachDistancePar",2009
73,73,"Steve Flesch",77,162.7,4347305,742,"AverageApproachDistancePar",2009
73,73,"Cliff Kresge",78,162.7,4432628,757,"AverageApproachDistancePar",2009
77,77,"Rich Beem",77,162.8,3916166,668,"AverageApproachDistancePar",2009
77,77,"Jason Dufner",90,162.8,5257826,897,"AverageApproachDistancePar",2009
77,77,"Jason Gore",74,162.8,4080226,696,"AverageApproachDistancePar",2009
77,77,"Rick Price",54,162.8,2731594,466,"AverageApproachDistancePar",2009
