"PercentageofYardagecoveredbyTeeShotsPar5s_RANKTHISWEEK_2007","PercentageofYardagecoveredbyTeeShotsPar5s_RANKLASTWEEK_2007","PercentageofYardagecoveredbyTeeShotsPar5s_PLAYERNAME_2007","PercentageofYardagecoveredbyTeeShotsPar5s_ROUNDS_2007","PercentageofYardagecoveredbyTeeShotsPar5s_AVGPct_2007","PercentageofYardagecoveredbyTeeShotsPar5s_TOTALSHOTDISTANCE_2007","PercentageofYardagecoveredbyTeeShotsPar5s_TOTALDISTANCE_2007","stat_name","year"
1,1,"JB Holmes",71,56.36,64785.2,114950,"PercentageofYardagecoveredbyTeeShotsPar5s",2007
1,1,"Bubba Watson",80,56.36,68901.1,122256,"PercentageofYardagecoveredbyTeeShotsPar5s",2007
3,3,"John Daly",59,56.1,48209.1,85938,"PercentageofYardagecoveredbyTeeShotsPar5s",2007
4,4,"Robert Garrigus",95,55.57,86043.8,154828,"PercentageofYardagecoveredbyTeeShotsPar5s",2007
5,5,"Brett Wetterich",88,54.88,64317.9,117198,"PercentageofYardagecoveredbyTeeShotsPar5s",2007
6,6,"Tiger Woods",63,54.86,40477.6,73778,"PercentageofYardagecoveredbyTeeShotsPar5s",2007
7,7,"Scott Gutschewski",67,54.34,58070,106868,"PercentageofYardagecoveredbyTeeShotsPar5s",2007
8,8,"Jason Gore",86,54.28,77268.3,142350,"PercentageofYardagecoveredbyTeeShotsPar5s",2007
9,9,"Harrison Frazar",88,54.17,72014.2,132947,"PercentageofYardagecoveredbyTeeShotsPar5s",2007
10,10,"Ernie Els",59,54.08,40513,74911,"PercentageofYardagecoveredbyTeeShotsPar5s",2007
11,11,"Tag Ridings",52,54.05,48852.4,90392,"PercentageofYardagecoveredbyTeeShotsPar5s",2007
12,12,"Bill Haas",93,53.81,80271.5,149163,"PercentageofYardagecoveredbyTeeShotsPar5s",2007
12,12,"Phil Mickelson",73,53.81,46542.8,86495,"PercentageofYardagecoveredbyTeeShotsPar5s",2007
14,14,"Charley Hoffman",97,53.8,82826.2,153945,"PercentageofYardagecoveredbyTeeShotsPar5s",2007
14,14,"Adam Scott",69,53.8,51520.6,95771,"PercentageofYardagecoveredbyTeeShotsPar5s",2007
14,14,"Nick Watney",87,53.8,68320,126991,"PercentageofYardagecoveredbyTeeShotsPar5s",2007
17,17,"Jeff Overton",60,53.79,53555.4,99555,"PercentageofYardagecoveredbyTeeShotsPar5s",2007
18,18,"Davis Love III",66,53.77,47061,87524,"PercentageofYardagecoveredbyTeeShotsPar5s",2007
19,19,"Anthony Kim",93,53.74,73620.9,136986,"PercentageofYardagecoveredbyTeeShotsPar5s",2007
19,19,"Charles Warren",101,53.74,88299.6,164324,"PercentageofYardagecoveredbyTeeShotsPar5s",2007
21,21,"Robert Allenby",90,53.61,65839.6,122812,"PercentageofYardagecoveredbyTeeShotsPar5s",2007
22,22,"Charles Howell III",89,53.6,62208.4,116059,"PercentageofYardagecoveredbyTeeShotsPar5s",2007
23,23,"Geoff Ogilvy",84,53.59,56298.1,105061,"PercentageofYardagecoveredbyTeeShotsPar5s",2007
24,24,"Troy Matteson",87,53.56,70541,131712,"PercentageofYardagecoveredbyTeeShotsPar5s",2007
24,24,"Camilo Villegas",82,53.56,62552.6,116798,"PercentageofYardagecoveredbyTeeShotsPar5s",2007
