"ProximitytoHolefrom_RANKTHISWEEK_2016","ProximitytoHolefrom_RANKLASTWEEK_2016","ProximitytoHolefrom_PLAYERNAME_2016","ProximitytoHolefrom_ROUNDS_2016","ProximitytoHolefrom_AVGDTP_2016","ProximitytoHolefrom_TOTALDISTANCEFEET_2016","ProximitytoHolefrom_OFSHOTS_2016","ProximitytoHolefrom_SCRAMBLINGRANK_2016","stat_name","year"
1,1,"Webb Simpson",34,NA,98.333,47,66,"ProximitytoHolefrom",2016
2,12,"Paul Casey",39,NA,81.333,36,120,"ProximitytoHolefrom",2016
2,3,"Michael Thompson",46,NA,102.417,45,166,"ProximitytoHolefrom",2016
4,3,"Cameron Percy",22,NA,32.75,14,175,"ProximitytoHolefrom",2016
4,3,"DJ Trahan",23,NA,37.917,16,146,"ProximitytoHolefrom",2016
6,8,"Jamie Donaldson",28,NA,74.333,31,64,"ProximitytoHolefrom",2016
6,8,"Matthew Fitzpatrick",23,NA,26.583,11,159,"ProximitytoHolefrom",2016
6,3,"Retief Goosen",37,NA,109.667,46,44,"ProximitytoHolefrom",2016
9,12,"Ernie Els",34,NA,124.583,50,145,"ProximitytoHolefrom",2016
10,15,"Aaron Baddeley",51,NA,130.25,51,7,"ProximitytoHolefrom",2016
10,15,"Bill Haas",42,NA,76.667,30,29,"ProximitytoHolefrom",2016
10,17,"Daniel Summerhays",55,NA,159.917,62,90,"ProximitytoHolefrom",2016
10,17,"Tim Wilkinson",40,NA,113.083,44,1,"ProximitytoHolefrom",2016
14,17,"Sung Kang",51,NA,174,65,74,"ProximitytoHolefrom",2016
14,8,"Henrik Stenson",30,NA,76.583,29,162,"ProximitytoHolefrom",2016
16,8,"Thomas Aiken",42,NA,110.083,40,79,"ProximitytoHolefrom",2016
16,20,"Erik Compton",45,NA,152.083,56,177,"ProximitytoHolefrom",2016
16,20,"Jon Curran",55,NA,143.167,52,38,"ProximitytoHolefrom",2016
16,20,"Graham DeLaet",50,NA,158.167,58,185,"ProximitytoHolefrom",2016
16,20,"Peter Malnati",53,NA,166.417,60,53,"ProximitytoHolefrom",2016
16,81,"Hideki Matsuyama",40,NA,116.333,42,85,"ProximitytoHolefrom",2016
16,20,"Kevin Na",52,NA,142.667,52,46,"ProximitytoHolefrom",2016
16,20,"Seung Yul Noh",54,NA,131.333,48,161,"ProximitytoHolefrom",2016
24,27,"Andrew Landry",24,NA,62.417,22,45,"ProximitytoHolefrom",2016
24,35,"Francesco Molinari",36,NA,176.667,62,70,"ProximitytoHolefrom",2016
24,27,"Jordan Spieth",34,NA,120,42,51,"ProximitytoHolefrom",2016
24,3,"David Toms",38,NA,142.333,50,10,"ProximitytoHolefrom",2016
24,12,"Gary Woodland",45,NA,154,54,151,"ProximitytoHolefrom",2016
29,42,"Ricky Barnes",57,NA,187.583,64,69,"ProximitytoHolefrom",2016
29,35,"Brice Garnett",29,NA,43.917,15,98,"ProximitytoHolefrom",2016
29,35,"Brian Gay",22,NA,85.417,29,47,"ProximitytoHolefrom",2016
29,35,"Freddie Jacobson",54,NA,170.75,59,15,"ProximitytoHolefrom",2016
29,35,"Russell Knox",48,NA,117.667,40,20,"ProximitytoHolefrom",2016
29,53,"Ryan Moore",40,NA,123.833,42,124,"ProximitytoHolefrom",2016
