"GIRPctFairwayBunker_RANKTHISWEEK_2012","GIRPctFairwayBunker_RANKLASTWEEK_2012","GIRPctFairwayBunker_PLAYERNAME_2012","GIRPctFairwayBunker_ROUNDS_2012","GIRPctFairwayBunker_Pct_2012","GIRPctFairwayBunker_GREENSHIT_2012","GIRPctFairwayBunker_HOLES_2012","GIRPctFairwayBunker_RELATIVEPAR_2012","stat_name","year"
1,1,"Robert Karlsson",54,71.4,25,35,-7,"GIRPctFairwayBunker",2012
2,2,"Daniel Chopra",55,65.8,25,38,-5,"GIRPctFairwayBunker",2012
3,3,"James Driscoll",83,64.8,57,88,-15,"GIRPctFairwayBunker",2012
4,4,"Garth Mulroy",59,61.5,24,39,-4,"GIRPctFairwayBunker",2012
4,4,"Dicky Pride",62,61.5,24,39,-4,"GIRPctFairwayBunker",2012
6,6,"Scott Piercy",95,60,42,70,-14,"GIRPctFairwayBunker",2012
7,7,"Kevin Kisner",69,59.6,28,47,-5,"GIRPctFairwayBunker",2012
8,8,"Luke Donald",63,59.5,25,42,-5,"GIRPctFairwayBunker",2012
9,9,"Nathan Green",73,59.3,35,59,-10,"GIRPctFairwayBunker",2012
10,10,"JB Holmes",90,59.2,29,49,-3,"GIRPctFairwayBunker",2012
11,11,"Alexandre Rocha",62,58.8,20,34,-4,"GIRPctFairwayBunker",2012
12,12,"Ian Poulter",57,58.3,14,24,-5,"GIRPctFairwayBunker",2012
13,13,"Martin Flores",95,57.8,48,83,-10,"GIRPctFairwayBunker",2012
14,14,"Justin Rose",69,57.7,30,52,-7,"GIRPctFairwayBunker",2012
15,15,"David Hearn",95,57.5,42,73,-5,"GIRPctFairwayBunker",2012
16,16,"Brian Harman",101,56.6,43,76,-7,"GIRPctFairwayBunker",2012
16,16,"Seung Yul Noh",105,56.6,43,76,-5,"GIRPctFairwayBunker",2012
18,18,"Will Claxton",99,56.5,39,69,-6,"GIRPctFairwayBunker",2012
18,18,"Charles Howell III",98,56.5,48,85,-3,"GIRPctFairwayBunker",2012
20,20,"Davis Love III",64,56.4,22,39,-5,"GIRPctFairwayBunker",2012
21,21,"Sergio Garcia",57,55.9,19,34,0,"GIRPctFairwayBunker",2012
22,22,"George McNeill",85,55.7,34,61,-9,"GIRPctFairwayBunker",2012
23,23,"Danny Lee",74,55.6,35,63,-8,"GIRPctFairwayBunker",2012
24,24,"Chris Kirk",93,55.4,41,74,-7,"GIRPctFairwayBunker",2012
25,25,"Stewart Cink",71,55.1,27,49,-5,"GIRPctFairwayBunker",2012
26,26,"Kris Blanks",65,55,33,60,-5,"GIRPctFairwayBunker",2012
26,26,"Freddie Jacobson",61,55,33,60,-1,"GIRPctFairwayBunker",2012
28,28,"Rickie Fowler",84,54.9,28,51,-8,"GIRPctFairwayBunker",2012
29,29,"Jimmy Walker",101,54.6,59,108,-9,"GIRPctFairwayBunker",2012
30,30,"Kyle Thompson",51,54.5,12,22,-1,"GIRPctFairwayBunker",2012
31,31,"Brandt Snedeker",81,54.4,37,68,-9,"GIRPctFairwayBunker",2012
32,32,"Webb Simpson",77,54.3,25,46,-9,"GIRPctFairwayBunker",2012
33,33,"Bobby Gates",87,54.2,39,72,-2,"GIRPctFairwayBunker",2012
34,34,"Ernie Els",80,54,34,63,-4,"GIRPctFairwayBunker",2012
35,35,"Ricky Barnes",92,53.7,36,67,-3,"GIRPctFairwayBunker",2012
35,35,"Jhonattan Vegas",77,53.7,29,54,-4,"GIRPctFairwayBunker",2012
37,37,"Jim Furyk",85,53.6,15,28,-4,"GIRPctFairwayBunker",2012
38,38,"William McGirt",96,53.4,47,88,-9,"GIRPctFairwayBunker",2012
38,38,"Vaughn Taylor",81,53.4,31,58,-10,"GIRPctFairwayBunker",2012
40,40,"Jason Dufner",83,53.1,26,49,-7,"GIRPctFairwayBunker",2012
40,40,"Robert Garrigus",89,53.1,26,49,-8,"GIRPctFairwayBunker",2012
42,42,"Jason Day",57,52.9,18,34,-4,"GIRPctFairwayBunker",2012
42,42,"Harris English",98,52.9,46,87,-6,"GIRPctFairwayBunker",2012
42,42,"Charley Hoffman",88,52.9,37,70,-3,"GIRPctFairwayBunker",2012
42,42,"Ryan Moore",89,52.9,37,70,-9,"GIRPctFairwayBunker",2012
46,46,"Ryo Ishikawa",54,52.8,19,36,-5,"GIRPctFairwayBunker",2012
47,47,"Bo Van Pelt",84,52.7,29,55,-3,"GIRPctFairwayBunker",2012
48,48,"Derek Lamely",64,52.6,30,57,-1,"GIRPctFairwayBunker",2012
49,49,"Erik Compton",81,52.5,32,61,-10,"GIRPctFairwayBunker",2012
49,49,"Ryan Palmer",81,52.5,31,59,-5,"GIRPctFairwayBunker",2012
51,51,"Graham DeLaet",79,52.3,23,44,-2,"GIRPctFairwayBunker",2012
51,51,"Vijay Singh",99,52.3,34,65,-15,"GIRPctFairwayBunker",2012
53,53,"Mathew Goggin",65,52.2,24,46,-6,"GIRPctFairwayBunker",2012
54,54,"Scott Brown",65,52.1,25,48,-1,"GIRPctFairwayBunker",2012
55,55,"Bud Cauley",99,52,51,98,-14,"GIRPctFairwayBunker",2012
55,55,"Greg Owen",90,52,39,75,-11,"GIRPctFairwayBunker",2012
57,57,"Steve Stricker",73,51.9,28,54,-5,"GIRPctFairwayBunker",2012
58,58,"Bill Haas",79,51.8,29,56,-9,"GIRPctFairwayBunker",2012
59,59,"Stuart Appleby",75,51.7,30,58,-11,"GIRPctFairwayBunker",2012
59,59,"Matt Every",80,51.7,31,60,-5,"GIRPctFairwayBunker",2012
59,59,"Billy Horschel",63,51.7,15,29,-3,"GIRPctFairwayBunker",2012
62,62,"Chez Reavie",83,51.6,32,62,-8,"GIRPctFairwayBunker",2012
63,63,"Roberto Castro",92,51.5,35,68,-12,"GIRPctFairwayBunker",2012
63,63,"Sean OHair",84,51.5,34,66,-7,"GIRPctFairwayBunker",2012
65,65,"Troy Matteson",100,51.4,38,74,-2,"GIRPctFairwayBunker",2012
66,66,"Robert Allenby",76,51.3,39,76,-8,"GIRPctFairwayBunker",2012
67,67,"Rod Pampling",88,51.2,42,82,-2,"GIRPctFairwayBunker",2012
68,68,"Jonathan Byrd",69,51.1,24,47,-2,"GIRPctFairwayBunker",2012
68,68,"Jerry Kelly",84,51.1,24,47,-1,"GIRPctFairwayBunker",2012
68,68,"Kyle Stanley",86,51.1,23,45,-1,"GIRPctFairwayBunker",2012
71,71,"Aaron Baddeley",73,50.9,29,57,-9,"GIRPctFairwayBunker",2012
71,71,"Michael Bradley",63,50.9,27,53,-6,"GIRPctFairwayBunker",2012
71,71,"Louis Oosthuizen",65,50.9,27,53,-4,"GIRPctFairwayBunker",2012
71,71,"Camilo Villegas",79,50.9,28,55,-10,"GIRPctFairwayBunker",2012
75,75,"DJ Trahan",73,50.8,31,61,0,"GIRPctFairwayBunker",2012
76,76,"Jeff Maggert",83,50.7,37,73,-2,"GIRPctFairwayBunker",2012
76,76,"Andres Romero",68,50.7,35,69,-5,"GIRPctFairwayBunker",2012
78,78,"Jason Kokrak",79,50,26,52,-6,"GIRPctFairwayBunker",2012
78,78,"Richard Lee",71,50,16,32,-3,"GIRPctFairwayBunker",2012
78,78,"Bill Lunde",83,50,33,66,-5,"GIRPctFairwayBunker",2012
78,78,"Bryce Molder",83,50,27,54,-6,"GIRPctFairwayBunker",2012
78,78,"Nick OHern",78,50,26,52,1,"GIRPctFairwayBunker",2012
78,78,"Tom Pernice Jr",62,50,19,38,1,"GIRPctFairwayBunker",2012
78,78,"Charl Schwartzel",56,50,16,32,-7,"GIRPctFairwayBunker",2012
78,78,"Henrik Stenson",51,50,16,32,-3,"GIRPctFairwayBunker",2012
78,78,"Mark Wilson",84,50,31,62,-2,"GIRPctFairwayBunker",2012
87,87,"Chad Campbell",84,49.4,38,77,-8,"GIRPctFairwayBunker",2012
88,88,"Miguel Angel Carballo",73,49.3,34,69,-6,"GIRPctFairwayBunker",2012
88,88,"Phil Mickelson",79,49.3,35,71,-9,"GIRPctFairwayBunker",2012
88,88,"Cameron Tringale",88,49.3,35,71,-7,"GIRPctFairwayBunker",2012
91,91,"Brendan Steele",77,49.1,26,53,-8,"GIRPctFairwayBunker",2012
92,92,"Keegan Bradley",90,49,24,49,1,"GIRPctFairwayBunker",2012
92,92,"Marco Dawson",60,49,24,49,-3,"GIRPctFairwayBunker",2012
92,92,"Tommy Gainey",98,49,48,98,-12,"GIRPctFairwayBunker",2012
92,92,"Ted Potter Jr",77,49,25,51,-6,"GIRPctFairwayBunker",2012
96,96,"Jason Bohn",81,48.9,22,45,-6,"GIRPctFairwayBunker",2012
96,96,"Carl Pettersson",92,48.9,45,92,-10,"GIRPctFairwayBunker",2012
98,98,"Brian Gay",91,48.8,41,84,-7,"GIRPctFairwayBunker",2012
99,99,"Ben Curtis",62,48.4,15,31,-2,"GIRPctFairwayBunker",2012
100,100,"Brian Davis",91,48.3,29,60,-10,"GIRPctFairwayBunker",2012
100,100,"David Mathis",83,48.3,28,58,-2,"GIRPctFairwayBunker",2012
100,100,"Kevin Streelman",89,48.3,29,60,-5,"GIRPctFairwayBunker",2012
103,103,"Heath Slocum",93,48.1,26,54,-2,"GIRPctFairwayBunker",2012
103,103,"Michael Thompson",80,48.1,26,54,-12,"GIRPctFairwayBunker",2012
105,105,"Kevin Na",80,48,24,50,-1,"GIRPctFairwayBunker",2012
106,106,"Marc Leishman",84,47.9,35,73,-12,"GIRPctFairwayBunker",2012
107,107,"Johnson Wagner",88,47.7,31,65,-8,"GIRPctFairwayBunker",2012
108,108,"Gary Christian",91,47.6,30,63,-7,"GIRPctFairwayBunker",2012
109,109,"Trevor Immelman",76,47.5,28,59,-1,"GIRPctFairwayBunker",2012
109,109,"Dustin Johnson",70,47.5,19,40,1,"GIRPctFairwayBunker",2012
109,109,"Hunter Mahan",88,47.5,28,59,1,"GIRPctFairwayBunker",2012
112,112,"Brendon de Jonge",115,47.4,46,97,-8,"GIRPctFairwayBunker",2012
112,112,"Padraig Harrington",67,47.4,18,38,-3,"GIRPctFairwayBunker",2012
112,112,"Tim Herron",88,47.4,36,76,-9,"GIRPctFairwayBunker",2012
112,112,"Edward Loar",59,47.4,18,38,-4,"GIRPctFairwayBunker",2012
112,112,"Kyle Reifers",86,47.4,37,78,-6,"GIRPctFairwayBunker",2012
117,117,"Zach Johnson",95,47.3,26,55,-5,"GIRPctFairwayBunker",2012
118,118,"Graeme McDowell",55,47.2,17,36,-3,"GIRPctFairwayBunker",2012
119,119,"Billy Hurley III",70,47.1,24,51,-6,"GIRPctFairwayBunker",2012
120,120,"Daniel Summerhays",81,46.9,23,49,-7,"GIRPctFairwayBunker",2012
120,120,"Tiger Woods",69,46.9,15,32,-7,"GIRPctFairwayBunker",2012
122,122,"Harrison Frazar",56,46.7,21,45,-3,"GIRPctFairwayBunker",2012
122,122,"Ryuji Imada",78,46.7,28,60,-5,"GIRPctFairwayBunker",2012
122,122,"Matt Jones",53,46.7,21,45,-3,"GIRPctFairwayBunker",2012
125,125,"Rory Sabbatini",84,46.4,32,69,-5,"GIRPctFairwayBunker",2012
126,126,"Hunter Haas",69,46.3,19,41,-4,"GIRPctFairwayBunker",2012
127,127,"Blake Adams",107,46.2,24,52,-2,"GIRPctFairwayBunker",2012
128,128,"Angel Cabrera",54,45.8,11,24,-1,"GIRPctFairwayBunker",2012
129,129,"Sangmoon Bae",81,45.5,25,55,-4,"GIRPctFairwayBunker",2012
129,129,"Tim Clark",60,45.5,15,33,-4,"GIRPctFairwayBunker",2012
131,131,"John Senden",81,45.2,33,73,-9,"GIRPctFairwayBunker",2012
132,132,"JJ Henry",93,45.1,32,71,-9,"GIRPctFairwayBunker",2012
133,133,"Jeff Overton",101,44.9,35,78,1,"GIRPctFairwayBunker",2012
134,134,"Jonas Blixt",72,44.8,26,58,-5,"GIRPctFairwayBunker",2012
134,134,"Matt Kuchar",86,44.8,26,58,-3,"GIRPctFairwayBunker",2012
136,136,"Scott Dunlap",57,44.7,17,38,-5,"GIRPctFairwayBunker",2012
136,136,"John Mallinger",74,44.7,21,47,-8,"GIRPctFairwayBunker",2012
136,136,"David Toms",60,44.7,17,38,0,"GIRPctFairwayBunker",2012
139,139,"Kevin Chappell",91,44.6,33,74,-3,"GIRPctFairwayBunker",2012
140,140,"Nick Watney",97,44.1,30,68,-5,"GIRPctFairwayBunker",2012
141,141,"Cameron Beckman",81,44,22,50,-4,"GIRPctFairwayBunker",2012
142,142,"Pat Perez",81,43.9,29,66,-3,"GIRPctFairwayBunker",2012
142,142,"YE Yang",64,43.9,25,57,-7,"GIRPctFairwayBunker",2012
144,144,"Lee Westwood",60,43.8,14,32,-2,"GIRPctFairwayBunker",2012
145,145,"JJ Killeen",101,43.7,38,87,-6,"GIRPctFairwayBunker",2012
146,146,"Charlie Beljan",61,43.3,13,30,-3,"GIRPctFairwayBunker",2012
146,146,"Patrick Sheehan",58,43.3,13,30,-2,"GIRPctFairwayBunker",2012
146,146,"Bubba Watson",68,43.3,13,30,-5,"GIRPctFairwayBunker",2012
149,149,"Arjun Atwal",79,43.2,19,44,-6,"GIRPctFairwayBunker",2012
149,149,"Adam Scott",59,43.2,16,37,-5,"GIRPctFairwayBunker",2012
151,151,"Chris Stroud",86,42.9,33,77,-7,"GIRPctFairwayBunker",2012
151,151,"Gary Woodland",70,42.9,18,42,-2,"GIRPctFairwayBunker",2012
153,153,"Greg Chalmers",88,42.7,32,75,-7,"GIRPctFairwayBunker",2012
154,154,"John Merrick",83,42.4,25,59,-3,"GIRPctFairwayBunker",2012
155,155,"Ken Duke",104,42.2,27,64,-3,"GIRPctFairwayBunker",2012
156,156,"Martin Laird",77,42.1,24,57,-4,"GIRPctFairwayBunker",2012
156,156,"Kevin Stadler",85,42.1,24,57,-2,"GIRPctFairwayBunker",2012
158,158,"Scott Stallings",78,42,21,50,-3,"GIRPctFairwayBunker",2012
159,159,"Billy Mayfair",90,41.7,20,48,-6,"GIRPctFairwayBunker",2012
160,160,"Sung Kang",75,41.4,29,70,-4,"GIRPctFairwayBunker",2012
161,161,"Bob Estes",78,41.3,19,46,-5,"GIRPctFairwayBunker",2012
162,162,"Ben Crane",73,41.2,21,51,-5,"GIRPctFairwayBunker",2012
163,163,"Stephen Gangluff",57,41,16,39,-3,"GIRPctFairwayBunker",2012
164,164,"Mark Anderson",75,40.6,26,64,-8,"GIRPctFairwayBunker",2012
164,164,"Steve Wheatcroft",56,40.6,13,32,-2,"GIRPctFairwayBunker",2012
166,166,"KJ Choi",71,40.4,19,47,-4,"GIRPctFairwayBunker",2012
167,167,"Russell Knox",72,40,18,45,0,"GIRPctFairwayBunker",2012
167,167,"Charlie Wi",86,40,22,55,-4,"GIRPctFairwayBunker",2012
169,169,"Tommy Biershenk",74,39.7,23,58,-5,"GIRPctFairwayBunker",2012
169,169,"DA Points",88,39.7,23,58,-3,"GIRPctFairwayBunker",2012
171,171,"John Rollins",81,39.6,19,48,-6,"GIRPctFairwayBunker",2012
171,171,"Brendon Todd",78,39.6,19,48,-2,"GIRPctFairwayBunker",2012
173,173,"Roland Thatcher",55,39.5,17,43,-2,"GIRPctFairwayBunker",2012
174,174,"Spencer Levin",81,39.2,29,74,-3,"GIRPctFairwayBunker",2012
175,175,"Gavin Coles",72,39.1,18,46,-7,"GIRPctFairwayBunker",2012
176,176,"Justin Leonard",79,38.8,19,49,2,"GIRPctFairwayBunker",2012
177,177,"Troy Kelly",68,38.7,24,62,-10,"GIRPctFairwayBunker",2012
178,178,"Tom Gillis",75,38.6,22,57,-3,"GIRPctFairwayBunker",2012
179,179,"Boo Weekley",74,36.5,19,52,-3,"GIRPctFairwayBunker",2012
180,180,"Chris DiMarco",83,36.1,22,61,-8,"GIRPctFairwayBunker",2012
