"PercentageofYardagecoveredbyTeeShots_RANKTHISWEEK_2009","PercentageofYardagecoveredbyTeeShots_RANKLASTWEEK_2009","PercentageofYardagecoveredbyTeeShots_PLAYERNAME_2009","PercentageofYardagecoveredbyTeeShots_ROUNDS_2009","PercentageofYardagecoveredbyTeeShots_AVGPct_2009","PercentageofYardagecoveredbyTeeShots_TOTALSHOTDISTANCE_2009","PercentageofYardagecoveredbyTeeShots_TOTALDISTANCE_2009","stat_name","year"
1,1,"Dustin Johnson",85,65.92,270898.5,410968,"PercentageofYardagecoveredbyTeeShots",2009
2,2,"Andres Romero",58,65.32,180331.3,276069,"PercentageofYardagecoveredbyTeeShots",2009
3,3,"Anthony Kim",76,65.19,250780.5,384687,"PercentageofYardagecoveredbyTeeShots",2009
4,4,"Tag Ridings",50,65.17,167844.6,257530,"PercentageofYardagecoveredbyTeeShots",2009
5,5,"Gary Woodland",53,65.1,151321.2,232429,"PercentageofYardagecoveredbyTeeShots",2009
6,6,"JB Holmes",74,65.03,255533.1,392942,"PercentageofYardagecoveredbyTeeShots",2009
7,7,"Robert Garrigus",83,64.74,294964,455632,"PercentageofYardagecoveredbyTeeShots",2009
8,8,"Bubba Watson",73,64.64,234772.1,363194,"PercentageofYardagecoveredbyTeeShots",2009
9,9,"Phil Mickelson",66,64.43,199393.9,309472,"PercentageofYardagecoveredbyTeeShots",2009
10,10,"Nick Watney",86,64.14,279446.6,435685,"PercentageofYardagecoveredbyTeeShots",2009
11,11,"Vijay Singh",71,63.95,208276.7,325668,"PercentageofYardagecoveredbyTeeShots",2009
12,12,"Angel Cabrera",55,63.93,156268,244449,"PercentageofYardagecoveredbyTeeShots",2009
13,13,"Charley Hoffman",97,63.83,353051.8,553134,"PercentageofYardagecoveredbyTeeShots",2009
14,14,"Martin Laird",72,63.76,251793.6,394906,"PercentageofYardagecoveredbyTeeShots",2009
15,15,"Daniel Chopra",89,63.71,337817.9,530274,"PercentageofYardagecoveredbyTeeShots",2009
16,16,"Harrison Frazar",93,63.7,338805.5,531857,"PercentageofYardagecoveredbyTeeShots",2009
17,17,"Troy Matteson",95,63.65,354720.3,557259,"PercentageofYardagecoveredbyTeeShots",2009
18,18,"Sean OHair",80,63.58,236643.1,372173,"PercentageofYardagecoveredbyTeeShots",2009
19,19,"Charles Warren",63,63.46,214381.1,337829,"PercentageofYardagecoveredbyTeeShots",2009
20,20,"Kevin Streelman",97,63.41,348142.4,549000,"PercentageofYardagecoveredbyTeeShots",2009
21,21,"Fred Couples",54,63.38,169212.1,266982,"PercentageofYardagecoveredbyTeeShots",2009
21,21,"Hunter Mahan",94,63.38,304146.9,479879,"PercentageofYardagecoveredbyTeeShots",2009
23,23,"Marc Leishman",91,63.33,337897.5,533563,"PercentageofYardagecoveredbyTeeShots",2009
24,24,"Davis Love III",89,63.31,312507.3,493610,"PercentageofYardagecoveredbyTeeShots",2009
25,25,"Leif Olson",51,63.2,171387.6,271175,"PercentageofYardagecoveredbyTeeShots",2009
26,26,"Sergio Garcia",59,63.18,177087,280282,"PercentageofYardagecoveredbyTeeShots",2009
27,27,"Stewart Cink",79,63.16,237895.4,376633,"PercentageofYardagecoveredbyTeeShots",2009
27,27,"Steve Marino",98,63.16,336670.5,533035,"PercentageofYardagecoveredbyTeeShots",2009
29,29,"Scott Piercy",85,63.13,304837.2,482886,"PercentageofYardagecoveredbyTeeShots",2009
30,30,"Rory Sabbatini",81,63.03,268452.8,425916,"PercentageofYardagecoveredbyTeeShots",2009
31,31,"Ryan Palmer",78,62.99,280928.8,445984,"PercentageofYardagecoveredbyTeeShots",2009
32,32,"Geoff Ogilvy",78,62.98,235604,374100,"PercentageofYardagecoveredbyTeeShots",2009
32,32,"Boo Weekley",79,62.98,259356.6,411836,"PercentageofYardagecoveredbyTeeShots",2009
34,34,"John Rollins",92,62.97,316756.6,503024,"PercentageofYardagecoveredbyTeeShots",2009
35,35,"Kenny Perry",92,62.94,293082.7,465678,"PercentageofYardagecoveredbyTeeShots",2009
35,35,"Ted Purdy",101,62.94,356225.2,565995,"PercentageofYardagecoveredbyTeeShots",2009
35,35,"Nicholas Thompson",96,62.94,346957.6,551234,"PercentageofYardagecoveredbyTeeShots",2009
38,38,"Matt Bettencourt",98,62.92,346650.9,550897,"PercentageofYardagecoveredbyTeeShots",2009
39,39,"Jason Day",61,62.9,201380.8,320170,"PercentageofYardagecoveredbyTeeShots",2009
40,40,"Tim Herron",87,62.87,320040.7,509067,"PercentageofYardagecoveredbyTeeShots",2009
41,41,"Lucas Glover",93,62.85,315966.5,502765,"PercentageofYardagecoveredbyTeeShots",2009
42,42,"Matt Jones",56,62.82,179056.3,285044,"PercentageofYardagecoveredbyTeeShots",2009
43,43,"Jeff Overton",92,62.74,304067.8,484680,"PercentageofYardagecoveredbyTeeShots",2009
