"ScoringAverageBeforeCut_RANKTHISWEEK_2015","ScoringAverageBeforeCut_RANKLASTWEEK_2015","ScoringAverageBeforeCut_PLAYERNAME_2015","ScoringAverageBeforeCut__2015","ScoringAverageBeforeCut_AVG_2015","ScoringAverageBeforeCut_TOTALSTROKES_2015","ScoringAverageBeforeCut_TOTALROUNDS_2015","stat_name","year"
1,1,"Jason Day",NA,68.95,2689,39,"ScoringAverageBeforeCut",2015
2,2,"Henrik Stenson",NA,69.23,2077,30,"ScoringAverageBeforeCut",2015
3,3,"Jordan Spieth",NA,69.24,3393,49,"ScoringAverageBeforeCut",2015
4,4,"Bubba Watson",NA,69.39,2498,36,"ScoringAverageBeforeCut",2015
5,5,"Justin Thomas",NA,69.46,4237,61,"ScoringAverageBeforeCut",2015
6,6,"Harris English",NA,69.61,3968,57,"ScoringAverageBeforeCut",2015
7,7,"Brendan Steele",NA,69.62,3272,47,"ScoringAverageBeforeCut",2015
8,8,"Kevin Na",NA,69.67,3623,52,"ScoringAverageBeforeCut",2015
8,8,"Patrick Rodgers",NA,69.67,2299,33,"ScoringAverageBeforeCut",2015
10,10,"Matt Kuchar",NA,69.71,3416,49,"ScoringAverageBeforeCut",2015
11,11,"Paul Casey",NA,69.78,3210,46,"ScoringAverageBeforeCut",2015
11,11,"Patrick Reed",NA,69.78,3768,54,"ScoringAverageBeforeCut",2015
13,13,"Zach Johnson",NA,69.8,3420,49,"ScoringAverageBeforeCut",2015
14,14,"Jason Bohn",NA,69.88,3913,56,"ScoringAverageBeforeCut",2015
15,15,"Hideki Matsuyama",NA,69.9,3355,48,"ScoringAverageBeforeCut",2015
16,16,"Will Wilcox",NA,69.91,2307,33,"ScoringAverageBeforeCut",2015
17,17,"Dustin Johnson",NA,69.95,2728,39,"ScoringAverageBeforeCut",2015
17,17,"Webb Simpson",NA,69.95,3008,43,"ScoringAverageBeforeCut",2015
19,19,"Tony Finau",NA,69.97,4408,63,"ScoringAverageBeforeCut",2015
20,20,"Jim Furyk",NA,70.03,2451,35,"ScoringAverageBeforeCut",2015
21,21,"Danny Lee",NA,70.07,5115,73,"ScoringAverageBeforeCut",2015
22,22,"Russell Knox",NA,70.09,3925,56,"ScoringAverageBeforeCut",2015
23,23,"Brendon de Jonge",NA,70.1,4416,63,"ScoringAverageBeforeCut",2015
24,24,"Sergio Garcia",NA,70.11,1963,28,"ScoringAverageBeforeCut",2015
25,25,"Mark Hubbard",NA,70.13,3366,48,"ScoringAverageBeforeCut",2015
25,25,"Shawn Stefani",NA,70.13,3717,53,"ScoringAverageBeforeCut",2015
27,27,"Charles Howell III",NA,70.15,4279,61,"ScoringAverageBeforeCut",2015
27,27,"Pat Perez",NA,70.15,3788,54,"ScoringAverageBeforeCut",2015
29,29,"Brooks Koepka",NA,70.16,3087,44,"ScoringAverageBeforeCut",2015
29,29,"Justin Rose",NA,70.16,2666,38,"ScoringAverageBeforeCut",2015
31,31,"Matt Jones",NA,70.18,3509,50,"ScoringAverageBeforeCut",2015
31,31,"John Peterson",NA,70.18,3439,49,"ScoringAverageBeforeCut",2015
33,33,"Chad Collins",NA,70.2,3510,50,"ScoringAverageBeforeCut",2015
34,34,"Nick Watney",NA,70.22,4073,58,"ScoringAverageBeforeCut",2015
35,35,"Chad Campbell",NA,70.23,4284,61,"ScoringAverageBeforeCut",2015
35,35,"Michael Putnam",NA,70.23,3933,56,"ScoringAverageBeforeCut",2015
37,37,"Cameron Percy",NA,70.24,3231,46,"ScoringAverageBeforeCut",2015
38,38,"Steven Alker",NA,70.25,3091,44,"ScoringAverageBeforeCut",2015
