"3PuttAvoidance_RANKTHISWEEK_2010","3PuttAvoidance_RANKLASTWEEK_2010","3PuttAvoidance_PLAYERNAME_2010","3PuttAvoidance_ROUNDS_2010","3PuttAvoidance_Pct_2010","3PuttAvoidance_TOTAL3PUTTS_2010","3PuttAvoidance_TOTALHOLESOVERALL_2010","stat_name","year"
1,1,"Padraig Harrington",57,1.39,14,1008,"3PuttAvoidance",2010
2,2,"Chad Collins",87,1.53,24,1566,"3PuttAvoidance",2010
3,3,"Carl Pettersson",99,1.57,28,1782,"3PuttAvoidance",2010
4,4,"Charles Howell III",103,1.62,30,1854,"3PuttAvoidance",2010
5,5,"Luke Donald",71,1.63,20,1224,"3PuttAvoidance",2010
6,6,"Retief Goosen",75,1.72,22,1278,"3PuttAvoidance",2010
7,7,"Steve Elkington",74,1.73,23,1332,"3PuttAvoidance",2010
8,8,"Dean Wilson",54,1.75,17,972,"3PuttAvoidance",2010
9,9,"Brian Gay",101,1.87,33,1764,"3PuttAvoidance",2010
10,10,"Aaron Baddeley",94,1.89,32,1692,"3PuttAvoidance",2010
10,10,"Zach Johnson",93,1.89,31,1638,"3PuttAvoidance",2010
12,12,"Steve Stricker",73,1.93,25,1296,"3PuttAvoidance",2010
13,13,"Michael Sim",64,1.94,22,1134,"3PuttAvoidance",2010
14,14,"Matt Kuchar",97,1.99,34,1710,"3PuttAvoidance",2010
15,15,"Brandt Snedeker",89,2,32,1602,"3PuttAvoidance",2010
16,16,"Greg Chalmers",93,2.03,34,1674,"3PuttAvoidance",2010
17,17,"JJ Henry",92,2.05,34,1656,"3PuttAvoidance",2010
18,18,"Brendon de Jonge",114,2.1,43,2052,"3PuttAvoidance",2010
19,19,"Rich Barcelo",70,2.14,27,1260,"3PuttAvoidance",2010
20,20,"Paul Stankowski",62,2.15,24,1116,"3PuttAvoidance",2010
21,21,"JP Hayes",79,2.18,31,1422,"3PuttAvoidance",2010
22,22,"Skip Kendall",58,2.2,23,1044,"3PuttAvoidance",2010
23,23,"Brent Delahoussaye",57,2.24,23,1026,"3PuttAvoidance",2010
24,24,"Webb Simpson",98,2.27,40,1764,"3PuttAvoidance",2010
25,25,"Justin Rose",78,2.28,32,1404,"3PuttAvoidance",2010
26,26,"Tim Clark",88,2.29,35,1530,"3PuttAvoidance",2010
27,27,"Rod Pampling",77,2.31,32,1386,"3PuttAvoidance",2010
28,28,"Matt Bettencourt",91,2.32,38,1638,"3PuttAvoidance",2010
28,28,"Spencer Levin",110,2.32,46,1980,"3PuttAvoidance",2010
30,30,"Ernie Els",72,2.38,30,1260,"3PuttAvoidance",2010
31,31,"Paul Casey",64,2.39,25,1044,"3PuttAvoidance",2010
32,32,"Chris DiMarco",88,2.4,38,1584,"3PuttAvoidance",2010
32,32,"Jim Furyk",76,2.4,32,1332,"3PuttAvoidance",2010
34,34,"Ryuji Imada",90,2.41,39,1620,"3PuttAvoidance",2010
35,35,"Matt Jones",89,2.43,39,1602,"3PuttAvoidance",2010
36,36,"Jason Bohn",84,2.45,37,1512,"3PuttAvoidance",2010
36,36,"Kevin Na",94,2.45,41,1674,"3PuttAvoidance",2010
36,36,"Ryan Palmer",84,2.45,37,1512,"3PuttAvoidance",2010
39,39,"Stephen Ames",75,2.48,33,1332,"3PuttAvoidance",2010
40,40,"Ian Poulter",55,2.49,22,882,"3PuttAvoidance",2010
41,41,"Chris Riley",73,2.51,33,1314,"3PuttAvoidance",2010
42,42,"Mike Weir",59,2.53,26,1026,"3PuttAvoidance",2010
43,43,"Charley Hoffman",85,2.55,39,1530,"3PuttAvoidance",2010
44,44,"James Driscoll",78,2.56,36,1404,"3PuttAvoidance",2010
44,44,"Jeff Quinney",91,2.56,42,1638,"3PuttAvoidance",2010
46,46,"Jarrod Lyle",54,2.57,25,972,"3PuttAvoidance",2010
47,47,"David Duval",71,2.58,33,1278,"3PuttAvoidance",2010
47,47,"Jeev Milkha Singh",59,2.58,26,1008,"3PuttAvoidance",2010
49,49,"Stuart Appleby",101,2.59,47,1818,"3PuttAvoidance",2010
49,49,"Brad Faxon",58,2.59,27,1044,"3PuttAvoidance",2010
49,49,"Richard Johnson",90,2.59,42,1620,"3PuttAvoidance",2010
49,49,"Alex Prugh",88,2.59,41,1584,"3PuttAvoidance",2010
53,53,"Kevin Johnson",62,2.6,29,1116,"3PuttAvoidance",2010
54,54,"Shaun Micheel",70,2.62,33,1260,"3PuttAvoidance",2010
55,55,"Ben Curtis",78,2.64,37,1404,"3PuttAvoidance",2010
55,55,"Jimmy Walker",82,2.64,39,1476,"3PuttAvoidance",2010
57,57,"Bryce Molder",84,2.65,40,1512,"3PuttAvoidance",2010
57,57,"Tim Petrovic",105,2.65,50,1890,"3PuttAvoidance",2010
59,59,"Cliff Kresge",50,2.67,24,900,"3PuttAvoidance",2010
59,59,"Andrew McLardy",52,2.67,25,936,"3PuttAvoidance",2010
59,59,"Jerod Turner",54,2.67,26,972,"3PuttAvoidance",2010
62,62,"Chris Couch",66,2.69,32,1188,"3PuttAvoidance",2010
63,63,"Daniel Chopra",74,2.7,36,1332,"3PuttAvoidance",2010
64,64,"Scott McCarron",90,2.72,44,1620,"3PuttAvoidance",2010
65,65,"Freddie Jacobson",83,2.74,41,1494,"3PuttAvoidance",2010
66,66,"Briny Baird",87,2.75,43,1566,"3PuttAvoidance",2010
66,66,"Bill Haas",87,2.75,43,1566,"3PuttAvoidance",2010
66,66,"Vaughn Taylor",87,2.75,43,1566,"3PuttAvoidance",2010
66,66,"David Toms",86,2.75,42,1530,"3PuttAvoidance",2010
70,70,"Tom Pernice Jr",74,2.78,37,1332,"3PuttAvoidance",2010
71,71,"Charlie Wi",95,2.81,48,1710,"3PuttAvoidance",2010
72,72,"Joe Durant",67,2.82,34,1206,"3PuttAvoidance",2010
73,73,"Chad Campbell",95,2.84,48,1692,"3PuttAvoidance",2010
73,73,"Kevin Streelman",90,2.84,46,1620,"3PuttAvoidance",2010
75,75,"Phil Mickelson",76,2.85,39,1368,"3PuttAvoidance",2010
76,76,"YE Yang",72,2.86,36,1260,"3PuttAvoidance",2010
77,77,"Tim Herron",79,2.88,41,1422,"3PuttAvoidance",2010
77,77,"Ryan Moore",80,2.88,41,1422,"3PuttAvoidance",2010
77,77,"Brett Wetterich",54,2.88,28,972,"3PuttAvoidance",2010
80,80,"Bubba Watson",77,2.89,40,1386,"3PuttAvoidance",2010
81,81,"Justin Leonard",89,2.9,46,1584,"3PuttAvoidance",2010
82,82,"Omar Uresti",74,2.93,39,1332,"3PuttAvoidance",2010
83,83,"Brenden Pappas",66,2.95,35,1188,"3PuttAvoidance",2010
84,84,"Nathan Green",86,2.97,46,1548,"3PuttAvoidance",2010
84,84,"Joe Ogilvie",99,2.97,53,1782,"3PuttAvoidance",2010
84,84,"Kevin Sutherland",86,2.97,46,1548,"3PuttAvoidance",2010
84,84,"Scott Verplank",74,2.97,39,1314,"3PuttAvoidance",2010
88,88,"Blake Adams",84,2.98,45,1512,"3PuttAvoidance",2010
89,89,"Steve Flesch",78,2.99,42,1404,"3PuttAvoidance",2010
90,90,"Jeff Overton",89,3,48,1602,"3PuttAvoidance",2010
90,90,"Mark Wilson",87,3,47,1566,"3PuttAvoidance",2010
92,92,"Bob Estes",79,3.02,43,1422,"3PuttAvoidance",2010
92,92,"Derek Lamely",81,3.02,44,1458,"3PuttAvoidance",2010
92,92,"Brian Stuard",81,3.02,44,1458,"3PuttAvoidance",2010
95,95,"Ted Purdy",86,3.04,47,1548,"3PuttAvoidance",2010
