"FedExCupStandings_RANKTHISWEEK_2011","FedExCupStandings_RANKLASTWEEK_2011","FedExCupStandings_PLAYERNAME_2011","FedExCupStandings_EVENTS_2011","FedExCupStandings_POINTS_2011","FedExCupStandings_OFWINS_2011","FedExCupStandings_OFTOP10S_2011","FedExCupStandings_POINTSBEHINDLEAD_2011","FedExCupStandings_RESETPOINTS_2011","stat_name","year"
1,1,"Bill Haas",26,2760,1,7,NA,260,"FedExCupStandings",2011
2,2,"Webb Simpson",24,2745,2,10,15,2500,"FedExCupStandings",2011
3,3,"Luke Donald",18,2567,1,13,193,1800,"FedExCupStandings",2011
4,4,"Dustin Johnson",21,2488,1,6,272,2250,"FedExCupStandings",2011
5,5,"Justin Rose",22,2253,1,5,507,2000,"FedExCupStandings",2011
6,6,"Matt Kuchar",23,1853,NA,9,907,1600,"FedExCupStandings",2011
7,7,"Hunter Mahan",25,1800,NA,9,960,300,"FedExCupStandings",2011
8,8,"Brandt Snedeker",25,1668,1,7,1092,1400,"FedExCupStandings",2011
9,9,"Nick Watney",21,1420,2,9,1340,1200,"FedExCupStandings",2011
10,10,"Chez Reavie",26,1220,NA,5,1540,1000,"FedExCupStandings",2011
11,11,"KJ Choi",22,1207,1,8,1553,440,"FedExCupStandings",2011
12,12,"Jason Day",21,1058,NA,10,1702,600,"FedExCupStandings",2011
13,13,"John Senden",25,1030,NA,3,1730,800,"FedExCupStandings",2011
14,14,"Aaron Baddeley",22,1007,1,5,1753,240,"FedExCupStandings",2011
15,15,"Phil Mickelson",21,795,1,7,1965,420,"FedExCupStandings",2011
16,16,"Adam Scott",18,778,1,7,1982,320,"FedExCupStandings",2011
17,17,"Gary Woodland",24,773,1,6,1987,480,"FedExCupStandings",2011
18,18,"Steve Stricker",19,740,2,5,2020,460,"FedExCupStandings",2011
19,19,"Charles Howell III",28,708,NA,7,2052,250,"FedExCupStandings",2011
20,20,"Keegan Bradley",28,648,2,4,2112,310,"FedExCupStandings",2011
20,20,"David Toms",22,648,1,7,2112,380,"FedExCupStandings",2011
22,22,"Mark Wilson",25,620,2,4,2140,400,"FedExCupStandings",2011
23,23,"Bo Van Pelt",26,610,NA,5,2150,210,"FedExCupStandings",2011
24,24,"Geoff Ogilvy",21,608,NA,4,2152,270,"FedExCupStandings",2011
25,25,"Jason Dufner",23,583,NA,6,2177,290,"FedExCupStandings",2011
26,26,"Bubba Watson",22,578,2,3,2182,340,"FedExCupStandings",2011
27,27,"Jonathan Byrd",24,565,1,5,2195,360,"FedExCupStandings",2011
28,28,"Vijay Singh",24,548,NA,5,2212,280,"FedExCupStandings",2011
29,29,"Freddie Jacobson",25,488,1,3,2272,220,"FedExCupStandings",2011
30,30,"YE Yang",18,440,NA,5,2320,230,"FedExCupStandings",2011
31,31,"Martin Laird",22,1589,1,6,3917,NA,"FedExCupStandings",2011
32,32,"Charl Schwartzel",15,1560,1,3,3946,NA,"FedExCupStandings",2011
33,33,"Camilo Villegas",25,1532,NA,4,3974,NA,"FedExCupStandings",2011
34,34,"Kyle Stanley",26,1523,NA,3,3983,NA,"FedExCupStandings",2011
35,35,"Rory Sabbatini",23,1493,1,3,4013,NA,"FedExCupStandings",2011
36,36,"Jim Furyk",25,1468,NA,4,4038,NA,"FedExCupStandings",2011
37,37,"Ryan Moore",21,1465,NA,4,4041,NA,"FedExCupStandings",2011
38,38,"Jerry Kelly",24,1450,NA,4,4056,NA,"FedExCupStandings",2011
39,39,"Brian Davis",28,1438,NA,2,4068,NA,"FedExCupStandings",2011
40,40,"Zach Johnson",22,1414,NA,4,4092,NA,"FedExCupStandings",2011
41,41,"Charley Hoffman",26,1369,NA,2,4137,NA,"FedExCupStandings",2011
42,42,"Chris Kirk",27,1332,1,4,4174,NA,"FedExCupStandings",2011
43,43,"Rickie Fowler",23,1323,NA,4,4183,NA,"FedExCupStandings",2011
44,44,"Sergio Garcia",16,1317,NA,3,4189,NA,"FedExCupStandings",2011
45,45,"Lucas Glover",22,1305,1,1,4201,NA,"FedExCupStandings",2011
46,46,"Robert Karlsson",18,1297,NA,3,4209,NA,"FedExCupStandings",2011
47,47,"Spencer Levin",27,1287,NA,4,4219,NA,"FedExCupStandings",2011
48,48,"Carl Pettersson",25,1284,NA,4,4222,NA,"FedExCupStandings",2011
49,49,"Steve Marino",23,1262,NA,3,4244,NA,"FedExCupStandings",2011
50,50,"Jimmy Walker",24,1252,NA,4,4254,NA,"FedExCupStandings",2011
51,51,"Brandt Jobe",26,1238,NA,4,4268,NA,"FedExCupStandings",2011
52,52,"Brendan Steele",25,1160,1,2,4346,NA,"FedExCupStandings",2011
53,53,"Ryan Palmer",23,1159,NA,3,4347,NA,"FedExCupStandings",2011
54,54,"Jhonattan Vegas",24,1149,1,2,4357,NA,"FedExCupStandings",2011
55,55,"Robert Allenby",24,1146,NA,3,4360,NA,"FedExCupStandings",2011
56,56,"DA Points",24,1140,1,3,4366,NA,"FedExCupStandings",2011
57,57,"Scott Stallings",26,1125,1,2,4381,NA,"FedExCupStandings",2011
58,58,"Sean OHair",23,1102,1,1,4404,NA,"FedExCupStandings",2011
59,59,"Chad Campbell",26,1076,NA,1,4430,NA,"FedExCupStandings",2011
60,60,"Brendon de Jonge",28,1024,NA,3,4482,NA,"FedExCupStandings",2011
61,61,"Chris Stroud",25,1013,NA,2,4493,NA,"FedExCupStandings",2011
62,62,"Tommy Gainey",30,1009,NA,6,4497,NA,"FedExCupStandings",2011
63,63,"Cameron Tringale",28,1002,NA,4,4504,NA,"FedExCupStandings",2011
64,64,"Blake Adams",30,985,NA,4,4521,NA,"FedExCupStandings",2011
65,65,"Marc Leishman",25,947,NA,2,4559,NA,"FedExCupStandings",2011
66,66,"Andres Romero",22,939,NA,4,4567,NA,"FedExCupStandings",2011
67,67,"Ernie Els",20,924,NA,NA,4582,NA,"FedExCupStandings",2011
68,68,"George McNeill",18,889,NA,4,4617,NA,"FedExCupStandings",2011
69,69,"Scott Piercy",19,885,1,2,4621,NA,"FedExCupStandings",2011
70,70,"Johnson Wagner",23,842,1,1,4664,NA,"FedExCupStandings",2011
71,71,"Kevin Na",24,778,NA,5,4728,NA,"FedExCupStandings",2011
72,72,"Kevin Streelman",23,770,NA,3,4736,NA,"FedExCupStandings",2011
73,73,"Graeme McDowell",15,765,NA,3,4741,NA,"FedExCupStandings",2011
74,74,"Robert Garrigus",23,759,NA,3,4747,NA,"FedExCupStandings",2011
75,75,"Pat Perez",23,751,NA,4,4755,NA,"FedExCupStandings",2011
76,76,"JJ Henry",26,739,NA,1,4767,NA,"FedExCupStandings",2011
77,77,"Harrison Frazar",18,713,1,1,4793,NA,"FedExCupStandings",2011
78,78,"Charlie Wi",22,711,NA,1,4795,NA,"FedExCupStandings",2011
79,79,"Anthony Kim",26,702,NA,2,4804,NA,"FedExCupStandings",2011
80,80,"Kris Blanks",26,694,NA,2,4812,NA,"FedExCupStandings",2011
81,81,"Greg Chalmers",25,692,NA,2,4814,NA,"FedExCupStandings",2011
82,82,"Brian Gay",23,685,NA,3,4821,NA,"FedExCupStandings",2011
83,83,"William McGirt",28,674,NA,NA,4832,NA,"FedExCupStandings",2011
84,84,"Kevin Chappell",23,673,NA,2,4833,NA,"FedExCupStandings",2011
85,85,"Bill Lunde",25,668,NA,NA,4838,NA,"FedExCupStandings",2011
86,86,"JB Holmes",16,640,NA,4,4866,NA,"FedExCupStandings",2011
87,87,"Ian Poulter",16,639,NA,1,4867,NA,"FedExCupStandings",2011
88,88,"Trevor Immelman",21,638,NA,NA,4868,NA,"FedExCupStandings",2011
89,89,"Padraig Harrington",18,625,NA,3,4881,NA,"FedExCupStandings",2011
90,90,"Jeff Overton",23,619,NA,3,4887,NA,"FedExCupStandings",2011
91,91,"Ryuji Imada",25,617,NA,2,4889,NA,"FedExCupStandings",2011
92,92,"John Rollins",24,616,NA,2,4890,NA,"FedExCupStandings",2011
93,93,"Scott Verplank",15,588,NA,3,4918,NA,"FedExCupStandings",2011
