"LongestDrives_RANKTHISWEEK_2006","LongestDrives_RANKLASTWEEK_2006","LongestDrives_PLAYERNAME_2006","LongestDrives_ROUNDS_2006","LongestDrives_DISTANCE_2006","LongestDrives_TOURNAMENT_2006","LongestDrives_ROUND_2006","LongestDrives_HOLE_2006","LongestDrives_COURSE_2006","stat_name","year"
1,1,"Jason Gore",86,427,NA,3,12,656,"LongestDrives",2006
2,2,"Stuart Appleby",83,426,NA,1,12,656,"LongestDrives",2006
2,2,"Angel Cabrera",40,426,NA,2,16,36,"LongestDrives",2006
4,4,"Scott Gutschewski",53,425,NA,2,11,625,"LongestDrives",2006
5,5,"Bubba Dickerson",98,420,NA,4,1,625,"LongestDrives",2006
6,6,"Harrison Frazar",95,416,NA,4,1,625,"LongestDrives",2006
7,7,"JB Holmes",81,413,NA,2,16,36,"LongestDrives",2006
8,8,"Charley Hoffman",100,411,NA,3,11,625,"LongestDrives",2006
9,9,"Wes Short Jr",96,410,NA,4,12,656,"LongestDrives",2006
10,10,"Geoff Ogilvy",76,409,NA,3,12,656,"LongestDrives",2006
10,10,"Lucas Glover",105,409,NA,3,12,656,"LongestDrives",2006
13,13,"Carl Pettersson",95,406,NA,4,12,656,"LongestDrives",2006
14,14,"Sergio Garcia",59,405,NA,4,12,656,"LongestDrives",2006
16,16,"Brandt Jobe",91,404,NA,4,14,625,"LongestDrives",2006
16,16,"Scott Hend",16,404,NA,2,17,710,"LongestDrives",2006
19,19,"Ian Leggatt",80,403,NA,2,9,723,"LongestDrives",2006
19,19,"Daniel Chopra",110,403,NA,5,9,723,"LongestDrives",2006
23,23,"Carlos Franco",86,402,NA,3,7,511,"LongestDrives",2006
23,23,"Henrik Stenson",34,402,NA,2,16,36,"LongestDrives",2006
29,29,"Davis Love III",85,400,NA,1,16,36,"LongestDrives",2006
31,31,"Vijay Singh",103,399,NA,3,12,656,"LongestDrives",2006
31,31,"Matt Hansen",68,399,NA,2,11,625,"LongestDrives",2006
33,33,"Jeev Milkha Singh",8,398,NA,2,9,660,"LongestDrives",2006
33,33,"Bubba Watson",83,398,NA,4,12,6,"LongestDrives",2006
36,36,"John Daly",51,397,NA,1,7,710,"LongestDrives",2006
36,36,"Bob Burns",23,397,NA,1,1,625,"LongestDrives",2006
