"LongestDrives_RANKTHISWEEK_2011","LongestDrives_RANKLASTWEEK_2011","LongestDrives_PLAYERNAME_2011","LongestDrives_ROUNDS_2011","LongestDrives_DISTANCE_2011","LongestDrives_TOURNAMENT_2011","LongestDrives_ROUND_2011","LongestDrives_HOLE_2011","LongestDrives_COURSE_2011","stat_name","year"
1,1,"Dustin Johnson",72,463,NA,4,7,700,"LongestDrives",2011
2,2,"Derek Lamely",65,419,NA,2,7,771,"LongestDrives",2011
3,3,"Bubba Watson",85,415,NA,3,16,36,"LongestDrives",2011
3,3,"JB Holmes",57,415,NA,2,10,770,"LongestDrives",2011
5,5,"Gary Woodland",93,409,NA,3,1,19,"LongestDrives",2011
6,6,"Chris Couch",73,408,NA,1,5,9,"LongestDrives",2011
7,7,"Jason Schmuhl",5,405,NA,1,18,660,"LongestDrives",2011
8,8,"Steve Flesch",88,404,NA,3,7,771,"LongestDrives",2011
10,10,"James Driscoll",71,399,NA,1,5,660,"LongestDrives",2011
13,13,"Chris Tidland",30,395,NA,1,18,660,"LongestDrives",2011
14,14,"Robert Garrigus",83,394,NA,2,18,656,"LongestDrives",2011
15,15,"Scott Smith",2,393,NA,1,18,660,"LongestDrives",2011
19,19,"DJ Trahan",91,391,NA,2,5,9,"LongestDrives",2011
19,19,"Alvaro Quiros",25,391,NA,4,16,36,"LongestDrives",2011
19,19,"Josh Teater",104,391,NA,4,8,660,"LongestDrives",2011
22,22,"Kyle Stanley",98,390,NA,4,10,669,"LongestDrives",2011
22,22,"Zack Miller",86,390,NA,3,17,23,"LongestDrives",2011
25,25,"Angel Cabrera",50,389,NA,3,17,23,"LongestDrives",2011
25,25,"David Hearn",88,389,NA,1,18,660,"LongestDrives",2011
29,29,"Justin Leonard",82,388,NA,2,10,770,"LongestDrives",2011
29,29,"Ryan Palmer",82,388,NA,2,17,729,"LongestDrives",2011
33,33,"Scott Piercy",78,387,NA,4,18,660,"LongestDrives",2011
33,33,"Jason Day",76,387,NA,1,17,656,"LongestDrives",2011
33,33,"Scott Stallings",84,387,NA,3,16,36,"LongestDrives",2011
38,38,"Phil Mickelson",79,386,NA,3,18,23,"LongestDrives",2011
38,38,"Charley Hoffman",93,386,NA,2,1,19,"LongestDrives",2011
38,38,"Scott Gordon",43,386,NA,3,1,19,"LongestDrives",2011
42,42,"Michael Letzig",33,385,NA,2,8,729,"LongestDrives",2011
42,42,"Jeff Overton",92,385,NA,3,4,734,"LongestDrives",2011
50,50,"Vijay Singh",79,383,NA,4,3,19,"LongestDrives",2011
50,50,"Michael Putnam",67,383,NA,2,17,770,"LongestDrives",2011
55,55,"Stuart Appleby",65,382,NA,2,12,656,"LongestDrives",2011
55,55,"Michael Thompson",79,382,NA,2,14,609,"LongestDrives",2011
58,58,"Harrison Frazar",58,381,NA,2,8,729,"LongestDrives",2011
58,58,"Colt Knost",80,381,NA,1,1,660,"LongestDrives",2011
64,64,"Bo Van Pelt",92,380,NA,1,2,778,"LongestDrives",2011
64,64,"Sean OHair",71,380,NA,1,3,36,"LongestDrives",2011
64,64,"Steven Bowditch",86,380,NA,3,3,19,"LongestDrives",2011
64,64,"Sam Smith",2,380,NA,2,3,19,"LongestDrives",2011
72,72,"Kenny Perry",36,379,NA,1,8,510,"LongestDrives",2011
72,72,"Peter Tomasulo",36,379,NA,3,8,660,"LongestDrives",2011
72,72,"Cameron Tringale",110,379,NA,4,15,770,"LongestDrives",2011
78,78,"Lee Westwood",36,378,NA,3,16,36,"LongestDrives",2011
78,78,"Hunter Mahan",92,378,NA,2,7,656,"LongestDrives",2011
78,78,"Matt Jones",71,378,NA,2,17,770,"LongestDrives",2011
78,78,"Michael Sim",45,378,NA,2,17,770,"LongestDrives",2011
78,78,"Chris Kirk",87,378,NA,2,17,770,"LongestDrives",2011
86,86,"Peter Hanson",35,377,NA,2,1,778,"LongestDrives",2011
86,86,"Pat Perez",76,377,NA,3,18,660,"LongestDrives",2011
86,86,"Adam Scott",60,377,NA,4,18,770,"LongestDrives",2011
86,86,"Brendan Steele",89,377,NA,2,10,770,"LongestDrives",2011
86,86,"Rickie Fowler",84,377,NA,1,2,778,"LongestDrives",2011
86,86,"Keegan Bradley",91,377,NA,2,10,770,"LongestDrives",2011
86,86,"Will Strickler",51,377,NA,4,14,609,"LongestDrives",2011
97,97,"Bill Haas",93,376,NA,4,6,656,"LongestDrives",2011
97,97,"Scott Gutschewski",67,376,NA,2,17,770,"LongestDrives",2011
101,101,"Brandt Jobe",100,375,NA,4,1,19,"LongestDrives",2011
101,101,"David Duval",67,375,NA,2,10,769,"LongestDrives",2011
101,101,"Jesper Parnevik",26,375,NA,2,17,770,"LongestDrives",2011
101,101,"Sergio Garcia",61,375,NA,2,1,19,"LongestDrives",2011
101,101,"Justin Rose",79,375,NA,2,7,656,"LongestDrives",2011
101,101,"Graeme McDowell",50,375,NA,4,6,656,"LongestDrives",2011
101,101,"Chris Stroud",88,375,NA,2,17,770,"LongestDrives",2011
101,101,"Tommy Gainey",104,375,NA,3,3,19,"LongestDrives",2011
101,101,"Alex Prugh",82,375,NA,3,8,660,"LongestDrives",2011
119,119,"Michael Bradley",74,374,NA,3,12,19,"LongestDrives",2011
119,119,"Brett Wetterich",28,374,NA,3,1,19,"LongestDrives",2011
119,119,"Charl Schwartzel",58,374,NA,3,17,23,"LongestDrives",2011
119,119,"Troy Matteson",91,374,NA,1,18,770,"LongestDrives",2011
119,119,"Rory McIlroy",36,374,NA,3,10,734,"LongestDrives",2011
119,119,"Bobby Gates",82,374,NA,2,10,770,"LongestDrives",2011
136,136,"Todd Hamilton",32,373,NA,2,1,19,"LongestDrives",2011
136,136,"Tim Petrovic",88,373,NA,2,10,770,"LongestDrives",2011
136,136,"Arjun Atwal",91,373,NA,4,6,656,"LongestDrives",2011
136,136,"Ted Purdy",14,373,NA,2,10,770,"LongestDrives",2011
136,136,"Charles Warren",29,373,NA,4,10,669,"LongestDrives",2011
136,136,"Carl Pettersson",95,373,NA,4,3,19,"LongestDrives",2011
136,136,"Boo Weekley",66,373,NA,2,14,660,"LongestDrives",2011
136,136,"Kevin Stadler",88,373,NA,3,2,23,"LongestDrives",2011
136,136,"Seung Yul Noh",19,373,NA,4,1,778,"LongestDrives",2011
158,158,"Robert Karlsson",61,372,NA,3,2,781,"LongestDrives",2011
158,158,"Tag Ridings",87,372,NA,2,10,770,"LongestDrives",2011
158,158,"Louis Oosthuizen",46,372,NA,3,8,36,"LongestDrives",2011
158,158,"Martin Laird",77,372,NA,1,2,778,"LongestDrives",2011
158,158,"Blake Adams",116,372,NA,2,1,19,"LongestDrives",2011
158,158,"Joseph Bramlett",73,372,NA,2,18,660,"LongestDrives",2011
174,174,"Bob May",6,371,NA,4,1,660,"LongestDrives",2011
174,174,"John Rollins",85,371,NA,3,3,19,"LongestDrives",2011
174,174,"KJ Choi",77,371,NA,3,8,36,"LongestDrives",2011
174,174,"Anthony Kim",72,371,NA,4,6,656,"LongestDrives",2011
188,188,"John Daly",49,370,NA,2,18,752,"LongestDrives",2011
188,188,"Jhonattan Vegas",84,370,NA,1,2,669,"LongestDrives",2011
