"BestSubParRoundsStreak_RANKTHISWEEK_2012","BestSubParRoundsStreak_RANKLASTWEEK_2012","BestSubParRoundsStreak_PLAYERNAME_2012","BestSubParRoundsStreak__2012","BestSubParRoundsStreak_CAREERBESTSTREAK_2012","BestSubParRoundsStreak_BESTYTDSTREAK_2012","BestSubParRoundsStreak_CURRENTSTREAK_2012","stat_name","year"
1,1,"Tim Petrovic",NA,26,6,NA,"BestSubParRoundsStreak",2012
2,2,"Jeff Sluman",NA,23,NA,NA,"BestSubParRoundsStreak",2012
3,3,"Tim Clark",NA,22,7,NA,"BestSubParRoundsStreak",2012
3,3,"Fred Couples",NA,22,1,NA,"BestSubParRoundsStreak",2012
3,3,"Scott McCarron",NA,22,1,NA,"BestSubParRoundsStreak",2012
6,6,"Stuart Appleby",NA,21,7,NA,"BestSubParRoundsStreak",2012
6,6,"Bob Estes",NA,21,5,NA,"BestSubParRoundsStreak",2012
6,6,"Scott Verplank",NA,21,2,NA,"BestSubParRoundsStreak",2012
9,9,"Jay Don Blake",NA,20,NA,NA,"BestSubParRoundsStreak",2012
9,9,"Joey Sindelar",NA,20,NA,NA,"BestSubParRoundsStreak",2012
11,11,"Ben Crane",NA,19,9,NA,"BestSubParRoundsStreak",2012
11,11,"Joe Durant",NA,19,4,NA,"BestSubParRoundsStreak",2012
11,11,"Jesper Parnevik",NA,19,1,NA,"BestSubParRoundsStreak",2012
11,11,"Dan Pohl",NA,19,NA,NA,"BestSubParRoundsStreak",2012
15,15,"Glen Day",NA,18,4,NA,"BestSubParRoundsStreak",2012
15,15,"Chris DiMarco",NA,18,5,NA,"BestSubParRoundsStreak",2012
15,15,"Retief Goosen",NA,18,6,NA,"BestSubParRoundsStreak",2012
15,15,"Charles Howell III",NA,18,8,NA,"BestSubParRoundsStreak",2012
15,15,"Ryan Moore",NA,18,6,NA,"BestSubParRoundsStreak",2012
15,15,"Craig Parry",NA,18,NA,NA,"BestSubParRoundsStreak",2012
21,21,"Ronnie Black",NA,17,NA,NA,"BestSubParRoundsStreak",2012
21,21,"Jonathan Byrd",NA,17,4,NA,"BestSubParRoundsStreak",2012
21,21,"Brendon de Jonge",NA,17,11,NA,"BestSubParRoundsStreak",2012
21,21,"Luke Donald",NA,17,8,NA,"BestSubParRoundsStreak",2012
21,21,"Ed Fiori",NA,17,NA,NA,"BestSubParRoundsStreak",2012
21,21,"Donnie Hammond",NA,17,NA,NA,"BestSubParRoundsStreak",2012
21,21,"Jerry Kelly",NA,17,9,NA,"BestSubParRoundsStreak",2012
21,21,"Chris Kirk",NA,17,17,NA,"BestSubParRoundsStreak",2012
21,21,"Roger Maltbie",NA,17,NA,NA,"BestSubParRoundsStreak",2012
21,21,"Shigeki Maruyama",NA,17,NA,NA,"BestSubParRoundsStreak",2012
21,21,"Mark OMeara",NA,17,NA,NA,"BestSubParRoundsStreak",2012
21,21,"Vijay Singh",NA,17,7,NA,"BestSubParRoundsStreak",2012
21,21,"Kirk Triplett",NA,17,1,NA,"BestSubParRoundsStreak",2012
21,21,"Tiger Woods",NA,17,9,NA,"BestSubParRoundsStreak",2012
35,35,"Ken Green",NA,16,NA,NA,"BestSubParRoundsStreak",2012
35,35,"Bill Haas",NA,16,9,NA,"BestSubParRoundsStreak",2012
35,35,"Lee Janzen",NA,16,3,NA,"BestSubParRoundsStreak",2012
35,35,"Matt Kuchar",NA,16,7,NA,"BestSubParRoundsStreak",2012
35,35,"Troy Matteson",NA,16,9,NA,"BestSubParRoundsStreak",2012
35,35,"Blaine McCallister",NA,16,1,NA,"BestSubParRoundsStreak",2012
35,35,"Steve Pate",NA,16,NA,NA,"BestSubParRoundsStreak",2012
35,35,"Corey Pavin",NA,16,2,NA,"BestSubParRoundsStreak",2012
35,35,"Kenny Perry",NA,16,2,NA,"BestSubParRoundsStreak",2012
35,35,"DA Points",NA,16,13,NA,"BestSubParRoundsStreak",2012
35,35,"Chez Reavie",NA,16,6,NA,"BestSubParRoundsStreak",2012
35,35,"Chris Riley",NA,16,11,NA,"BestSubParRoundsStreak",2012
35,35,"Mike Weir",NA,16,1,NA,"BestSubParRoundsStreak",2012
48,48,"Stephen Ames",NA,15,4,NA,"BestSubParRoundsStreak",2012
48,48,"Brian Davis",NA,15,5,NA,"BestSubParRoundsStreak",2012
48,48,"Carlos Franco",NA,15,NA,NA,"BestSubParRoundsStreak",2012
48,48,"Scott Hoch",NA,15,NA,NA,"BestSubParRoundsStreak",2012
48,48,"Tom Kite",NA,15,NA,NA,"BestSubParRoundsStreak",2012
48,48,"Davis Love III",NA,15,4,NA,"BestSubParRoundsStreak",2012
48,48,"Andrew Magee",NA,15,NA,NA,"BestSubParRoundsStreak",2012
48,48,"Scott Simpson",NA,15,NA,NA,"BestSubParRoundsStreak",2012
48,48,"Chris Smith",NA,15,1,NA,"BestSubParRoundsStreak",2012
48,48,"Craig Stadler",NA,15,NA,NA,"BestSubParRoundsStreak",2012
48,48,"Bob Tway",NA,15,NA,NA,"BestSubParRoundsStreak",2012
48,48,"Johnson Wagner",NA,15,14,NA,"BestSubParRoundsStreak",2012
60,60,"Robert Allenby",NA,14,4,NA,"BestSubParRoundsStreak",2012
60,60,"Woody Austin",NA,14,4,NA,"BestSubParRoundsStreak",2012
60,60,"Brian Bateman",NA,14,NA,NA,"BestSubParRoundsStreak",2012
60,60,"Russ Cochran",NA,14,NA,NA,"BestSubParRoundsStreak",2012
60,60,"Marco Dawson",NA,14,3,NA,"BestSubParRoundsStreak",2012
60,60,"Steve Flesch",NA,14,1,NA,"BestSubParRoundsStreak",2012
60,60,"Rickie Fowler",NA,14,6,NA,"BestSubParRoundsStreak",2012
60,60,"Brent Geiberger",NA,14,NA,NA,"BestSubParRoundsStreak",2012
60,60,"Mathew Goggin",NA,14,11,NA,"BestSubParRoundsStreak",2012
60,60,"John Huston",NA,14,NA,NA,"BestSubParRoundsStreak",2012
60,60,"Freddie Jacobson",NA,14,2,NA,"BestSubParRoundsStreak",2012
60,60,"Kent Jones",NA,14,1,NA,"BestSubParRoundsStreak",2012
60,60,"Justin Leonard",NA,14,3,NA,"BestSubParRoundsStreak",2012
60,60,"Frank Lickliter II",NA,14,2,NA,"BestSubParRoundsStreak",2012
60,60,"Peter Lonard",NA,14,2,NA,"BestSubParRoundsStreak",2012
60,60,"Jeff Maggert",NA,14,7,NA,"BestSubParRoundsStreak",2012
60,60,"Rocco Mediate",NA,14,5,NA,"BestSubParRoundsStreak",2012
60,60,"Joe Ogilvie",NA,14,5,NA,"BestSubParRoundsStreak",2012
60,60,"Loren Roberts",NA,14,NA,NA,"BestSubParRoundsStreak",2012
60,60,"Payne Stewart",NA,14,NA,NA,"BestSubParRoundsStreak",2012
60,60,"Bo Van Pelt",NA,14,8,NA,"BestSubParRoundsStreak",2012
60,60,"Grant Waite",NA,14,1,NA,"BestSubParRoundsStreak",2012
60,60,"Mark Wilson",NA,14,7,NA,"BestSubParRoundsStreak",2012
83,83,"Billy Andrade",NA,13,NA,NA,"BestSubParRoundsStreak",2012
83,83,"Paul Azinger",NA,13,NA,NA,"BestSubParRoundsStreak",2012
83,83,"Briny Baird",NA,13,3,NA,"BestSubParRoundsStreak",2012
83,83,"Cameron Beckman",NA,13,4,NA,"BestSubParRoundsStreak",2012
83,83,"Jason Bohn",NA,13,8,NA,"BestSubParRoundsStreak",2012
83,83,"Bart Bryant",NA,13,2,NA,"BestSubParRoundsStreak",2012
83,83,"Brad Bryant",NA,13,NA,NA,"BestSubParRoundsStreak",2012
83,83,"Rex Caldwell",NA,13,NA,NA,"BestSubParRoundsStreak",2012
83,83,"John Cook",NA,13,NA,NA,"BestSubParRoundsStreak",2012
83,83,"Ben Curtis",NA,13,13,NA,"BestSubParRoundsStreak",2012
83,83,"Jay Delsing",NA,13,NA,NA,"BestSubParRoundsStreak",2012
83,83,"David Duval",NA,13,2,NA,"BestSubParRoundsStreak",2012
83,83,"Steve Elkington",NA,13,1,NA,"BestSubParRoundsStreak",2012
83,83,"Rick Fehr",NA,13,NA,NA,"BestSubParRoundsStreak",2012
83,83,"Dan Forsman",NA,13,NA,NA,"BestSubParRoundsStreak",2012
83,83,"Harrison Frazar",NA,13,9,NA,"BestSubParRoundsStreak",2012
83,83,"David Frost",NA,13,NA,NA,"BestSubParRoundsStreak",2012
83,83,"Fred Funk",NA,13,1,NA,"BestSubParRoundsStreak",2012
83,83,"Jim Furyk",NA,13,8,NA,"BestSubParRoundsStreak",2012
83,83,"Buddy Gardner",NA,13,NA,NA,"BestSubParRoundsStreak",2012
83,83,"Brian Gay",NA,13,6,NA,"BestSubParRoundsStreak",2012
83,83,"Tim Herron",NA,13,6,NA,"BestSubParRoundsStreak",2012
83,83,"Peter Jacobsen",NA,13,NA,NA,"BestSubParRoundsStreak",2012
83,83,"Neal Lancaster",NA,13,2,NA,"BestSubParRoundsStreak",2012
83,83,"Bernhard Langer",NA,13,NA,NA,"BestSubParRoundsStreak",2012
83,83,"Tom Lehman",NA,13,2,NA,"BestSubParRoundsStreak",2012
83,83,"Mark McCumber",NA,13,NA,NA,"BestSubParRoundsStreak",2012
83,83,"Phil Mickelson",NA,13,9,NA,"BestSubParRoundsStreak",2012
83,83,"Bryce Molder",NA,13,6,NA,"BestSubParRoundsStreak",2012
83,83,"Calvin Peete",NA,13,NA,NA,"BestSubParRoundsStreak",2012
83,83,"David Peoples",NA,13,NA,NA,"BestSubParRoundsStreak",2012
83,83,"Scott Piercy",NA,13,13,NA,"BestSubParRoundsStreak",2012
83,83,"Ted Purdy",NA,13,2,NA,"BestSubParRoundsStreak",2012
83,83,"Mike Reid",NA,13,NA,NA,"BestSubParRoundsStreak",2012
83,83,"Dave Rummells",NA,13,NA,NA,"BestSubParRoundsStreak",2012
83,83,"Tom Sieckmann",NA,13,NA,NA,"BestSubParRoundsStreak",2012
83,83,"Tony Sills",NA,13,NA,NA,"BestSubParRoundsStreak",2012
83,83,"Webb Simpson",NA,13,5,NA,"BestSubParRoundsStreak",2012
83,83,"Brandt Snedeker",NA,13,11,NA,"BestSubParRoundsStreak",2012
83,83,"Curtis Strange",NA,13,NA,NA,"BestSubParRoundsStreak",2012
83,83,"Mike Sullivan",NA,13,NA,NA,"BestSubParRoundsStreak",2012
83,83,"David Toms",NA,13,4,NA,"BestSubParRoundsStreak",2012
83,83,"Duffy Waldorf",NA,13,6,NA,"BestSubParRoundsStreak",2012
83,83,"Bubba Watson",NA,13,13,NA,"BestSubParRoundsStreak",2012
127,127,"Aaron Baddeley",NA,12,3,NA,"BestSubParRoundsStreak",2012
127,127,"Dave Barr",NA,12,NA,NA,"BestSubParRoundsStreak",2012
127,127,"Mark Brooks",NA,12,2,NA,"BestSubParRoundsStreak",2012
127,127,"Mark Calcavecchia",NA,12,2,NA,"BestSubParRoundsStreak",2012
127,127,"Chad Campbell",NA,12,5,NA,"BestSubParRoundsStreak",2012
127,127,"Greg Chalmers",NA,12,4,NA,"BestSubParRoundsStreak",2012
127,127,"Stewart Cink",NA,12,3,NA,"BestSubParRoundsStreak",2012
127,127,"Michael Connell",NA,12,NA,NA,"BestSubParRoundsStreak",2012
127,127,"Danny Edwards",NA,12,NA,NA,"BestSubParRoundsStreak",2012
127,127,"David Edwards",NA,12,NA,NA,"BestSubParRoundsStreak",2012
127,127,"Joel Edwards",NA,12,NA,NA,"BestSubParRoundsStreak",2012
