"DrivingDistance_RANKTHISWEEK_2016","DrivingDistance_RANKLASTWEEK_2016","DrivingDistance_PLAYERNAME_2016","DrivingDistance_ROUNDS_2016","DrivingDistance_AVG_2016","DrivingDistance_TOTALDISTANCE_2016","DrivingDistance_TOTALDRIVES_2016","stat_name","year"
1,2,"Tony Finau",49,311.7,28054,90,"DrivingDistance",2016
2,1,"Gary Woodland",45,310.4,22968,74,"DrivingDistance",2016
3,3,"JB Holmes",39,310.1,22326,72,"DrivingDistance",2016
4,4,"Dustin Johnson",37,308.6,17280,56,"DrivingDistance",2016
5,5,"Bubba Watson",30,308,14168,46,"DrivingDistance",2016
6,7,"Hudson Swafford",52,306.9,29462,96,"DrivingDistance",2016
7,5,"Jason Kokrak",52,306.7,31896,104,"DrivingDistance",2016
8,10,"Ryan Palmer",46,305.9,28145,92,"DrivingDistance",2016
9,9,"Jamie Lovemark",57,305.6,34536,113,"DrivingDistance",2016
10,12,"Andrew Loupe",50,305.2,30216,99,"DrivingDistance",2016
10,13,"Rory McIlroy",37,305.2,15868,52,"DrivingDistance",2016
12,11,"Luke List",51,305.1,31116,102,"DrivingDistance",2016
13,15,"Brooks Koepka",39,304.7,20722,68,"DrivingDistance",2016
13,7,"Ollie Schniederjans",23,304.7,14017,46,"DrivingDistance",2016
15,13,"Adam Scott",39,304.2,17036,56,"DrivingDistance",2016
16,16,"Brendan Steele",48,303.6,26715,88,"DrivingDistance",2016
17,17,"Jhonattan Vegas",49,303.4,29736,98,"DrivingDistance",2016
18,18,"Charles Howell III",63,303,35757,118,"DrivingDistance",2016
19,20,"Justin Rose",35,302.4,19354,64,"DrivingDistance",2016
20,21,"Robert Garrigus",34,302,20233,67,"DrivingDistance",2016
21,21,"Charlie Beljan",26,301.8,15692,52,"DrivingDistance",2016
22,19,"Harold Varner III",58,301.7,34397,114,"DrivingDistance",2016
23,23,"Patrick Rodgers",49,301.1,29508,98,"DrivingDistance",2016
24,26,"Jason Day",36,299.4,17363,58,"DrivingDistance",2016
25,25,"Daniel Berger",52,299.2,24538,82,"DrivingDistance",2016
25,27,"Jimmy Walker",43,299.2,23933,80,"DrivingDistance",2016
27,30,"Scott Piercy",45,298.6,19705,66,"DrivingDistance",2016
28,28,"Sean OHair",45,298.4,26854,90,"DrivingDistance",2016
29,34,"Sergio Garcia",28,298.2,10139,34,"DrivingDistance",2016
30,35,"Marc Leishman",41,298.1,17883,60,"DrivingDistance",2016
30,28,"Justin Thomas",53,298.1,25044,84,"DrivingDistance",2016
32,36,"Rickie Fowler",42,298,20858,70,"DrivingDistance",2016
32,24,"Greg Owen",56,298,30994,104,"DrivingDistance",2016
