"FedExCupPlayoffsPoints_RANKTHISWEEK_2010","FedExCupPlayoffsPoints_RANKLASTWEEK_2010","FedExCupPlayoffsPoints_PLAYERNAME_2010","FedExCupPlayoffsPoints_EVENTS_2010","FedExCupPlayoffsPoints_POINTS_2010","FedExCupPlayoffsPoints_OFWINS_2010","FedExCupPlayoffsPoints_OFTOP10S_2010","FedExCupPlayoffsPoints_POINTSBEHINDLEAD_2010","FedExCupPlayoffsPoints_RESETPOINTS_2010","stat_name","year"
1,1,"Jim Furyk",21,2980,3,7,NA,480,"FedExCupPlayoffsPoints",2010
2,2,"Matt Kuchar",25,2728,1,11,252,2500,"FedExCupPlayoffsPoints",2010
3,3,"Luke Donald",20,2700,NA,7,280,1200,"FedExCupPlayoffsPoints",2010
4,4,"Charley Hoffman",23,2500,1,5,480,2000,"FedExCupPlayoffsPoints",2010
5,5,"Dustin Johnson",23,2493,2,7,487,2250,"FedExCupPlayoffsPoints",2010
6,6,"Paul Casey",17,2250,NA,7,730,1600,"FedExCupPlayoffsPoints",2010
7,7,"Steve Stricker",19,2028,2,9,952,1800,"FedExCupPlayoffsPoints",2010
8,8,"Jason Day",24,1660,1,5,1320,1400,"FedExCupPlayoffsPoints",2010
9,9,"Ernie Els",20,1438,2,7,1542,1000,"FedExCupPlayoffsPoints",2010
10,10,"Retief Goosen",19,1360,NA,10,1620,360,"FedExCupPlayoffsPoints",2010
11,11,"Martin Laird",25,1005,NA,3,1975,800,"FedExCupPlayoffsPoints",2010
12,12,"Nick Watney",23,880,NA,7,2100,230,"FedExCupPlayoffsPoints",2010
13,13,"Phil Mickelson",20,843,1,6,2137,600,"FedExCupPlayoffsPoints",2010
14,14,"Geoff Ogilvy",19,753,1,2,2227,460,"FedExCupPlayoffsPoints",2010
15,15,"KJ Choi",22,718,NA,4,2262,280,"FedExCupPlayoffsPoints",2010
15,15,"Justin Rose",22,718,2,4,2262,440,"FedExCupPlayoffsPoints",2010
17,17,"Zach Johnson",24,683,1,3,2297,320,"FedExCupPlayoffsPoints",2010
18,18,"Hunter Mahan",24,678,2,3,2302,400,"FedExCupPlayoffsPoints",2010
19,19,"Adam Scott",20,640,1,4,2340,420,"FedExCupPlayoffsPoints",2010
20,20,"Camilo Villegas",20,623,1,7,2357,260,"FedExCupPlayoffsPoints",2010
21,21,"Ryan Moore",24,613,NA,6,2367,250,"FedExCupPlayoffsPoints",2010
22,22,"Bubba Watson",22,600,1,4,2380,340,"FedExCupPlayoffsPoints",2010
23,23,"Ryan Palmer",25,595,1,4,2385,380,"FedExCupPlayoffsPoints",2010
24,24,"Tim Clark",23,593,1,6,2387,300,"FedExCupPlayoffsPoints",2010
25,25,"Kevin Streelman",27,583,NA,5,2397,220,"FedExCupPlayoffsPoints",2010
26,26,"Kevin Na",25,570,NA,4,2410,310,"FedExCupPlayoffsPoints",2010
27,27,"Ben Crane",24,550,1,5,2430,290,"FedExCupPlayoffsPoints",2010
28,28,"Robert Allenby",21,500,NA,4,2480,240,"FedExCupPlayoffsPoints",2010
29,29,"Jeff Overton",26,480,NA,6,2500,270,"FedExCupPlayoffsPoints",2010
30,30,"Bo Van Pelt",26,445,NA,6,2535,210,"FedExCupPlayoffsPoints",2010
