"Par5BirdieorBetterLeaders_RANKTHISWEEK_2013","Par5BirdieorBetterLeaders_RANKLASTWEEK_2013","Par5BirdieorBetterLeaders_PLAYERNAME_2013","Par5BirdieorBetterLeaders_ROUNDS_2013","Par5BirdieorBetterLeaders_Pct_2013","Par5BirdieorBetterLeaders_PAR5BIRDIESORBETTER_2013","Par5BirdieorBetterLeaders_PAR5HOLES_2013","stat_name","year"
1,1,"Steve Stricker",51,52.78,76,144,"Par5BirdieorBetterLeaders",2013
2,2,"Keegan Bradley",88,51.92,135,260,"Par5BirdieorBetterLeaders",2013
3,3,"Rory Sabbatini",86,51.61,128,248,"Par5BirdieorBetterLeaders",2013
4,4,"Charl Schwartzel",69,51.47,105,204,"Par5BirdieorBetterLeaders",2013
5,5,"Adam Scott",61,49.46,91,184,"Par5BirdieorBetterLeaders",2013
6,6,"Phil Mickelson",78,48.98,120,245,"Par5BirdieorBetterLeaders",2013
6,6,"Henrik Stenson",65,48.98,96,196,"Par5BirdieorBetterLeaders",2013
8,8,"Tiger Woods",61,48.91,90,184,"Par5BirdieorBetterLeaders",2013
9,9,"Charley Hoffman",84,48.89,132,270,"Par5BirdieorBetterLeaders",2013
10,10,"Brandt Snedeker",79,48.61,122,251,"Par5BirdieorBetterLeaders",2013
11,11,"Justin Rose",62,48.31,86,178,"Par5BirdieorBetterLeaders",2013
12,12,"Graham DeLaet",94,48.3,142,294,"Par5BirdieorBetterLeaders",2013
13,13,"Henrik Norlander",70,47.93,104,217,"Par5BirdieorBetterLeaders",2013
14,14,"Billy Horschel",96,47.84,144,301,"Par5BirdieorBetterLeaders",2013
15,15,"Steven Bowditch",67,47.8,98,205,"Par5BirdieorBetterLeaders",2013
16,16,"Kevin Stadler",83,47.79,119,249,"Par5BirdieorBetterLeaders",2013
17,17,"Matt Kuchar",93,47.78,129,270,"Par5BirdieorBetterLeaders",2013
18,18,"James Hahn",78,47.77,118,247,"Par5BirdieorBetterLeaders",2013
19,19,"Ryan Palmer",79,47.68,113,237,"Par5BirdieorBetterLeaders",2013
20,20,"Hunter Mahan",91,47.41,128,270,"Par5BirdieorBetterLeaders",2013
21,21,"Kyle Stanley",71,47.16,108,229,"Par5BirdieorBetterLeaders",2013
22,22,"Jason Kokrak",78,46.99,117,249,"Par5BirdieorBetterLeaders",2013
