"AverageGoingforitShotDistanceinYards_RANKTHISWEEK_2013","AverageGoingforitShotDistanceinYards_RANKLASTWEEK_2013","AverageGoingforitShotDistanceinYards_PLAYERNAME_2013","AverageGoingforitShotDistanceinYards_EVENTS_2013","AverageGoingforitShotDistanceinYards_AVG_2013","AverageGoingforitShotDistanceinYards_DISTANCEININCHES_2013","AverageGoingforitShotDistanceinYards_ATTEMPTS_2013","stat_name","year"
1,1,"Michael Bradley",21,240,423315,49,"AverageGoingforitShotDistanceinYards",2013
2,2,"Brian Stuard",25,242.2,697671,80,"AverageGoingforitShotDistanceinYards",2013
3,3,"Vijay Singh",19,243.4,744795,85,"AverageGoingforitShotDistanceinYards",2013
4,4,"Rory Sabbatini",27,243.7,1324863,151,"AverageGoingforitShotDistanceinYards",2013
5,5,"Andrew Svoboda",18,244,570983,65,"AverageGoingforitShotDistanceinYards",2013
6,6,"Bob Estes",18,245.4,671439,76,"AverageGoingforitShotDistanceinYards",2013
7,7,"Justin Rose",17,245.5,786659,89,"AverageGoingforitShotDistanceinYards",2013
8,8,"Jim Herman",19,245.6,848868,96,"AverageGoingforitShotDistanceinYards",2013
9,9,"Brad Fritsch",24,245.8,1097355,124,"AverageGoingforitShotDistanceinYards",2013
9,9,"Luke List",24,245.8,982123,111,"AverageGoingforitShotDistanceinYards",2013
11,11,"Will Claxton",24,246.2,726689,82,"AverageGoingforitShotDistanceinYards",2013
12,12,"Robert Allenby",24,246.5,585607,66,"AverageGoingforitShotDistanceinYards",2013
13,13,"Dustin Johnson",22,246.6,1100860,124,"AverageGoingforitShotDistanceinYards",2013
13,13,"David Lingmerth",23,246.6,745595,84,"AverageGoingforitShotDistanceinYards",2013
13,13,"David Toms",16,246.6,257436,29,"AverageGoingforitShotDistanceinYards",2013
16,16,"Graham DeLaet",26,246.7,1412338,159,"AverageGoingforitShotDistanceinYards",2013
16,16,"Steve LeBrun",21,246.7,737144,83,"AverageGoingforitShotDistanceinYards",2013
16,16,"Alistair Presnell",23,246.7,586095,66,"AverageGoingforitShotDistanceinYards",2013
16,16,"Darron Stiles",20,246.7,399645,45,"AverageGoingforitShotDistanceinYards",2013
20,20,"Ted Potter Jr",22,246.8,648479,73,"AverageGoingforitShotDistanceinYards",2013
21,21,"Stuart Appleby",25,247,960295,108,"AverageGoingforitShotDistanceinYards",2013
22,22,"Mark Wilson",19,247.2,596153,67,"AverageGoingforitShotDistanceinYards",2013
23,23,"Camilo Villegas",23,247.3,952668,107,"AverageGoingforitShotDistanceinYards",2013
24,24,"Scott Langley",27,247.5,623574,70,"AverageGoingforitShotDistanceinYards",2013
24,24,"YE Yang",19,247.5,543461,61,"AverageGoingforitShotDistanceinYards",2013
26,26,"Morgan Hoffmann",20,247.9,874762,98,"AverageGoingforitShotDistanceinYards",2013
27,27,"Chris Kirk",24,248,1285440,144,"AverageGoingforitShotDistanceinYards",2013
28,28,"Sangmoon Bae",26,248.1,1053938,118,"AverageGoingforitShotDistanceinYards",2013
28,28,"Ernie Els",19,248.1,803966,90,"AverageGoingforitShotDistanceinYards",2013
30,30,"Justin Hicks",25,248.2,768338,86,"AverageGoingforitShotDistanceinYards",2013
30,30,"Greg Owen",24,248.2,1170314,131,"AverageGoingforitShotDistanceinYards",2013
32,32,"Stewart Cink",22,248.3,893881,100,"AverageGoingforitShotDistanceinYards",2013
32,32,"Patrick Reed",26,248.3,1215752,136,"AverageGoingforitShotDistanceinYards",2013
34,34,"Robert Streb",25,248.5,1010733,113,"AverageGoingforitShotDistanceinYards",2013
35,35,"Graeme McDowell",16,248.8,465819,52,"AverageGoingforitShotDistanceinYards",2013
36,36,"Tim Herron",15,248.9,528710,59,"AverageGoingforitShotDistanceinYards",2013
37,37,"Justin Bolli",23,249,439193,49,"AverageGoingforitShotDistanceinYards",2013
38,38,"Eric Meierdierks",19,249.1,726484,81,"AverageGoingforitShotDistanceinYards",2013
38,38,"Tag Ridings",24,249.1,914545,102,"AverageGoingforitShotDistanceinYards",2013
38,38,"Kevin Streelman",25,249.1,1192501,133,"AverageGoingforitShotDistanceinYards",2013
41,41,"Jim Furyk",22,249.2,610027,68,"AverageGoingforitShotDistanceinYards",2013
41,41,"Zach Johnson",24,249.2,986758,110,"AverageGoingforitShotDistanceinYards",2013
43,43,"Nicolas Colsaerts",17,249.4,646503,72,"AverageGoingforitShotDistanceinYards",2013
43,43,"Ben Kohles",25,249.4,664378,74,"AverageGoingforitShotDistanceinYards",2013
43,43,"Doug LaBelle II",23,249.4,655536,73,"AverageGoingforitShotDistanceinYards",2013
43,43,"Sean OHair",22,249.4,897866,100,"AverageGoingforitShotDistanceinYards",2013
47,47,"Scott Gardiner",23,249.6,754697,84,"AverageGoingforitShotDistanceinYards",2013
47,47,"DJ Trahan",16,249.6,637998,71,"AverageGoingforitShotDistanceinYards",2013
47,47,"Lee Williams",22,249.6,494183,55,"AverageGoingforitShotDistanceinYards",2013
50,50,"David Mathis",24,249.7,790978,88,"AverageGoingforitShotDistanceinYards",2013
50,50,"Kyle Stanley",24,249.7,1483079,165,"AverageGoingforitShotDistanceinYards",2013
52,52,"Jason Day",21,249.8,1133077,126,"AverageGoingforitShotDistanceinYards",2013
52,52,"Geoff Ogilvy",19,249.8,665445,74,"AverageGoingforitShotDistanceinYards",2013
52,52,"Ryan Palmer",22,249.8,1366993,152,"AverageGoingforitShotDistanceinYards",2013
55,55,"Ricky Barnes",26,249.9,944444,105,"AverageGoingforitShotDistanceinYards",2013
55,55,"Kevin Chappell",24,249.9,1187393,132,"AverageGoingforitShotDistanceinYards",2013
55,55,"Ryo Ishikawa",23,249.9,917598,102,"AverageGoingforitShotDistanceinYards",2013
58,58,"Chad Campbell",25,250.1,1170632,130,"AverageGoingforitShotDistanceinYards",2013
58,58,"Fabian Gomez",23,250.1,810265,90,"AverageGoingforitShotDistanceinYards",2013
58,58,"Martin Kaymer",17,250.1,783178,87,"AverageGoingforitShotDistanceinYards",2013
