"ConsecutiveBirdiesEaglesstreak_RANKTHISWEEK_2006","ConsecutiveBirdiesEaglesstreak_RANKLASTWEEK_2006","ConsecutiveBirdiesEaglesstreak_PLAYERNAME_2006","ConsecutiveBirdiesEaglesstreak_EVENTS_2006","ConsecutiveBirdiesEaglesstreak_NUMBEROFHOLES_2006","stat_name","year"
1,1,"Luke Donald",18,5,"ConsecutiveBirdiesEaglesstreak",2006
1,1,"Phil Mickelson",19,5,"ConsecutiveBirdiesEaglesstreak",2006
1,1,"Tom Pernice Jr",33,5,"ConsecutiveBirdiesEaglesstreak",2006
1,1,"Justin Rose",28,5,"ConsecutiveBirdiesEaglesstreak",2006
1,1,"Adam Scott",19,5,"ConsecutiveBirdiesEaglesstreak",2006
1,1,"Vance Veazey",20,5,"ConsecutiveBirdiesEaglesstreak",2006
7,7,"Robert Allenby",22,4,"ConsecutiveBirdiesEaglesstreak",2006
7,7,"Brian Bateman",26,4,"ConsecutiveBirdiesEaglesstreak",2006
7,7,"Chris Couch",27,4,"ConsecutiveBirdiesEaglesstreak",2006
7,7,"Robert Damron",31,4,"ConsecutiveBirdiesEaglesstreak",2006
7,7,"John Huston",27,4,"ConsecutiveBirdiesEaglesstreak",2006
7,7,"Jonathan Kaye",32,4,"ConsecutiveBirdiesEaglesstreak",2006
7,7,"Daisuke Maruyama",25,4,"ConsecutiveBirdiesEaglesstreak",2006
7,7,"Billy Mayfair",29,4,"ConsecutiveBirdiesEaglesstreak",2006
7,7,"Tag Ridings",33,4,"ConsecutiveBirdiesEaglesstreak",2006
7,7,"Vijay Singh",27,4,"ConsecutiveBirdiesEaglesstreak",2006
7,7,"BJ Staten",18,4,"ConsecutiveBirdiesEaglesstreak",2006
7,7,"Nicholas Thompson",32,4,"ConsecutiveBirdiesEaglesstreak",2006
7,7,"Camilo Villegas",29,4,"ConsecutiveBirdiesEaglesstreak",2006
7,7,"Nick Watney",29,4,"ConsecutiveBirdiesEaglesstreak",2006
7,7,"Brett Wetterich",25,4,"ConsecutiveBirdiesEaglesstreak",2006
22,22,"Michael Allen",25,3,"ConsecutiveBirdiesEaglesstreak",2006
22,22,"Stephen Ames",21,3,"ConsecutiveBirdiesEaglesstreak",2006
22,22,"Tommy Armour III",25,3,"ConsecutiveBirdiesEaglesstreak",2006
22,22,"Eric Axley",29,3,"ConsecutiveBirdiesEaglesstreak",2006
22,22,"Aaron Baddeley",25,3,"ConsecutiveBirdiesEaglesstreak",2006
22,22,"Craig Barlow",22,3,"ConsecutiveBirdiesEaglesstreak",2006
22,22,"Cameron Beckman",16,3,"ConsecutiveBirdiesEaglesstreak",2006
22,22,"Jason Bohn",29,3,"ConsecutiveBirdiesEaglesstreak",2006
22,22,"Jonathan Byrd",20,3,"ConsecutiveBirdiesEaglesstreak",2006
22,22,"Angel Cabrera",12,3,"ConsecutiveBirdiesEaglesstreak",2006
22,22,"Stewart Cink",26,3,"ConsecutiveBirdiesEaglesstreak",2006
22,22,"Gavin Coles",5,3,"ConsecutiveBirdiesEaglesstreak",2006
22,22,"John Cook",22,3,"ConsecutiveBirdiesEaglesstreak",2006
22,22,"Joe Durant",28,3,"ConsecutiveBirdiesEaglesstreak",2006
22,22,"David Duval",24,3,"ConsecutiveBirdiesEaglesstreak",2006
22,22,"Steve Flesch",33,3,"ConsecutiveBirdiesEaglesstreak",2006
22,22,"Carlos Franco",29,3,"ConsecutiveBirdiesEaglesstreak",2006
22,22,"Harrison Frazar",29,3,"ConsecutiveBirdiesEaglesstreak",2006
22,22,"Robert Garrigus",28,3,"ConsecutiveBirdiesEaglesstreak",2006
22,22,"Lucas Glover",31,3,"ConsecutiveBirdiesEaglesstreak",2006
22,22,"Jason Gore",29,3,"ConsecutiveBirdiesEaglesstreak",2006
22,22,"Paul Goydos",24,3,"ConsecutiveBirdiesEaglesstreak",2006
22,22,"Jay Haas",7,3,"ConsecutiveBirdiesEaglesstreak",2006
22,22,"Donnie Hammond",11,3,"ConsecutiveBirdiesEaglesstreak",2006
22,22,"JJ Henry",28,3,"ConsecutiveBirdiesEaglesstreak",2006
22,22,"Charley Hoffman",29,3,"ConsecutiveBirdiesEaglesstreak",2006
22,22,"JB Holmes",26,3,"ConsecutiveBirdiesEaglesstreak",2006
22,22,"Charles Howell III",30,3,"ConsecutiveBirdiesEaglesstreak",2006
22,22,"Brandt Jobe",28,3,"ConsecutiveBirdiesEaglesstreak",2006
22,22,"Zach Johnson",27,3,"ConsecutiveBirdiesEaglesstreak",2006
22,22,"Kent Jones",32,3,"ConsecutiveBirdiesEaglesstreak",2006
22,22,"Brendan Jones",9,3,"ConsecutiveBirdiesEaglesstreak",2006
22,22,"Bernhard Langer",24,3,"ConsecutiveBirdiesEaglesstreak",2006
22,22,"Tom Lehman",20,3,"ConsecutiveBirdiesEaglesstreak",2006
22,22,"Will Ma Kenzie",29,3,"ConsecutiveBirdiesEaglesstreak",2006
