"TenthTeeEarlyScoringAverage_RANKTHISWEEK_2013","TenthTeeEarlyScoringAverage_RANKLASTWEEK_2013","TenthTeeEarlyScoringAverage_PLAYERNAME_2013","TenthTeeEarlyScoringAverage_ROUNDS_2013","TenthTeeEarlyScoringAverage_AVG_2013","TenthTeeEarlyScoringAverage_TOTALSTROKES_2013","TenthTeeEarlyScoringAverage_TOTAL10THTEEEARLYRDS_2013","stat_name","year"
1,1,"Steve Stricker",51,67.14,470,7,"TenthTeeEarlyScoringAverage",2013
2,2,"Freddie Jacobson",63,68.5,274,4,"TenthTeeEarlyScoringAverage",2013
2,2,"Webb Simpson",92,68.5,1233,18,"TenthTeeEarlyScoringAverage",2013
4,4,"Keegan Bradley",88,68.63,1647,24,"TenthTeeEarlyScoringAverage",2013
4,4,"Charl Schwartzel",69,68.63,549,8,"TenthTeeEarlyScoringAverage",2013
6,6,"Justin Rose",62,68.83,826,12,"TenthTeeEarlyScoringAverage",2013
7,7,"Brendon de Jonge",110,68.95,1517,22,"TenthTeeEarlyScoringAverage",2013
8,8,"Chris Stroud",88,69,1242,18,"TenthTeeEarlyScoringAverage",2013
9,9,"Martin Kaymer",61,69.1,691,10,"TenthTeeEarlyScoringAverage",2013
9,9,"Chris Kirk",89,69.1,691,10,"TenthTeeEarlyScoringAverage",2013
11,11,"Hunter Mahan",91,69.14,968,14,"TenthTeeEarlyScoringAverage",2013
12,12,"Roberto Castro",97,69.15,899,13,"TenthTeeEarlyScoringAverage",2013
13,13,"Matt Kuchar",93,69.19,1453,21,"TenthTeeEarlyScoringAverage",2013
14,14,"Chez Reavie",72,69.21,969,14,"TenthTeeEarlyScoringAverage",2013
15,15,"Brian Gay",79,69.29,970,14,"TenthTeeEarlyScoringAverage",2013
16,16,"Tiger Woods",61,69.31,901,13,"TenthTeeEarlyScoringAverage",2013
17,17,"Graeme McDowell",53,69.36,763,11,"TenthTeeEarlyScoringAverage",2013
18,18,"Jim Furyk",80,69.4,1041,15,"TenthTeeEarlyScoringAverage",2013
19,19,"Kevin Streelman",86,69.44,1111,16,"TenthTeeEarlyScoringAverage",2013
20,20,"Jason Dufner",78,69.5,834,12,"TenthTeeEarlyScoringAverage",2013
20,20,"Justin Leonard",86,69.5,1390,20,"TenthTeeEarlyScoringAverage",2013
22,22,"Ryan Palmer",79,69.53,1043,15,"TenthTeeEarlyScoringAverage",2013
23,23,"Angel Cabrera",73,69.54,904,13,"TenthTeeEarlyScoringAverage",2013
23,23,"Adam Scott",61,69.54,904,13,"TenthTeeEarlyScoringAverage",2013
25,25,"Kevin Stadler",83,69.55,765,11,"TenthTeeEarlyScoringAverage",2013
26,26,"Matt Jones",83,69.56,1113,16,"TenthTeeEarlyScoringAverage",2013
27,27,"Phil Mickelson",78,69.62,1462,21,"TenthTeeEarlyScoringAverage",2013
28,28,"Kevin Chappell",80,69.64,975,14,"TenthTeeEarlyScoringAverage",2013
29,29,"Bob Estes",66,69.69,1115,16,"TenthTeeEarlyScoringAverage",2013
29,29,"Bill Haas",85,69.69,906,13,"TenthTeeEarlyScoringAverage",2013
31,31,"Bryce Molder",82,69.73,1046,15,"TenthTeeEarlyScoringAverage",2013
32,32,"Billy Horschel",96,69.74,1604,23,"TenthTeeEarlyScoringAverage",2013
