"BirdieorBetterPercentageRightRough_RANKTHISWEEK_2009","BirdieorBetterPercentageRightRough_RANKLASTWEEK_2009","BirdieorBetterPercentageRightRough_PLAYERNAME_2009","BirdieorBetterPercentageRightRough_ROUNDS_2009","BirdieorBetterPercentageRightRough_Pct_2009","BirdieorBetterPercentageRightRough_TOTALBIRDIES_2009","BirdieorBetterPercentageRightRough_TOTALHOLES_2009","stat_name","year"
1,1,"Tiger Woods",64,23.23,23,99,"BirdieorBetterPercentageRightRough",2009
2,2,"KJ Choi",65,21.62,16,74,"BirdieorBetterPercentageRightRough",2009
3,3,"Bubba Watson",73,21.24,24,113,"BirdieorBetterPercentageRightRough",2009
4,4,"Camilo Villegas",76,21.15,22,104,"BirdieorBetterPercentageRightRough",2009
5,5,"Jonathan Byrd",89,21.14,26,123,"BirdieorBetterPercentageRightRough",2009
6,6,"Harrison Frazar",93,20.93,45,215,"BirdieorBetterPercentageRightRough",2009
7,7,"Angel Cabrera",55,20.65,19,92,"BirdieorBetterPercentageRightRough",2009
8,8,"Bill Haas",91,20.59,28,136,"BirdieorBetterPercentageRightRough",2009
9,9,"Hunter Mahan",94,20.53,31,151,"BirdieorBetterPercentageRightRough",2009
10,10,"Boo Weekley",79,20.2,20,99,"BirdieorBetterPercentageRightRough",2009
11,11,"Martin Laird",72,20.16,26,129,"BirdieorBetterPercentageRightRough",2009
12,12,"Nick Watney",86,20,25,125,"BirdieorBetterPercentageRightRough",2009
13,13,"Brendon de Jonge",90,19.62,31,158,"BirdieorBetterPercentageRightRough",2009
14,14,"Jason Day",61,19.32,17,88,"BirdieorBetterPercentageRightRough",2009
15,15,"Charles Warren",63,19.28,16,83,"BirdieorBetterPercentageRightRough",2009
16,16,"Dustin Johnson",85,19.15,27,141,"BirdieorBetterPercentageRightRough",2009
17,17,"Kris Blanks",60,19.12,13,68,"BirdieorBetterPercentageRightRough",2009
18,18,"Nick OHern",90,19.05,20,105,"BirdieorBetterPercentageRightRough",2009
18,18,"Joe Ogilvie",85,19.05,28,147,"BirdieorBetterPercentageRightRough",2009
20,20,"DA Points",99,18.84,26,138,"BirdieorBetterPercentageRightRough",2009
21,21,"Daniel Chopra",89,18.83,29,154,"BirdieorBetterPercentageRightRough",2009
22,22,"Sergio Garcia",59,18.82,16,85,"BirdieorBetterPercentageRightRough",2009
23,23,"Jason Dufner",90,18.8,25,133,"BirdieorBetterPercentageRightRough",2009
24,24,"Rich Beem",77,18.52,20,108,"BirdieorBetterPercentageRightRough",2009
25,25,"Carl Pettersson",86,18.46,24,130,"BirdieorBetterPercentageRightRough",2009
26,26,"David Toms",98,18.42,21,114,"BirdieorBetterPercentageRightRough",2009
27,27,"Woody Austin",84,18.33,22,120,"BirdieorBetterPercentageRightRough",2009
28,28,"Adam Scott",53,18.29,15,82,"BirdieorBetterPercentageRightRough",2009
29,29,"Sean OHair",80,18.27,19,104,"BirdieorBetterPercentageRightRough",2009
30,30,"Justin Leonard",95,18.18,20,110,"BirdieorBetterPercentageRightRough",2009
31,31,"James Nitties",86,17.96,30,167,"BirdieorBetterPercentageRightRough",2009
32,32,"Peter Tomasulo",61,17.91,12,67,"BirdieorBetterPercentageRightRough",2009
33,33,"Rocco Mediate",79,17.89,22,123,"BirdieorBetterPercentageRightRough",2009
34,34,"Jim Furyk",86,17.86,15,84,"BirdieorBetterPercentageRightRough",2009
35,35,"Briny Baird",89,17.82,18,101,"BirdieorBetterPercentageRightRough",2009
36,36,"Geoff Ogilvy",78,17.65,21,119,"BirdieorBetterPercentageRightRough",2009
36,36,"Pat Perez",74,17.65,18,102,"BirdieorBetterPercentageRightRough",2009
38,38,"Troy Matteson",95,17.62,34,193,"BirdieorBetterPercentageRightRough",2009
39,39,"Ted Purdy",101,17.58,29,165,"BirdieorBetterPercentageRightRough",2009
40,40,"Greg Chalmers",85,17.57,26,148,"BirdieorBetterPercentageRightRough",2009
41,41,"Tim Petrovic",97,17.53,27,154,"BirdieorBetterPercentageRightRough",2009
42,42,"John Rollins",92,17.46,22,126,"BirdieorBetterPercentageRightRough",2009
43,43,"Michael Letzig",96,17.39,32,184,"BirdieorBetterPercentageRightRough",2009
43,43,"Andres Romero",58,17.39,16,92,"BirdieorBetterPercentageRightRough",2009
45,45,"Scott Piercy",85,17.35,34,196,"BirdieorBetterPercentageRightRough",2009
46,46,"Aaron Baddeley",66,17.24,25,145,"BirdieorBetterPercentageRightRough",2009
46,46,"Tim Herron",87,17.24,30,174,"BirdieorBetterPercentageRightRough",2009
48,48,"Charley Hoffman",97,17.18,28,163,"BirdieorBetterPercentageRightRough",2009
49,49,"Nathan Green",104,17.16,29,169,"BirdieorBetterPercentageRightRough",2009
49,49,"Kevin Streelman",97,17.16,29,169,"BirdieorBetterPercentageRightRough",2009
51,51,"John Senden",100,17.14,24,140,"BirdieorBetterPercentageRightRough",2009
52,52,"Steve Flesch",77,17.07,14,82,"BirdieorBetterPercentageRightRough",2009
53,53,"Brian Davis",103,17.01,25,147,"BirdieorBetterPercentageRightRough",2009
54,54,"Jimmy Walker",74,16.85,31,184,"BirdieorBetterPercentageRightRough",2009
54,54,"Jay Williamson",69,16.85,15,89,"BirdieorBetterPercentageRightRough",2009
56,56,"Brandt Snedeker",81,16.83,17,101,"BirdieorBetterPercentageRightRough",2009
57,57,"Ben Crane",93,16.81,20,119,"BirdieorBetterPercentageRightRough",2009
57,57,"Jerry Kelly",90,16.81,20,119,"BirdieorBetterPercentageRightRough",2009
59,59,"Nicholas Thompson",96,16.79,23,137,"BirdieorBetterPercentageRightRough",2009
60,60,"Marc Leishman",91,16.74,36,215,"BirdieorBetterPercentageRightRough",2009
61,61,"Kent Jones",73,16.67,18,108,"BirdieorBetterPercentageRightRough",2009
61,61,"Brian Vranesh",51,16.67,15,90,"BirdieorBetterPercentageRightRough",2009
63,63,"Tom Pernice Jr",82,16.54,21,127,"BirdieorBetterPercentageRightRough",2009
64,64,"Charlie Wi",92,16.52,19,115,"BirdieorBetterPercentageRightRough",2009
65,65,"Marc Turnesa",77,16.38,19,116,"BirdieorBetterPercentageRightRough",2009
66,66,"Vaughn Taylor",88,16.35,17,104,"BirdieorBetterPercentageRightRough",2009
67,67,"Anthony Kim",76,16.31,23,141,"BirdieorBetterPercentageRightRough",2009
68,68,"Stuart Appleby",79,16.24,19,117,"BirdieorBetterPercentageRightRough",2009
69,69,"Tommy Armour III",58,16.18,11,68,"BirdieorBetterPercentageRightRough",2009
69,69,"Tim Clark",81,16.18,11,68,"BirdieorBetterPercentageRightRough",2009
71,71,"Kevin Na",91,16.13,20,124,"BirdieorBetterPercentageRightRough",2009
72,72,"Rod Pampling",72,16,16,100,"BirdieorBetterPercentageRightRough",2009
73,73,"Glen Day",79,15.96,15,94,"BirdieorBetterPercentageRightRough",2009
74,74,"Stephen Ames",77,15.79,15,95,"BirdieorBetterPercentageRightRough",2009
75,75,"Steve Elkington",70,15.69,16,102,"BirdieorBetterPercentageRightRough",2009
76,76,"Robert Garrigus",83,15.56,28,180,"BirdieorBetterPercentageRightRough",2009
77,77,"Ernie Els",70,15.53,16,103,"BirdieorBetterPercentageRightRough",2009
78,78,"Matt Kuchar",82,15.52,18,116,"BirdieorBetterPercentageRightRough",2009
79,79,"John Merrick",91,15.49,22,142,"BirdieorBetterPercentageRightRough",2009
80,80,"Steve Stricker",81,15.48,13,84,"BirdieorBetterPercentageRightRough",2009
81,81,"Stewart Cink",79,15.38,20,130,"BirdieorBetterPercentageRightRough",2009
81,81,"David Duval",56,15.38,12,78,"BirdieorBetterPercentageRightRough",2009
83,83,"Mark Calcavecchia",72,15.27,20,131,"BirdieorBetterPercentageRightRough",2009
84,84,"Gary Woodland",53,15.22,14,92,"BirdieorBetterPercentageRightRough",2009
85,85,"Scott McCarron",91,15.15,20,132,"BirdieorBetterPercentageRightRough",2009
86,86,"Tag Ridings",50,15.05,14,93,"BirdieorBetterPercentageRightRough",2009
87,87,"Kevin Sutherland",96,14.91,17,114,"BirdieorBetterPercentageRightRough",2009
88,88,"Corey Pavin",73,14.89,14,94,"BirdieorBetterPercentageRightRough",2009
89,89,"Robert Allenby",71,14.86,11,74,"BirdieorBetterPercentageRightRough",2009
90,90,"Mathew Goggin",76,14.77,13,88,"BirdieorBetterPercentageRightRough",2009
91,91,"George McNeill",82,14.71,25,170,"BirdieorBetterPercentageRightRough",2009
92,92,"Alex Cejka",82,14.68,16,109,"BirdieorBetterPercentageRightRough",2009
92,92,"Spencer Levin",75,14.68,16,109,"BirdieorBetterPercentageRightRough",2009
94,94,"Charles Howell III",99,14.63,30,205,"BirdieorBetterPercentageRightRough",2009
94,94,"DJ Trahan",96,14.63,18,123,"BirdieorBetterPercentageRightRough",2009
96,96,"Cameron Beckman",87,14.62,19,130,"BirdieorBetterPercentageRightRough",2009
97,97,"Casey Wittenberg",71,14.56,15,103,"BirdieorBetterPercentageRightRough",2009
98,98,"Lucas Glover",93,14.5,19,131,"BirdieorBetterPercentageRightRough",2009
99,99,"David Mathis",82,14.29,20,140,"BirdieorBetterPercentageRightRough",2009
99,99,"Phil Mickelson",66,14.29,17,119,"BirdieorBetterPercentageRightRough",2009
99,99,"Chris Stroud",88,14.29,20,140,"BirdieorBetterPercentageRightRough",2009
99,99,"Dean Wilson",81,14.29,15,105,"BirdieorBetterPercentageRightRough",2009
99,99,"YE Yang",83,14.29,17,119,"BirdieorBetterPercentageRightRough",2009
104,104,"Chris DiMarco",97,14.2,23,162,"BirdieorBetterPercentageRightRough",2009
105,105,"Scott Verplank",88,14.19,21,148,"BirdieorBetterPercentageRightRough",2009
106,106,"Jeff Maggert",79,14.16,16,113,"BirdieorBetterPercentageRightRough",2009
106,106,"Jeff Quinney",78,14.16,16,113,"BirdieorBetterPercentageRightRough",2009
108,108,"JJ Henry",97,14.09,21,149,"BirdieorBetterPercentageRightRough",2009
109,109,"Freddie Jacobson",83,14.08,20,142,"BirdieorBetterPercentageRightRough",2009
110,110,"Ryuji Imada",85,14.07,19,135,"BirdieorBetterPercentageRightRough",2009
111,111,"Bo Van Pelt",100,14.02,23,164,"BirdieorBetterPercentageRightRough",2009
112,112,"Ricky Barnes",67,13.98,13,93,"BirdieorBetterPercentageRightRough",2009
113,113,"Brad Faxon",59,13.89,15,108,"BirdieorBetterPercentageRightRough",2009
114,114,"Matt Bettencourt",98,13.87,24,173,"BirdieorBetterPercentageRightRough",2009
115,115,"Retief Goosen",74,13.86,14,101,"BirdieorBetterPercentageRightRough",2009
116,116,"Padraig Harrington",66,13.83,13,94,"BirdieorBetterPercentageRightRough",2009
117,117,"Brad Adamonis",70,13.71,17,124,"BirdieorBetterPercentageRightRough",2009
118,118,"Michael Allen",73,13.68,13,95,"BirdieorBetterPercentageRightRough",2009
119,119,"Fred Couples",54,13.64,12,88,"BirdieorBetterPercentageRightRough",2009
120,120,"Parker McLachlin",71,13.61,26,191,"BirdieorBetterPercentageRightRough",2009
121,121,"Cliff Kresge",78,13.59,14,103,"BirdieorBetterPercentageRightRough",2009
122,122,"Ian Poulter",59,13.58,11,81,"BirdieorBetterPercentageRightRough",2009
123,123,"Brian Gay",96,13.49,17,126,"BirdieorBetterPercentageRightRough",2009
124,124,"Colt Knost",71,13.48,12,89,"BirdieorBetterPercentageRightRough",2009
125,125,"Heath Slocum",95,13.45,16,119,"BirdieorBetterPercentageRightRough",2009
126,126,"Will Ma Kenzie",69,13.33,14,105,"BirdieorBetterPercentageRightRough",2009
127,127,"Chez Reavie",81,13.25,11,83,"BirdieorBetterPercentageRightRough",2009
128,128,"Jeff Overton",92,13.22,23,174,"BirdieorBetterPercentageRightRough",2009
129,129,"Greg Owen",97,13.18,17,129,"BirdieorBetterPercentageRightRough",2009
130,130,"JB Holmes",74,13.14,18,137,"BirdieorBetterPercentageRightRough",2009
131,131,"Jason Bohn",88,13.11,16,122,"BirdieorBetterPercentageRightRough",2009
132,132,"Mike Weir",85,13.1,19,145,"BirdieorBetterPercentageRightRough",2009
133,133,"Ken Duke",87,12.99,20,154,"BirdieorBetterPercentageRightRough",2009
134,134,"Steve Lowery",83,12.96,21,162,"BirdieorBetterPercentageRightRough",2009
135,135,"Kenny Perry",92,12.5,14,112,"BirdieorBetterPercentageRightRough",2009
136,136,"Eric Axley",71,12.4,15,121,"BirdieorBetterPercentageRightRough",2009
137,137,"Webb Simpson",94,12.33,18,146,"BirdieorBetterPercentageRightRough",2009
138,138,"Steve Marino",98,12.26,19,155,"BirdieorBetterPercentageRightRough",2009
139,139,"Rick Price",54,12.12,8,66,"BirdieorBetterPercentageRightRough",2009
140,140,"Zach Johnson",94,12.03,16,133,"BirdieorBetterPercentageRightRough",2009
141,141,"Mark Brooks",55,11.94,8,67,"BirdieorBetterPercentageRightRough",2009
141,141,"Todd Hamilton",83,11.94,16,134,"BirdieorBetterPercentageRightRough",2009
143,143,"Billy Mayfair",83,11.93,13,109,"BirdieorBetterPercentageRightRough",2009
144,144,"Bryce Molder",69,11.83,11,93,"BirdieorBetterPercentageRightRough",2009
145,145,"Ben Curtis",63,11.76,8,68,"BirdieorBetterPercentageRightRough",2009
146,146,"Paul Goydos",79,11.65,12,103,"BirdieorBetterPercentageRightRough",2009
147,147,"Ryan Palmer",78,11.63,15,129,"BirdieorBetterPercentageRightRough",2009
147,147,"Rory Sabbatini",81,11.63,20,172,"BirdieorBetterPercentageRightRough",2009
149,149,"Kirk Triplett",60,11.54,9,78,"BirdieorBetterPercentageRightRough",2009
150,150,"Aron Price",89,11.52,19,165,"BirdieorBetterPercentageRightRough",2009
151,151,"Bill Lunde",83,11.51,16,139,"BirdieorBetterPercentageRightRough",2009
152,152,"Bob Estes",78,11.48,14,122,"BirdieorBetterPercentageRightRough",2009
153,153,"Chris Riley",77,11.43,12,105,"BirdieorBetterPercentageRightRough",2009
154,154,"Matt Jones",56,11.4,13,114,"BirdieorBetterPercentageRightRough",2009
155,155,"Jarrod Lyle",65,11.34,11,97,"BirdieorBetterPercentageRightRough",2009
156,156,"Jeff Klauk",97,11.29,14,124,"BirdieorBetterPercentageRightRough",2009
157,157,"Peter Lonard",86,11.21,13,116,"BirdieorBetterPercentageRightRough",2009
158,158,"Chad Campbell",90,11.11,16,144,"BirdieorBetterPercentageRightRough",2009
158,158,"Scott Sterling",51,11.11,9,81,"BirdieorBetterPercentageRightRough",2009
160,160,"Justin Rose",71,11,11,100,"BirdieorBetterPercentageRightRough",2009
161,161,"Vijay Singh",71,10.75,10,93,"BirdieorBetterPercentageRightRough",2009
162,162,"Matt Weibring",65,10.71,9,84,"BirdieorBetterPercentageRightRough",2009
163,163,"John Mallinger",90,10.43,12,115,"BirdieorBetterPercentageRightRough",2009
164,164,"Leif Olson",51,10.23,9,88,"BirdieorBetterPercentageRightRough",2009
165,165,"Tom Lehman",55,10.2,5,49,"BirdieorBetterPercentageRightRough",2009
166,166,"Brendon Todd",53,9.46,7,74,"BirdieorBetterPercentageRightRough",2009
167,167,"Luke Donald",79,9.35,10,107,"BirdieorBetterPercentageRightRough",2009
168,168,"Bob Heintz",59,9.09,7,77,"BirdieorBetterPercentageRightRough",2009
169,169,"Brian Bateman",55,8.93,10,112,"BirdieorBetterPercentageRightRough",2009
170,170,"Kevin Stadler",65,8.91,9,101,"BirdieorBetterPercentageRightRough",2009
171,171,"Joe Durant",62,8.77,5,57,"BirdieorBetterPercentageRightRough",2009
172,172,"Derek Fathauer",63,8.76,12,137,"BirdieorBetterPercentageRightRough",2009
173,173,"Mark Wilson",99,8.55,13,152,"BirdieorBetterPercentageRightRough",2009
174,174,"Davis Love III",89,8.44,13,154,"BirdieorBetterPercentageRightRough",2009
175,175,"Ryan Moore",89,8.33,10,120,"BirdieorBetterPercentageRightRough",2009
176,176,"Bart Bryant",58,7.89,6,76,"BirdieorBetterPercentageRightRough",2009
177,177,"Lee Janzen",74,7.77,8,103,"BirdieorBetterPercentageRightRough",2009
178,178,"Richard Johnson",85,7.69,8,104,"BirdieorBetterPercentageRightRough",2009
179,179,"Jason Gore",74,7.53,7,93,"BirdieorBetterPercentageRightRough",2009
