"Approachesfrom250275yardsRgh_RANKTHISWEEK_2016","Approachesfrom250275yardsRgh_RANKLASTWEEK_2016","Approachesfrom250275yardsRgh_PLAYERNAME_2016","Approachesfrom250275yardsRgh_ROUNDS_2016","Approachesfrom250275yardsRgh_AVG_2016","Approachesfrom250275yardsRgh_TOTALDISTANCEFEET_2016","Approachesfrom250275yardsRgh_OFATTEMPTS_2016","Approachesfrom250275yardsRgh_RELATIVETOPAR_2016","stat_name","year"
1,1,"Dicky Pride",33,NA,20.5,1,-1,"Approachesfrom250275yardsRgh",2016
2,4,"Brian Stuard",24,NA,83.917,2,-1,"Approachesfrom250275yardsRgh",2016
3,5,"Branden Grace",31,NA,86.167,2,-1,"Approachesfrom250275yardsRgh",2016
4,6,"Ben Martin",48,NA,86.667,2,-2,"Approachesfrom250275yardsRgh",2016
5,7,"Nick Taylor",57,NA,43.417,1,0,"Approachesfrom250275yardsRgh",2016
6,8,"Troy Merritt",41,NA,175.417,4,-2,"Approachesfrom250275yardsRgh",2016
7,9,"Brice Garnett",29,NA,44.833,1,-1,"Approachesfrom250275yardsRgh",2016
8,10,"Scott Piercy",45,NA,182.083,4,-4,"Approachesfrom250275yardsRgh",2016
9,11,"Wes Roach",33,NA,138.667,3,-1,"Approachesfrom250275yardsRgh",2016
10,13,"Sergio Garcia",28,NA,48.667,1,-2,"Approachesfrom250275yardsRgh",2016
11,14,"Erik Compton",45,NA,343,7,-4,"Approachesfrom250275yardsRgh",2016
12,15,"Fabian Gomez",49,NA,50,1,-1,"Approachesfrom250275yardsRgh",2016
13,16,"Brendon de Jonge",55,NA,154.167,3,-2,"Approachesfrom250275yardsRgh",2016
14,24,"Derek Ernst",36,NA,154.75,3,-1,"Approachesfrom250275yardsRgh",2016
15,17,"Danny Lee",53,NA,105.833,2,-2,"Approachesfrom250275yardsRgh",2016
16,57,"Hideki Matsuyama",40,NA,161.25,3,-1,"Approachesfrom250275yardsRgh",2016
17,18,"Boo Weekley",53,NA,162.5,3,-3,"Approachesfrom250275yardsRgh",2016
18,12,"Jason Bohn",37,NA,326,6,-2,"Approachesfrom250275yardsRgh",2016
19,19,"Stewart Cink",45,NA,110.5,2,-1,"Approachesfrom250275yardsRgh",2016
20,21,"Shawn Stefani",45,NA,283.333,5,-1,"Approachesfrom250275yardsRgh",2016
21,22,"Bubba Watson",30,NA,56.75,1,-1,"Approachesfrom250275yardsRgh",2016
22,23,"Billy Horschel",45,NA,285,5,-3,"Approachesfrom250275yardsRgh",2016
23,32,"Gary Woodland",45,NA,404.583,7,-6,"Approachesfrom250275yardsRgh",2016
24,91,"DA Points",32,NA,177.25,3,0,"Approachesfrom250275yardsRgh",2016
25,25,"Brooks Koepka",39,NA,238.583,4,-2,"Approachesfrom250275yardsRgh",2016
26,26,"Luke Donald",49,NA,179.417,3,0,"Approachesfrom250275yardsRgh",2016
26,26,"Andres Romero",22,NA,119.583,2,-1,"Approachesfrom250275yardsRgh",2016
28,29,"Peter Malnati",53,NA,180.583,3,-2,"Approachesfrom250275yardsRgh",2016
29,30,"William McGirt",54,NA,60.333,1,0,"Approachesfrom250275yardsRgh",2016
30,28,"Webb Simpson",34,NA,303.167,5,0,"Approachesfrom250275yardsRgh",2016
31,31,"Russell Henley",42,NA,304.083,5,-3,"Approachesfrom250275yardsRgh",2016
32,141,"Adam Scott",39,NA,122,2,1,"Approachesfrom250275yardsRgh",2016
33,45,"Ricky Barnes",57,NA,244.833,4,1,"Approachesfrom250275yardsRgh",2016
34,33,"Aaron Baddeley",51,NA,430.75,7,-4,"Approachesfrom250275yardsRgh",2016
34,33,"JJ Henry",44,NA,122.917,2,-2,"Approachesfrom250275yardsRgh",2016
36,35,"Daniel Summerhays",55,NA,372.167,6,-4,"Approachesfrom250275yardsRgh",2016
