"CurrentStreakwithouta3Putt_RANKTHISWEEK_2014","CurrentStreakwithouta3Putt_RANKLASTWEEK_2014","CurrentStreakwithouta3Putt_PLAYERNAME_2014","CurrentStreakwithouta3Putt_EVENTS_2014","CurrentStreakwithouta3Putt_VALUE_2014","stat_name","year"
1,1,"Graeme McDowell",17,303,"CurrentStreakwithouta3Putt",2014
2,2,"Billy Horschel",27,175,"CurrentStreakwithouta3Putt",2014
3,3,"Paul Casey",16,169,"CurrentStreakwithouta3Putt",2014
4,4,"Josh Teater",28,141,"CurrentStreakwithouta3Putt",2014
5,5,"Zach Johnson",26,137,"CurrentStreakwithouta3Putt",2014
6,6,"Tim Clark",26,132,"CurrentStreakwithouta3Putt",2014
7,7,"Morgan Hoffmann",32,127,"CurrentStreakwithouta3Putt",2014
8,8,"Greg Chalmers",27,126,"CurrentStreakwithouta3Putt",2014
9,9,"Gary Woodland",25,114,"CurrentStreakwithouta3Putt",2014
10,10,"Phil Mickelson",21,105,"CurrentStreakwithouta3Putt",2014
11,11,"Russell Knox",26,100,"CurrentStreakwithouta3Putt",2014
12,12,"John Senden",27,99,"CurrentStreakwithouta3Putt",2014
13,13,"Jonas Blixt",21,97,"CurrentStreakwithouta3Putt",2014
14,14,"Woody Austin",22,94,"CurrentStreakwithouta3Putt",2014
14,14,"Justin Leonard",22,94,"CurrentStreakwithouta3Putt",2014
14,14,"Troy Merritt",20,94,"CurrentStreakwithouta3Putt",2014
17,17,"YE Yang",28,92,"CurrentStreakwithouta3Putt",2014
18,18,"Dustin Johnson",17,90,"CurrentStreakwithouta3Putt",2014
19,19,"Jerry Kelly",23,87,"CurrentStreakwithouta3Putt",2014
20,20,"William McGirt",29,82,"CurrentStreakwithouta3Putt",2014
21,21,"Brian Stuard",29,78,"CurrentStreakwithouta3Putt",2014
22,22,"Kevin Chappell",28,77,"CurrentStreakwithouta3Putt",2014
23,23,"Jason Day",15,70,"CurrentStreakwithouta3Putt",2014
23,23,"Webb Simpson",25,70,"CurrentStreakwithouta3Putt",2014
23,23,"Michael Thompson",22,70,"CurrentStreakwithouta3Putt",2014
26,26,"Ben Curtis",24,69,"CurrentStreakwithouta3Putt",2014
27,27,"James Hahn",27,67,"CurrentStreakwithouta3Putt",2014
27,27,"Mike Weir",25,67,"CurrentStreakwithouta3Putt",2014
29,29,"Tim Wilkinson",25,63,"CurrentStreakwithouta3Putt",2014
30,30,"Hunter Mahan",25,61,"CurrentStreakwithouta3Putt",2014
31,31,"Mark Wilson",25,58,"CurrentStreakwithouta3Putt",2014
32,32,"Kevin Kisner",26,57,"CurrentStreakwithouta3Putt",2014
33,33,"Danny Lee",28,56,"CurrentStreakwithouta3Putt",2014
33,33,"Ben Martin",26,56,"CurrentStreakwithouta3Putt",2014
35,35,"Bill Haas",28,54,"CurrentStreakwithouta3Putt",2014
36,36,"Trevor Immelman",28,52,"CurrentStreakwithouta3Putt",2014
37,37,"David Hearn",28,50,"CurrentStreakwithouta3Putt",2014
37,37,"Camilo Villegas",29,50,"CurrentStreakwithouta3Putt",2014
39,39,"Cameron Tringale",31,49,"CurrentStreakwithouta3Putt",2014
40,40,"Derek Ernst",28,47,"CurrentStreakwithouta3Putt",2014
41,41,"George McNeill",24,46,"CurrentStreakwithouta3Putt",2014
42,42,"Ben Crane",25,44,"CurrentStreakwithouta3Putt",2014
42,42,"Jhonattan Vegas",23,44,"CurrentStreakwithouta3Putt",2014
44,44,"Chris Kirk",28,43,"CurrentStreakwithouta3Putt",2014
44,44,"Martin Laird",20,43,"CurrentStreakwithouta3Putt",2014
46,46,"Matt Jones",25,41,"CurrentStreakwithouta3Putt",2014
47,47,"Chesson Hadley",29,40,"CurrentStreakwithouta3Putt",2014
47,47,"Shawn Stefani",17,40,"CurrentStreakwithouta3Putt",2014
49,49,"Freddie Jacobson",27,39,"CurrentStreakwithouta3Putt",2014
49,49,"Jason Kokrak",19,39,"CurrentStreakwithouta3Putt",2014
51,51,"Matt Kuchar",24,37,"CurrentStreakwithouta3Putt",2014
52,52,"Charlie Beljan",26,35,"CurrentStreakwithouta3Putt",2014
52,52,"Justin Rose",19,35,"CurrentStreakwithouta3Putt",2014
54,54,"Billy Hurley III",26,34,"CurrentStreakwithouta3Putt",2014
54,54,"Brendon Todd",29,34,"CurrentStreakwithouta3Putt",2014
56,56,"Sangmoon Bae",24,33,"CurrentStreakwithouta3Putt",2014
57,57,"Keegan Bradley",26,32,"CurrentStreakwithouta3Putt",2014
58,58,"Stewart Cink",25,31,"CurrentStreakwithouta3Putt",2014
58,58,"James Driscoll",25,31,"CurrentStreakwithouta3Putt",2014
58,58,"DA Points",27,31,"CurrentStreakwithouta3Putt",2014
61,61,"Luke Donald",17,30,"CurrentStreakwithouta3Putt",2014
61,61,"Sergio Garcia",16,30,"CurrentStreakwithouta3Putt",2014
61,61,"Brendan Steele",26,30,"CurrentStreakwithouta3Putt",2014
64,64,"Scott Stallings",28,29,"CurrentStreakwithouta3Putt",2014
65,65,"Russell Henley",29,28,"CurrentStreakwithouta3Putt",2014
65,65,"Ryan Palmer",23,28,"CurrentStreakwithouta3Putt",2014
67,67,"Bryce Molder",25,27,"CurrentStreakwithouta3Putt",2014
67,67,"Jimmy Walker",27,27,"CurrentStreakwithouta3Putt",2014
67,67,"Lee Westwood",18,27,"CurrentStreakwithouta3Putt",2014
70,70,"Aaron Baddeley",24,26,"CurrentStreakwithouta3Putt",2014
70,70,"Ernie Els",24,26,"CurrentStreakwithouta3Putt",2014
70,70,"Michael Putnam",30,26,"CurrentStreakwithouta3Putt",2014
70,70,"Jordan Spieth",27,26,"CurrentStreakwithouta3Putt",2014
74,74,"Retief Goosen",26,25,"CurrentStreakwithouta3Putt",2014
75,75,"JJ Henry",28,24,"CurrentStreakwithouta3Putt",2014
75,75,"Jamie Lovemark",20,24,"CurrentStreakwithouta3Putt",2014
77,77,"Harris English",28,23,"CurrentStreakwithouta3Putt",2014
77,77,"Brian Harman",32,23,"CurrentStreakwithouta3Putt",2014
77,77,"Martin Kaymer",19,23,"CurrentStreakwithouta3Putt",2014
80,80,"Brendon de Jonge",31,22,"CurrentStreakwithouta3Putt",2014
80,80,"John Merrick",25,22,"CurrentStreakwithouta3Putt",2014
80,80,"Patrick Reed",28,22,"CurrentStreakwithouta3Putt",2014
80,80,"Charlie Wi",25,22,"CurrentStreakwithouta3Putt",2014
84,84,"Stuart Appleby",29,21,"CurrentStreakwithouta3Putt",2014
84,84,"Tommy Gainey",26,21,"CurrentStreakwithouta3Putt",2014
84,84,"Davis Love III",22,21,"CurrentStreakwithouta3Putt",2014
84,84,"Ian Poulter",17,21,"CurrentStreakwithouta3Putt",2014
84,84,"Nick Watney",25,21,"CurrentStreakwithouta3Putt",2014
89,89,"Jim Herman",21,20,"CurrentStreakwithouta3Putt",2014
89,89,"Spencer Levin",20,20,"CurrentStreakwithouta3Putt",2014
89,89,"Bo Van Pelt",25,20,"CurrentStreakwithouta3Putt",2014
92,92,"Graham DeLaet",24,19,"CurrentStreakwithouta3Putt",2014
92,92,"Luke Guthrie",26,19,"CurrentStreakwithouta3Putt",2014
92,92,"Chris Stroud",25,19,"CurrentStreakwithouta3Putt",2014
92,92,"Daniel Summerhays",27,19,"CurrentStreakwithouta3Putt",2014
96,96,"Matt Every",26,18,"CurrentStreakwithouta3Putt",2014
96,96,"Charles Howell III",29,18,"CurrentStreakwithouta3Putt",2014
96,96,"Will Ma Kenzie",27,18,"CurrentStreakwithouta3Putt",2014
99,99,"Brian Davis",28,17,"CurrentStreakwithouta3Putt",2014
99,99,"David Lingmerth",26,17,"CurrentStreakwithouta3Putt",2014
99,99,"Sean OHair",25,17,"CurrentStreakwithouta3Putt",2014
99,99,"Vijay Singh",25,17,"CurrentStreakwithouta3Putt",2014
103,103,"Erik Compton",28,16,"CurrentStreakwithouta3Putt",2014
103,103,"Bronson La Cassie",18,16,"CurrentStreakwithouta3Putt",2014
103,103,"Rory Sabbatini",26,16,"CurrentStreakwithouta3Putt",2014
103,103,"Andrew Svoboda",24,16,"CurrentStreakwithouta3Putt",2014
107,107,"Steven Bowditch",30,15,"CurrentStreakwithouta3Putt",2014
107,107,"KJ Choi",23,15,"CurrentStreakwithouta3Putt",2014
107,107,"Martin Flores",26,15,"CurrentStreakwithouta3Putt",2014
110,110,"Jonathan Byrd",24,14,"CurrentStreakwithouta3Putt",2014
111,111,"Justin Hicks",30,13,"CurrentStreakwithouta3Putt",2014
