"FirstTeeEarlyScoringAverage_RANKTHISWEEK_2006","FirstTeeEarlyScoringAverage_RANKLASTWEEK_2006","FirstTeeEarlyScoringAverage_PLAYERNAME_2006","FirstTeeEarlyScoringAverage_ROUNDS_2006","FirstTeeEarlyScoringAverage_AVG_2006","FirstTeeEarlyScoringAverage_TOTALSTROKES_2006","FirstTeeEarlyScoringAverage_TOTEARLYRDS1STTEE_2006","stat_name","year"
1,1,"Tiger Woods",55,68.25,273,4,"FirstTeeEarlyScoringAverage",2006
2,2,"Jim Furyk",89,69,1035,15,"FirstTeeEarlyScoringAverage",2006
3,3,"Jonathan Byrd",66,69.06,1243,18,"FirstTeeEarlyScoringAverage",2006
4,4,"Briny Baird",81,69.29,1178,17,"FirstTeeEarlyScoringAverage",2006
5,5,"Daniel Chopra",110,69.39,1596,23,"FirstTeeEarlyScoringAverage",2006
6,6,"Phil Mickelson",74,69.44,1250,18,"FirstTeeEarlyScoringAverage",2006
7,7,"Trevor Immelman",86,69.57,1461,21,"FirstTeeEarlyScoringAverage",2006
8,8,"Arron Oberholser",82,69.61,1601,23,"FirstTeeEarlyScoringAverage",2006
9,9,"Chris Smith",67,69.77,907,13,"FirstTeeEarlyScoringAverage",2006
10,10,"Joe Ogilvie",95,69.8,2443,35,"FirstTeeEarlyScoringAverage",2006
11,11,"Bo Van Pelt",102,69.9,2097,30,"FirstTeeEarlyScoringAverage",2006
12,12,"Charley Hoffman",100,69.92,1678,24,"FirstTeeEarlyScoringAverage",2006
12,12,"Justin Rose",98,69.92,1678,24,"FirstTeeEarlyScoringAverage",2006
14,14,"Jesper Parnevik",84,70.11,1963,28,"FirstTeeEarlyScoringAverage",2006
15,15,"Corey Pavin",74,70.17,1614,23,"FirstTeeEarlyScoringAverage",2006
16,16,"Steve Stricker",64,70.18,772,11,"FirstTeeEarlyScoringAverage",2006
17,17,"Richard Johnson",94,70.29,1687,24,"FirstTeeEarlyScoringAverage",2006
18,18,"Bubba Dickerson",98,70.34,2251,32,"FirstTeeEarlyScoringAverage",2006
18,18,"Brent Geiberger",99,70.34,2462,35,"FirstTeeEarlyScoringAverage",2006
20,20,"Hunter Mahan",98,70.35,2181,31,"FirstTeeEarlyScoringAverage",2006
21,21,"Adam Scott",70,70.38,1126,16,"FirstTeeEarlyScoringAverage",2006
22,22,"Stephen Ames",63,70.41,1549,22,"FirstTeeEarlyScoringAverage",2006
22,22,"Tom Pernice Jr",108,70.41,1901,27,"FirstTeeEarlyScoringAverage",2006
24,24,"Marco Dawson",87,70.42,1831,26,"FirstTeeEarlyScoringAverage",2006
25,25,"Tim Clark",80,70.43,1620,23,"FirstTeeEarlyScoringAverage",2006
26,26,"Chris Couch",75,70.44,1268,18,"FirstTeeEarlyScoringAverage",2006
27,27,"Eric Axley",91,70.48,1762,25,"FirstTeeEarlyScoringAverage",2006
28,28,"Lucas Glover",105,70.56,2258,32,"FirstTeeEarlyScoringAverage",2006
28,28,"Daisuke Maruyama",83,70.56,1764,25,"FirstTeeEarlyScoringAverage",2006
30,30,"Jason Bohn",104,70.58,2823,40,"FirstTeeEarlyScoringAverage",2006
30,30,"John Cook",67,70.58,1694,24,"FirstTeeEarlyScoringAverage",2006
30,30,"Retief Goosen",68,70.58,847,12,"FirstTeeEarlyScoringAverage",2006
33,33,"Shigeki Maruyama",94,70.59,2259,32,"FirstTeeEarlyScoringAverage",2006
34,34,"Brett Wetterich",82,70.61,1624,23,"FirstTeeEarlyScoringAverage",2006
35,35,"Brett Quigley",109,70.62,1836,26,"FirstTeeEarlyScoringAverage",2006
36,36,"Bob Estes",85,70.64,1766,25,"FirstTeeEarlyScoringAverage",2006
37,37,"Davis Love III",85,70.67,1908,27,"FirstTeeEarlyScoringAverage",2006
38,38,"Ryuji Imada",105,70.69,2474,35,"FirstTeeEarlyScoringAverage",2006
39,39,"Rod Pampling",89,70.7,1909,27,"FirstTeeEarlyScoringAverage",2006
39,39,"Vijay Singh",103,70.7,1414,20,"FirstTeeEarlyScoringAverage",2006
41,41,"Stewart Cink",93,70.71,1980,28,"FirstTeeEarlyScoringAverage",2006
41,41,"David Toms",76,70.71,990,14,"FirstTeeEarlyScoringAverage",2006
43,43,"Pat Perez",50,70.72,1273,18,"FirstTeeEarlyScoringAverage",2006
44,44,"David Branshaw",98,70.74,2405,34,"FirstTeeEarlyScoringAverage",2006
44,44,"Kris Cox",83,70.74,1910,27,"FirstTeeEarlyScoringAverage",2006
44,44,"Omar Uresti",61,70.74,1627,23,"FirstTeeEarlyScoringAverage",2006
47,47,"Alex Cejka",93,70.75,1981,28,"FirstTeeEarlyScoringAverage",2006
47,47,"Greg Owen",79,70.75,1415,20,"FirstTeeEarlyScoringAverage",2006
49,49,"Jeff Overton",95,70.76,2689,38,"FirstTeeEarlyScoringAverage",2006
50,50,"Steve Flesch",119,70.77,2760,39,"FirstTeeEarlyScoringAverage",2006
51,51,"Paul Azinger",87,70.79,1982,28,"FirstTeeEarlyScoringAverage",2006
51,51,"Jeff Sluman",101,70.79,2336,33,"FirstTeeEarlyScoringAverage",2006
53,53,"Robert Allenby",79,70.8,1770,25,"FirstTeeEarlyScoringAverage",2006
53,53,"Mathias Gronberg",92,70.8,1770,25,"FirstTeeEarlyScoringAverage",2006
53,53,"Ted Purdy",103,70.8,2124,30,"FirstTeeEarlyScoringAverage",2006
53,53,"Charles Warren",93,70.8,2124,30,"FirstTeeEarlyScoringAverage",2006
53,53,"Dean Wilson",115,70.8,2903,41,"FirstTeeEarlyScoringAverage",2006
58,58,"Stephen Leaney",84,70.82,1983,28,"FirstTeeEarlyScoringAverage",2006
59,59,"Chris DiMarco",83,70.83,1700,24,"FirstTeeEarlyScoringAverage",2006
60,60,"Troy Matteson",101,70.86,1984,28,"FirstTeeEarlyScoringAverage",2006
60,60,"Bob Tway",81,70.86,1559,22,"FirstTeeEarlyScoringAverage",2006
60,60,"Ron Whittaker",81,70.86,1984,28,"FirstTeeEarlyScoringAverage",2006
63,63,"Rich Beem",85,70.87,2197,31,"FirstTeeEarlyScoringAverage",2006
63,63,"Kevin Sutherland",100,70.87,2197,31,"FirstTeeEarlyScoringAverage",2006
65,65,"John Senden",96,70.88,2268,32,"FirstTeeEarlyScoringAverage",2006
66,66,"Brian Gay",107,70.9,2127,30,"FirstTeeEarlyScoringAverage",2006
66,66,"Scott Gutschewski",53,70.9,709,10,"FirstTeeEarlyScoringAverage",2006
68,68,"Steve Elkington",52,70.92,851,12,"FirstTeeEarlyScoringAverage",2006
68,68,"Harrison Frazar",95,70.92,1844,26,"FirstTeeEarlyScoringAverage",2006
70,70,"KJ Choi",93,70.93,2979,42,"FirstTeeEarlyScoringAverage",2006
70,70,"Mike Weir",88,70.93,1915,27,"FirstTeeEarlyScoringAverage",2006
72,72,"Greg Kraft",79,70.95,1561,22,"FirstTeeEarlyScoringAverage",2006
73,73,"Chris Riley",86,70.96,1632,23,"FirstTeeEarlyScoringAverage",2006
73,73,"Mark Wilson",79,70.96,1845,26,"FirstTeeEarlyScoringAverage",2006
75,75,"Olin Browne",108,71,2982,42,"FirstTeeEarlyScoringAverage",2006
75,75,"Padraig Harrington",54,71,923,13,"FirstTeeEarlyScoringAverage",2006
75,75,"Patrick Sheehan",104,71,2414,34,"FirstTeeEarlyScoringAverage",2006
78,78,"Carl Pettersson",95,71.03,2628,37,"FirstTeeEarlyScoringAverage",2006
79,79,"Geoff Ogilvy",76,71.04,1634,23,"FirstTeeEarlyScoringAverage",2006
80,80,"Ian Leggatt",80,71.05,1492,21,"FirstTeeEarlyScoringAverage",2006
80,80,"Scott Verplank",88,71.05,1421,20,"FirstTeeEarlyScoringAverage",2006
82,82,"Freddie Jacobson",56,71.06,1137,16,"FirstTeeEarlyScoringAverage",2006
82,82,"Thomas Levet",53,71.06,1279,18,"FirstTeeEarlyScoringAverage",2006
82,82,"Billy Mayfair",94,71.06,2203,31,"FirstTeeEarlyScoringAverage",2006
82,82,"DJ Trahan",92,71.06,2274,32,"FirstTeeEarlyScoringAverage",2006
86,86,"John Rollins",93,71.1,1493,21,"FirstTeeEarlyScoringAverage",2006
87,87,"Bob May",65,71.11,1280,18,"FirstTeeEarlyScoringAverage",2006
88,88,"JJ Henry",96,71.13,2205,31,"FirstTeeEarlyScoringAverage",2006
89,89,"Brian Davis",92,71.14,1992,28,"FirstTeeEarlyScoringAverage",2006
89,89,"Joe Durant",101,71.14,2063,29,"FirstTeeEarlyScoringAverage",2006
91,91,"Chad Campbell",91,71.15,1921,27,"FirstTeeEarlyScoringAverage",2006
91,91,"Tom Lehman",70,71.15,1423,20,"FirstTeeEarlyScoringAverage",2006
93,93,"Rory Sabbatini",84,71.16,2277,32,"FirstTeeEarlyScoringAverage",2006
94,94,"Craig Barlow",77,71.17,1708,24,"FirstTeeEarlyScoringAverage",2006
94,94,"Ryan Palmer",101,71.17,2491,35,"FirstTeeEarlyScoringAverage",2006
96,96,"Bill Haas",99,71.18,2349,33,"FirstTeeEarlyScoringAverage",2006
97,97,"Bart Bryant",87,71.2,2136,30,"FirstTeeEarlyScoringAverage",2006
98,98,"Kenny Perry",73,71.21,1709,24,"FirstTeeEarlyScoringAverage",2006
99,99,"Tjaart van der Walt",60,71.24,1496,21,"FirstTeeEarlyScoringAverage",2006
99,99,"Bubba Watson",83,71.24,1781,25,"FirstTeeEarlyScoringAverage",2006
101,101,"Vaughn Taylor",88,71.25,2280,32,"FirstTeeEarlyScoringAverage",2006
102,102,"JP Hayes",55,71.27,1069,15,"FirstTeeEarlyScoringAverage",2006
103,103,"David McKenzie",82,71.28,1782,25,"FirstTeeEarlyScoringAverage",2006
104,104,"Luke Donald",66,71.31,927,13,"FirstTeeEarlyScoringAverage",2006
105,105,"Robert Garrigus",85,71.32,1783,25,"FirstTeeEarlyScoringAverage",2006
106,106,"Arjun Atwal",97,71.33,1712,24,"FirstTeeEarlyScoringAverage",2006
107,107,"Jose Maria Olazabal",62,71.35,1641,23,"FirstTeeEarlyScoringAverage",2006
108,108,"Brandt Jobe",91,71.36,2355,33,"FirstTeeEarlyScoringAverage",2006
109,109,"Shaun Micheel",96,71.38,1713,24,"FirstTeeEarlyScoringAverage",2006
110,110,"Robert Damron",91,71.39,1642,23,"FirstTeeEarlyScoringAverage",2006
111,111,"Kent Jones",103,71.4,2856,40,"FirstTeeEarlyScoringAverage",2006
112,112,"Mark Brooks",90,71.41,1928,27,"FirstTeeEarlyScoringAverage",2006
112,112,"Mike Sposa",68,71.41,1571,22,"FirstTeeEarlyScoringAverage",2006
114,114,"Jeff Gove",91,71.42,1857,26,"FirstTeeEarlyScoringAverage",2006
115,115,"Michael Allen",84,71.43,2143,30,"FirstTeeEarlyScoringAverage",2006
115,115,"Nathan Green",108,71.43,2143,30,"FirstTeeEarlyScoringAverage",2006
117,117,"Brian Bateman",69,71.44,1143,16,"FirstTeeEarlyScoringAverage",2006
117,117,"Dudley Hart",83,71.44,1929,27,"FirstTeeEarlyScoringAverage",2006
119,119,"Frank Lickliter II",99,71.45,2072,29,"FirstTeeEarlyScoringAverage",2006
119,119,"Duffy Waldorf",96,71.45,2215,31,"FirstTeeEarlyScoringAverage",2006
121,121,"Zach Johnson",98,71.46,1858,26,"FirstTeeEarlyScoringAverage",2006
121,121,"Justin Leonard",83,71.46,1715,24,"FirstTeeEarlyScoringAverage",2006
121,121,"DA Points",82,71.46,2001,28,"FirstTeeEarlyScoringAverage",2006
124,124,"Jerry Smith",94,71.47,2144,30,"FirstTeeEarlyScoringAverage",2006
125,125,"Bernhard Langer",77,71.48,1644,23,"FirstTeeEarlyScoringAverage",2006
126,126,"Todd Fischer",101,71.5,2288,32,"FirstTeeEarlyScoringAverage",2006
127,127,"Tommy Armour III",65,71.52,1502,21,"FirstTeeEarlyScoringAverage",2006
