"TenthTeeLateScoringAverage_RANKTHISWEEK_2013","TenthTeeLateScoringAverage_RANKLASTWEEK_2013","TenthTeeLateScoringAverage_PLAYERNAME_2013","TenthTeeLateScoringAverage_ROUNDS_2013","TenthTeeLateScoringAverage_AVG_2013","TenthTeeLateScoringAverage_TOTALSTROKES_2013","TenthTeeLateScoringAverage_TOTAL10THTEELATERNDS_2013","stat_name","year"
70,70,"Mike Weir",60,70.8,708,10,"TenthTeeLateScoringAverage",2013
73,73,"Matt Jones",83,70.81,1133,16,"TenthTeeLateScoringAverage",2013
73,73,"Justin Leonard",86,70.81,1133,16,"TenthTeeLateScoringAverage",2013
73,73,"Kevin Stadler",83,70.81,1133,16,"TenthTeeLateScoringAverage",2013
76,76,"Richard Lee",81,70.88,1134,16,"TenthTeeLateScoringAverage",2013
77,77,"Trevor Immelman",73,71,1420,20,"TenthTeeLateScoringAverage",2013
77,77,"Dustin Johnson",71,71,284,4,"TenthTeeLateScoringAverage",2013
77,77,"Ben Kohles",75,71,1065,15,"TenthTeeLateScoringAverage",2013
77,77,"Camilo Villegas",79,71,497,7,"TenthTeeLateScoringAverage",2013
81,81,"DA Points",87,71.06,1137,16,"TenthTeeLateScoringAverage",2013
82,82,"YE Yang",56,71.08,924,13,"TenthTeeLateScoringAverage",2013
83,83,"Billy Horschel",96,71.1,711,10,"TenthTeeLateScoringAverage",2013
83,83,"John Merrick",79,71.1,1493,21,"TenthTeeLateScoringAverage",2013
83,83,"Carl Pettersson",82,71.1,1422,20,"TenthTeeLateScoringAverage",2013
86,86,"JJ Henry",83,71.11,1351,19,"TenthTeeLateScoringAverage",2013
86,86,"Brandt Jobe",62,71.11,640,9,"TenthTeeLateScoringAverage",2013
88,88,"Kevin Chappell",80,71.12,1209,17,"TenthTeeLateScoringAverage",2013
89,89,"Brian Gay",79,71.13,1067,15,"TenthTeeLateScoringAverage",2013
90,90,"Greg Owen",73,71.17,1281,18,"TenthTeeLateScoringAverage",2013
91,91,"Jason Bohn",70,71.18,1210,17,"TenthTeeLateScoringAverage",2013
92,92,"James Hahn",78,71.19,1495,21,"TenthTeeLateScoringAverage",2013
92,92,"Russell Henley",80,71.19,1139,16,"TenthTeeLateScoringAverage",2013
92,92,"Seung Yul Noh",71,71.19,1139,16,"TenthTeeLateScoringAverage",2013
92,92,"John Senden",79,71.19,1139,16,"TenthTeeLateScoringAverage",2013
96,96,"Josh Teater",86,71.2,1068,15,"TenthTeeLateScoringAverage",2013
97,97,"Alistair Presnell",59,71.22,641,9,"TenthTeeLateScoringAverage",2013
98,98,"Scott Langley",79,71.25,1140,16,"TenthTeeLateScoringAverage",2013
98,98,"Troy Matteson",68,71.25,1140,16,"TenthTeeLateScoringAverage",2013
100,100,"Robert Streb",75,71.29,1212,17,"TenthTeeLateScoringAverage",2013
100,100,"Casey Wittenberg",72,71.29,1212,17,"TenthTeeLateScoringAverage",2013
102,102,"Lee Westwood",70,71.33,428,6,"TenthTeeLateScoringAverage",2013
103,103,"Steve LeBrun",66,71.36,999,14,"TenthTeeLateScoringAverage",2013
103,103,"Marc Leishman",77,71.36,999,14,"TenthTeeLateScoringAverage",2013
103,103,"Hunter Mahan",91,71.36,785,11,"TenthTeeLateScoringAverage",2013
106,106,"Sangmoon Bae",83,71.38,928,13,"TenthTeeLateScoringAverage",2013
106,106,"Matt Every",89,71.38,1142,16,"TenthTeeLateScoringAverage",2013
106,106,"Bo Van Pelt",72,71.38,571,8,"TenthTeeLateScoringAverage",2013
109,109,"William McGirt",75,71.39,1285,18,"TenthTeeLateScoringAverage",2013
110,110,"Padraig Harrington",52,71.4,357,5,"TenthTeeLateScoringAverage",2013
110,110,"Zach Johnson",84,71.4,1071,15,"TenthTeeLateScoringAverage",2013
110,110,"Brandt Snedeker",79,71.4,357,5,"TenthTeeLateScoringAverage",2013
113,113,"Daniel Summerhays",83,71.43,1000,14,"TenthTeeLateScoringAverage",2013
114,114,"Cameron Tringale",80,71.44,1143,16,"TenthTeeLateScoringAverage",2013
115,115,"David Lynn",70,71.45,786,11,"TenthTeeLateScoringAverage",2013
116,116,"Scott Brown",65,71.47,1358,19,"TenthTeeLateScoringAverage",2013
116,116,"Brad Fritsch",81,71.47,1072,15,"TenthTeeLateScoringAverage",2013
116,116,"Scott Stallings",79,71.47,1358,19,"TenthTeeLateScoringAverage",2013
119,119,"Bud Cauley",67,71.5,1001,14,"TenthTeeLateScoringAverage",2013
119,119,"Doug LaBelle II",72,71.5,1001,14,"TenthTeeLateScoringAverage",2013
121,121,"Aaron Baddeley",68,71.53,1359,19,"TenthTeeLateScoringAverage",2013
121,121,"Darron Stiles",51,71.53,1073,15,"TenthTeeLateScoringAverage",2013
123,123,"Ricky Barnes",74,71.58,859,12,"TenthTeeLateScoringAverage",2013
124,124,"Shawn Stefani",63,71.6,1074,15,"TenthTeeLateScoringAverage",2013
125,125,"Ryan Moore",72,71.62,931,13,"TenthTeeLateScoringAverage",2013
126,126,"Scott Gardiner",61,71.63,1361,19,"TenthTeeLateScoringAverage",2013
127,127,"Rickie Fowler",75,71.67,215,3,"TenthTeeLateScoringAverage",2013
128,128,"David Mathis",71,71.69,932,13,"TenthTeeLateScoringAverage",2013
129,129,"Jeff Maggert",63,71.71,1004,14,"TenthTeeLateScoringAverage",2013
130,130,"Scott Piercy",78,71.75,1148,16,"TenthTeeLateScoringAverage",2013
131,131,"Robert Garrigus",69,71.78,646,9,"TenthTeeLateScoringAverage",2013
131,131,"Jason Kokrak",78,71.78,1292,18,"TenthTeeLateScoringAverage",2013
131,131,"Vaughn Taylor",50,71.78,646,9,"TenthTeeLateScoringAverage",2013
134,134,"Brian Harman",89,71.79,1005,14,"TenthTeeLateScoringAverage",2013
135,135,"Robert Karlsson",56,71.8,718,10,"TenthTeeLateScoringAverage",2013
135,135,"Rory McIlroy",56,71.8,359,5,"TenthTeeLateScoringAverage",2013
135,135,"Pat Perez",69,71.8,1077,15,"TenthTeeLateScoringAverage",2013
138,138,"Johnson Wagner",64,71.81,1149,16,"TenthTeeLateScoringAverage",2013
139,139,"Ben Curtis",59,71.83,862,12,"TenthTeeLateScoringAverage",2013
139,139,"Dicky Pride",71,71.83,1293,18,"TenthTeeLateScoringAverage",2013
141,141,"Ken Duke",87,71.85,1437,20,"TenthTeeLateScoringAverage",2013
142,142,"Kyle Stanley",71,71.87,1078,15,"TenthTeeLateScoringAverage",2013
143,143,"David Lingmerth",68,71.9,719,10,"TenthTeeLateScoringAverage",2013
144,144,"Chez Reavie",72,71.92,863,12,"TenthTeeLateScoringAverage",2013
145,145,"DH Lee",65,71.93,1007,14,"TenthTeeLateScoringAverage",2013
146,146,"Robert Allenby",58,72,1008,14,"TenthTeeLateScoringAverage",2013
146,146,"Nicolas Colsaerts",50,72,432,6,"TenthTeeLateScoringAverage",2013
146,146,"Henrik Norlander",70,72,1224,17,"TenthTeeLateScoringAverage",2013
146,146,"Rod Pampling",46,72,432,6,"TenthTeeLateScoringAverage",2013
146,146,"Tiger Woods",61,72,72,1,"TenthTeeLateScoringAverage",2013
151,151,"Luke List",65,72.09,793,11,"TenthTeeLateScoringAverage",2013
152,152,"Will Claxton",67,72.1,721,10,"TenthTeeLateScoringAverage",2013
153,153,"Angel Cabrera",73,72.13,577,8,"TenthTeeLateScoringAverage",2013
153,153,"Luke Guthrie",82,72.13,1082,15,"TenthTeeLateScoringAverage",2013
155,155,"Charley Hoffman",84,72.17,866,12,"TenthTeeLateScoringAverage",2013
156,156,"Ian Poulter",59,72.2,361,5,"TenthTeeLateScoringAverage",2013
157,157,"Sean OHair",56,72.25,867,12,"TenthTeeLateScoringAverage",2013
158,158,"DJ Trahan",48,72.29,506,7,"TenthTeeLateScoringAverage",2013
159,159,"Lee Williams",62,72.3,723,10,"TenthTeeLateScoringAverage",2013
160,160,"Jin Park",52,72.33,868,12,"TenthTeeLateScoringAverage",2013
160,160,"Andres Romero",63,72.33,651,9,"TenthTeeLateScoringAverage",2013
162,162,"Colt Knost",69,72.35,1230,17,"TenthTeeLateScoringAverage",2013
163,163,"Tommy Gainey",84,72.42,1376,19,"TenthTeeLateScoringAverage",2013
164,164,"Derek Ernst",58,72.5,1160,16,"TenthTeeLateScoringAverage",2013
164,164,"Phil Mickelson",78,72.5,145,2,"TenthTeeLateScoringAverage",2013
166,166,"Michael Bradley",56,72.53,1233,17,"TenthTeeLateScoringAverage",2013
167,167,"Nick Watney",88,72.55,798,11,"TenthTeeLateScoringAverage",2013
168,168,"Eric Meierdierks",48,72.58,871,12,"TenthTeeLateScoringAverage",2013
169,169,"Martin Laird",68,72.61,1307,18,"TenthTeeLateScoringAverage",2013
170,170,"Bobby Gates",49,72.67,654,9,"TenthTeeLateScoringAverage",2013
171,171,"Ryo Ishikawa",72,72.73,1091,15,"TenthTeeLateScoringAverage",2013
172,172,"Justin Bolli",59,72.75,873,12,"TenthTeeLateScoringAverage",2013
173,173,"Geoff Ogilvy",57,72.83,874,12,"TenthTeeLateScoringAverage",2013
174,174,"Tim Herron",45,73,657,9,"TenthTeeLateScoringAverage",2013
174,174,"Matt Kuchar",93,73,73,1,"TenthTeeLateScoringAverage",2013
176,176,"Justin Hicks",79,73.13,585,8,"TenthTeeLateScoringAverage",2013
177,177,"Charlie Beljan",62,73.28,1319,18,"TenthTeeLateScoringAverage",2013
178,178,"Andrew Svoboda",46,73.33,440,6,"TenthTeeLateScoringAverage",2013
