"TenthTeeLateRound1ScoringAverage_RANKTHISWEEK_2005","TenthTeeLateRound1ScoringAverage_RANKLASTWEEK_2005","TenthTeeLateRound1ScoringAverage_PLAYERNAME_2005","TenthTeeLateRound1ScoringAverage__2005","TenthTeeLateRound1ScoringAverage_AVG_2005","TenthTeeLateRound1ScoringAverage_TOTALSTROKES_2005","TenthTeeLateRound1ScoringAverage_TOTALROUNDS_2005","stat_name","year"
1,1,"Luke Donald",NA,67,134,2,"TenthTeeLateRound1ScoringAverage",2005
2,2,"Lee Westwood",NA,67.5,135,2,"TenthTeeLateRound1ScoringAverage",2005
3,3,"Sergio Garcia",NA,67.6,338,5,"TenthTeeLateRound1ScoringAverage",2005
4,4,"Jonathan Byrd",NA,68,272,4,"TenthTeeLateRound1ScoringAverage",2005
4,4,"Vijay Singh",NA,68,408,6,"TenthTeeLateRound1ScoringAverage",2005
4,4,"Kirk Triplett",NA,68,204,3,"TenthTeeLateRound1ScoringAverage",2005
7,7,"Fred Funk",NA,68.5,274,4,"TenthTeeLateRound1ScoringAverage",2005
7,7,"Todd Hamilton",NA,68.5,137,2,"TenthTeeLateRound1ScoringAverage",2005
9,9,"Brandt Jobe",NA,68.67,412,6,"TenthTeeLateRound1ScoringAverage",2005
9,9,"Steve Stricker",NA,68.67,206,3,"TenthTeeLateRound1ScoringAverage",2005
11,11,"Jeff Brehaut",NA,68.71,481,7,"TenthTeeLateRound1ScoringAverage",2005
12,12,"Richard Johnson",NA,68.83,413,6,"TenthTeeLateRound1ScoringAverage",2005
13,13,"Billy Andrade",NA,69,138,2,"TenthTeeLateRound1ScoringAverage",2005
13,13,"Olin Browne",NA,69,345,5,"TenthTeeLateRound1ScoringAverage",2005
13,13,"Dudley Hart",NA,69,207,3,"TenthTeeLateRound1ScoringAverage",2005
13,13,"Jeff Maggert",NA,69,414,6,"TenthTeeLateRound1ScoringAverage",2005
17,17,"Tom Pernice Jr",NA,69.17,415,6,"TenthTeeLateRound1ScoringAverage",2005
18,18,"Chad Campbell",NA,69.2,346,5,"TenthTeeLateRound1ScoringAverage",2005
18,18,"Tom Lehman",NA,69.2,346,5,"TenthTeeLateRound1ScoringAverage",2005
18,18,"Vaughn Taylor",NA,69.2,346,5,"TenthTeeLateRound1ScoringAverage",2005
21,21,"Brendan Jones",NA,69.25,554,8,"TenthTeeLateRound1ScoringAverage",2005
