"BirdieAverage_RANKTHISWEEK_2016","BirdieAverage_RANKLASTWEEK_2016","BirdieAverage_PLAYERNAME_2016","BirdieAverage_ROUNDS_2016","BirdieAverage_AVG_2016","BirdieAverage_OFBIRDIES_2016","BirdieAverage_TOTALROUNDS_2016","stat_name","year"
1,2,"Dustin Johnson",37,4.78,153,32,"BirdieAverage",2016
2,3,"Jordan Spieth",34,4.77,143,30,"BirdieAverage",2016
3,1,"Hideki Matsuyama",40,4.7,174,37,"BirdieAverage",2016
4,5,"Rory McIlroy",37,4.53,136,30,"BirdieAverage",2016
5,4,"Adam Scott",39,4.44,160,36,"BirdieAverage",2016
6,7,"Jason Day",36,4.34,126,29,"BirdieAverage",2016
7,8,"Rickie Fowler",42,4.31,168,39,"BirdieAverage",2016
8,6,"Henrik Stenson",30,4.3,129,30,"BirdieAverage",2016
9,9,"Phil Mickelson",37,4.24,144,34,"BirdieAverage",2016
10,13,"Justin Rose",35,4.19,134,32,"BirdieAverage",2016
11,11,"Kevin Kisner",49,4.15,191,46,"BirdieAverage",2016
12,19,"Andrew Loupe",50,4.12,206,50,"BirdieAverage",2016
13,14,"Jason Dufner",53,4.08,204,50,"BirdieAverage",2016
13,10,"JB Holmes",39,4.08,147,36,"BirdieAverage",2016
15,15,"Bubba Watson",30,4.07,110,27,"BirdieAverage",2016
16,16,"Smylie Kaufman",57,4.06,219,54,"BirdieAverage",2016
17,11,"Byeong Hun An",23,4.05,77,19,"BirdieAverage",2016
17,17,"Brandt Snedeker",47,4.05,174,43,"BirdieAverage",2016
19,21,"Jimmy Walker",43,4.03,161,40,"BirdieAverage",2016
20,19,"Patton Kizzire",57,4,212,53,"BirdieAverage",2016
20,22,"Kevin Na",52,4,196,49,"BirdieAverage",2016
22,24,"Brooks Koepka",39,3.97,135,34,"BirdieAverage",2016
22,24,"Marc Leishman",41,3.97,151,38,"BirdieAverage",2016
24,17,"Emiliano Grillo",47,3.95,174,44,"BirdieAverage",2016
25,31,"Scott Piercy",45,3.93,165,42,"BirdieAverage",2016
26,24,"Paul Casey",39,3.92,141,36,"BirdieAverage",2016
27,32,"Ryan Palmer",46,3.91,180,46,"BirdieAverage",2016
28,24,"Jason Bohn",37,3.89,144,37,"BirdieAverage",2016
28,34,"William McGirt",54,3.89,210,54,"BirdieAverage",2016
30,32,"Daniel Berger",52,3.88,190,49,"BirdieAverage",2016
30,23,"Jamie Lovemark",57,3.88,221,57,"BirdieAverage",2016
32,30,"Alex Cejka",47,3.87,182,47,"BirdieAverage",2016
32,36,"Charles Howell III",63,3.87,244,63,"BirdieAverage",2016
32,35,"Zach Johnson",42,3.87,147,38,"BirdieAverage",2016
35,28,"Graham DeLaet",50,3.86,193,50,"BirdieAverage",2016
36,28,"Justin Thomas",53,3.84,192,50,"BirdieAverage",2016
